string[64]	string[64]	dword	dword	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	dword	float	float	dword	dword	string[64]	dword	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	END
03040	Поставщик MAU	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03050	Кладовщик	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03060	Торговец	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030A0	Банкир	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030F0	Командующий	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03100	Наставник	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06040	Поставщик MAU	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06050	Кладовщик	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06060	Торговец	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060A0	Банкир	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060B0	Аукцион	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060B1	Аукцион	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060B2	Аукцион	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060B3	Аукцион	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07060	Торговец	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
030C0	Клерк	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03120	Билетер	0	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04000	Оружейник	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04001	Оружейник	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04002	Оружейник	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04010	Алхимик	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04011	Алхимик	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04012	Алхимик	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04020	Торговец Броней	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04021	Кузнец	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04022	Кузнец	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04050	Кладовщик	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04060	Торговец	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040A0	Банкир	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040F0	Командующий	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04100	Наставник	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
08050	Кладовщик	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
08060	Торговец	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080A0	Банкир	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080B0	Аукцион	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080B1	Аукцион	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
080B2	Аукцион	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09060	Торговец	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
040C0	Клерк	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04120	Билетер	1	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05000	Оружейник	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05001	Поставщик Территории Войны	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05002	Оружейник	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05010	Механик	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05011	Механик	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05012	Механик	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05020	Торговец Броней	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05021	Кузнец	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05022	Кузнец	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05050	Кладовщик	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05060	Торговец	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050A0	Банкир	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050F0	Командующий	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	40	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A050	Кладовщик	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A060	Торговец	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A0A0	Банкир	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A0B0	Аукцион	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A0B1	Аукцион	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A0B2	Аукцион	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0A0B3	Аукцион	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0B060	Торговец	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
050C0	Клерк	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05120	Билетер	2	0	0	50	3238665	19744,23633	30	65	149	149	0	1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	44	1310	2034	1000	1000	300	25	300	5000	1	1,5	100	0	20	3000	0	0	0	0	3	4,170000076	30000	90	60	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
