string[32]	string[32]	text	END
Механик	NC-66333	Этот терминал специализируется на реализации Имперских допингов - Восстановителей. Здесь вы сможете найти восстановители - HP, FP, и SP.	
Механик	NC-90018A	Восстановители - ценный инструмент повышения эффективности боевых единиц Империи. Здесь вы можете приобрести восстановители среднего уровня.	
Торговец Броней	NC-5874	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!!!	
Кузнец	NC-110110B	Широкий ассортимент базовых элементов защиты для любой боевой единицы Империи. Принимаются трофеи - оружие, броня и акссесуары вражеских рас - Беллато и Кора.	
Кузнец	NC-20551A	Использование защитных элементов неадекватного качества или степени защиты уменьшает вашу функциональную эффективность. Настоящий пункт продаж позволяет приобрести более совершенную защиту, чем образцы, доступные в Генеральном штабе.	
Кладовщик	NC-69800	"Настоящий многофункциональный торгово-обрабатывающий блок предоставляет следующие сервисы: приобретение руды; обработка руды; продажа буровых установок и батарей. Покупка и последующее использование буровых установок боевыми единицами строго приветствуется, так как способствует экономическому развитию Империи."	
Торговец	NC-854125	Любая боевая единица Империи может приобрести здесь модули хранения, личные телепортаторы, устройства необходимые для производства брони и оружия, а также прочий необходимый инструментарий. Введите запрос... 	
Банкир	NC-441100	Вы находитесь в пункте обмена платины на CP. Участвующим в валютно-финансовой деятельности единицам перед операцией обмена рекомендуется изучить историю изменения котировок, так как с периодичностью в 24 часа наблюдаются флуктуации курса.	
Командующий	Администратор	Я принимаю доклады боевых единиц, готовых к продвижению в Классе. Единицы, претендующие на продвижение без адекватных на то оснований, признаются преступно небрежными. Продвигаемым боевым единицам напоминаю, ваш прогресс - прогресс всей Империи. Прогресс Империи - смысл вашего существования!	
Кладовщик	NC-13567	"Настоящий многофункциональный торгово-обрабатывающий блок предоставляет следующие сервисы: приобретение руды; обработка руды; продажа АБУ и батарей. Покупка и последующее использование буровых установок боевыми единицами строго приветствуется, так как способствует экономическому развитию Империи."	
Торговец	NC-49001	Любая боевая единица Империи может приобрести здесь модули хранения, личные телепортаторы, устройства необходимые для производства брони и оружия, а также прочий необходимый инструментарий. Введите запрос... 	
Банкир	NC-44484A	Вы находитесь в пункте обмена платины на CP. Участвующим в валютно-финансовой деятельности единицам перед операцией обмена рекомендуется изучить историю изменения котировок, так как с периодичностью в 24 часа наблюдаются флуктуации курса.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Аукцион	Торг-терминал	Вас приветствует аукционный терминал. Здесь вы сможете купить или продать любой предмет, выставив его на продажу. Также в продаже имеются 'Одноразовые оповещения аукциона', не забывайте их приобретать - они серьезно экономят ваше время.	
Торговец	NC-57571B	Любая боевая единица Империи может приобрести здесь модули хранения, личные телепортаторы, устройства необходимые для производства брони и оружия, а также прочий необходимый инструментарий. Введите запрос... 	
Клерк	NC-255	Приветствую тебя единица. Если ты хочешь создать гильдию и привести ее к славе и победе во имя Империи, я готов тебе помочь. Если-же у тебя уже есть гильдия, я могу поспособствовать в ее продвижении. Или ты хочешь проверить ранги гильдий? Терминал Клерка всегда готов помочь всем преданным бойцам Империи.	
Билетер	Митти	Добро пожаловать! Я продаю билеты на челноки корпорации Картела! Мы с удовольствием доставим вас куда пожелаете!	
Билетер	Митти	Добро пожаловать в офис по продаже билетов компании Картела! Мы с удовольствием доставим вас на Новус по приемлемым ценам.	
Билетер	Митти	Добро пожаловать! Я продаю билеты на челноки корпорации Картела! Мы с удовольствием доставим вас куда пожелаете!	
Билетер	Митти	Добро пожаловать! Я продаю билеты на челноки корпорации Картела! Мы с удовольствием доставим вас куда пожелаете!	
Поставщик Территории Войны	_	Вас приглашают в новый поход. Ключ необходим для создания ворот территории войны.	
Гражданин	_	-	
Гражданин	_	-	
Поставщик Территории Войны	_	Вас приглашают в новый поход. Ключ необходим для создания ворот территории войны.	
Торговец	Торговец	Что ты принес мне? Надеюсь, это что-то стоящее!	
Торговец	Торговец	Что ты принес мне? Надеюсь, это что-то стоящее!	
Торговец	Торговец	Что ты принес мне? Надеюсь, это что-то стоящее!	
Торговец	Торговец	Я хорошо заплачу тебе, если мы заключим сделку.	
Торговец	Торговец	Я хорошо заплачу тебе, если мы заключим сделку.	
Торговец	Торговец	Я хорошо заплачу тебе, если мы заключим сделку.	
Торговец	Торговец	Единица, если тебе не нужна эта вещь - ты можешь продать ее мне.	
Торговец	NC-35234	Единица, если тебе не нужна эта вещь - ты можешь продать ее мне.	
Торговец	Торговец	Единица, если тебе не нужна эта вещь - ты можешь продать ее мне.	
Герой	Би Хаммер	Привет! Я - Би Хаммер - герой Федерации Беллато. У меня ты можешь комбинировать предметы, а также приобрести броню Лидера Гильдии, или Патриарха расы Беллато, ну если конечно, ты сможешь достичь этих постов. Также у меня есть немного полезных допингов. Не стесняйся, делай свой выбор!	
Герой	Джиз Кадаша	Приветствую! Я - Джиз Кадаша - воительница Альянса. Я могу помочь тебе с комбинированием предметов, а также предложить тебе броню Лидеров Гильдий и Патриарха благословленной расы Коритов. Если конечно ты уже удостоился чести, занять одно из этих мест. Конечно я не Алхимик, но могу предложить тебе небольшой выбор допингов собственного изготовления.	
Герой	Лотан Третий	Приветствую, единица! Я - Лотан Третий - герой Великой Империи Акретия. Являясь главным администратором Системы Декомпозиции Метапрограмм, я могу содействовать в комбинировании предметов. Также у меня можно приобрести элементы брони Лидеров Гильдий и Патриарха нашей расы, здесь на Новусе. Восстановители потеряного опыта, Программаторы Хаоса, и Порядка, их ты также можешь приобрести только здесь.	
Торговец	Торговец	-	
Хранитель Врат	Го Фаенг Ширак	Все воины Федерации должны пройти это испытание... Да, да я говорю про эти врата... Они являются своего рода переходом в другое измерение, полное опасностей и славы...Не можешь войти?? Естественно, чтобы отправиться туда тебе необходим ключ! Где его взять? Ключи в изобилии попадаются в трофеях добываемых с монстров, а также продаются многими удачливыми воинами.. Поэтому ищи ключи, а затем группу храбрых единомышленников и вперед! К славе Федерации!	
Хранитель Врат	Мако Люцелла	Это место вне власти Дайсема. Это настоящий вход в ад. Что? Я не вру! Слышишь этот дрожащий звук? Недавно группа храмовников вошла туда, а вернулась едва-ли половина... Ладно-ладно я молчу. Ведь у тебя все получится, не так-ли? Ты достойное дитя Дайсема, воспитанное в лучших традициях нашего народа! Поэтому гони прочь страх, прихвати с собой группу смелых бойцов и вперед! Не забывай, что для входа тебе потребуется ключ. Получить ключи можно активно охотясь на монстров, или купить их у других бойцов.	
Хранитель Врат	NC-359804F	Для меня большая честь повстречать тебя, единица. Грозный кулак Империи, как все называют тебя. Ты, и твои соратники готовы к путешествию через врата? У вас есть ключ? Если нет, его придется добыть охотясь на монстров Новуса. После, приходи сюда, активизируй свой ключ и вперед! К славе и победе! За великую Акретианскую Империю!	
АБУ	Автоматическая Буровая Установка	-	
АБУ	Автоматическая Буровая Установка	-	
АБУ	Автоматическая Буровая Установка	-	
АБУ	Автоматическая Буровая Установка	-	
АБУ	Автоматическая Буровая Установка	-	
АБУ	Автоматическая Буровая Установка	-	
Хранитель врат	Гарулунг	Приветствую тебя! Я хранитель врат перехода на территорию вулкана Котел. Я работаю на Картелу, но это не должно тебя смущать - я беспрепятственно переправляю на ту сторону представителя любой расы. Своими исследованиями территории вулкана вы сможете помочь в изысканиях Картелы.	
Торговец Оружием	Аклома	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Оружием	Хансен	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Оружием	AR14-31-0496	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Редким Оружием	Роквелл	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Редким Оружием	Райла	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Редким Оружием	AR24-33-2581	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Улучшенным Оружием	Драка Бэл	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Улучшенным Оружием	Касандра	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Улучшенным Оружием	AР33-32-1173	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Улучшенным Оружием	Каден	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Улучшенным Оружием	Сара Месер	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Улучшенным Оружием	AР12-32-2003	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Щитами	Асехан	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Щитами	Сирис	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Щитами	AР23-14-5513	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Редкими Щитами	Рил Марс	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Редкими Щитами	Луиан Кьюри	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Редкими Щитами	AР31-11-9983	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Улучшенными Щитами	Карион	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Улучшенными Щитами	Бени	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Улучшенными Щитами	AР11-18-6345	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Снабженец	Тоска	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Снабженец	Норра	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Снабженец	AР22-54-5078	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Броней	Найан Кадиа	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Броней	Исцилия	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Броней	AР14-31-0486	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Торговец Редкой Броней	Носта Бель	Ты видел эти предметы? Я потратил годы, чтобы собрать их... Что!? Эти драгоценные предметы достойны своей цены!! 	
Торговец Редкой Броней	Дайси	Я имею дело только с особыми предметами. Слишком дорого? Можешь не покупать, мне все равно.	
Торговец Редкой Броней	AР24-33-2601	Как боевая единица Империи, ты должен понимать, чего стоит производство и доставка на Новус всей этой амуниции. Поэтому она вполне оправдывает свою цену.	
Флем Ювелир	Кайт	Стой, стой, не проходи мимо! Меня зовут Кайт, но это не важно. Важно другое - за каждые 5 кристаллов одного из видов, ты получишь от меня достойное вознаграждение. Какое? Принеси и ты оценишь мою шедрость.	
Флем Ювелир	Кайс	Приветствую тебя друг! Меня зовут Кайс. Я, как и мои братья, мастер-ювелир. Здесь, на Новусе, у нас особая миссия - мы собираем кристаллы. Зачем!? Это не важно... За каждые 5 кристаллов одного из видов, ты получишь от меня достойное вознаграждение.	
Флем Ювелир	Кайр	Поосторожнее со своей пушкой! Ты ведь можешь убить меня! Хочешь получить подарок? Все что для для этого нужно - принести мне кристаллы. За каждые 5 кристаллов одного из видов, ты получишь от меня достойное вознаграждение.	
Военный Снабженец	Вадин	Я Вадин, Военный Снабженец. Я изменил свои взгляды для изучения новых технологий и не жалею об этом. Мои разработки будут пользоваться успехом в будущем. Однако, для использования моей технологии, Вы должны располагать достаточными знаниями.	
Гражданин	Понти	Приветствую! Я Понти и прибыл сюда для решения различных здешних проблем. Так как я очень торопился прибыть сюда как можно быстрее - я не успел завершить некоторые из моих дел.	
Координатор перемещений	Таркес	Добро пожаловать. Я продаю таинственную руду, добытую на шахтах Новуса. Это основной материал для создания и модификации мощного оружия и брони	
Координатор перемещений	Роппель	Привет. Я Роппел, продаю таинственную руду. Пожалуйста, обращайся ко мне. Когда захочешь стать сильнее, ха,ха	
Координатор перемещений	Иштар	Шшшш!... Говори тихо. Мой брат не знает, что таинственная руда добывается в процессе очистки руды. Мы договорились? Ни слова моему брату Бураку!	
Координатор перемещений	Верас	Хай! Меня зовут Вераст, я координирую перемещения в новые локации Новуса. Если тебе что-нибудь потребуется - обращайся...	
Координатор перемещений	CM-973M	Я CM-973M, занимаюсь поставкой таинственной руды для экспедиторских сил.	
Сандри	Гарк	Не удивляйся! Я Культист, но я не агрессивен, особенно по отношению к своим клиентам. У меня много особых товаров для тебя.	
Рыцарь Ордена Дракона	Имперский Рыцарь	Я занимаюсь Наградными Коробочками Империи. Если вы хотите получить одну из них, принесите мне необходимое количество Кристальных Таллик, а также определенную сумму расовой валюты. Для коробочки с броней тип-B 50 уровня требуется 3 Кристальных Таллики и 2 500 000 CP, для коробочки с обычной броней 50 уровня требуется 2 Кристальных Таллики и 2 000 000 CP, для коробочки с обычной броней 53 уровня требуется 5 Кристальных Таллик и 4 000 000 CP, для коробочки с обычной броней 55 уровня требуется 12 Кристальных Таллик и 6 000 000 CP. Для получения брони 65 уровня требуется Упаковка Кристальных Таллик из 50 шт. и 150 000 000 CP.	
Наемник Картелы	Ландскнехт Легат	Для получения указанных Наградных коробочек Империи, принесите 4 Кристальных Таллики и 10,000,000 CP. Если вы хотите получить коробочку с броней 57 уровня требуется 30 Кристальных Таллик и 60 000 000 CP.	
Наемник Картелы	Дементор Легат	Для получения указанных Наградных коробочек Империи, принесите 10 Кристальных Таллик и 20,000,000 CP. Если вы хотите получить коробочку с броней 60 уровня требуется 60 Кристальных Таллик и 90 000 000 CP.	
Наемник Картелы	Ракетчик Легат	Для получения указанных Наградных коробочек Империи, принесите 26 Кристальных Таллики и 30,000,000 CP. Если вы хотите получить коробочку с броней 63 уровня требуется 70 Кристальных Таллик и 120 000 000 CP.	
Рыцарь Ордена Дракона	Рыцарь Федерации	Я занимаюсь Наградными Коробочками Федерации. Если вы хотите получить одну из них, принесите мне необходимое количество Кристальных Таллик, а также определенную сумму расовой валюты. Для коробочки с броней тип-B 50 уровня требуется 3 Кристальных Таллики и 2 500 000 CP, для коробочки с обычной броней 50 уровня требуется 2 Кристальных Таллики и 2 000 000 CP, для коробочки с обычной броней 53 уровня требуется 5 Кристальных Таллик и 4 000 000 CP, для коробочки с обычной броней 55 уровня требуется 12 Кристальных Таллик и 6 000 000 CP. Для получения брони 65 уровня требуется Упаковка Кристальных Таллик из 50 шт. и 150 000 000 CP.	
Наемник Картелы	Берсерк Маршал	Для получения указанных Наградных коробочек Империи, принесите 4 Кристальных Таллики и 10,000,000 Далантов. Если вы хотите получить коробочку с броней 57 уровня требуется 30 Кристальных Таллик и 60 000 000 Далантов.	
Наемник Картелы	Наблюдатель Маршал	Для получения указанных Наградных коробочек Империи, принесите 10 Кристальных Таллик и 20,000,000 Далантов. Если вы хотите получить коробочку с броней 60 уровня требуется 60 Кристальных Таллик и 90 000 000 Далантов.	
Наемник Картелы	Чудотворец Маршал	Для получения указанных Наградных коробочек Империи, принесите 26 Кристальных Таллики и 30,000,000 Далантов. Если вы хотите получить коробочку с броней 63 уровня требуется 70 Кристальных Таллик и 120 000 000 Далантов.	
Рыцарь Ордена Дракона	Рыцарь Альянса	Я занимаюсь Наградными Коробочками Альянса. Если вы хотите получить одну из них, принесите мне необходимое количество Кристальных Таллик, а также определенную сумму расовой валюты. Для коробочки с броней тип-B 50 уровня требуется 3 Кристальных Таллики и 2 500 000 CP, для коробочки с обычной броней 50 уровня требуется 2 Кристальных Таллики и 2 000 000 CP, для коробочки с обычной броней 53 уровня требуется 5 Кристальных Таллик и 4 000 000 CP, для коробочки с обычной броней 55 уровня требуется 12 Кристальных Таллик и 6 000 000 CP. Для получения брони 65 уровня требуется Упаковка Кристальных Таллик из 50 шт. и 150 000 000 CP.	
Наемник Картелы	Храмовник Избранный	Для получения указанных Наградных коробочек Империи, принесите 4 Кристальных Таллики и 10,000,000 Дизен. Если вы хотите получить коробочку с броней 57 уровня требуется 30 Кристальных Таллик и 60 000 000 Дизен.	
Наемник Картелы	Асасин Избранный	Для получения указанных Наградных коробочек Империи, принесите 10 Кристальных Таллик и 20,000,000 Дизен. Если вы хотите получить коробочку с броней 60 уровня требуется 60 Кристальных Таллик и 90 000 000 Дизен.	
Наемник Картелы	Маг Избранный	Для получения указанных Наградных коробочек Империи, принесите 26 Кристальных Таллики и 30,000,000 Дизен. Если вы хотите получить коробочку с броней 63 уровня требуется 70 Кристальных Таллик и 120 000 000 Дизен.	
Фериад	Фериад	Нет, вооружение, которое я создал - великолепно! Вы явно заблуждаетесь! Я повторяю - мое вооружение это воистину гениальное творение! Мухахаха!	
Коллекционер Талик	Т-310	Если у тебя остались лишние талики, пожалуйста, отдай мне. В обмен я смогу дать тебе редкие предметы.	
Премиум Менеджер	Менеджер	Я Менеджер Премиум сервиса, который рекламирует улучшенное обслуживание. Если вы дадите мне кристалл Пексион, я дам вам коробочку с купоном на скидку.	
