string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	END
setwc08	00110	-1	-1	-1	-1	-1	-1	-1	iachs01	iachs02	iichh01	iichh02	-1	02010402	7	0,150000006	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	
setwc09	00110	-1	-1	-1	-1	-1	-1	-1	iachs03	iachs04	iichh03	iichh04	-1	02010402	7	0,200000003	6	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwc10	00110	-1	-1	-1	-1	-1	-1	-1	iachs05	iachs05	iichh05	iichh05	-1	02010402	7	0,25	6	0,25	0	0	0	0	0	0	0	0	0	0	0	0	
setwc11	00110	-1	-1	-1	-1	-1	-1	-1	iacht01	iacht02	iichg01	iichg02	-1	02010402	34	200	6	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwc12	00110	-1	-1	-1	-1	-1	-1	-1	iacht03	iacht04	iichg03	iichg04	-1	02010402	34	400	6	0,119999997	0	0	0	0	0	0	0	0	0	0	0	0	
setwc13	00110	-1	-1	-1	-1	-1	-1	-1	iacht05	iacht05	iichg05	iichg05	-1	02010402	34	600	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	
setwc14	00110	-1	-1	-1	-1	-1	-1	-1	iachb01	iachb02	iichq01	iichq02	-1	02010402	20	10	17	0,050000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwc15	00110	-1	-1	-1	-1	-1	-1	-1	iachb03	iachb04	iichq03	iichq04	-1	02010402	20	15	17	0,059999999	0	0	0	0	0	0	0	0	0	0	0	0	
setwc16	00110	-1	-1	-1	-1	-1	-1	-1	iachb05	iachb05	iichq05	iichq05	-1	02010402	20	20	17	0,07	0	0	0	0	0	0	0	0	0	0	0	0	
setwc17	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	iichb05	iichb05	-1	01010202	30	0,150000006	6	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwc18	00110	-1	-1	-1	-1	-1	-1	-1	iachd01	iachd02	-1	-1	-1	0201	6	0,050000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc19	00110	-1	-1	-1	-1	-1	-1	-1	iachd03	iachd04	-1	-1	-1	0201	6	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc20	00110	-1	-1	-1	-1	-1	-1	-1	iachd05	iachd05	-1	-1	-1	0201	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc21	00110	ihccw50	iuccw50	ilccw50	isccw50	igccw50	-1	-1	-1	-1	-1	-1	-1	030204040506	6	0,349999994	7	1	12	2	28	10	5	0,119999997	7	0,150000006	0	0	0	0	
setwc22	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc23	00110	ihcwc55	iucwc55	ilcwc55	iscwc55	igcwc55	-1	-1	iacca97	iacca97	-1	-1	-1	0301050306040708	7	0,200000003	7	0,200000003	6	0,200000003	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setwc24	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc25	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc26	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc27	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc28	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc29	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwc30	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa01	00001	ihawc50	iuawc50	ilawc50	isawc50	igawc50	-1	-1	-1	-1	iiaab75	iiaab75	-1	0301050306040708	7	0,200000003	7	0,200000003	6	0,200000003	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setwa02	00001	ihawc45	iuawc45	ilawc45	isawc45	igawc45	-1	-1	-1	-1	-1	-1	-1	0502	7	1,5	5	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwa03	00001	ihawd45	iuawd45	ilawd45	isawd45	igawd45	-1	-1	-1	-1	-1	-1	-1	0502	7	2,5	5	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwa04	00001	-1	-1	-1	-1	-1	iwkbd46	-1	-1	-1	iiahb01	iiahb02	-1	0301	30	0,119999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa05	00001	-1	-1	-1	-1	-1	iwkbd51	-1	-1	-1	iiahb03	iiahb04	-1	0301	30	0,239999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa06	00001	-1	-1	-1	-1	-1	-1	-1	iaahs01	iaahs02	iiahh01	iiahh02	-1	02010402	7	0,150000006	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	
setwa07	00001	-1	-1	-1	-1	-1	-1	-1	iaahs03	iaahs04	iiahh03	iiahh04	-1	02010402	7	0,200000003	6	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwa08	00001	-1	-1	-1	-1	-1	-1	-1	iaahs05	iaahs05	iiahh05	iiahh05	-1	02010402	7	0,25	6	0,25	0	0	0	0	0	0	0	0	0	0	0	0	
setwa09	00001	-1	-1	-1	-1	-1	-1	-1	iaaht01	iaaht02	iiahg01	iiahg02	-1	02010402	34	200	6	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwa10	00001	-1	-1	-1	-1	-1	-1	-1	iaaht03	iaaht04	iiahg03	iiahg04	-1	02010402	34	400	6	0,119999997	0	0	0	0	0	0	0	0	0	0	0	0	
setwa11	00001	-1	-1	-1	-1	-1	-1	-1	iaaht05	iaaht05	iiahg05	iiahg05	-1	02010402	34	600	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	
setwa12	00001	-1	-1	-1	-1	-1	-1	-1	iaahb01	iaahb02	iiahq01	iiahq02	-1	02010402	20	10	17	0,050000001	0	0	0	0	0	0	0	0	0	0	0	0	
setwa13	00001	-1	-1	-1	-1	-1	-1	-1	iaahb03	iaahb04	iiahq03	iiahq04	-1	02010402	20	15	17	0,059999999	0	0	0	0	0	0	0	0	0	0	0	0	
setwa14	00001	-1	-1	-1	-1	-1	-1	-1	iaahb05	iaahb05	iiahq05	iiahq05	-1	02010402	20	20	17	0,07	0	0	0	0	0	0	0	0	0	0	0	0	
setwa15	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	iiahb05	iiahb05	-1	01010202	30	0,150000006	6	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setwa16	00001	-1	-1	-1	-1	-1	-1	-1	iaahd01	iaahd02	-1	-1	-1	0201	6	0,050000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa17	00001	-1	-1	-1	-1	-1	-1	-1	iaahd03	iaahd04	-1	-1	-1	0201	6	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa18	00001	-1	-1	-1	-1	-1	-1	-1	iaahd05	iaahd05	-1	-1	-1	0201	6	0,150000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa19	00001	ihacw50	iuacw50	ilacw50	isacw50	igacw50	-1	-1	-1	-1	-1	-1	-1	030204040506	6	0,349999994	7	1,5	12	2	28	10	31	0,5	5	0,119999997	0	0	0	0	
setwa20	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa21	00001	ihawc55	iuawc55	ilawc55	isawc55	igawc55	-1	-1	-1	-1	iiaab75	iiaab75	-1	0301050306040708	7	0,200000003	7	0,200000003	6	0,200000003	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setwa22	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa23	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa24	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa25	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa26	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa27	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa28	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa29	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setwa30	00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb01	11000	ihbrc50	iubrc50	ilbrc50	isbrc50	igbrc50	-1	-1	-1	-1	iibba98	iibba98	-1	0301050306040708	7	0,200000003	4	20	29	20	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setrb02	11000	ihbrc45	iubrc45	ilbrc45	isbrc45	igbrc45	-1	-1	-1	-1	-1	-1	-1	0502	7	1,5	5	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setrb03	11000	ihbrd45	iubrd45	ilbrd45	isbrd45	igbrd45	-1	-1	-1	-1	-1	-1	-1	0502	7	2,5	5	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setrb04	11000	-1	-1	-1	-1	-1	-1	-1	iadgn01	iadgn02	iidgn01	iidgn02	-1	03020405	6	0,100000001	7	0,100000001	6	0,200000003	7	0,200000003	16	0,200000003	0	0	0	0	0	0	
setrb05	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb06	11000	ihbcr50	iubcr50	ilbcr50	isbcr50	igbcr50	-1	-1	-1	-1	-1	-1	-1	030204040506	6	0,349999994	4	40	12	1	3	40	20	30	34	1000	0	0	0	0	
setrb07	11000	ihbrc55	iubrc55	ilbrc55	isbrc55	igbrc55	-1	-1	-1	-1	iibba98	iibba98	-1	0301050306040708	7	0,200000003	4	20	29	20	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setrb08	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb09	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb10	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb11	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb12	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb13	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb14	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb15	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb16	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb17	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb18	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb19	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb20	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb21	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb22	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb23	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb24	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb25	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb26	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb27	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb28	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb29	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrb30	11000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc01	00110	ihcrc50	iucrc50	ilcrc50	iscrc50	igcrc50	-1	-1	iacca98	iacca98	-1	-1	-1	0301050306040708	7	0,200000003	4	20	29	20	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setrc02	00110	ihcrc45	iucrc45	ilcrc45	iscrc45	igcrc45	-1	-1	-1	-1	-1	-1	-1	0502	7	1,5	5	0,100000001	0	0	0	0	0	0	0	0	0	0	0	0	
setrc03	00110	ihcrd45	iucrd45	ilcrd45	iscrd45	igcrd45	-1	-1	-1	-1	-1	-1	-1	0502	7	2,5	5	0,200000003	0	0	0	0	0	0	0	0	0	0	0	0	
setrc04	00110	-1	-1	-1	-1	-1	-1	-1	iadgn01	iadgn02	iidgn01	iidgn02	-1	03020405	6	0,100000001	7	0,100000001	6	0,200000003	7	0,200000003	16	0,200000003	0	0	0	0	0	0	
setrc05	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc06	00110	ihccr50	iuccr50	ilccr50	isccr50	igccr50	-1	-1	-1	-1	-1	-1	-1	030204040506	6	0,349999994	4	40	12	1	3	40	20	30	34	1000	0	0	0	0	
setrc07	00110	ihcrc55	iucrc55	ilcrc55	iscrc55	igcrc55	-1	-1	iacca98	iacca98	-1	-1	-1	0301050306040708	7	0,200000003	4	20	29	20	34	10	34	10	6	0,100000001	7	0,100000001	5	0,100000001	
setrc08	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc09	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc10	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc11	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc12	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc13	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc14	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc15	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc16	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc17	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc18	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc19	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc20	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc21	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc22	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc23	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc24	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc25	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc26	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc27	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc28	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc29	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
setrc30	00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
