string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	string[64]	dword	float	dword	string[64]	string[64]	dword	dword	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	float	dword	float	long	float	long	dword	float	dword	float	dword	dword	dword	float	dword	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
iwknb03	1	A10308	3	Тип В  Мачете [3  	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	3	-1	0	0	1	-1	-1	0	850	0	0	0	0	8	0	0	1,084193945	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	30	60	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb03	2	0	
iwknc03	0	A1030A	3	Мачете [3  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	3	-1	0	0	1	-1	-1	0	375	0	0	0	0	3	0	0	1,084193945	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	21	60	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc03	2	0	
iwknz03	0	A10307	190	Клейменый Клинок Риттера 	103	4	0	-1	0	0	8	-1	D	0	0	11111	1111	50	-1	0	0	68	-1	-1	0	375	0	0	0	0	935	0	0	1,084193945	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	1979	60	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknz03	2	0	
iwkna04	0	A1030C	3	Knife4 [4  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	4	-1	0	0	1	-1	-1	0	580	0	0	0	0	5	0	0	1,101660967	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	25	60	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna04	2	0	
iwknb04	0	A1030C	3	??? Knife4 [4  	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	4	-1	0	0	1	-1	-1	0	580	0	0	0	0	5	0	0	1,101660967	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	25	60	29	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb04	2	0	
iwknc04	0	A1030E	3	Knife4 [4  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	4	-1	0	0	1	-1	-1	0	580	0	0	0	0	5	0	0	1,101660967	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	25	60	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc04	2	0	
iwknd04	0	A1030F	3	Knife4 [4  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	580	0	0	0	0	5	0	0	1,101660967	0	0	1	-1	0	0	0	0	0,5	0	5	-162	30	25	60	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknd04	2	0	
iwkna05	1	A10310	4	Резак [5 	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	5	-1	0	0	1	-1	-1	0	875	0	0	0	0	8	0	0	1,115403056	0	0	1	-1	0	0	0	0	0,5	0	11,5	-162	30	28	60	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna05	2	0	
iwknb05	1	A10310	4	Тип В  Резак [5  	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	5	-1	0	0	1	-1	-1	0	1645	0	0	0	0	16	0	0	1,115403056	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	42	60	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb05	2	0	
iwknc05	0	A10312	4	Резак [5  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	5	-1	0	0	1	-1	-1	0	850	0	0	0	0	8	0	0	1,115403056	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	29	60	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc05	2	0	
iwknd05	0	A10313	4	Резак [5  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	850	0	0	0	0	8	0	0	1,115403056	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	29	60	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknd05	2	0	
iwkna06	0	A10314	4	Knife6 [6  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	6	-1	0	0	1	-1	-1	0	1200	0	0	0	0	12	0	0	1,126757979	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	35	60	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna06	2	0	
iwknb06	0	A10314	4	??? Knife6 [6  	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	6	-1	0	0	1	-1	-1	0	1200	0	0	0	0	12	0	0	1,126757979	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	35	60	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb06	2	0	
iwknc06	0	A10316	4	Knife6 [6  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	6	-1	0	0	1	-1	-1	0	1200	0	0	0	0	12	0	0	1,126757979	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	35	60	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc06	2	0	
iwknd06	0	A10317	4	Knife6 [6  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	1200	0	0	0	0	12	0	0	1,126757979	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	35	60	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknd06	2	0	
iwkna07	1	A10318	5	Клинок [7 	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	7	-1	0	0	1	-1	-1	0	1680	0	0	0	0	16	0	0	1,136448979	0	0	1	-1	0	0	0	0	0,5	0	11,5	-162	30	40	60	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna07	2	0	
iwknb07	1	A10318	5	Тип В  Клинок [7 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	7	-1	0	0	1	-1	-1	0	3650	0	0	0	0	36	0	0	1,136448979	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	67	60	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb07	2	0	
iwknc07	0	A1031A	5	Клинок [7 	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	7	-1	0	0	1	-1	-1	0	1645	0	0	0	0	16	0	0	1,136448979	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	42	60	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc07	2	0	
iwknd07	0	A1031B	5	Клинок [7 	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	1645	0	0	0	0	16	0	0	1,136448979	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	42	60	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknd07	2	0	
iwkna08	0	A1031C	5	Knife8 [8  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	8	-1	0	0	1	-1	-1	0	2160	0	0	0	0	21	0	0	1,144911051	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	50	60	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna08	2	0	
iwknb08	0	A1031C	5	??? Knife8 [8 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	8	-1	0	0	1	-1	-1	0	2160	0	0	0	0	21	0	0	1,144911051	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	50	60	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb08	2	0	
iwknc08	0	A1031E	5	Knife8 [8  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	8	-1	0	0	1	-1	-1	0	2160	0	0	0	0	21	0	0	1,144911051	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	50	60	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc08	2	0	
iwknd08	0	A1031F	5	Knife8 [8  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	2160	0	0	0	0	21	0	0	1,144911051	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	50	60	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknd08	2	0	
iwkna09	0	A10320	5	Knife9 [9  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	9	-1	0	0	2	-1	-1	0	2835	0	0	0	0	28	0	0	1,152428031	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	58	60	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwkna09	2	0	
iwknb09	0	A10320	5	??? Knife9 [9 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	9	-1	0	0	2	-1	-1	0	2835	0	0	0	0	28	0	0	1,152428031	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	58	60	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknb09	2	0	
iwknc09	0	A10322	5	Knife9 [9  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	9	-1	0	0	2	-1	-1	0	2835	0	0	0	0	28	0	0	1,152428031	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	58	60	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknc09	2	0	
iwknd09	0	A10323	5	Knife9 [9  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	2835	0	0	0	0	28	0	0	1,152428031	0	0	1	-1	0	0	0	0	0,5	0	6	-162	30	58	60	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tiwknd09	2	0	
iwkna10	1	A10324	6	Сабля [10 	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	10	-1	0	0	3	-1	-1	0	3750	0	0	0	0	37	0	0	1,159193039	0	0	1	-1	0	0	0	0	0,5	0	12,5	-162	30	63	60	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwkna10	2	0	
iwknb10	1	A10324	6	Тип В  Сабля [10 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	10	-1	0	0	3	-1	-1	0	5760	0	0	0	0	57	0	0	1,159193039	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	86	60	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknb10	2	0	
iwknc10	0	A10326	6	Сабля [10 	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	10	-1	0	0	3	-1	-1	0	3650	0	0	0	0	36	0	0	1,159193039	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	66	60	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknc10	2	0	
iwknd10	0	A10327	6	Сабля [10 	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	3650	0	0	0	0	36	0	0	1,159193039	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	66	60	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknd10	2	0	
iwkna11	0	A10328	6	Knife11 [11  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	11	-1	0	0	4	-1	-1	0	4620	0	0	0	0	46	0	0	1,16534698	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	76	60	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwkna11	2	0	
iwknb11	0	A10328	6	??? Knife11 [11 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	11	-1	0	0	4	-1	-1	0	4620	0	0	0	0	46	0	0	1,16534698	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	76	60	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknb11	2	0	
iwknc11	0	A1032A	6	Knife11 [11  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	11	-1	0	0	4	-1	-1	0	4620	0	0	0	0	46	0	0	1,16534698	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	76	60	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknc11	2	0	
iwknd11	0	A1032B	6	Knife11 [11  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	4620	0	0	0	0	46	0	0	1,16534698	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	76	60	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknd11	2	0	
iwkna12	1	A1032C	7	Шамшир [12 	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	12	-1	0	0	4	-1	-1	0	5940	0	0	0	0	59	0	0	1,170994043	0	0	1	-1	0	0	0	0	0,5	0	13,5	-162	30	81	60	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwkna12	2	0	
iwknb12	1	A1032C	7	Тип В  Шамшир [12 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	12	-1	0	0	4	-1	-1	0	10200	0	0	0	0	102	0	0	1,170994043	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	123	60	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknb12	2	0	
iwknc12	0	A1032E	7	Шамшир [12 	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	12	-1	0	0	4	-1	-1	0	5760	0	0	0	0	57	0	0	1,170994043	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	86	60	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknc12	2	0	
iwknd12	0	A1032F	7	Шамшир [12 	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	5760	0	0	0	0	57	0	0	1,170994043	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	86	60	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknd12	2	0	
iwkna13	0	A10330	7	Knife13 [13  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	13	-1	0	0	4	-1	-1	0	7020	0	0	0	0	70	0	0	1,176213026	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	98	60	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwkna13	2	0	
iwknb13	0	A10330	7	??? Knife13 [13 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	13	-1	0	0	4	-1	-1	0	7020	0	0	0	0	70	0	0	1,176213026	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	98	60	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknb13	2	0	
iwknc13	0	A10332	7	Knife13 [13  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	13	-1	0	0	4	-1	-1	0	7020	0	0	0	0	70	0	0	1,176213026	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	98	60	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknc13	2	0	
iwknd13	0	A10333	7	Knife13 [13  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	7020	0	0	0	0	70	0	0	1,176213026	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	98	60	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknd13	2	0	
iwkna14	0	A10334	7	Knife14 [14  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	14	-1	0	0	5	-1	-1	0	8610	0	0	0	0	86	0	0	1,181064963	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	110	60	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwkna14	2	0	
iwknb14	0	A10334	7	??? Knife14 [14 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	14	-1	0	0	5	-1	-1	0	8610	0	0	0	0	86	0	0	1,181064963	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	110	60	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknb14	2	0	
iwknc14	0	A10336	7	Knife14 [14  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	14	-1	0	0	5	-1	-1	0	8610	0	0	0	0	86	0	0	1,181064963	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	110	60	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknc14	2	0	
iwknd14	0	A10337	7	Knife14 [14  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	8610	0	0	0	0	86	0	0	1,181064963	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	110	60	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknd14	2	0	
iwkna15	1	A10338	8	Ятаган [15 	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	15	-1	0	0	5	-1	-1	0	10575	0	0	0	0	105	0	0	1,185600996	0	0	1	-1	0	0	0	0	0,5	0	15	-162	30	114	60	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwkna15	2	0	
iwknb15	1	A10338	8	Тип В  Ятаган [15 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	15	-1	0	0	5	-1	-1	0	16740	0	0	0	0	167	0	0	1,185600996	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	167	60	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknb15	2	0	
iwknc15	0	A1033A	8	Ятаган [15 	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	15	-1	0	0	5	-1	-1	0	10200	0	0	0	0	102	0	0	1,185600996	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	123	60	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknc15	2	0	
iwknd15	0	A1033B	8	Ятаган [15 	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	10200	0	0	0	0	102	0	0	1,185600996	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	123	60	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	tiwknd15	2	0	
iwkna16	0	A1033C	8	Knife16 [16  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	16	-1	0	0	6	-1	-1	0	12080	0	0	0	0	120	0	0	1,189859986	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	137	60	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwkna16	2	0	
iwknb16	0	A1033C	8	??? Knife16 [16 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	16	-1	0	0	6	-1	-1	0	12080	0	0	0	0	120	0	0	1,189859986	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	137	60	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknb16	2	0	
iwknc16	0	A1033E	8	Knife16 [16  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	16	-1	0	0	6	-1	-1	0	12080	0	0	0	0	120	0	0	1,189859986	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	137	60	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknc16	2	0	
iwknd16	0	A1033F	8	Knife16 [16  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	12080	0	0	0	0	120	0	0	1,189859986	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	137	60	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknd16	2	0	
iwkna17	0	A10340	8	Knife17 [17  	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	17	-1	0	0	6	-1	-1	0	14280	0	0	0	0	142	0	0	1,193874002	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	151	60	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwkna17	2	0	
iwknb17	0	A10340	8	??? Knife17 [17 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	17	-1	0	0	6	-1	-1	0	14280	0	0	0	0	142	0	0	1,193874002	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	151	60	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknb17	2	0	
iwknc17	0	A10342	8	Knife17 [17  	103	2	0	-1	0	0	8	-1	D	0	0	11111	1111	17	-1	0	0	6	-1	-1	0	14280	0	0	0	0	142	0	0	1,193874002	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	151	60	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknc17	2	0	
iwknd17	0	A10343	8	Knife17 [17  	103	3	0	-1	0	0	8	-1	D	0	0	11111	1111	1	-1	0	0	1	-1	-1	0	14280	0	0	0	0	142	0	0	1,193874002	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	151	60	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknd17	2	0	
iwkna18	1	A10344	9	Боевой Секач [18 	103	0	0	-1	0	0	8	-1	D	0	0	11111	1111	18	-1	0	0	7	-1	-1	0	17280	0	0	0	0	172	0	0	1,197671056	0	0	1	-1	0	0	0	0	0,5	0	15	-162	30	156	60	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwkna18	2	0	
iwknb18	1	A10344	9	Тип В  Боевой Секач [18 	103	1	0	-1	0	0	8	-1	D	0	0	11111	1111	18	-1	0	0	7	-1	-1	0	22400	0	0	0	0	224	0	0	1,197671056	0	0	1	-1	0	0	0	0	0,5	0	8	-162	30	200	60	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	6	tiwknb18	2	0	
