clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	dword	stb4	float	dword	dword	dword	dword	byte	bulltype	dword	xeh	dword	dword	END
iwknc05	Резак [5  	A10312	4	11111	6	0	0	850	0	0	0	0	8	1	1	1	1	18	0	0	0	-1	2	0	0	0	0	5	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	29	34	0	0	-1	-1	0	-1	4	0	
iwknd05	Резак [5  	A10313	4	11111	6	0	0	850	0	0	0	0	8	1	1	1	1	19	0	0	0	-1	3	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	29	34	0	0	-1	-1	0	-1	4	0	
iwkna06	Knife6 [6  	A10314	4	11111	6	0	0	1200	0	0	0	0	12	1	1	1	1	20	0	0	0	-1	0	0	0	0	0	6	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	35	40	0	0	-1	-1	0	-1	4	0	
iwknb06	??? Knife6 [6  	A10314	4	11111	6	0	0	1200	0	0	0	0	12	1	1	1	1	21	0	0	0	-1	1	0	0	0	0	6	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	35	40	0	0	-1	-1	0	-1	4	0	
iwknc06	Knife6 [6  	A10316	4	11111	6	0	0	1200	0	0	0	0	12	1	1	1	1	22	0	0	0	-1	2	0	0	0	0	6	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	35	40	0	0	-1	-1	0	-1	4	0	
iwknd06	Knife6 [6  	A10317	4	11111	6	0	0	1200	0	0	0	0	12	1	1	1	1	23	0	0	0	-1	3	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	35	40	0	0	-1	-1	0	-1	4	0	
iwkna07	Клинок [7 	A10318	5	11111	6	0	0	1680	0	0	0	0	16	1	1	1	1	24	1	0	0	-1	0	0	0	0	0	7	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11,5	40	48	0	0	-1	-1	0	-1	4	0	
iwknb07	Тип В  Клинок [7 	A10318	5	11111	6	0	0	3650	0	0	0	0	36	1	1	1	1	25	1	0	0	-1	1	0	0	0	0	7	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	67	73	0	0	-1	-1	0	-1	4	0	
iwknc07	Клинок [7 	A1031A	5	11111	6	0	0	1645	0	0	0	0	16	1	1	1	1	26	0	0	0	-1	2	0	0	0	0	7	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	42	47	0	0	-1	-1	0	-1	4	0	
iwknd07	Клинок [7 	A1031B	5	11111	6	0	0	1645	0	0	0	0	16	1	1	1	1	27	0	0	0	-1	3	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	42	47	0	0	-1	-1	0	-1	4	0	
iwkna08	Knife8 [8  	A1031C	5	11111	6	0	0	2160	0	0	0	0	21	1	1	1	1	28	0	0	0	-1	0	0	0	0	0	8	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	50	54	0	0	-1	-1	0	-1	4	0	
iwknb08	??? Knife8 [8 	A1031C	5	11111	6	0	0	2160	0	0	0	0	21	1	1	1	1	29	0	0	0	-1	1	0	0	0	0	8	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	50	54	0	0	-1	-1	0	-1	4	0	
iwknc08	Knife8 [8  	A1031E	5	11111	6	0	0	2160	0	0	0	0	21	1	1	1	1	30	0	0	0	-1	2	0	0	0	0	8	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	50	54	0	0	-1	-1	0	-1	4	0	
iwknd08	Knife8 [8  	A1031F	5	11111	6	0	0	2160	0	0	0	0	21	1	1	1	1	31	0	0	0	-1	3	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	50	54	0	0	-1	-1	0	-1	4	0	
iwkna09	Knife9 [9  	A10320	5	11111	6	0	0	2835	0	0	0	0	28	1	1	1	1	32	0	0	0	-1	0	0	0	0	0	9	0	-1	2	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	58	63	0	0	-1	-1	0	-1	4	0	
iwknb09	??? Knife9 [9 	A10320	5	11111	6	0	0	2835	0	0	0	0	28	1	1	1	1	33	0	0	0	-1	1	0	0	0	0	9	0	-1	2	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	58	63	0	0	-1	-1	0	-1	4	0	
iwknc09	Knife9 [9  	A10322	5	11111	6	0	0	2835	0	0	0	0	28	1	1	1	1	34	0	0	0	-1	2	0	0	0	0	9	0	-1	2	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	58	63	0	0	-1	-1	0	-1	4	0	
iwknd09	Knife9 [9  	A10323	5	11111	6	0	0	2835	0	0	0	0	28	1	1	1	1	35	0	0	0	-1	3	0	0	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	6	58	63	0	0	-1	-1	0	-1	4	0	
iwkna10	Сабля [10 	A10324	6	11111	6	0	0	3750	0	0	0	0	37	1	1	1	1	36	1	0	0	-1	0	0	3	0	0	10	0	-1	3	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	12,5	63	75	0	0	-1	-1	0	-1	4	0	
iwknb10	Тип В  Сабля [10 	A10324	6	11111	6	0	0	5760	0	0	0	0	57	1	1	1	1	37	1	0	0	-1	1	0	3	0	0	10	0	-1	3	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	86	96	0	0	-1	-1	0	-1	4	0	
iwknc10	Сабля [10 	A10326	6	11111	6	0	0	3650	0	0	0	0	36	1	1	1	1	38	0	0	0	-1	2	0	3	0	0	10	0	-1	3	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	66	73	0	0	-1	-1	0	-1	4	0	
iwknd10	Сабля [10 	A10327	6	11111	6	0	0	3650	0	0	0	0	36	1	1	1	1	39	0	0	0	-1	3	0	3	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	66	73	0	0	-1	-1	0	-1	4	0	
iwkna11	Knife11 [11  	A10328	6	11111	6	0	0	4620	0	0	0	0	46	1	1	1	1	40	0	0	0	-1	0	0	3	0	0	11	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	76	84	0	0	-1	-1	0	-1	4	0	
iwknb11	??? Knife11 [11 	A10328	6	11111	6	0	0	4620	0	0	0	0	46	1	1	1	1	41	0	0	0	-1	1	0	3	0	0	11	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	76	84	0	0	-1	-1	0	-1	4	0	
iwknc11	Knife11 [11  	A1032A	6	11111	6	0	0	4620	0	0	0	0	46	1	1	1	1	42	0	0	0	-1	2	0	3	0	0	11	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	76	84	0	0	-1	-1	0	-1	4	0	
iwknd11	Knife11 [11  	A1032B	6	11111	6	0	0	4620	0	0	0	0	46	1	1	1	1	43	0	0	0	-1	3	0	3	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	76	84	0	0	-1	-1	0	-1	4	0	
iwkna12	Шамшир [12 	A1032C	7	11111	6	0	0	5940	0	0	0	0	59	1	1	1	1	44	1	0	0	-1	0	0	3	0	0	12	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	13,5	81	99	0	0	-1	-1	0	-1	4	0	
iwknb12	Тип В  Шамшир [12 	A1032C	7	11111	6	0	0	10200	0	0	0	0	102	1	1	1	1	45	1	0	0	-1	1	0	3	0	0	12	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	123	136	0	0	-1	-1	0	-1	4	0	
iwknc12	Шамшир [12 	A1032E	7	11111	6	0	0	5760	0	0	0	0	57	1	1	1	1	46	0	0	0	-1	2	0	3	0	0	12	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	86	96	0	0	-1	-1	0	-1	4	0	
iwknd12	Шамшир [12 	A1032F	7	11111	6	0	0	5760	0	0	0	0	57	1	1	1	1	47	0	0	0	-1	3	0	3	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	86	96	0	0	-1	-1	0	-1	4	0	
iwkna13	Knife13 [13  	A10330	7	11111	6	0	0	7020	0	0	0	0	70	1	1	1	1	48	0	0	0	-1	0	0	3	0	0	13	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	98	108	0	0	-1	-1	0	-1	4	0	
iwknb13	??? Knife13 [13 	A10330	7	11111	6	0	0	7020	0	0	0	0	70	1	1	1	1	49	0	0	0	-1	1	0	3	0	0	13	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	98	108	0	0	-1	-1	0	-1	4	0	
iwknc13	Knife13 [13  	A10332	7	11111	6	0	0	7020	0	0	0	0	70	1	1	1	1	50	0	0	0	-1	2	0	3	0	0	13	0	-1	4	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	98	108	0	0	-1	-1	0	-1	4	0	
iwknd13	Knife13 [13  	A10333	7	11111	6	0	0	7020	0	0	0	0	70	1	1	1	1	51	0	0	0	-1	3	0	3	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	98	108	0	0	-1	-1	0	-1	4	0	
iwkna14	Knife14 [14  	A10334	7	11111	6	0	0	8610	0	0	0	0	86	1	1	1	1	52	0	0	0	-1	0	0	3	0	0	14	0	-1	5	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	110	123	0	0	-1	-1	0	-1	4	0	
iwknb14	??? Knife14 [14 	A10334	7	11111	6	0	0	8610	0	0	0	0	86	1	1	1	1	53	0	0	0	-1	1	0	3	0	0	14	0	-1	5	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	110	123	0	0	-1	-1	0	-1	4	0	
iwknc14	Knife14 [14  	A10336	7	11111	6	0	0	8610	0	0	0	0	86	1	1	1	1	54	0	0	0	-1	2	0	3	0	0	14	0	-1	5	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	110	123	0	0	-1	-1	0	-1	4	0	
iwknd14	Knife14 [14  	A10337	7	11111	6	0	0	8610	0	0	0	0	86	1	1	1	1	55	0	0	0	-1	3	0	3	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	110	123	0	0	-1	-1	0	-1	4	0	
iwkna15	Ятаган [15 	A10338	8	11111	6	0	0	10575	0	0	0	0	105	1	1	1	1	56	1	0	0	-1	0	0	3	0	0	15	0	-1	5	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	15	114	141	0	0	-1	-1	0	-1	4	0	
iwknb15	Тип В  Ятаган [15 	A10338	8	11111	6	0	0	16740	0	0	0	0	167	1	1	1	1	57	1	0	0	-1	1	0	3	0	0	15	0	-1	5	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	167	186	0	0	-1	-1	0	-1	4	0	
iwknc15	Ятаган [15 	A1033A	8	11111	6	0	0	10200	0	0	0	0	102	1	1	1	1	58	0	0	0	-1	2	0	3	0	0	15	0	-1	5	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	123	136	0	0	-1	-1	0	-1	4	0	
iwknd15	Ятаган [15 	A1033B	8	11111	6	0	0	10200	0	0	0	0	102	1	1	1	1	59	0	0	0	-1	3	0	3	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	123	136	0	0	-1	-1	0	-1	4	0	
iwkna16	Knife16 [16  	A1033C	8	11111	6	0	0	12080	0	0	0	0	120	1	1	1	1	60	0	0	0	-1	0	0	6	0	0	16	0	-1	6	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	137	151	0	0	-1	-1	0	-1	4	0	
iwknb16	??? Knife16 [16 	A1033C	8	11111	6	0	0	12080	0	0	0	0	120	1	1	1	1	61	0	0	0	-1	1	0	6	0	0	16	0	-1	6	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	137	151	0	0	-1	-1	0	-1	4	0	
iwknc16	Knife16 [16  	A1033E	8	11111	6	0	0	12080	0	0	0	0	120	1	1	1	1	62	0	0	0	-1	2	0	6	0	0	16	0	-1	6	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	137	151	0	0	-1	-1	0	-1	4	0	
iwknd16	Knife16 [16  	A1033F	8	11111	6	0	0	12080	0	0	0	0	120	1	1	1	1	63	0	0	0	-1	3	0	6	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	137	151	0	0	-1	-1	0	-1	4	0	
iwkna17	Knife17 [17  	A10340	8	11111	6	0	0	14280	0	0	0	0	142	1	1	1	1	64	0	0	0	-1	0	0	6	0	0	17	0	-1	6	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	151	168	0	0	-1	-1	0	-1	4	0	
iwknb17	??? Knife17 [17 	A10340	8	11111	6	0	0	14280	0	0	0	0	142	1	1	1	1	65	0	0	0	-1	1	0	6	0	0	17	0	-1	6	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	151	168	0	0	-1	-1	0	-1	4	0	
iwknc17	Knife17 [17  	A10342	8	11111	6	0	0	14280	0	0	0	0	142	1	1	1	1	66	0	0	0	-1	2	0	6	0	0	17	0	-1	6	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	151	168	0	0	-1	-1	0	-1	4	0	
iwknd17	Knife17 [17  	A10343	8	11111	6	0	0	14280	0	0	0	0	142	1	1	1	1	67	0	0	0	-1	3	0	6	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	151	168	0	0	-1	-1	0	-1	4	0	
iwkna18	Боевой Секач [18 	A10344	9	11111	6	0	0	17280	0	0	0	0	172	1	1	1	1	68	1	0	0	-1	0	0	6	0	0	18	0	-1	7	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	15	156	192	0	0	-1	-1	0	-1	4	0	
iwknb18	Тип В  Боевой Секач [18 	A10344	9	11111	6	0	0	22400	0	0	0	0	224	1	1	1	1	69	1	0	0	-1	1	0	6	0	0	18	0	-1	7	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	200	224	0	0	-1	-1	0	-1	4	0	
iwknc18	Боевой Секач [18 	A10346	9	11111	6	0	0	16740	0	0	0	0	167	1	1	1	1	70	0	0	0	-1	2	0	6	0	0	18	0	-1	7	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	167	186	0	0	-1	-1	0	-1	4	0	
iwknd18	Боевой Секач [18 	A10347	9	11111	6	0	0	16740	0	0	0	0	167	1	1	1	1	71	0	0	0	-1	3	0	6	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	167	186	0	0	-1	-1	0	-1	4	0	
iwkna19	Knife19 [19  	A10348	9	11111	6	0	0	19380	0	0	0	0	193	1	1	1	1	72	0	0	0	-1	0	0	6	0	0	19	0	-1	8	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	184	204	0	0	-1	-1	0	-1	4	0	
iwknb19	??? Knife19 [19 	A10348	9	11111	6	0	0	19380	0	0	0	0	193	1	1	1	1	73	0	0	0	-1	1	0	6	0	0	19	0	-1	8	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	184	204	0	0	-1	-1	0	-1	4	0	
iwknc19	Knife19 [19  	A1034A	9	11111	6	0	0	19380	0	0	0	0	193	1	1	1	1	74	0	0	0	-1	2	0	6	0	0	19	0	-1	8	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	184	204	0	0	-1	-1	0	-1	4	0	
iwknd19	Knife19 [19  	A1034B	9	11111	6	0	0	19380	0	0	0	0	193	1	1	1	1	75	0	0	0	-1	3	0	6	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	8	184	204	0	0	-1	-1	0	-1	4	0	
iwkna20	Палаш [20 	A1034C	10	11111	6	0	0	23200	0	0	0	0	232	1	1	1	1	76	1	0	0	-1	0	0	6	0	0	20	0	-1	8	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	15,5	185	232	0	0	-1	-1	0	-1	4	0	
iwknb20	Тип В  Палаш [20 	A1034C	10	11111	6	0	0	29700	0	0	0	0	297	1	1	1	1	77	1	0	0	-1	1	0	6	0	0	20	0	-1	8	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	230	270	0	0	-1	-1	0	-1	4	0	
iwknc20	Палаш [20 	A1034E	10	11111	6	0	0	22700	0	0	0	0	227	1	1	1	1	78	0	0	0	-1	2	0	6	0	0	20	0	-1	8	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	194	227	0	0	-1	-1	0	-1	4	0	
iwknd20	Палаш [20 	A1034F	10	11111	6	0	0	22700	0	0	0	0	227	1	1	1	1	79	0	0	0	-1	3	0	6	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	194	227	0	0	-1	-1	0	-1	4	0	
iwkna21	Knife21 [21  	A10350	10	11111	6	0	0	26040	0	0	0	0	260	1	1	1	1	80	0	0	0	-1	0	0	7	0	0	21	0	-1	9	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	211	248	0	0	-1	-1	0	-1	4	0	
iwknb21	??? Knife21 [21 	A10350	10	11111	6	0	0	26040	0	0	0	0	260	1	1	1	1	81	0	0	0	-1	1	0	7	0	0	21	0	-1	9	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	211	248	0	0	-1	-1	0	-1	4	0	
iwknc21	Knife21 [21  	A10352	10	11111	6	0	0	26040	0	0	0	0	260	1	1	1	1	82	0	0	0	-1	2	0	7	0	0	21	0	-1	9	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	211	248	0	0	-1	-1	0	-1	4	0	
iwknd21	Knife21 [21  	A10353	10	11111	6	0	0	26040	0	0	0	0	260	1	1	1	1	83	0	0	0	-1	3	0	7	0	0	1	0	-1	1	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	11	211	248	0	0	-1	-1	0	-1	4	0	
iwkna22	Катана [22 	A10354	11	11111	6	0	0	30470	0	0	0	0	304	1	1	1	1	84	1	0	0	-1	0	0	7	0	0	22	0	-1	10	-1	0	0	0	-162	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1111	15,80000019	218	277	0	0	-1	-1	0	-1	4	0	
