clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	xeh	dword	dword	dword	dword	dword	dword	END
ixkey15	Ключ Активации Врат 	A30D12	2	11111	23	0	0	4500	0	0	0	0	100	1	1	1	1	18	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey16	Ключ Активации Врат 	A30D13	2	11111	23	0	0	4500	0	0	0	0	100	1	1	1	1	19	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey17	Ключ Активации Врат 	A30D14	2	11111	23	0	0	4500	0	0	0	0	100	1	1	1	1	20	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey18	Ключ Активации Врат 	A30D15	2	11111	23	0	0	4500	0	0	0	0	100	1	1	1	1	21	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey19	Ключ Активации Врат 	A30D16	2	11111	23	0	0	4500	0	0	0	0	100	1	1	1	1	22	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey20	Ключ Активации Врат 	A30D17	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	23	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey21	Ключ Активации Врат 	A30D18	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	24	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey22	Ключ Активации Врат 	A30D19	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	25	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey23	Ключ Активации Врат 	A30D1A	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	26	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey24	Ключ Активации Врат 	A30D1B	2	11111	23	0	0	5000	0	0	0	0	100	1	1	1	1	27	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey25	Ключ Активации Врат 	A30D1C	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	28	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey26	Ключ Активации Врат 	A30D1D	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	29	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey27	Ключ Активации Врат 	A30D1E	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	30	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey28	Ключ Активации Врат 	A30D1F	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	31	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey29	Ключ Активации Врат 	A30D20	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	32	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey30	Ключ Активации Врат 	A30D21	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	33	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey31	Ключ Активации Врат 	A30D22	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	34	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixkey32	Ключ Активации Врат 	A30D23	3	11111	23	0	0	10000	0	0	0	0	100	1	1	1	1	35	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixbde25	Территория Событий25~30	A30D00	1	11111	23	0	0	200000	0	0	0	0	1	0	0	0	0	36	1	0	0	0	0	300	1	-1	200	0	250000	0	0	0	
ixbde35	Территория Событий31~35	A30D02	1	11111	23	0	0	500000	0	0	0	0	1	0	0	0	0	37	1	0	0	0	0	300	1	-1	300	0	500000	0	0	0	
ixbde40	Территория Событий36~40	A30D03	1	11111	23	0	0	1000000	0	0	0	0	1	0	0	0	0	38	1	0	0	0	0	300	1	-1	300	0	1000000	0	0	0	
ixbee25	Территория Событий30 	A30D00	1	11111	23	0	0	2000000	0	0	0	0	1	1	1	0	1	39	1	0	0	0	1	600	1	-1	300	0	500000	0	0	0	
ixbee35	Территория Событий35 	A30D02	1	11111	23	0	0	2000000	0	0	0	0	1	1	1	0	1	40	1	0	0	0	1	600	1	-1	300	0	500000	0	0	0	
ixbee40	Территория Событий40 	A30D03	1	11111	23	0	0	2000000	0	0	0	0	1	1	1	0	1	41	1	0	0	0	1	600	1	-1	300	0	500000	0	0	0	
ixins01	Ключ для создания Врат Войны 	A30D30	1	11111	23	0	0	39000	0	0	0	0	100	1	1	1	1	42	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixins02	Ключ для создания Врат Войны 	A30D31	1	11111	23	0	0	39000	0	0	0	0	100	1	1	1	1	43	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixins03	Ключ от Пространственных Врат [Настоящее  	A30D32	1	11111	23	0	0	39000	0	0	0	0	100	1	1	1	1	45	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
ixins04	Ключ от Пространственных Врат [Будущее  	A30D33	1	11111	23	0	0	39000	0	0	0	0	100	1	1	1	1	46	1	0	0	0	1	300	1	-1	300	0	10000	0	0	0	
