string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	dword	dword	string[64]	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
ipahp06	1	420015	22	Восстановитель HP+3000	200	250	00001	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	2250	0	0	0	0	225	1	1	16	0	0	1	1	1	1	1	0	tipahp06	0	0	0	
ipahp07	1	420016	23	Восстановитель HP+4000	200	250	00001	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	5250	0	0	0	0	525	1	1	17	0	0	1	1	1	1	1	0	tipahp07	0	0	0	
ipahp08	1	420017	24	Восстановитель HP+5000	200	250	00001	10000	-1	0	-1	2500	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	11257	0	0	0	0	1126	1	1	18	0	0	1	1	1	1	1	0	tipahp08	0	0	0	
ipbfp01	1	720118	25	Магическая Микстура FP+50	201	250	11000	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	1	1	1	19	0	0	1	1	1	1	1	0	tipbfp01	0	0	0	
ipbfp02	1	720119	26	Магическая Микстура FP+125	201	250	11000	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	1	1	1	1A	0	0	1	1	1	1	1	0	tipbfp02	0	0	0	
ipbfp03	1	72011A	27	Магическая Микстура FP+250	201	250	11000	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	1	1	1	1B	0	0	1	1	1	1	1	0	tipbfp03	0	0	0	
ipbfp04	1	72011B	28	Магическая Микстура FP+500	201	250	11000	10000	-1	0	-1	1800	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	1	1	1	1C	0	0	1	1	1	1	1	0	tipbfp04	0	0	0	
ipbfp05	1	72011C	29	Магическая Микстура FP+1000	201	250	11000	10000	-1	0	-1	2200	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1200	0	0	0	0	1	1	1	1D	0	0	1	1	1	1	1	0	tipbfp05	0	0	0	
ipbfp06	1	72011D	30	Магическая Микстура FP+1500	201	250	11000	10000	-1	0	-1	2500	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	2250	0	0	0	0	1	1	1	1E	0	0	1	1	1	1	1	0	tipbfp06	0	0	0	
ipbfp07	1	72011E	31	Магическая Микстура FP+2000	201	250	11000	10000	-1	0	-1	4000	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	3900	0	0	0	0	1	1	1	1F	0	0	1	1	1	1	1	0	tipbfp07	0	0	0	
ipbfp08	1	72011F	32	Магическая Микстура FP+2500	201	250	11000	10000	-1	0	-1	5000	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	6580	0	0	0	0	1	1	1	20	0	0	1	1	1	1	1	0	tipbfp08	0	0	0	
ipcfp01	1	820120	33	Благословенное Зелье FP+50	201	250	00110	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	1	1	1	21	0	0	1	1	1	1	1	0	tipcfp01	0	0	0	
ipcfp02	1	820121	34	Благословенное Зелье FP+125	201	250	00110	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	1	1	1	22	0	0	1	1	1	1	1	0	tipcfp02	0	0	0	
ipcfp03	1	820122	35	Благословенное Зелье FP+250	201	250	00110	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	1	1	1	23	0	0	1	1	1	1	1	0	tipcfp03	0	0	0	
ipcfp04	1	820123	36	Благословенное Зелье FP+500	201	250	00110	10000	-1	0	-1	1800	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	1	1	1	24	0	0	1	1	1	1	1	0	tipcfp04	0	0	0	
ipcfp05	1	820124	37	Благословенное Зелье FP+1000	201	250	00110	10000	-1	0	-1	2200	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1200	0	0	0	0	1	1	1	25	0	0	1	1	1	1	1	0	tipcfp05	0	0	0	
ipcfp06	1	820125	38	Благословенное Зелье FP+1500	201	250	00110	10000	-1	0	-1	2500	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	2250	0	0	0	0	1	1	1	26	0	0	1	1	1	1	1	0	tipcfp06	0	0	0	
ipcfp07	1	820126	39	Благословенное Зелье FP+2000	201	250	00110	10000	-1	0	-1	4000	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	3900	0	0	0	0	1	1	1	27	0	0	1	1	1	1	1	0	tipcfp07	0	0	0	
ipcfp08	1	820127	40	Благословенное Зелье FP+2500	201	250	00110	10000	-1	0	-1	5000	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	6580	0	0	0	0	1	1	1	28	0	0	1	1	1	1	1	0	tipcfp08	0	0	0	
ipafp01	1	420128	41	Восстановитель FP+50	201	250	00001	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	1	1	1	29	0	0	1	1	1	1	1	0	tipafp01	0	0	0	
ipafp02	1	420129	42	Восстановитель FP+125	201	250	00001	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	1	1	1	2A	0	0	1	1	1	1	1	0	tipafp02	0	0	0	
ipafp03	1	42012A	43	Восстановитель FP+250	201	250	00001	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	1	1	1	2B	0	0	1	1	1	1	1	0	tipafp03	0	0	0	
ipafp04	1	42012B	44	Восстановитель FP+500	201	250	00001	10000	-1	0	-1	1800	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	1	1	1	2C	0	0	1	1	1	1	1	0	tipafp04	0	0	0	
ipafp05	1	42012C	45	Восстановитель FP+1000	201	250	00001	10000	-1	0	-1	2200	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1200	0	0	0	0	1	1	1	2D	0	0	1	1	1	1	1	0	tipafp05	0	0	0	
ipafp06	1	42012D	46	Восстановитель FP+1500	201	250	00001	10000	-1	0	-1	2500	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	2250	0	0	0	0	1	1	1	2E	0	0	1	1	1	1	1	0	tipafp06	0	0	0	
ipafp07	1	42012E	47	Восстановитель FP+2000	201	250	00001	10000	-1	0	-1	4000	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	3900	0	0	0	0	1	1	1	2F	0	0	1	1	1	1	1	0	tipafp07	0	0	0	
ipafp08	1	42012F	48	Восстановитель FP+2500	201	250	00001	10000	-1	0	-1	5000	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	6580	0	0	0	0	1	1	1	30	0	0	1	1	1	1	1	0	tipafp08	0	0	0	
ipbsp01	1	720230	49	Микстура Выносливости SP+100	202	250	11000	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	4	1	1	31	0	0	1	1	1	1	1	0	tipbsp01	0	0	0	
ipbsp02	1	720231	50	Микстура Выносливости SP+200	202	250	11000	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	10	1	1	32	0	0	1	1	1	1	1	0	tipbsp02	0	0	0	
ipbsp03	1	720232	51	Микстура Выносливости SP+400	202	250	11000	10000	-1	0	-1	4000	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	22	1	1	33	0	0	1	1	1	1	1	0	tipbsp03	0	0	0	
ipbsp04	1	720233	52	Микстура Выносливости SP+800	202	250	11000	10000	-1	0	-1	5000	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	34	0	0	1	1	1	1	1	0	tipbsp04	0	0	0	
ipcsp01	1	820234	53	Зелье Выносливости SP+100	202	250	00110	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	4	1	1	35	0	0	1	1	1	1	1	0	tipcsp01	0	0	0	
ipcsp02	1	820235	54	Зелье Выносливости SP+200	202	250	00110	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	10	1	1	36	0	0	1	1	1	1	1	0	tipcsp02	0	0	0	
ipcsp03	1	820236	55	Зелье Выносливости SP+400	202	250	00110	10000	-1	0	-1	4000	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	22	1	1	37	0	0	1	1	1	1	1	0	tipcsp03	0	0	0	
ipcsp04	1	820237	56	Зелье Выносливости SP+800	202	250	00110	10000	-1	0	-1	5000	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	38	0	0	1	1	1	1	1	0	tipcsp04	0	0	0	
ipasp01	1	420238	57	Восстановитель SP+100	202	250	00001	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	40	0	0	0	0	4	1	1	39	0	0	1	1	1	1	1	0	tipasp01	0	0	0	
ipasp02	1	420239	58	Восстановитель SP+200	202	250	00001	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	100	0	0	0	0	10	1	1	3A	0	0	1	1	1	1	1	0	tipasp02	0	0	0	
ipasp03	1	42023A	59	Восстановитель SP+400	202	250	00001	10000	-1	0	-1	4000	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	220	0	0	0	0	22	1	1	3B	0	0	1	1	1	1	1	0	tipasp03	0	0	0	
ipasp04	1	42023B	60	Восстановитель SP+800	202	250	00001	10000	-1	0	-1	5000	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	3C	0	0	1	1	1	1	1	0	tipasp04	0	0	0	
ipbad00	1	72053C	61	Микстура Допинга	205	200	11000	10000	3	0	-1	10000	4	0	1	-1	-1	-1	-1	-1	-1	-1	0	1000	0	0	0	0	100	1	1	3D	0	0	1	1	1	1	1	0	tipbad00	0	0	0	
ipcad00	1	82053D	62	Зелье Ярости	205	200	00110	10000	3	0	-1	10000	4	0	1	-1	-1	-1	-1	-1	-1	-1	0	1000	0	0	0	0	100	1	1	3E	0	0	1	1	1	1	1	0	tipcad00	0	0	0	
ipaad00	1	42053E	63	Программатор Ненависти	205	200	00001	10000	3	0	-1	10000	4	0	1	-1	-1	-1	-1	-1	-1	-1	0	1000	0	0	0	0	100	1	1	3F	0	0	1	1	1	1	1	0	tipaad00	0	0	0	
ipbhp00	1	72003F	1	Целебная Микстура Новичка HP+100	200	250	11000	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	40	0	0	1	0	0	0	1	0	tipbhp00	0	0	0	
ipchp00	1	820040	9	Священное Зелье Неофита HP+100	200	250	00110	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	41	0	0	1	0	0	0	1	0	tipchp00	0	0	0	
ipahp00	1	420041	17	Восстановитель Новобранца HP+100	200	250	00001	10000	-1	0	-1	1600	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	42	0	0	1	0	0	0	1	0	tipahp00	0	0	0	
ipbfp00	1	720142	25	Магическая Микстура Неофита FP+50	201	250	11000	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	43	0	0	1	0	0	0	1	0	tipbfp00	0	0	0	
ipcfp00	1	820143	33	Благословленное Зелье Неофита FP+50	201	250	00110	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	44	0	0	1	0	0	0	1	0	tipcfp00	0	0	0	
ipafp00	1	420144	41	Восстановитель Новобранца FP+50	201	250	00001	10000	-1	0	-1	1600	1	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	45	0	0	1	0	0	0	1	0	tipafp00	0	0	0	
ipbsp00	1	720245	49	Микстура Выносливости Новичка ST+100	202	250	11000	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	46	0	0	1	0	0	0	1	0	tipbsp00	0	0	0	
ipcsp00	1	820246	53	Зелье Выносливости Неофита ST+100	202	250	00110	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	47	0	0	1	0	0	0	1	0	tipcsp00	0	0	0	
ipasp00	1	420247	57	Восстановитель Новичка ST+100	202	250	00001	10000	-1	0	-1	1600	2	0	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	0	1	1	1	48	0	0	1	0	0	0	1	0	tipasp00	0	0	0	
ipbcu00	1	720648	64	Микстура Сопротивления	206	200	11000	10000	-1	0	-1	5000	3	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	97	1	1	49	0	0	1	1	1	1	1	0	tipbcu00	0	0	0	
ipccu00	1	820649	65	Зелье Сопротивления	206	200	00110	10000	-1	0	-1	5000	3	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	97	1	1	4A	0	0	1	1	1	1	1	0	tipccu00	0	0	0	
ipacu00	1	42064A	66	Стихийный Восстановитель	206	200	00001	10000	-1	0	-1	5000	3	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	97	1	1	4B	0	0	1	1	1	1	1	0	tipacu00	0	0	0	
ipbnp01	1	72004B	1	Целебная Микстура HP+100 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	4C	0	0	1	1	1	1	1	0	tipbnp01	0	0	0	
ipbnp02	1	72004C	2	Целебная Микстура HP+250 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	4D	0	0	1	1	1	1	1	0	tipbnp02	0	0	0	
ipbnp03	1	72004D	3	Целебная Микстура HP+500 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	4E	0	0	1	1	1	1	1	0	tipbnp03	0	0	0	
ipbnp04	1	72004E	4	Целебная Микстура HP+1000 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	4F	0	0	1	1	1	1	1	0	tipbnp04	0	0	0	
ipbnp05	1	72004F	5	Целебная Микстура HP+2000 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	50	0	0	1	1	1	1	1	0	tipbnp05	0	0	0	
ipbnp06	1	720050	6	Целебная Микстура HP+3000 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	51	0	0	1	1	1	1	1	0	tipbnp06	0	0	0	
ipbnp07	1	720051	7	Целебная Микстура HP+4000 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	52	0	0	1	1	1	1	1	0	tipbnp07	0	0	0	
ipbnp08	1	720052	8	Целебная Микстура HP+5000 [Быстрая 	200	250	11000	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	53	0	0	1	1	1	1	1	0	tipbnp08	0	0	0	
ipcnp01	1	820053	9	Священное Зелье HP+100 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	54	0	0	1	1	1	1	1	0	tipcnp01	0	0	0	
ipcnp02	1	820054	10	Священное Зелье HP+250 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	55	0	0	1	1	1	1	1	0	tipcnp02	0	0	0	
ipcnp03	1	820055	11	Священное Зелье HP+500 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	56	0	0	1	1	1	1	1	0	tipcnp03	0	0	0	
ipcnp04	1	820056	12	Священное Зелье HP+1000 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	57	0	0	1	1	1	1	1	0	tipcnp04	0	0	0	
ipcnp05	1	820057	13	Священное Зелье HP+2000 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	58	0	0	1	1	1	1	1	0	tipcnp05	0	0	0	
ipcnp06	1	820058	14	Священное Зелье HP+3000 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	59	0	0	1	1	1	1	1	0	tipcnp06	0	0	0	
ipcnp07	1	820059	15	Священное Зелье HP+4000 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	5A	0	0	1	1	1	1	1	0	tipcnp07	0	0	0	
ipcnp08	1	82005A	16	Священное Зелье HP+5000 [Быстрое 	200	250	00110	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	5B	0	0	1	1	1	1	1	0	tipcnp08	0	0	0	
ipanp01	1	42005B	17	Восстановитель HP+100 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	5C	0	0	1	1	1	1	1	0	tipanp01	0	0	0	
ipanp02	1	42005C	18	Восстановитель HP+250 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	5D	0	0	1	1	1	1	1	0	tipanp02	0	0	0	
ipanp03	1	42005D	19	Восстановитель HP+500 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	5E	0	0	1	1	1	1	1	0	tipanp03	0	0	0	
ipanp04	1	42005E	20	Восстановитель HP+1000 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	5F	0	0	1	1	1	1	1	0	tipanp04	0	0	0	
ipanp05	1	42005F	21	Восстановитель HP+2000 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	60	0	0	1	1	1	1	1	0	tipanp05	0	0	0	
ipanp06	1	420060	22	Восстановитель HP+3000 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	61	0	0	1	1	1	1	1	0	tipanp06	0	0	0	
ipanp07	1	420061	23	Восстановитель HP+4000 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	62	0	0	1	1	1	1	1	0	tipanp07	0	0	0	
ipanp08	1	420062	24	Восстановитель HP+5000 [Быстрый 	200	250	00001	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	500	0	0	0	0	50	1	1	63	0	0	1	1	1	1	1	0	tipanp08	0	0	0	
ipeee01	1	A20063	67	Каштан	200	250	11111	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	10	0	0	0	0	1	1	1	64	0	0	1	1	1	1	1	0	tipeee01	0	0	0	
ipeee02	1	A20064	68	Мармелад	200	250	11111	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	10	0	0	0	0	1	1	1	65	0	0	1	1	1	1	1	0	tipeee02	0	0	0	
ipeee03	1	A20065	69	Спелая Хурма	200	250	11111	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	10	0	0	0	0	1	1	1	66	0	0	1	1	1	1	1	0	tipeee03	0	0	0	
ipeee04	1	A20066	70	Елка из Рисовых Тортиков	200	250	11111	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	10	0	0	0	0	1	1	1	67	0	0	1	1	1	1	1	0	tipeee04	0	0	0	
ipeee05	1	A20067	71	Елка из Полынных Рисовых Тортиков	200	250	11111	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	10	0	0	0	0	1	1	1	68	0	0	1	1	1	1	1	0	tipeee05	0	0	0	
ipeee06	1	A20068	67	Большай Каштан	200	250	11111	10000	-1	0	-1	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	10	0	0	0	0	1	1	1	69	0	0	1	1	1	1	1	0	tipeee06	0	0	0	
ipbad01	1	720569	61	Насыщенная Микстура Допинга 	205	200	11000	10000	3	0	-1	10000	4	0	1	-1	-1	-1	-1	-1	-1	-1	0	3000	0	0	0	0	300	1	1	6A	0	0	1	1	1	1	1	0	tipbad01	0	0	0	
