clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	stb	dword	dword	dword	xeh	dword	dword	dword	dword	END
ipafp08	Восстановитель FP+2500	42012F	48	00001	13	0	0	6580	0	0	0	0	1	1	1	1	1	47	1	0	0	-1	1	5000	0	10000	-1	1	0	30	0	0	0	0	
ipbsp01	Микстура Выносливости SP+100	720230	49	11000	13	0	0	40	0	0	0	0	4	1	1	1	1	48	1	0	0	-1	1	1600	0	10000	-1	2	0	31	0	0	0	0	
ipbsp02	Микстура Выносливости SP+200	720231	50	11000	13	0	0	100	0	0	0	0	10	1	1	1	1	49	1	0	0	-1	1	1600	0	10000	-1	2	0	32	0	0	0	0	
ipbsp03	Микстура Выносливости SP+400	720232	51	11000	13	0	0	220	0	0	0	0	22	1	1	1	1	50	1	0	0	-1	1	4000	0	10000	-1	2	0	33	0	0	0	0	
ipbsp04	Микстура Выносливости SP+800	720233	52	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	51	1	0	0	-1	1	5000	0	10000	-1	2	0	34	0	0	0	0	
ipcsp01	Зелье Выносливости SP+100	820234	53	00110	13	0	0	40	0	0	0	0	4	1	1	1	1	52	1	0	0	-1	1	1600	0	10000	-1	2	0	35	0	0	0	0	
ipcsp02	Зелье Выносливости SP+200	820235	54	00110	13	0	0	100	0	0	0	0	10	1	1	1	1	53	1	0	0	-1	1	1600	0	10000	-1	2	0	36	0	0	0	0	
ipcsp03	Зелье Выносливости SP+400	820236	55	00110	13	0	0	220	0	0	0	0	22	1	1	1	1	54	1	0	0	-1	1	4000	0	10000	-1	2	0	37	0	0	0	0	
ipcsp04	Зелье Выносливости SP+800	820237	56	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	55	1	0	0	-1	1	5000	0	10000	-1	2	0	38	0	0	0	0	
ipasp01	Восстановитель SP+100	420238	57	00001	13	0	0	40	0	0	0	0	4	1	1	1	1	56	1	0	0	-1	1	1600	0	10000	-1	2	0	39	0	0	0	0	
ipasp02	Восстановитель SP+200	420239	58	00001	13	0	0	100	0	0	0	0	10	1	1	1	1	57	1	0	0	-1	1	1600	0	10000	-1	2	0	3A	0	0	0	0	
ipasp03	Восстановитель SP+400	42023A	59	00001	13	0	0	220	0	0	0	0	22	1	1	1	1	58	1	0	0	-1	1	4000	0	10000	-1	2	0	3B	0	0	0	0	
ipasp04	Восстановитель SP+800	42023B	60	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	59	1	0	0	-1	1	5000	0	10000	-1	2	0	3C	0	0	0	0	
ipbad00	Микстура Допинга	72053C	61	11000	13	0	0	1000	0	0	0	0	100	1	1	1	1	60	1	0	0	-1	1	10000	0	10000	-1	4	0	3D	0	0	0	0	
ipcad00	Зелье Ярости	82053D	62	00110	13	0	0	1000	0	0	0	0	100	1	1	1	1	61	1	0	0	-1	1	10000	0	10000	-1	4	0	3E	0	0	0	0	
ipaad00	Программатор Ненависти	42053E	63	00001	13	0	0	1000	0	0	0	0	100	1	1	1	1	62	1	0	0	-1	1	10000	0	10000	-1	4	0	3F	0	0	0	0	
ipbhp00	Целебная Микстура Новичка HP+100	72003F	1	11000	13	0	0	1	0	0	0	0	1	0	1	0	0	63	1	0	0	-1	1	1600	0	10000	-1	0	0	40	0	0	0	0	
ipchp00	Священное Зелье Неофита HP+100	820040	9	00110	13	0	0	1	0	0	0	0	1	0	1	0	0	64	1	0	0	-1	1	1600	0	10000	-1	0	0	41	0	0	0	0	
ipahp00	Восстановитель Новобранца HP+100	420041	17	00001	13	0	0	1	0	0	0	0	1	0	1	0	0	65	1	0	0	-1	1	1600	0	10000	-1	0	0	42	0	0	0	0	
ipbfp00	Магическая Микстура Неофита FP+50	720142	25	11000	13	0	0	1	0	0	0	0	1	0	1	0	0	66	1	0	0	-1	1	1600	0	10000	-1	1	0	43	0	0	0	0	
ipcfp00	Благословленное Зелье Неофита FP+50	820143	33	00110	13	0	0	1	0	0	0	0	1	0	1	0	0	67	1	0	0	-1	1	1600	0	10000	-1	1	0	44	0	0	0	0	
ipafp00	Восстановитель Новобранца FP+50	420144	41	00001	13	0	0	1	0	0	0	0	1	0	1	0	0	68	1	0	0	-1	1	1600	0	10000	-1	1	0	45	0	0	0	0	
ipbsp00	Микстура Выносливости Новичка ST+100	720245	49	11000	13	0	0	1	0	0	0	0	1	0	1	0	0	69	1	0	0	-1	1	1600	0	10000	-1	2	0	46	0	0	0	0	
ipcsp00	Зелье Выносливости Неофита ST+100	820246	53	00110	13	0	0	1	0	0	0	0	1	0	1	0	0	70	1	0	0	-1	1	1600	0	10000	-1	2	0	47	0	0	0	0	
ipasp00	Восстановитель Новичка ST+100	420247	57	00001	13	0	0	1	0	0	0	0	1	0	1	0	0	71	1	0	0	-1	1	1600	0	10000	-1	2	0	48	0	0	0	0	
ipbcu00	Микстура Сопротивления	720648	64	11000	13	0	0	500	0	0	0	0	97	1	1	1	1	72	1	0	0	-1	1	5000	0	10000	-1	3	0	49	0	0	0	0	
ipccu00	Зелье Сопротивления	820649	65	00110	13	0	0	500	0	0	0	0	97	1	1	1	1	73	1	0	0	-1	1	5000	0	10000	-1	3	0	4A	0	0	0	0	
ipacu00	Стихийный Восстановитель	42064A	66	00001	13	0	0	500	0	0	0	0	97	1	1	1	1	74	1	0	0	-1	1	5000	0	10000	-1	3	0	4B	0	0	0	0	
ipbnp01	Целебная Микстура HP+100 [Быстрая 	72004B	1	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	100	1	0	0	-1	1	0	0	10000	-1	0	0	4C	0	0	0	0	
ipbnp02	Целебная Микстура HP+250 [Быстрая 	72004C	2	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	101	1	0	0	-1	1	0	0	10000	-1	0	0	4D	0	0	0	0	
ipbnp03	Целебная Микстура HP+500 [Быстрая 	72004D	3	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	102	1	0	0	-1	1	0	0	10000	-1	0	0	4E	0	0	0	0	
ipbnp04	Целебная Микстура HP+1000 [Быстрая 	72004E	4	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	103	1	0	0	-1	1	0	0	10000	-1	0	0	4F	0	0	0	0	
ipbnp05	Целебная Микстура HP+2000 [Быстрая 	72004F	5	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	104	1	0	0	-1	1	0	0	10000	-1	0	0	50	0	0	0	0	
ipbnp06	Целебная Микстура HP+3000 [Быстрая 	720050	6	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	105	1	0	0	-1	1	0	0	10000	-1	0	0	51	0	0	0	0	
ipbnp07	Целебная Микстура HP+4000 [Быстрая 	720051	7	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	106	1	0	0	-1	1	0	0	10000	-1	0	0	52	0	0	0	0	
ipbnp08	Целебная Микстура HP+5000 [Быстрая 	720052	8	11000	13	0	0	500	0	0	0	0	50	1	1	1	1	107	1	0	0	-1	1	0	0	10000	-1	0	0	53	0	0	0	0	
ipcnp01	Священное Зелье HP+100 [Быстрое 	820053	9	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	108	1	0	0	-1	1	0	0	10000	-1	0	0	54	0	0	0	0	
ipcnp02	Священное Зелье HP+250 [Быстрое 	820054	10	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	109	1	0	0	-1	1	0	0	10000	-1	0	0	55	0	0	0	0	
ipcnp03	Священное Зелье HP+500 [Быстрое 	820055	11	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	110	1	0	0	-1	1	0	0	10000	-1	0	0	56	0	0	0	0	
ipcnp04	Священное Зелье HP+1000 [Быстрое 	820056	12	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	111	1	0	0	-1	1	0	0	10000	-1	0	0	57	0	0	0	0	
ipcnp05	Священное Зелье HP+2000 [Быстрое 	820057	13	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	112	1	0	0	-1	1	0	0	10000	-1	0	0	58	0	0	0	0	
ipcnp06	Священное Зелье HP+3000 [Быстрое 	820058	14	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	113	1	0	0	-1	1	0	0	10000	-1	0	0	59	0	0	0	0	
ipcnp07	Священное Зелье HP+4000 [Быстрое 	820059	15	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	114	1	0	0	-1	1	0	0	10000	-1	0	0	5A	0	0	0	0	
ipcnp08	Священное Зелье HP+5000 [Быстрое 	82005A	16	00110	13	0	0	500	0	0	0	0	50	1	1	1	1	115	1	0	0	-1	1	0	0	10000	-1	0	0	5B	0	0	0	0	
ipanp01	Восстановитель HP+100 [Быстрый 	42005B	17	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	116	1	0	0	-1	1	0	0	10000	-1	0	0	5C	0	0	0	0	
ipanp02	Восстановитель HP+250 [Быстрый 	42005C	18	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	117	1	0	0	-1	1	0	0	10000	-1	0	0	5D	0	0	0	0	
ipanp03	Восстановитель HP+500 [Быстрый 	42005D	19	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	118	1	0	0	-1	1	0	0	10000	-1	0	0	5E	0	0	0	0	
ipanp04	Восстановитель HP+1000 [Быстрый 	42005E	20	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	119	1	0	0	-1	1	0	0	10000	-1	0	0	5F	0	0	0	0	
ipanp05	Восстановитель HP+2000 [Быстрый 	42005F	21	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	120	1	0	0	-1	1	0	0	10000	-1	0	0	60	0	0	0	0	
ipanp06	Восстановитель HP+3000 [Быстрый 	420060	22	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	121	1	0	0	-1	1	0	0	10000	-1	0	0	61	0	0	0	0	
ipanp07	Восстановитель HP+4000 [Быстрый 	420061	23	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	122	1	0	0	-1	1	0	0	10000	-1	0	0	62	0	0	0	0	
ipanp08	Восстановитель HP+5000 [Быстрый 	420062	24	00001	13	0	0	500	0	0	0	0	50	1	1	1	1	123	1	0	0	-1	1	0	0	10000	-1	0	0	63	0	0	0	0	
ipeee01	Каштан	A20063	67	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	124	1	0	0	-1	1	0	0	10000	-1	0	0	64	0	0	0	0	
ipeee02	Мармелад	A20064	68	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	125	1	0	0	-1	1	0	0	10000	-1	0	0	65	0	0	0	0	
ipeee03	Спелая Хурма	A20065	69	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	126	1	0	0	-1	1	0	0	10000	-1	0	0	66	0	0	0	0	
ipeee04	Елка из Рисовых Тортиков	A20066	70	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	127	1	0	0	-1	1	0	0	10000	-1	0	0	67	0	0	0	0	
ipeee05	Елка из Полынных Рисовых Тортиков	A20067	71	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	128	1	0	0	-1	1	0	0	10000	-1	0	0	68	0	0	0	0	
ipeee06	Большай Каштан	A20068	67	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	129	1	0	0	-1	1	0	0	10000	-1	0	0	69	0	0	0	0	
ipbad01	Насыщенная Микстура Допинга 	720569	61	11000	13	0	0	3000	0	0	0	0	300	1	1	1	1	130	1	0	0	-1	1	10000	0	10000	-1	4	0	6A	0	0	0	0	
ipcad01	Усиленное Зелье Ярости 	82056A	62	00110	13	0	0	3000	0	0	0	0	300	1	1	1	1	131	1	0	0	-1	1	10000	0	10000	-1	4	0	6B	0	0	0	0	
ipaad01	Программатор Ненависти Мк.II 	42056B	63	00001	13	0	0	3000	0	0	0	0	300	1	1	1	1	132	1	0	0	-1	1	10000	0	10000	-1	4	0	6C	0	0	0	0	
ipeee07	Земляной Орех	A20068	72	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	133	1	0	0	-1	1	0	0	10000	-1	0	0	6D	0	0	0	0	
ipeee08	Грецкий Орех	A20068	73	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	134	1	0	0	-1	1	0	0	10000	-1	0	0	6E	0	0	0	0	
ipeee09	Кедровый Орех	A20068	74	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	135	1	0	0	-1	1	0	0	10000	-1	0	0	6F	0	0	0	0	
ipbax01	Взрывная Микстура	72053C	99	11000	13	0	0	1515	0	0	0	0	152	1	1	1	1	136	1	0	0	-1	1	10000	0	10000	-1	4	0	70	0	0	0	0	
ipbax02	Взрывное Зелье	82053D	100	00110	13	0	0	1515	0	0	0	0	152	1	1	1	1	137	1	0	0	-1	1	10000	0	10000	-1	4	0	71	0	0	0	0	
ipbax03	Программатор Ярости	42053E	101	00001	13	0	0	1515	0	0	0	0	152	1	1	1	1	138	1	0	0	-1	1	10000	0	10000	-1	4	0	72	0	0	0	0	
ipbdx01	Защитная Микстура	72053C	102	11000	13	0	0	1515	0	0	0	0	152	1	1	1	1	139	1	0	0	-1	1	10000	0	10000	-1	4	0	73	0	0	0	0	
ipbdx02	Защитное Зелье	82053D	103	00110	13	0	0	1515	0	0	0	0	152	1	1	1	1	140	1	0	0	-1	1	10000	0	10000	-1	4	0	74	0	0	0	0	
ipbdx03	Программатор Защиты	42053E	104	00001	13	0	0	1515	0	0	0	0	152	1	1	1	1	141	1	0	0	-1	1	10000	0	10000	-1	11	0	75	0	0	0	0	
ipbco01	Микстура Крита	72053C	75	11000	13	0	0	1000	0	0	0	0	100	1	1	1	1	142	1	0	0	-1	1	10000	0	10000	-1	4	0	76	0	0	0	0	
ipcco01	Зелье Крита	82053D	76	00110	13	0	0	1000	0	0	0	0	100	1	1	1	1	143	1	0	0	-1	1	10000	0	10000	-1	4	0	77	0	0	0	0	
ipaco01	Программатор Крита	42053E	77	00001	13	0	0	1000	0	0	0	0	100	1	1	1	1	144	1	0	0	-1	1	10000	0	10000	-1	4	0	78	0	0	0	0	
iptwe01	Конфетка	A20068	85	11111	13	0	0	5000	0	0	0	0	500	1	1	1	1	145	1	0	0	-1	1	50	0	10000	-1	4	0	79	0	0	0	0	
iptwe02	Новогодняя Конфетка	A20068	86	11111	13	0	0	10000	0	0	0	0	1000	1	1	1	1	146	1	0	0	-1	1	1500	0	10000	-1	4	0	7A	0	0	0	0	
ipeex01	Тортик	A20068	91	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	147	1	0	0	-1	1	0	0	10000	-1	0	0	7B	0	0	0	0	
ipeex02	Восхитительная Конфетка	A20068	92	11111	13	0	0	20	0	0	0	0	2	1	1	1	1	148	1	0	0	-1	1	0	0	10000	-1	0	0	7C	0	0	0	0	
ipeex03	Восхитительная Новогодная Конфетка	A20068	93	11111	13	0	0	30	0	0	0	0	3	1	1	1	1	149	1	0	0	-1	1	0	0	10000	-1	0	0	7D	0	0	0	0	
ipeex04	Восхитительный Тортик	A20068	94	11111	13	0	0	35	0	0	0	0	4	1	1	1	1	150	1	0	0	-1	1	0	0	10000	-1	0	0	7E	0	0	0	0	
ipeex05	Новогодний Увеличитель Силы Атаки 50штук	A20068	95	11111	13	0	0	45	0	0	0	0	5	1	1	1	1	151	1	0	0	-1	1	0	0	10000	-1	0	0	7F	0	0	0	0	
ipeex06	Новогодний Увеличитель Защитной Силы 50штук	A20068	96	11111	13	0	0	55	0	0	0	0	6	1	1	1	1	152	1	0	0	-1	1	0	0	10000	-1	0	0	80	0	0	0	0	
ipeex07	Насыщенная Микстура Крита	A21368	97	11111	13	0	0	3000	0	0	0	0	300	1	1	1	1	153	1	0	0	-1	1	10000	0	10000	-1	4	0	81	0	0	0	0	
ipeex08	Усиленное Зелье Крита	A21368	98	11111	13	0	0	3000	0	0	0	0	300	1	1	1	1	154	1	0	0	-1	1	10000	0	10000	-1	11	0	82	0	0	0	0	
ipbco02	Программатор Крита Mk.II	72053C	75	11000	13	0	0	5000	0	0	0	0	500	1	1	1	1	155	1	0	0	-1	1	10000	0	10000	-1	4	0	83	0	0	0	0	
ipcco02	Настойка 	82053D	76	00110	13	0	0	5000	0	0	0	0	500	1	1	1	1	156	1	0	0	-1	1	10000	0	10000	-1	4	0	84	0	0	0	0	
ipaco02	 	42053E	77	00001	13	0	0	5000	0	0	0	0	500	1	1	1	1	157	1	0	0	-1	1	10000	0	10000	-1	4	0	85	0	0	0	0	
ipdbr01	Рис	A20068	113	11111	13	0	0	10	0	0	0	0	1	1	1	1	1	158	1	0	0	-1	1	0	0	10000	-1	0	0	86	0	0	0	0	
ipdbr02	Рис	A20068	114	11111	13	0	0	20	0	0	0	0	2	1	1	1	1	159	1	0	0	-1	1	0	0	10000	-1	0	0	87	0	0	0	0	
ipdbr03	Боевая Микстура	A20568	97	11111	13	0	0	3000	0	0	0	0	300	1	1	1	1	160	0	0	0	-1	1	10000	0	10000	-1	8	0	88	0	0	0	0	
ipdbr04	Боевое Зелье	A20568	98	11111	13	0	0	3000	0	0	0	0	300	1	1	1	1	161	0	0	0	-1	1	10000	0	10000	-1	11	0	89	0	0	0	0	
ipdbr05	Боевой Программатор	A20568	115	11111	13	0	0	3000	0	0	0	0	300	1	1	1	1	162	0	0	1	-1	1	10000	0	10000	-1	8	0	8A	0	0	0	0	
ipbch01	Микстура Патриарха	72003C	117	11000	13	0	0	3900	0	0	0	0	390	1	1	1	1	163	1	0	0	-1	1	2400	0	10000	-1	0	0	8B	0	0	0	0	
ipcch01	Зелье Патриарха	82003D	118	00110	13	0	0	3900	0	0	0	0	390	1	1	1	1	164	1	0	0	-1	1	2400	0	10000	-1	0	0	8C	0	0	0	0	
ipach01	Восстановитель Патриарха	42003E	119	00001	13	0	0	3900	0	0	0	0	390	1	1	1	1	165	1	0	0	-1	1	2400	0	10000	-1	0	0	8D	0	0	0	0	
ipbhp10	Целебная Микстура HP+3200 	72003C	6	11000	13	0	0	5	0	0	0	0	1	1	1	1	1	166	1	0	0	-1	1	2500	0	10000	-1	0	0	8E	0	0	0	0	
ipchp10	Священное Зелье HP+3200 	82003D	14	00110	13	0	0	5	0	0	0	0	1	1	1	1	1	167	1	0	0	-1	1	2500	0	10000	-1	0	0	8F	0	0	0	0	
ipahp10	Восстановитель HP+3200 	42003E	22	00001	13	0	0	5	0	0	0	0	1	1	1	1	1	168	1	0	0	-1	1	2500	0	10000	-1	0	0	90	0	0	0	0	
