string[64]	string[64]	dword	dword	END
tihmey55	ihemy55	1	14400	
tihmey56	ihemy56	1	14400	
tihmey57	ihemy57	1	14400	
tihmez01	ihemz01	1	14400	
tihmez02	ihemz02	1	14400	
tihmez03	ihemz03	1	14400	
tihmez04	ihemz04	1	14400	
tihmez05	ihemz05	1	14400	
tihmez06	ihemz06	1	14400	
tihmez07	ihemz07	1	14400	
tihmez08	ihemz08	1	14400	
tihmez09	ihemz09	1	14400	
tihmez10	ihemz10	1	14400	
tihmez11	ihemz11	1	14400	
tihmez12	ihemz12	1	14400	
tihmez13	ihemz13	1	14400	
tihmez14	ihemz14	1	14400	
tihmez15	ihemz15	1	14400	
tihmez22	ihemz22	1	14400	
tihmez23	ihemz23	1	14400	
tihmez24	ihemz24	1	14400	
tihmez25	ihemz25	1	14400	
tihmez26	ihemz26	1	14400	
tihmez27	ihemz27	1	14400	
tihmez28	ihemz28	1	14400	
tihmez29	ihemz29	1	14400	
tihmez30	ihemz30	1	14400	
tihmez31	ihemz31	1	14400	
tihmez32	ihemz32	1	14400	
tihmez33	ihemz33	1	14400	
tihmez34	ihemz34	1	14400	
tihmez35	ihemz35	1	14400	
tihmez36	ihemz36	1	14400	
tihmez43	ihemz43	1	14400	
tihmez44	ihemz44	1	14400	
tihmez45	ihemz45	1	14400	
tihmez46	ihemz46	1	14400	
tihmez47	ihemz47	1	14400	
tihmez48	ihemz48	1	14400	
tihmez49	ihemz49	1	14400	
tihmez50	ihemz50	1	14400	
tihmez51	ihemz51	1	14400	
tihmez52	ihemz52	1	14400	
tihmez53	ihemz53	1	14400	
tihmez54	ihemz54	1	14400	
tihmez55	ihemz55	1	14400	
tihmez56	ihemz56	1	14400	
tihmez57	ihemz57	1	14400	
tihemy64	ihemy64	1	14400	
tihemy65	ihemy65	1	14400	
tihemy66	ihemy66	1	14400	
tihemy67	ihemy67	1	14400	
tihemy68	ihemy68	1	14400	
tihemy69	ihemy69	1	14400	
tihemy70	ihemy70	1	14400	
tihemy71	ihemy71	1	14400	
tihemy72	ihemy72	1	14400	
tihemz64	ihemz64	1	14400	
tihemz65	ihemz65	1	14400	
tihemz66	ihemz66	1	14400	
tihemz67	ihemz67	1	14400	
tihemz68	ihemz68	1	14400	
tihemz69	ihemz69	1	14400	
tihemz70	ihemz70	1	14400	
tihemz71	ihemz71	1	14400	
tihemz72	ihemz72	1	14400	
tihemy73	ihemy73	1	14400	
tihemy74	ihemy74	1	14400	
tihemy75	ihemy75	1	14400	
tihemy76	ihemy76	1	14400	
tihemy77	ihemy77	1	14400	
tihemy78	ihemy78	1	14400	
tihemy79	ihemy79	1	14400	
tihemy80	ihemy80	1	14400	
tihemy81	ihemy81	1	14400	
tihemz73	ihemz73	1	14400	
tihemz74	ihemz74	1	14400	
tihemz75	ihemz75	1	14400	
tihemz76	ihemz76	1	14400	
tihemz77	ihemz77	1	14400	
tihemz78	ihemz78	1	14400	
tihemz79	ihemz79	1	14400	
tihemz80	ihemz80	1	14400	
tihemz81	ihemz81	1	14400	
tirmap04	irmap04	2	604800	
tirmap05	irmap05	2	604800	
tirmap06	irmap06	2	604800	
tirmap07	irmap07	2	604800	
tirmap08	irmap08	2	604800	
tirmap09	irmap09	2	604800	
tirmap10	irmap10	2	604800	
tirmap11	irmap11	2	604800	
tirmap12	irmap12	2	604800	
tirmap13	irmap13	2	604800	
tirmap14	irmap14	2	604800	
tiicsa02	iicsa02	2	2592000	
tiicsa03	iicsa03	2	2592000	
tiicsa04	iicsa04	2	2592000	
tiacsa02	iacsa02	2	2592000	
tiacsa03	iacsa03	2	2592000	
tiacsa04	iacsa04	2	2592000	
tiwmlu55	iwmlu55	2	14400	
tircme55	ircme55	2	14400	
tiwrtn05	iwrtn05	2	604800	
tiwrtn06	iwrtn06	2	604800	
tiwrtn07	iwrtn07	2	604800	
tiwrtn08	iwrtn08	2	604800	
tiwrtn09	iwrtn09	2	604800	
tiwrtn10	iwrtn10	2	604800	
tiwrtn11	iwrtn11	2	604800	
tiwrtn12	iwrtn12	2	604800	
tiwrtn13	iwrtn13	2	604800	
tiwrtn14	iwrtn14	2	604800	
tiwrtn15	iwrtn15	2	604800	
tiwrtn16	iwrtn16	2	604800	
tiwrtn17	iwrtn17	2	604800	
tiwrtn18	iwrtn18	2	604800	
tiwrtn19	iwrtn19	2	604800	
tiwrtn20	iwrtn20	2	604800	
tiwrtn21	iwrtn21	2	604800	
tiwrtn22	iwrtn22	2	604800	
tiwrtn23	iwrtn23	2	604800	
tiwrtn24	iwrtn24	2	604800	
tiwrtn25	iwrtn25	2	604800	
tiwrtn26	iwrtn26	2	604800	
tiwrtn27	iwrtn27	2	604800	
tiwrtn28	iwrtn28	2	604800	
tiwrtn29	iwrtn29	2	604800	
tirrtn01	irrtn01	2	604800	
tircha01	ircha01	2	2592000	
tircha02	ircha02	2	2592000	
tircha03	ircha03	2	2592000	
tircha04	ircha04	2	2592000	
tircha05	ircha05	2	2592000	
tircha06	ircha06	2	2592000	
tircha07	ircha07	2	2592000	
tircha08	ircha08	2	2592000	
tircha09	ircha09	2	2592000	
tircha10	ircha10	2	2592000	
tircha11	ircha11	2	2592000	
tircha12	ircha12	2	2592000	
tircha13	ircha13	2	1209600	
tircha14	ircha14	2	1209600	
tircha15	ircha15	2	1209600	
tircha16	ircha16	2	1209600	
tircha17	ircha17	2	1209600	
tircha18	ircha18	2	1209600	
tircha19	ircha19	2	1209600	
tircha20	ircha20	2	1209600	
tircha21	ircha21	2	1209600	
tircha22	ircha22	2	1209600	
tircha23	ircha23	2	1209600	
tircha24	ircha24	2	1209600	
tircha25	ircha25	2	1209600	
tircha26	ircha26	2	1209600	
tircha27	ircha27	2	1209600	
tircha28	ircha28	2	1209600	
tircha29	ircha29	2	1209600	
tircha30	ircha30	2	1209600	
tircha31	ircha31	2	1209600	
tircha32	ircha32	2	1209600	
tircha33	ircha33	2	1209600	
tircha34	ircha34	2	1209600	
tircha35	ircha35	2	1209600	
tircha36	ircha36	2	1209600	
tircha37	ircha37	2	1209600	
tircha38	ircha38	2	1209600	
tircha39	ircha39	2	1209600	
tircha40	ircha40	2	1209600	
tircha41	ircha41	2	1209600	
tircha42	ircha42	2	1209600	
tircha43	ircha43	2	1209600	
tircha44	ircha44	2	1209600	
tircha45	ircha45	2	1209600	
tircha46	ircha46	2	1209600	
tircja01	ircja01	2	518400	
tircja02	ircja02	2	518400	
tircja03	ircja03	1	72000	
tircja04	ircja04	1	72000	
tircja05	ircja05	2	518400	
tircja06	ircja06	2	518400	
tircja07	ircja07	1	72000	
tircja08	ircja08	1	72000	
tirpre20	irpre20	2	2592000	
tikexp02	ikexp02	2	259200	
tircja09	ircja09	1	7200	
tircja10	ircja10	1	21600	
tircja11	ircja11	1	86400	
