clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	END
unsh009	"Вспомогательный Плечевой Элемент ""Голиафа""9"	00508	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh010	Установка Тенета	00509	3	11000	41	0	0	700000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	375	0	0	0	0	99	0	0	0	0	0	0	0	45	2	-1	78	-1	0	0	1	12	2	225	3000	0	0	0	5	2	1	0	
unsh011	"Вспомогательный Плечевой Элемент ""Голиафа""11"	0050A	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	125	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh012	"Вспомогательный Плечевой Элемент ""Голиафа""12"	0050B	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	125	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	0	0	0	2	1	0	
unsh013	Плечевой Ракетный Элемент XR1	0050C	4	11000	41	0	0	2500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	487	0	0	0	0	99	0	0	0	0	0	0	0	49	2	-1	99	-1	0	0	1	12	2	225	3000	0	0	0	5	2	1	0	
unsh014	Плечевой Ракетный Элемент XR2	00536	9	11000	41	0	0	2500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	633	0	0	0	0	99	0	0	0	0	0	0	0	54	2	-1	99	-1	0	0	1	12	2	225	3000	0	0	0	5	2	1	0	
unsh015	Наплечники Яда	0052D	16	11000	41	0	0	4000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	760	0	0	0	0	99	0	0	0	0	0	0	0	60	2	-1	99	-1	0	0	4	12	2	225	3000	0	0	0	5	2	1	0	
unsh016	Наплечники Миража	0052D	16	11000	41	0	0	5000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	912	0	0	0	0	99	0	0	0	0	0	0	0	65	2	-1	99	-1	0	0	5	12	2	225	3000	0	0	0	5	2	1	0	
unsh017	"Вспомогательный Плечевой Элемент ""Голиафа""17"	00510	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	125	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh018	"Вспомогательный Плечевой Элемент ""Голиафа""18"	00511	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	125	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh019	"Вспомогательный Плечевой Элемент ""Голиафа""19"	00512	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	125	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh020	"Вспомогательный Плечевой Элемент ""Голиафа""20"	00513	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	10000000	0	0	125	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsc000	Сервоплечо	105FF	5	11000	41	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	0	-1	2	0	3000	-1	0	0	0	-1	0	0	
unsh021	Гранатомет	10514	6	11000	41	0	0	500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	40	-1	0	0	1	12	2	180	3000	0	0	0	6	2	1	0	
unsh022	"Вспомогательный Плечевой Элемент ""Баллисты""2"	10515	100	11000	41	0	0	500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	6	2	1	0	
unsh023	"Вспомогательный Плечевой Элемент ""Баллисты""3"	10516	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh024	"Вспомогательный Плечевой Элемент ""Баллисты""4"	10517	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh025	"Вспомогательный Плечевой Элемент ""Баллисты""5"	10518	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh026	"Вспомогательный Плечевой Элемент ""Баллисты""6"	10519	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh027	"Вспомогательный Плечевой Элемент ""Баллисты""7"	1051A	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh028	"Вспомогательный Плечевой Элемент ""Баллисты""8"	1051B	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh029	"Вспомогательный Плечевой Элемент ""Баллисты""9"	1051C	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh030	Ракетная Установка	1051D	7	11000	41	0	0	700000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	255	0	0	0	0	99	0	0	0	0	0	0	0	45	2	-1	78	-1	0	0	1	12	2	225	3000	0	0	0	6	2	1	0	
unsh031	"Вспомогательный Плечевой Элемент ""Баллисты""11"	1051E	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh032	"Вспомогательный Плечевой Элемент ""Баллисты""12"	1051F	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	85	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh033	Плечевой Ракетный Элемент XR3	10520	8	11000	41	0	0	2500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	331	0	0	0	0	99	0	0	0	0	0	0	0	49	2	-1	99	-1	0	0	5	12	2	225	3000	0	0	0	6	2	1	0	
unsh034	Плечевой Ракетный Элемент XR4	10537	10	11000	41	0	0	2500000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	430	0	0	0	0	99	0	0	0	0	0	0	0	54	2	-1	99	-1	0	0	5	12	2	225	3000	0	0	0	6	2	1	0	
unsh035	Наплечники Изменения	1052D	16	11000	41	0	0	4000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	516	0	0	0	0	99	0	0	0	0	0	0	0	60	2	-1	99	-1	0	0	20	12	2	225	3000	0	0	0	6	2	1	0	
unsh036	Необычные Наплечники	1052D	16	11000	41	0	0	5000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	619	0	0	0	0	99	0	0	0	0	0	0	0	65	2	-1	99	-1	0	0	25	12	2	225	3000	0	0	0	6	2	1	0	
unsh037	"Вспомогательный Плечевой Элемент ""Баллисты""17"	10524	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh038	"Вспомогательный Плечевой Элемент ""Баллисты""18"	10525	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh039	"Вспомогательный Плечевой Элемент ""Баллисты""19"	10526	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh040	"Вспомогательный Плечевой Элемент ""Баллисты""20"	10527	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	01000000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unse000	Сервоплечо Мк.II	205FF	100	11000	41	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	0	-1	2	0	3000	-1	0	0	0	-1	0	0	
unsh041	"Вспомогательный Плечевой Элемент ""Зодчий""1"	20528	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh042	"Вспомогательный Плечевой Элемент ""Зодчий""2"	20529	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh043	"Вспомогательный Плечевой Элемент ""Зодчий""3"	2052A	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh044	"Вспомогательный Плечевой Элемент ""Зодчий""4"	2052B	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh045	"Вспомогательный Плечевой Элемент ""Зодчий""5"	2052C	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh046	"Вспомогательный Плечевой Элемент ""Зодчий""6"	2052D	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh047	"Вспомогательный Плечевой Элемент ""Зодчий""7"	2052E	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh048	"Вспомогательный Плечевой Элемент ""Зодчий""8"	2052F	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh049	"Вспомогательный Плечевой Элемент ""Зодчий""9"	20530	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh050	"Вспомогательный Плечевой Элемент ""Зодчий""10"	20531	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh051	"Вспомогательный Плечевой Элемент ""Зодчий""11"	20532	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh052	"Вспомогательный Плечевой Элемент ""Зодчий""12"	20533	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh053	"Вспомогательный Плечевой Элемент ""Зодчий""13"	20534	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh054	"Вспомогательный Плечевой Элемент ""Зодчий""14"	20535	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh055	"Вспомогательный Плечевой Элемент ""Зодчий""15"	20536	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh056	"Вспомогательный Плечевой Элемент ""Зодчий""16"	20537	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh057	"Вспомогательный Плечевой Элемент ""Зодчий""17"	20538	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh058	"Вспомогательный Плечевой Элемент ""Зодчий""18"	20539	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh059	"Вспомогательный Плечевой Элемент ""Зодчий""19"	2053A	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh060	"Вспомогательный Плечевой Элемент ""Зодчий""20"	2053B	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00100000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsn000	Сервоплечо Мк.II	305FF	100	11000	41	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	0	-1	2	0	3000	-1	0	0	0	-1	0	0	
unsh061	"Вспомогательный Плечевой Элемент ""Скитальца""1"	3053C	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh062	"Вспомогательный Плечевой Элемент ""Скитальца""2"	3053D	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh063	"Вспомогательный Плечевой Элемент ""Скитальца""3"	3053E	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh064	"Вспомогательный Плечевой Элемент ""Скитальца""4"	3053F	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh065	"Вспомогательный Плечевой Элемент ""Скитальца""5"	30540	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh066	"Вспомогательный Плечевой Элемент ""Скитальца""6"	30541	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh067	"Вспомогательный Плечевой Элемент ""Скитальца""7"	30542	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh068	"Вспомогательный Плечевой Элемент ""Скитальца""8"	30543	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh069	"Вспомогательный Плечевой Элемент ""Скитальца""9"	30544	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh070	"Вспомогательный Плечевой Элемент ""Скитальца""10"	30545	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh071	"Вспомогательный Плечевой Элемент ""Скитальца""11"	30546	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh072	"Вспомогательный Плечевой Элемент ""Скитальца""12"	30547	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh073	"Вспомогательный Плечевой Элемент ""Скитальца""13"	30548	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh074	"Вспомогательный Плечевой Элемент ""Скитальца""14"	30549	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh075	"Вспомогательный Плечевой Элемент ""Скитальца""15"	3054A	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh076	"Вспомогательный Плечевой Элемент ""Скитальца""16"	3054B	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh077	"Вспомогательный Плечевой Элемент ""Скитальца""17"	3054C	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh078	"Вспомогательный Плечевой Элемент ""Скитальца""18"	3054D	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
unsh079	"Вспомогательный Плечевой Элемент ""Скитальца""19"	3054E	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	150	250	0	2	1	0	
unsh080	"Вспомогательный Плечевой Элемент ""Скитальца""20"	3054F	100	11000	41	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	4	00010000	0	0	100	0	0	0	0	99	0	0	0	0	0	0	0	30	2	-1	100	-1	0	0	1	-1	2	0	3000	0	250	350	0	2	1	0	
