clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	xeh	dword	byte	byte	word	float	dword	dword	dword	xeh	dword	END
tr00016	Усиленная Плазменная Мина Т1	A30F0A	1	11111	26	0	0	700	0	0	0	0	35	1	1	1	1	15	1	0	0	-1	62	A10A	1	55	10	0	30	10	0	0	-1	0	
tr00017	Усиленная Плазменная Мина Т2	A30F0A	1	11111	26	0	0	700	0	0	0	0	35	1	1	1	1	16	1	0	0	-1	62	A10A	1	55	10	0	30	10	0	0	-1	0	
tr00018	Улучшенная Ядерная Мина	A30F00	1	11111	26	0	0	250000	0	0	0	0	12500	1	1	1	1	17	1	0	0	-1	66	A100	1	65	10	0	30	10	0	0	-1	0	
tr00019	Ловушка(B)	A30F0A	2	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	18	1	0	0	-1	35	A10A	1	35	10	0	30	10	0	0	-1	0	
tr00020	Ловушка(B)	A30F0A	2	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	19	1	0	0	-1	35	A10A	1	35	10	0	30	10	0	0	-1	0	
tr00021	Водяная мина	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	20	1	0	0	-1	35	A114	1	35	10	0	100	10	0	0	-1	0	
tr00022	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	21	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00023	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	22	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00024	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	23	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00025	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	24	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00026	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	25	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00027	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	26	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00028	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	27	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00029	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	28	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00030	Ловушка(B)	A30F14	3	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	29	1	0	0	-1	35	A114	1	35	10	0	30	10	0	0	-1	0	
tr00031	Земляная мина	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	30	1	0	0	-1	35	A11E	1	35	10	0	100	10	0	0	-1	0	
tr00032	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	31	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00033	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	32	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00034	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	33	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00035	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	34	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00036	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	35	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00037	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	36	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00038	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	37	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00039	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	38	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00040	Ловушка(B)	A30F1E	4	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	39	1	0	0	-1	35	A11E	1	35	10	0	30	10	0	0	-1	0	
tr00041	Ветряная мина	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	40	1	0	0	-1	35	A128	1	35	10	0	100	10	0	0	-1	0	
tr00042	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	41	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00043	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	42	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00044	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	43	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00045	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	44	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00046	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	45	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00047	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	46	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00048	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	47	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00049	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	48	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
tr00050	Ловушка(B)	A30F28	5	11111	26	0	0	2500	0	0	0	0	125	1	1	1	1	49	1	0	0	-1	35	A128	1	35	10	0	30	10	0	0	-1	0	
trnew00	Ядерная ракета	A30F28	6	11000	26	0	0	10000000	0	0	0	0	500000	1	1	0	1	50	1	0	0	-1	35	A128	1	35	10	0	500	30	0	1	17	0	
trnew01	Ядерная ракета	A30F28	7	00110	26	0	0	10000000	0	0	0	0	500000	1	1	0	1	51	1	0	0	-1	35	A128	1	35	10	0	500	30	0	1	17	0	
trnew02	Ядерная ракета	A30F28	8	00001	26	0	0	10000000	0	0	0	0	500000	1	1	0	1	52	1	0	0	-1	35	A128	1	35	10	0	500	30	0	1	17	0	
