string[64]	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	float	dword	dword	dword	dword	dword	dword	float	dword	dword	float	float	string[64]	dword	dword	dword	dword	dword	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
tr00010	1	0	A30F00	A100	Ядерная Мина	11111	65	63	-1	10	10	0	60	1	20	0	0	30	0	299	148246	163851	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	200000	0	0	0	0	10000	1	1	1	1	1	1	0	ttr00010	-1	-1	0	
tr00011	1	0	A30F0A	A10A	Огненная мина	11111	35	35	-1	10	10	0	60	2	25	0	0	100	0	299	11058	12222	40	70	1	1	1000	0,5	0,5	-1	0	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00011	-1	-1	0	
tr00012	1	0	A30F0A	A10A	Мина-Ловушка Т1	11111	60	50	-1	10	10	0	60	1	15	0	0	20	0	299	84807	93288	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	500	0	0	0	0	25	1	1	1	1	1	1	0	ttr00012	-1	-1	0	
tr00013	1	0	A30F0A	A10A	Мина-Ловушка Т2	11111	60	50	-1	10	10	0	60	1	15	0	0	20	0	299	93288	101769	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	500	0	0	0	0	25	1	1	1	1	1	1	0	ttr00013	-1	-1	0	
tr00014	1	0	A30F0A	A10A	Плазменная Мина Т1	11111	61	53	-1	10	10	0	60	1	15	0	0	30	0	299	95311	104842	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	600	0	0	0	0	30	1	1	1	1	1	1	0	ttr00014	-1	-1	0	
tr00015	1	0	A30F0A	A10A	Плазменная Мина Т2	11111	61	53	-1	10	10	0	60	1	15	0	0	30	0	299	104842	114373	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	600	0	0	0	0	30	1	1	1	1	1	1	0	ttr00015	-1	-1	0	
tr00016	1	0	A30F0A	A10A	Усиленная Плазменная Мина Т1	11111	62	55	-1	10	10	0	60	1	15	0	0	30	0	299	108705	119576	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	700	0	0	0	0	35	1	1	1	1	1	1	0	ttr00016	-1	-1	0	
tr00017	1	0	A30F0A	A10A	Усиленная Плазменная Мина Т2	11111	62	55	-1	10	10	0	60	1	15	0	0	30	0	299	119576	130446	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	700	0	0	0	0	35	1	1	1	1	1	1	0	ttr00017	-1	-1	0	
tr00018	1	0	A30F00	A100	Улучшенная Ядерная Мина	11111	66	65	-1	10	10	0	60	1	25	0	0	30	0	299	168835	186607	40	50	1	1	1000	0,5	0,5	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	250000	0	0	0	0	12500	1	1	1	1	1	1	0	ttr00018	-1	-1	0	
tr00019	1	0	A30F0A	A10A	Ловушка(B)	11111	35	35	-1	10	10	0	60	2	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	0	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00019	-1	-1	0	
tr00020	1	0	A30F0A	A10A	Ловушка(B)	11111	35	35	-1	10	10	0	60	2	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	0	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00020	-1	-1	0	
tr00021	1	0	A30F14	A114	Водяная мина	11111	35	35	-1	10	10	0	60	3	25	0	0	100	0	299	11058	12222	40	70	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00021	-1	-1	0	
tr00022	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00022	-1	-1	0	
tr00023	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00023	-1	-1	0	
tr00024	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00024	-1	-1	0	
tr00025	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00025	-1	-1	0	
tr00026	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00026	-1	-1	0	
tr00027	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00027	-1	-1	0	
tr00028	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00028	-1	-1	0	
tr00029	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00029	-1	-1	0	
tr00030	1	0	A30F14	A114	Ловушка(B)	11111	35	35	-1	10	10	0	60	3	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	1	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00030	-1	-1	0	
tr00031	1	0	A30F1E	A11E	Земляная мина	11111	35	35	-1	10	10	0	60	4	25	0	0	100	0	299	11058	12222	40	70	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00031	-1	-1	0	
tr00032	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00032	-1	-1	0	
tr00033	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00033	-1	-1	0	
tr00034	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00034	-1	-1	0	
tr00035	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00035	-1	-1	0	
tr00036	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00036	-1	-1	0	
tr00037	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00037	-1	-1	0	
tr00038	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00038	-1	-1	0	
tr00039	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00039	-1	-1	0	
tr00040	1	0	A30F1E	A11E	Ловушка(B)	11111	35	35	-1	10	10	0	60	4	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	2	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00040	-1	-1	0	
tr00041	1	0	A30F28	A128	Ветряная мина	11111	35	35	-1	10	10	0	60	5	25	0	0	100	0	299	11058	12222	40	70	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00041	-1	-1	0	
tr00042	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00042	-1	-1	0	
tr00043	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00043	-1	-1	0	
tr00044	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00044	-1	-1	0	
tr00045	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00045	-1	-1	0	
tr00046	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00046	-1	-1	0	
tr00047	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00047	-1	-1	0	
tr00048	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00048	-1	-1	0	
tr00049	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00049	-1	-1	0	
tr00050	1	0	A30F28	A128	Ловушка(B)	11111	35	35	-1	10	10	0	60	5	15	0	0	30	0	199	2488	2750	40	50	1	1	1000	0,5	0,5	-1	3	0	0	0	0	-1	-1	-1	-1	0	0	2500	0	0	0	0	125	1	1	1	1	1	1	0	ttr00050	-1	-1	0	
trnew00	1	1	A30F28	A128	Ядерная ракета	11000	35	35	-1	10	30	0	1800	6	500	0	0	500	0	199	70000	80000	40	50	1	1	1000	0,5	0,5	17	3	0	0	0	0	-1	-1	-1	-1	0	0	10000000	0	0	0	0	500000	1	1	1	0	1	1	0	ttrnew00	-1	-1	0	
trnew01	1	1	A30F28	A128	Ядерная ракета	00110	35	35	-1	10	30	0	1800	7	500	0	0	500	0	199	70000	80000	40	50	1	1	1000	0,5	0,5	17	3	0	0	0	0	-1	-1	-1	-1	0	0	10000000	0	0	0	0	500000	1	1	1	0	1	1	0	ttrnew01	-1	-1	0	
trnew02	1	1	A30F28	A128	Ядерная ракета	00001	35	35	-1	10	30	0	1800	8	500	0	0	500	0	199	70000	80000	40	50	1	1	1000	0,5	0,5	17	3	0	0	0	0	-1	-1	-1	-1	0	0	10000000	0	0	0	0	500000	1	1	1	0	1	1	0	ttrnew02	-1	-1	0	
