string[64]	dword	dword	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	dword	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	string[64]	dword	END
BRS1	0	1	11	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	Íàáëþäàòåëü	HIDDENSOLDIER	0	71099	7F09D	7100C	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	10	0	15	0	0	944327	0	225350	0	0	0	0	0	0	0	0	78262	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ibfir34	30000	ibfir36	30000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRS2	0	1	12	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	Ñòðàæ	SENTINEL	0	7F09F	7F0A0	7F0A1	7100C	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	15	5	0	0	826286	0	300467	0	0	0	0	0	0	0	0	78262	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ibbow48	30000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRS3	0	1	13	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	Øïèîí	INFILTRATOR	0	700A2	7F0A3	7100C	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	15	15	5	5	0	0	550857	0	450701	0	0	0	0	0	0	0	0	78262	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iwdka40	1	tr00002	1	tr00002	1	tr00002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRS4	0	1	14	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT1	0	1	23	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT2	0	1	24	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT3	0	1	25	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT4	0	1	26	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT5	0	1	27	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT6	0	1	28	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT7	0	1	29	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BRT8	0	1	30	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅä·¹ÀÎÀú	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFB0	0	2	15	0	30	BWF1	BWF2	BRF1	BRF2	BFF1	BFF2	BSF1	BSF2	º§¶óÅäÁ¤½Å°è	Êîëäóí	SPIRITUALIST	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iqbbb00	10	ipbhp00	50	ipbfp00	99	ipbsp00	50	iwsta00	1	ipbhx00	50	-1	-1	-1	-1	-1	-1	
BFF1	0	2	16	1	40	BFS1	BFS2	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	Ïñèîíèê	PSYPER	0	7F114	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	10000	0	0	0	10000	0	0	0	10000	0	0	0	0	iwstb30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFF2	0	2	17	1	40	BFS2	BFS3	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	×àðîäåé	CANDRA	0	7F117	7F118	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iwstb30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFS1	0	2	18	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	Âîëøåáíèê	WIZARD	0	7F11A	7011B	7111C	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78262	117393	0	0	78262	117393	0	0	78262	117393	0	0	78262	117393	0	0	1	icfha01	0	icfha02	0	icfha03	0	icfha04	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFS2	0	2	19	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	Ìåäèóì	ASTRAL	0	7F11D	7F11E	7F11F	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58696	58696	0	0	78262	117393	0	0	78262	117393	0	0	78262	117393	0	0	78262	117393	0	0	1	icaha03	0	icaha04	0	ictha03	0	ictha04	0	icwha03	0	icwha04	0	-1	-1	-1	-1	-1	-1	
BFS3	0	2	20	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	×óäîòâîðåö	HOLYCANDRA	0	7F120	7F121	7F122	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117393	117393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ichhs01	0	ichhs02	0	ichhs03	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFS4	0	2	21	2	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT1	0	2	38	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT2	0	2	39	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT3	0	2	40	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT4	0	2	41	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT5	0	2	42	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT6	0	2	43	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT7	0	2	44	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BFT8	0	2	45	3	100	-1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÁ¤½Å°è	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
BSB0	0	3	22	0	30	BWF1	BWF2	BRF1	BRF2	BFF1	BFF2	BSF1	BSF2	º§¶óÅäÆ¯¼ö°è	Ñïåöèàëèñò	SPECIALIST	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	iqbbb00	10	iwmtb00	1	itttt00	1800	ipbhp00	50	ipbfp00	99	ipbsp00	50	ipbhx00	50	-1	-1	-1	-1	
BSF1	0	3	23	1	40	BSS1	-1	-1	-1	-1	-1	-1	-1	º§¶óÅäÆ¯¼ö°è	Ðåìåñëåííèê	CRAFTSMAN	0	7F192	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	500	500	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gtbb001	16120	gtbb001	16120	gtbb001	16120	irgef01	6	irgea01	6	-1	-1	-1	-1	-1	-1	-1	-1	
