string[64]	dword	string[64]	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	END
00066	1	9405	5	-1	1	50	-1	-1	5	0	300	100	
00067	1	7104	3	-1	1	5	-1	-1	15	1	300	100	
00068	1	9303	5	-1	1	80	-1	-1	10	0	300	100	
00069	1	9307	5	-1	1	50	-1	-1	5	0	300	100	
00070	1	930A	5	-1	0	-1	-1	-1	10	0	15	100	
00071	1	950A	1	-1	1	50	-1	-1	10	0	300	100	
00072	1	9406	1	-1	1	50	-1	-1	7	0	300	100	
00073	1	9509	7	-1	1	80	-1	-1	5	0	300	100	
00074	1	930B	7	-1	1	30	-1	-1	10	0	300	100	
00075	1	9504	7	-1	1	50	-1	-1	5	0	300	100	
00076	1	9500	5	-1	1	80	-1	-1	5	0	300	100	
00077	1	7104	5	-1	1	5	-1	-1	15	1	300	100	
00078	1	9301	7	-1	1	50	-1	-1	7	0	300	100	
00079	1	9304	7	-1	1	80	-1	-1	10	0	300	100	
00080	1	9409	7	-1	1	50	-1	-1	5	0	300	100	
00081	1	9404	5	-1	1	80	-1	-1	7	0	300	100	
00082	1	9309	7	-1	0	-1	-1	-1	10	0	300	100	
00083	1	920B	7	-1	1	50	-1	-1	10	0	300	100	
00084	1	940A	7	-1	1	20	-1	-1	15	0	300	100	
00085	1	9508	7	-1	0	-1	-1	-1	5	0	300	100	
00086	1	9402	7	-1	1	70	-1	-1	7	0	300	100	
00087	1	930B	7	-1	1	50	-1	-1	15	0	300	100	
00088	1	9303	7	-1	1	30	-1	-1	10	0	300	100	
00089	1	9307	7	-1	1	50	-1	-1	7	0	300	100	
00090	1	920A	7	-1	1	80	-1	-1	5	0	300	100	
00091	1	7104	4	-1	1	50	-1	-1	9	1	15	100	
00092	1	930A	7	-1	1	70	-1	-1	6	0	15	100	
00093	1	9304	7	-1	0	-1	-1	-1	3	0	15	100	
00094	1	9407	2	-1	0	-1	-1	-1	6	0	15	100	
00095	1	9305	6	-1	0	-1	-1	-1	3	0	15	100	
00096	1	950A	1	-1	0	-1	-1	-1	7	0	15	100	
00097	1	9407	3	-1	0	-1	-1	-1	6	0	15	100	
00098	1	9409	6	-1	0	-1	-1	-1	3	0	15	100	
00099	1	940A	1	-1	0	-1	-1	-1	7	0	15	100	
00100	1	9407	4	-1	0	-1	-1	-1	6	0	15	100	
00101	1	920B	7	-1	0	-1	-1	-1	3	0	15	100	
00102	1	920A	7	-1	0	-1	-1	-1	5	0	15	100	
00103	1	9505	7	-1	1	30	-1	-1	3	0	15	100	
00104	1	9309	7	-1	1	30	-1	-1	5	0	300	100	
00105	1	9301	6	-1	1	50	-1	-1	7	0	300	100	
00106	1	9304	5	-1	1	80	-1	-1	10	0	300	100	
00107	1	9502	1	-1	1	30	-1	-1	10	0	300	100	
00108	1	9201	4	-1	1	60	-1	-1	5	0	300	100	
00109	1	9303	4	-1	1	30	-1	-1	10	0	300	100	
00110	1	9205	4	-1	1	60	-1	-1	5	0	300	100	
00111	1	9500	4	-1	1	80	-1	-1	5	0	300	100	
00112	1	9205	5	-1	1	50	-1	-1	5	0	300	100	
00113	1	9401	5	-1	1	80	-1	-1	10	0	300	100	
00114	1	950A	1	-1	1	20	-1	-1	10	0	300	100	
00115	1	9502	1	-1	1	60	-1	-1	15	0	300	100	
00116	1	9307	5	-1	0	-1	-1	-1	10	0	15	100	
00117	1	920A	6	-1	1	50	-1	-1	5	0	300	100	
00118	1	7104	2	-1	1	5	-1	-1	35	1	300	100	
00119	1	9509	6	-1	1	50	-1	-1	5	0	300	100	
00120	1	9307	5	-1	1	30	-1	-1	10	0	300	100	
00121	1	9209	6	-1	1	60	-1	-1	5	0	300	100	
00122	1	9405	6	-1	1	30	-1	-1	5	0	300	100	
00123	1	9401	6	-1	1	60	-1	-1	10	0	300	100	
00124	1	940A	1	-1	0	-1	-1	-1	10	0	15	100	
00125	1	9509	5	-1	0	-1	-1	-1	5	0	15	100	
00126	1	9404	5	-1	0	-1	-1	-1	10	0	15	100	
00127	1	9304	5	-1	0	-1	-1	-1	5	0	15	100	
00128	1	9307	5	-1	0	-1	-1	-1	5	0	15	100	
00129	1	9500	5	-1	0	-1	-1	-1	5	0	15	100	
00130	1	7104	5	-1	1	40	-1	-1	5	1	15	100	
00131	1	9307	6	-1	0	-1	-1	-1	6	0	15	100	
00132	1	9404	5	-1	0	-1	-1	-1	3	0	15	100	
00133	1	9205	5	-1	1	50	-1	-1	3	0	15	100	
00134	1	920A	5	-1	1	80	-1	-1	3	0	15	100	
00135	1	9208	5	-1	1	50	-1	-1	3	0	15	100	
00136	1	930A	5	-1	1	60	-1	-1	6	0	15	100	
00137	1	9205	5	-1	1	40	-1	-1	3	0	15	100	
00138	1	930A	7	-1	1	60	-1	-1	6	0	15	100	
00139	1	9209	6	-1	1	30	-1	-1	5	0	15	100	
00140	1	9302	7	-1	1	60	-1	-1	10	0	15	100	
00141	1	7104	7	-1	1	40	-1	-1	5	1	15	100	
00142	1	9208	7	-1	0	-1	-1	-1	3	0	15	100	
00143	1	9404	7	-1	0	-1	-1	-1	10	0	300	100	
00144	1	920B	6	-1	0	-1	-1	-1	3	0	300	100	
00145	1	9407	1	-1	0	-1	-1	-1	45	0	15	100	
00146	1	920A	7	-1	1	50	-1	-1	10	0	300	100	
00147	1	930A	7	-1	1	20	-1	-1	13	0	300	100	
00148	1	9208	7	-1	1	30	-1	-1	10	0	300	100	
00149	1	9209	7	-1	1	50	-1	-1	10	0	300	100	
00150	1	920A	7	-1	1	30	-1	-1	10	0	300	100	
00151	1	930B	7	-1	1	50	-1	-1	13	0	300	100	
00152	1	7104	4	-1	1	5	-1	-1	30	1	300	100	
00153	1	9407	7	-1	1	60	-1	-1	13	0	300	100	
00154	1	9301	7	-1	1	70	-1	-1	3	0	300	100	
00155	1	9307	7	-1	1	30	-1	-1	13	0	300	100	
00156	1	9303	7	-1	1	30	-1	-1	13	0	300	100	
00157	1	930A	7	-1	1	60	-1	-1	16	0	300	100	
00158	1	9304	7	-1	0	-1	-1	-1	10	0	300	100	
00159	1	950A	7	-1	1	20	-1	-1	13	0	300	100	
00160	1	9502	7	-1	0	-1	-1	-1	18	0	300	100	
00161	1	9406	7	-1	1	60	-1	-1	13	0	300	100	
00162	1	9305	7	-1	1	30	-1	-1	10	0	300	100	
00163	1	9303	7	-1	1	80	-1	-1	13	0	300	100	
00164	1	9307	7	-1	1	50	-1	-1	20	0	300	100	
00165	1	8007	7	-1	1	20	-1	-1	18	0	300	100	
00166	1	940A	7	-1	1	20	-1	-1	18	0	300	100	
00167	1	9504	1	-1	0	-1	-1	-1	8	0	300	100	
00168	1	9509	1	-1	1	60	-1	-1	13	0	300	100	
00169	1	9505	1	-1	1	30	-1	-1	18	0	300	100	
00170	1	930A	7	-1	1	50	-1	-1	5	0	15	100	
00171	1	930B	7	-1	1	80	-1	-1	5	0	15	100	
00172	1	9303	3	-1	1	50	-1	-1	5	0	15	100	
00173	1	9201	4	-1	1	20	-1	-1	3	0	15	100	
00174	1	9307	6	-1	0	-1	-1	-1	10	0	300	100	
00175	1	950A	4	-1	0	-1	-1	-1	7	0	300	100	
00176	1	9501	5	-1	1	50	-1	-1	12	0	300	100	
00177	1	930A	6	-1	0	-1	-1	-1	10	0	300	100	
00178	1	9501	6	-1	1	50	-1	-1	12	0	300	100	
00179	1	9403	4	-1	0	-1	-1	-1	10	0	15	100	
00180	1	9203	6	-1	0	-1	-1	-1	6	0	15	100	
00181	1	9406	4	-1	0	-1	-1	-1	10	0	300	100	
00182	1	9303	5	-1	0	-1	-1	-1	7	0	300	100	
00183	1	9505	5	-1	1	60	-1	-1	10	0	15	100	
00184	1	7104	4	-1	1	30	-1	-1	20	1	15	100	
00185	1	9200	7	-1	1	50	-1	-1	5	0	15	100	
00186	1	9300	7	-1	1	50	-1	-1	5	0	15	100	
00187	1	9205	4	-1	0	-1	-1	-1	6	0	15	100	
00188	1	9206	7	-1	1	50	-1	-1	15	0	15	100	
00189	1	9309	4	-1	1	60	-1	-1	15	0	15	100	
00190	1	930A	5	-1	1	80	-1	-1	8	0	15	100	
00191	1	9305	6	-1	0	-1	-1	-1	6	0	15	100	
00192	1	8007	5	-1	0	-1	-1	-1	15	0	15	100	
00193	1	8007	7	-1	0	-1	-1	-1	15	0	15	100	
00194	1	9504	3	-1	0	-1	-1	-1	10	0	15	100	
00195	1	9505	7	-1	1	60	-1	-1	10	0	300	100	
00196	1	9303	6	-1	1	30	-1	-1	12	0	300	100	
00197	1	9506	7	-1	1	90	-1	-1	7	1	300	100	
00198	1	9407	5	-1	0	-1	-1	-1	8	0	15	100	
00199	1	9302	4	-1	0	-1	-1	-1	7	0	15	100	
00200	1	9302	5	-1	0	-1	-1	-1	7	0	15	100	
00201	1	9307	4	-1	0	-1	-1	-1	10	0	15	100	
00202	1	9302	4	-1	0	-1	-1	-1	8	0	15	100	
00203	1	9502	4	-1	0	-1	-1	-1	8	0	15	100	
00204	1	950A	4	-1	1	90	-1	-1	15	0	300	100	
00205	1	9209	7	-1	0	-1	-1	-1	7	0	300	100	
00206	1	8007	7	-1	1	50	-1	-1	10	0	300	100	
00207	1	9505	5	-1	1	60	-1	-1	10	0	300	100	
00208	1	9407	4	-1	0	-1	-1	-1	8	0	300	100	
00209	1	9205	7	-1	1	50	-1	-1	10	0	300	100	
00210	1	9204	5	-1	0	-1	-1	-1	5	0	15	100	
00211	1	9502	4	-1	0	-1	-1	-1	13	0	15	100	
00212	1	9208	6	-1	0	-1	-1	-1	5	0	15	100	
00213	1	9407	4	-1	1	70	-1	-1	8	0	300	100	
00214	1	9309	5	-1	1	50	-1	-1	10	0	300	100	
00215	1	940A	5	-1	1	90	-1	-1	7	0	300	100	
00216	1	9307	4	-1	1	70	-1	-1	12	0	300	100	
00217	1	7104	5	-1	1	60	-1	-1	6	1	15	100	
00218	1	9502	5	-1	0	-1	-1	-1	7	0	15	100	
00219	1	9202	5	-1	1	80	-1	-1	10	0	15	100	
00220	1	9302	7	-1	0	-1	-1	-1	20	0	300	100	
00221	1	8007	7	-1	1	60	-1	-1	15	0	15	100	
00222	1	9501	7	-1	1	30	-1	-1	10	0	15	100	
00223	1	9502	5	-1	1	70	-1	-1	15	0	15	100	
00224	1	9405	6	-1	0	-1	-1	-1	10	0	15	100	
00225	1	9303	6	-1	0	-1	-1	-1	20	0	15	100	
00226	1	930A	7	-1	1	30	-1	-1	30	0	15	100	
00227	1	9208	7	-1	1	50	-1	-1	5	0	15	100	
00228	1	9405	7	-1	1	70	-1	-1	5	0	15	100	
00229	1	7104	7	-1	1	50	-1	-1	3	1	15	100	
00230	1	920A	7	-1	1	70	-1	-1	5	0	300	100	
00231	1	9307	7	-1	1	50	-1	-1	10	0	300	100	
00232	1	9303	7	-1	1	30	-1	-1	15	0	300	100	
00233	1	9301	7	-1	0	-1	-1	-1	7	0	15	100	
00234	1	9303	7	-1	1	60	-1	-1	12	0	15	100	
00235	1	9500	7	-1	0	-1	-1	-1	8	0	15	100	
00236	1	9502	7	-1	1	60	-1	-1	12	0	15	100	
00237	1	9204	7	-1	1	80	-1	-1	12	0	15	100	
00238	1	9306	7	-1	1	60	-1	-1	10	0	15	100	
00239	1	9305	7	-1	1	80	-1	-1	12	0	15	100	
00240	1	9503	7	-1	1	60	-1	-1	12	0	15	100	
00241	1	9509	7	-1	1	70	-1	-1	16	0	15	100	
00242	1	950B	7	-1	1	60	-1	-1	16	0	15	100	
00243	1	9203	7	-1	0	-1	-1	-1	10	0	15	100	
00244	1	9407	7	-1	0	-1	-1	-1	10	0	15	100	
00245	1	9509	7	-1	1	70	-1	-1	5	0	15	100	
00246	1	7104	7	-1	1	40	-1	-1	8	1	15	100	
00247	1	9303	7	-1	0	-1	-1	-1	10	0	15	100	
00248	1	7104	7	-1	2	70	-1	-1	5	2	15	100	
00249	1	9304	7	-1	0	-1	-1	-1	5	0	15	100	
00250	1	9204	7	-1	1	70	-1	-1	10	0	15	100	
00251	1	940A	7	-1	0	-1	-1	-1	10	0	15	100	
00252	1	9502	7	-1	0	-1	-1	-1	10	0	300	100	
00253	1	950A	7	-1	1	30	-1	-1	15	0	300	100	
00254	1	7104	7	-1	1	10	-1	-1	20	1	300	100	
00255	1	7104	7	-1	2	50	-1	-1	5	2	15	100	
00256	1	8007	7	-1	1	80	-1	-1	5	0	300	100	
00257	1	9303	7	-1	1	50	-1	-1	10	0	300	100	
00258	1	950A	7	-1	1	20	-1	-1	15	0	300	100	
00259	1	9401	5	-1	0	-1	-1	-1	15	0	300	100	
00260	1	9303	3	-1	0	-1	-1	-1	13	0	15	100	
00261	1	9307	3	-1	0	-1	-1	-1	10	0	15	100	
00262	1	920A	3	-1	0	-1	-1	-1	13	0	15	100	
00263	1	9206	5	-1	0	-1	-1	-1	20	0	300	100	
00264	1	9205	6	-1	1	50	-1	-1	15	0	300	100	
00265	1	9202	3	-1	0	-1	-1	-1	10	0	15	100	
00266	1	9409	6	-1	0	-1	-1	-1	25	0	300	100	
00267	1	9406	3	-1	0	-1	-1	-1	12	0	15	100	
00268	1	9502	3	-1	0	-1	-1	-1	10	0	15	100	
00269	1	7104	5	-1	2	70	-1	-1	10	2	300	100	
00270	1	9505	5	-1	0	-1	-1	-1	15	0	300	100	
00271	1	9305	5	-1	0	-1	-1	-1	15	0	300	100	
00272	1	9301	5	-1	1	50	-1	-1	16	0	300	100	
00273	1	930A	5	-1	0	-1	-1	-1	10	0	300	100	
00274	1	7104	3	-1	2	70	-1	-1	50	2	15	100	
00275	1	9407	3	-1	0	-1	-1	-1	10	0	15	100	
00276	1	930B	5	-1	0	-1	-1	-1	15	0	300	100	
00277	1	9401	5	-1	1	70	-1	-1	20	0	300	100	
00278	1	9408	3	-1	0	-1	-1	-1	13	0	15	100	
00279	1	7104	1	-1	1	50	-1	-1	10	1	15	100	
00280	1	9307	1	-1	0	-1	-1	-1	10	0	15	100	
00281	1	9501	5	-1	1	70	-1	-1	20	0	300	100	
00282	1	930B	3	-1	0	-1	-1	-1	10	0	15	100	
00283	1	930A	3	-1	1	70	-1	-1	11	0	15	100	
00284	1	9307	3	-1	1	50	-1	-1	13	0	15	100	
00285	1	930A	1	-1	0	-1	-1	-1	10	0	15	100	
00286	1	9504	2	-1	0	-1	-1	-1	10	0	300	100	
00287	1	9509	5	-1	0	-1	-1	-1	15	0	15	100	
00288	1	950B	5	-1	1	70	-1	-1	11	0	15	100	
00289	1	9504	3	-1	0	-1	-1	-1	13	0	15	100	
00290	1	9306	3	-1	0	-1	-1	-1	15	0	15	100	
00291	1	9309	6	-1	1	70	-1	-1	15	0	300	100	
00292	1	930A	6	-1	0	-1	-1	-1	12	0	300	100	
00293	1	9209	7	-1	1	40	-1	-1	20	0	300	100	
00294	1	9306	4	-1	0	-1	-1	-1	12	0	15	100	
00295	1	9303	4	-1	0	-1	-1	-1	15	0	15	100	
00296	1	9302	7	-1	0	-1	-1	-1	6	0	15	100	
00297	1	930A	7	-1	1	50	-1	-1	10	0	15	100	
00298	1	9307	7	-1	0	-1	-1	-1	10	0	15	100	
00299	1	9401	7	-1	1	70	-1	-1	8	0	15	100	
00300	1	9401	7	-1	0	-1	-1	-1	11	0	15	100	
00301	1	930B	7	-1	1	70	-1	-1	10	0	15	100	
00302	1	8007	7	-1	0	-1	-1	-1	12	0	15	100	
00303	1	9506	7	-1	1	90	-1	-1	7	1	15	100	
00304	1	9407	7	-1	1	50	-1	-1	15	0	15	100	
00305	1	940B	7	-1	1	70	-1	-1	14	0	15	100	
00306	1	9206	7	-1	1	70	-1	-1	10	0	15	100	
00307	1	950A	7	-1	1	45	-1	-1	12	0	15	100	
00308	1	9509	7	-1	1	70	-1	-1	10	0	15	100	
00309	1	9406	7	-1	1	45	-1	-1	12	0	15	100	
00310	1	9307	7	-1	1	50	-1	-1	10	0	15	100	
00311	1	9501	7	-1	0	-1	-1	-1	6	0	15	100	
00312	1	9508	7	-1	1	40	-1	-1	14	0	15	100	
00313	1	7104	7	-1	1	40	-1	-1	35	1	15	100	
00314	1	7104	7	-1	2	80	-1	-1	15	2	15	100	
00315	1	9309	7	-1	1	80	-1	-1	14	0	15	100	
00316	1	930A	7	-1	1	60	-1	-1	10	0	15	100	
00317	1	9407	7	-1	1	20	-1	-1	30	0	15	100	
00318	1	9201	7	-1	0	-1	-1	-1	6	0	15	100	
00319	1	950A	7	-1	1	60	-1	-1	20	0	15	100	
00320	1	940A	7	-1	1	70	-1	-1	15	0	300	100	
00321	1	9205	6	-1	0	-1	-1	-1	7	0	300	100	
00322	1	9306	7	-1	0	-1	-1	-1	10	0	300	100	
00323	1	930A	7	-1	1	60	-1	-1	20	0	300	100	
00324	1	9309	7	-1	0	-1	-1	-1	50	0	300	100	
00325	1	9404	7	-1	0	-1	-1	-1	30	0	300	100	
00326	1	9407	3	-1	0	-1	-1	-1	20	0	15	100	
00327	1	9407	2	-1	0	-1	-1	-1	20	0	15	100	
00328	1	9408	5	-1	1	80	-1	-1	15	0	15	100	
00329	1	9409	6	-1	1	50	-1	-1	30	0	300	100	
00330	1	9400	5	-1	0	-1	-1	-1	5	0	300	100	
00331	1	950A	7	-1	0	-1	-1	-1	10	0	300	100	
00332	1	950B	7	-1	0	-1	-1	-1	10	0	300	100	
00333	1	9303	7	-1	1	10	-1	-1	10	0	300	100	
00334	1	930B	6	-1	1	50	-1	-1	13	0	300	100	
00335	1	9208	6	-1	1	30	-1	-1	10	0	300	100	
00336	1	7104	6	-1	1	5	-1	-1	30	1	300	100	
00337	1	7104	7	-1	1	5	-1	-1	30	1	300	100	
00338	1	9304	4	-1	1	60	-1	-1	3	0	15	100	
00339	1	930B	1	-1	0	-1	-1	-1	10	0	15	100	
00340	1	9501	7	-1	0	-1	-1	-1	6	0	30	100	
00341	1	9508	7	-1	1	40	-1	-1	14	0	30	100	
00342	1	9506	7	-1	1	90	-1	-1	7	1	30	100	
00343	1	9309	7	-1	1	80	-1	-1	14	0	30	100	
00344	1	930A	7	-1	1	60	-1	-1	10	0	30	100	
00345	1	9201	7	-1	0	-1	-1	-1	6	0	30	100	
00346	1	950A	7	-1	1	60	-1	-1	20	0	30	100	
00347	1	9502	7	-1	1	70	-1	-1	15	0	15	100	
00348	1	9303	7	-1	0	-1	-1	-1	20	0	15	100	
00349	1	9407	5	-1	0	-1	-1	-1	20	0	15	100	
00350	1	9408	7	-1	1	80	-1	-1	15	0	15	100	
00351	1	9405	7	-1	0	-1	-1	-1	10	0	15	100	
00352	1	9407	4	-1	0	-1	-1	-1	20	0	15	100	
00353	1	9309	6	-1	1	60	-1	-1	15	0	15	100	
00354	1	930A	7	-1	1	80	-1	-1	8	0	15	100	
00355	1	9305	7	-1	0	-1	-1	-1	6	0	15	100	
00356	1	9407	7	-1	0	-1	-1	-1	8	0	15	100	
00357	1	9302	6	-1	0	-1	-1	-1	8	0	15	100	
00358	1	9309	7	-1	0	-1	-1	-1	50	0	200	100	
00359	1	9404	7	-1	0	-1	-1	-1	30	0	200	100	
00360	1	9303	7	-1	1	30	-1	-1	12	0	300	100	
00361	1	7104	6	-1	1	5	-1	-1	35	1	15	100	
00362	1	9509	6	-1	1	50	-1	-1	5	0	15	100	
00363	1	7104	5	-1	1	20	-1	-1	20	1	15	100	
00364	1	9309	7	-1	1	70	-1	-1	15	0	15	100	
00365	1	930A	7	-1	0	-1	-1	-1	12	0	15	100	
00366	0	A0000	7	-1	0	-1	-1	-1	5	0	15	100	
00367	0	A0001	7	-1	0	-1	-1	-1	5	0	15	100	
00368	0	A0002	7	-1	0	-1	-1	-1	5	0	15	100	
00369	0	AF000	7	-1	0	-1	-1	-1	5	1	15	100	
00370	0	AF001	7	-1	0	-1	-1	-1	5	1	15	100	
00371	0	AF002	7	-1	0	-1	-1	-1	5	1	15	100	
00372	0	A0003	7	-1	1	50	-1	-1	5	0	15	100	
00373	0	A0004	7	-1	0	-1	-1	-1	5	0	15	100	
00374	0	A0005	7	-1	0	-1	-1	-1	5	0	15	100	
00375	0	AF004	7	-1	0	-1	-1	-1	5	1	15	100	
00376	0	AF005	7	-1	1	50	-1	-1	5	1	15	100	
00377	0	A0006	7	-1	0	-1	-1	-1	5	0	15	100	
00378	0	A0007	7	-1	3	30	-1	-1	5	0	15	100	
00379	0	A0008	7	-1	0	-1	-1	-1	5	0	15	100	
00380	0	AF006	7	-1	3	50	-1	-1	5	1	15	100	
00381	0	AF007	7	-1	0	-1	-1	-1	5	1	15	100	
00382	0	A100C	7	-1	0	-1	1	50	5	0	15	100	
00383	0	AF00C	7	-1	0	-1	-1	-1	5	1	15	100	
00384	0	AF00D	7	-1	0	-1	-1	-1	5	1	15	100	
00385	0	A100F	7	-1	1	50	3	50	5	0	15	100	
00386	0	A1010	7	-1	0	-1	-1	-1	5	0	15	100	
00387	0	AF00F	7	-1	1	50	3	50	5	1	15	100	
00388	0	AF010	7	-1	0	-1	-1	-1	5	1	15	100	
00389	0	A1012	7	-1	3	30	3	50	5	0	15	100	
00390	0	A1013	7	-1	0	-1	-1	-1	5	0	15	100	
00391	0	AF012	7	-1	3	30	3	50	5	1	15	100	
00392	0	AF203	7	-1	0	-1	3	50	5	1	15	100	
00393	0	AF204	7	-1	0	-1	-1	-1	5	2	15	100	
00394	0	AF205	7	-1	0	-1	-1	-1	5	1	15	100	
00395	0	AF206	7	-1	0	-1	-1	-1	5	2	15	100	
00396	0	AF207	7	-1	1	50	-1	-1	5	1	15	100	
00397	0	AF208	7	-1	0	-1	-1	-1	5	2	15	100	
00398	0	AF209	7	-1	0	-1	-1	-1	5	1	15	100	
00399	0	AF210	7	-1	0	-1	-1	-1	5	2	15	100	
00400	0	AF211	7	-1	3	30	-1	-1	5	1	15	100	
00401	0	AF212	7	-1	0	-1	-1	-1	5	2	15	100	
00402	0	AF213	7	-1	0	-1	-1	-1	5	1	15	100	
00403	0	AF214	7	-1	0	-1	-1	-1	5	2	15	100	
00404	2	7F018	1	-1	0	-1	3	50	5	1	15	100	
00405	2	7F01B	1	-1	0	-1	-1	-1	5	1	15	100	
00406	2	7001E	1	-1	0	-1	-1	-1	5	0	15	100	
00407	2	7F01F	1	-1	0	-1	-1	-1	5	0	15	100	
00408	2	7F020	1	-1	0	-1	-1	-1	5	2	15	100	
00409	2	70021	1	-1	0	-1	-1	-1	5	0	15	100	
00410	2	7F022	1	-1	0	-1	-1	-1	5	0	15	100	
00411	2	7F023	1	-1	0	-1	-1	-1	5	1	15	100	
00412	2	7F024	1	-1	0	-1	-1	-1	5	1	15	100	
00413	2	7F025	1	-1	0	-1	-1	-1	5	1	15	100	
00414	2	8F042	1	-1	0	-1	-1	-1	5	1	15	100	
00415	2	8F043	1	-1	0	-1	-1	-1	5	1	15	100	
00416	2	8F045	1	-1	0	-1	-1	-1	5	1	15	100	
00417	2	80048	1	-1	1	80	1	20	5	0	15	100	
00418	2	8F049	1	-1	0	-1	-1	-1	5	1	15	100	
00419	2	8F04A	1	-1	0	-1	-1	-1	5	1	15	100	
00420	2	8F04B	1	-1	0	-1	-1	-1	5	1	15	100	
00421	2	8F04C	1	-1	0	-1	-1	-1	5	0	15	100	
00422	2	8F04E	1	-1	0	-1	-1	-1	5	1	15	100	
00423	2	4006C	1	-1	0	-1	-1	-1	5	0	15	100	
