byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	END
24	20	20	23	99	23	23	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	0	0	0	0	
25	20	20	24	99	24	24	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	26	1	1	1	0	0	0	0	
26	21	21	25	99	25	25	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	0	0	0	0	
27	22	22	26	99	26	26	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	29	1	1	1	0	0	0	0	
28	23	23	27	99	27	27	1	1	1	31	20	1	1	31	20	1	1	31	20	1	1	31	20	1	1	31	20	1	1	31	20	1	1	31	1	1	1	31	1	1	1	0	0	0	0	
29	23	23	28	99	28	28	1	1	1	33	25	1	1	33	25	1	1	33	25	1	1	33	25	1	1	33	25	1	1	33	25	1	1	33	1	1	1	33	1	1	1	0	0	0	0	
30	25	25	30	99	30	30	1	1	1	35	29	1	1	35	29	1	1	35	29	1	1	35	29	1	1	35	29	1	1	35	29	1	1	35	1	1	1	35	1	1	1	0	0	0	0	
31	28	28	33	99	33	33	1	1	1	37	32	5	1	37	32	5	1	37	32	5	1	37	32	5	1	37	32	5	1	37	32	5	1	37	1	1	1	37	1	1	1	0	0	0	0	
32	30	30	36	99	36	36	1	1	1	40	35	5	1	40	35	5	1	40	35	5	1	40	35	5	1	40	35	5	1	40	35	5	1	40	1	1	1	40	1	1	1	0	0	0	0	
33	33	33	39	99	39	39	1	1	1	42	38	5	1	42	38	5	1	42	38	5	1	42	38	5	1	42	38	5	1	42	38	5	1	42	1	1	1	42	1	1	1	0	0	0	0	
34	35	35	42	99	42	42	1	1	1	45	41	5	1	45	41	5	1	45	41	5	1	45	41	5	1	45	41	5	1	45	41	5	1	45	1	1	1	45	1	1	1	0	0	0	0	
35	38	38	45	99	45	45	1	1	1	48	43	5	1	48	43	5	1	48	43	5	1	48	43	5	1	48	43	5	1	48	43	5	1	48	1	1	1	48	1	1	1	0	0	0	0	
36	40	40	48	99	48	48	1	1	1	51	47	5	1	51	47	5	1	51	47	5	1	51	47	5	1	51	47	5	1	51	47	5	1	51	1	1	1	51	1	1	1	0	0	0	0	
37	43	43	51	99	51	51	1	1	1	54	50	5	1	54	50	5	1	54	50	5	1	54	50	5	1	54	50	5	1	54	50	5	1	54	1	1	1	54	1	1	1	0	0	0	0	
38	45	45	54	99	54	54	1	1	1	57	54	5	1	57	54	5	1	57	54	5	1	57	54	5	1	57	54	5	1	57	54	5	1	57	1	1	1	57	1	1	1	0	0	0	0	
39	48	48	57	99	57	57	1	1	1	61	58	5	1	61	58	5	1	61	58	5	1	61	58	5	1	61	58	5	1	61	58	5	1	61	1	1	1	61	1	1	1	0	0	0	0	
40	50	50	60	99	60	60	1	1	1	65	62	44	1	65	62	44	1	65	62	44	1	65	62	44	1	65	62	44	1	65	62	44	1	65	1	1	1	65	1	1	1	0	0	0	0	
41	53	53	64	99	64	64	1	1	1	69	66	52	1	69	66	52	1	69	66	52	1	69	66	52	1	69	66	52	1	69	66	52	1	69	1	1	1	69	1	1	1	0	0	0	0	
42	56	56	68	99	68	68	1	1	1	74	70	59	1	74	70	59	1	74	70	59	1	74	70	59	1	74	70	59	1	74	70	59	1	74	1	1	1	74	1	1	1	0	0	0	0	
43	60	60	72	99	72	72	1	1	1	79	75	66	5	79	75	66	5	79	75	66	5	79	75	66	5	79	75	66	5	79	75	66	5	79	1	1	1	79	1	1	1	0	0	0	0	
44	60	60	76	99	76	76	1	1	1	85	80	72	5	85	80	72	5	85	80	72	5	85	80	72	5	85	80	72	5	85	80	72	5	85	1	1	1	85	1	1	1	0	0	0	0	
45	60	60	80	99	80	80	1	1	1	91	86	78	5	91	86	78	5	91	86	78	5	91	86	78	5	91	86	78	5	91	86	78	5	91	1	1	1	91	1	1	1	0	0	0	0	
46	60	60	83	99	83	83	1	1	1	98	92	85	5	98	92	85	5	98	92	85	5	98	92	85	5	98	92	85	5	98	92	85	5	98	1	1	1	98	1	1	1	0	0	0	0	
47	60	60	87	99	87	87	1	1	1	99	99	93	73	99	99	93	73	99	99	93	73	99	99	93	73	99	99	93	73	99	99	93	73	99	1	1	1	99	1	1	1	0	0	0	0	
48	60	60	91	99	91	91	1	1	1	99	99	99	91	99	99	99	91	99	99	99	91	99	99	99	91	99	99	99	91	99	99	99	91	99	1	1	1	99	1	1	1	0	0	0	0	
49	60	60	95	99	95	95	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
50	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
51	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
52	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
53	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
54	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
55	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
56	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
57	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
58	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
59	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
60	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
61	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
62	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
63	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
64	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
65	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
66	60	60	99	99	99	99	1	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	0	0	0	0	
