string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	dword	dword	float	dword	dword	float	float	float	float	float	dword	float	float	float	dword	dword	float	float	float	float	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	string[64]	float	float	float	string[64]	float	float	string[64]	float	float	string[64]	float	float	string[64]	float	string[64]	float	dword	float	float	float	float	float	float	float	dword	dword	dword	float	float	float	float	float	float	float	dword	float	float	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	dword	float	float	dword	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	string[64]	dword	dword	END
00400	Флем Страж	081	0	-1	7	5	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	5	0	4	1	2	1	29	42	0	-1	1	0	0	30	65	11	9	-1	0	13	0,5	0,822404027	0	0	25	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	105	0	0	2034	2034	2034	832	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	3	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	768	
00401	Флем Страж	081	0	-1	7	5	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	5	0	4	1	2	1	29	42	0	-1	1	0	0	30	65	11	9	-1	0	13	0,5	0,822404027	0	0	25	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	105	0	0	2034	2034	2034	832	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	3	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	768	
00402	Флем Страж	081	0	-1	7	5	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	5	0	4	1	2	1	29	42	0	-1	1	0	0	30	65	11	9	-1	0	13	0,5	0,822404027	0	0	25	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	105	0	0	2034	2034	2034	832	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	3	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	768	
00502	Вонючий Жук	003	0	-1	4	5	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	5	0	4	1	2	1	29	42	0	-1	1	0	0	30	65	11	9	-1	0	13	0,5	0,822404027	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	105	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	2048	
00900	Стригой	00D	0	-1	4	6	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	6	0	5	1	2	1	36	45	0	-1	1	0	0	30	65	13	10	-1	0	15	0,5	0,82476598	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	141	0	0	2034	2034	2034	736	270	4	30	100	42,5	100	5000	2	5	170	0	68	8000	0	0	1	-1	0	-1	0	-1	0	4	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	768	
00901	Стригой	00D	0	-1	4	6	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	6	0	5	1	2	1	36	45	0	-1	1	0	0	30	65	13	10	-1	0	15	0,5	0,82476598	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	141	0	0	2034	2034	2034	736	270	4	30	100	42,5	100	5000	2	5	170	0	68	8000	0	0	1	-1	0	-1	0	-1	0	4	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	768	
00700	Жаба	084	0	-1	2	6	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	6	0	5	1	2	1	36	45	0	-1	1	0	0	30	65	13	10	-1	0	15	0,5	0,82476598	0	0	25	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	141	0	0	2034	2034	2034	800	270	4	30	100	25	100	5000	1	3	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	1	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00701	Жаба	084	0	-1	2	6	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	6	0	5	1	2	1	36	45	0	-1	1	0	0	30	65	13	10	-1	0	15	0,5	0,82476598	0	0	25	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	141	0	0	2034	2034	2034	800	270	4	30	100	25	100	5000	1	3	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	1	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00702	Жаба	084	0	-1	2	6	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	6	0	5	1	2	1	36	45	0	-1	1	0	0	30	65	13	10	-1	0	15	0,5	0,82476598	0	0	25	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	141	0	0	2034	2034	2034	800	270	4	30	100	25	100	5000	1	3	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	1	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00802	Большой Вонючий Жук	00C	0	-1	4	6	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	6	0	5	1	2	1	36	45	0	-1	1	0	0	30	65	13	10	-1	0	15	0,5	0,82476598	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	141	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	8	
00800	Большой Вонючий Жук	00C	0	-1	4	7	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	7	0	6	1	2	1	46	49	0	-1	1	0	0	30	65	14	12	-1	0	19	0,5	0,809427977	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	182	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	8	
00801	Большой Вонючий Жук	00C	0	-1	4	7	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	7	0	6	1	2	1	46	49	0	-1	1	0	0	30	65	14	12	-1	0	19	0,5	0,809427977	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	182	0	0	2034	2034	2034	608	270	4	30	100	25	100	5000	2	4	100	0	40	8000	0	0	1	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	8	
00601	Армированный Вертобот	083	0	-1	5	7	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	7	0	6	1	2	1	46	49	0	-1	1	0	0	30	65	14	12	-1	0	19	0,5	0,809427977	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	182	0	0	2034	2034	2034	768	270	4	30	100	50	100	5000	4	6	200	0	80	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	9	2	
00602	Армированный Вертобот	083	0	-1	5	7	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	7	0	6	1	2	1	46	49	0	-1	1	0	0	30	65	14	12	-1	0	19	0,5	0,809427977	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	182	0	0	2034	2034	2034	768	270	4	30	100	50	100	5000	4	6	200	0	80	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	9	2	
00902	Стригой	00D	0	-1	4	7	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	7	0	6	1	2	1	46	49	0	-1	1	0	0	30	65	14	12	-1	0	19	0,5	0,809427977	0	0	0	30	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	182	0	0	2034	2034	2034	736	270	4	30	100	42,5	100	5000	2	5	170	0	68	8000	0	0	1	-1	0	-1	0	-1	0	4	0	0	1	20000	50	30	10	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	768	
00B00	Молодой Клаан	086	0	-1	2	8	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	8	0	7	1	2	1	59	57	0	-1	1	0	0	30	65	16	13	-1	0	23	0,5	0,799301982	0	0	35	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	229	0	0	2034	2034	2034	1184	270	4	30	100	56,25	100	5000	3	5	180	0	72	8000	0	0	1	-1	0	-1	0	-1	0	4	0	0	1	20000	50	30	10	75	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	0	-1	-1	0	-1	-1	0	-1	-1	21	256	
00A01	Молодой Саблезуб	085	0	-1	0	8	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	8	0	7	1	2	1	59	57	0	-1	1	0	0	30	65	16	13	-1	0	23	0,5	0,799301982	0	0	0	0	20	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	229	0	0	2034	2034	2034	864	270	4	30	100	31,25	100	5000	2	6	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	8	0	243	0	-1	-1	0	-1	-1	21	1	
00A02	Молодой Саблезуб	085	0	-1	0	8	10000	1	50	30	100	1	0	0	0	0	0	5	10	-1	8	0	7	1	2	1	59	57	0	-1	1	0	0	30	65	16	13	-1	0	23	0,5	0,799301982	0	0	0	0	20	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	229	0	0	2034	2034	2034	864	270	4	30	100	31,25	100	5000	2	6	100	0	40	8000	0	0	0	-1	0	-1	0	-1	0	5	0	0	1	20000	50	30	10	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	7	1	1	8	0	243	0	-1	-1	0	-1	-1	21	1	
