xeh	string[32]	byte	byte	byte	byte	dword	dword	dword	float	ubyte	ubyte	ubyte	byte	float	dword	dword	xeh	dword	dword	dword	dword	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	spcode	dword	dword	END
00401	Флем Страж	-1	0	5	0	105	2034	0	25	2	4	40	0	1	0	0	081	21	768	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	5	
00402	Флем Страж	-1	0	5	0	105	2034	0	25	2	4	40	0	1	0	0	081	21	768	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	5	
00502	Вонючий Жук	-1	0	5	0	105	2034	0	25	2	4	40	0	1	0	0	003	21	2048	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	
00900	Стригой	-1	0	6	0	141	2034	0	42,5	2	5	68	0	1,700000048	0	0	00D	21	768	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	6	
00901	Стригой	-1	0	6	0	141	2034	0	42,5	2	5	68	0	1,700000048	0	0	00D	21	768	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	6	
00700	Жаба	-1	0	6	0	141	2034	0	25	1	3	40	0	1	0	0	084	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	6	
00701	Жаба	-1	0	6	0	141	2034	0	25	1	3	40	0	1	0	0	084	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	6	
00702	Жаба	-1	0	6	0	141	2034	0	25	1	3	40	0	1	0	0	084	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	6	
00802	Большой Вонючий Жук	-1	0	6	0	141	2034	0	25	2	4	40	0	1	0	0	00C	21	8	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	6	
00800	Большой Вонючий Жук	-1	0	7	0	182	2034	0	25	2	4	40	0	1	0	0	00C	21	8	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	7	
00801	Большой Вонючий Жук	-1	0	7	0	182	2034	0	25	2	4	40	0	1	0	0	00C	21	8	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	7	
00601	Армированный Вертобот	-1	0	7	0	182	2034	0	50	4	6	80	0	2	0	0	083	9	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	7	
00602	Армированный Вертобот	-1	0	7	0	182	2034	0	50	4	6	80	0	2	0	0	083	9	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	7	
00902	Стригой	-1	0	7	0	182	2034	0	42,5	2	5	68	0	1,700000048	0	0	00D	21	768	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	7	
00B00	Молодой Клаан	-1	0	8	0	229	2034	0	56,25	3	5	72	0	1,799999952	0	0	086	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	8	
00A01	Молодой Саблезуб	-1	0	8	0	229	2034	0	31,25	2	6	40	0	1	0	0	085	21	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	8	
00A02	Молодой Саблезуб	-1	0	8	0	229	2034	0	31,25	2	6	40	0	1	0	0	085	21	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	8	
00A00	Молодой Саблезуб	-1	0	9	0	280	2034	0	31,25	2	6	40	0	1	0	0	085	21	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	9	
00D00	Раптор	-1	0	9	0	280	2034	0	31,25	3	6	18	0	0,100000001	0	0	087	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	9	
00D01	Раптор	-1	0	9	0	280	2034	0	31,25	3	6	18	0	0,100000001	0	0	087	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	9	
00E01	Золотой Стригой	-1	0	9	0	280	2034	0	50	2	5	80	0	2	0	0	013	21	768	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	9	
00E02	Золотой Стригой	-1	0	9	0	280	2034	0	50	2	5	80	0	2	0	0	013	21	768	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	9	
00E00	Золотой Стригой	-1	0	10	0	332	2034	0	50	2	5	80	0	2	0	0	013	21	768	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	10	
00C00	Ратозверь	-1	0	10	0	332	2034	0	31,25	2	4	40	0	1	0	0	018	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10	
00C01	Ратозверь	-1	0	10	0	332	2034	0	31,25	2	4	40	0	1	0	0	018	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10	
00D02	Раптор	-1	0	10	0	332	2034	0	31,25	3	6	18	0	0,100000001	0	0	087	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	10	
00F00	Молотоглав	-1	0	11	0	392	2034	0	31,25	2	4	40	0	1	0	0	01B	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	11	
00F01	Молотоглав	-1	0	11	0	392	2034	0	31,25	2	4	40	0	1	0	0	01B	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	11	
00F02	Молотоглав	-1	0	11	0	392	2034	0	31,25	2	4	40	0	1	0	0	01B	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	11	
01000	Саблезуб	-1	0	12	0	458	2034	0	31,25	3	6	40	0	1	0	0	021	3	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	12	
00C02	Ратозверь	-1	0	12	0	458	2034	0	31,25	2	4	40	0	1	0	0	018	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	12	
00B01	Молодой Клаан	-1	0	12	0	458	2034	0	56,25	3	5	72	0	1,799999952	0	0	086	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	12	
00B02	Молодой Клаан	-1	0	12	0	458	2034	0	56,25	3	5	72	0	1,799999952	0	0	086	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	12	
01100	Шипоголов Воин	-1	0	13	0	531	2034	0	31,25	3	6	40	0	1	0	0	022	4	513	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	13	
01001	Саблезуб	-1	0	13	0	531	2034	0	31,25	3	6	40	0	1	0	0	021	3	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	
01002	Саблезуб	-1	0	13	0	531	2034	0	31,25	3	6	40	0	1	0	0	021	3	1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	
01200	Взрослый Ратозверь	-1	0	14	0	605	2034	0	37,5	2	4	40	0	1	0	0	027	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	
01101	Шипоголов Воин	-1	0	14	0	605	2034	0	31,25	3	6	40	0	1	0	0	022	4	513	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	14	
01102	Шипоголов Воин	-1	0	14	0	605	2034	0	31,25	3	6	40	0	1	0	0	022	4	513	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	14	
01401	Клаан	-1	0	14	0	605	2034	0	75	3	5	80	0	2	0	0	089	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	14	
01402	Клаан	-1	0	14	0	605	2034	0	75	3	5	80	0	2	0	0	089	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	14	
01400	Клаан	-1	0	15	0	687	2034	0	75	3	5	80	0	2	0	0	089	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	15	
01201	Взрослый Ратозверь	-1	0	15	0	687	2034	0	37,5	2	4	40	0	1	0	0	027	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	
01202	Взрослый Ратозверь	-1	0	15	0	687	2034	0	37,5	2	4	40	0	1	0	0	027	21	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	
01301	Молодой Раптор	-1	0	15	0	687	2034	0	37,5	3	6	21,60000038	0	0,119999997	0	0	088	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	15	
01302	Молодой Раптор	-1	0	15	0	687	2034	0	37,5	3	6	21,60000038	0	0,119999997	0	0	088	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	15	
01300	Молодой Раптор	-1	0	16	0	769	2034	0	37,5	3	6	21,60000038	0	0,119999997	0	0	088	21	256	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	16	
01700	Змееголов Метатель	-1	0	16	0	769	2034	0	37,5	3	5	40	0	1	0	0	031	23	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	16	
01701	Змееголов Метатель	-1	0	16	0	769	2034	0	37,5	3	5	40	0	1	0	0	031	23	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	16	
01602	Аргол	-1	0	16	0	769	2034	0	37,5	3	5	40	0	1	0	0	030	21	8	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	16	
01500	Синий Молотоглав	-1	0	17	0	860	2034	0	31,25	2	4	40	0	1	0	0	02D	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	17	
01501	Синий Молотоглав	-1	0	17	0	860	2034	0	31,25	2	4	40	0	1	0	0	02D	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	17	
01502	Синий Молотоглав	-1	0	17	0	860	2034	0	31,25	2	4	40	0	1	0	0	02D	21	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	17	
01600	Аргол	-1	0	18	0	953	2034	0	37,5	3	5	40	0	1	0	0	030	21	8	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	18	
01601	Аргол	-1	0	18	0	953	2034	0	37,5	3	5	40	0	1	0	0	030	21	8	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	18	
01702	Змееголов Метатель	-1	0	18	0	953	2034	0	37,5	3	5	40	0	1	0	0	031	23	513	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	18	
01900	Трицератопс	-1	0	19	0	1054	2034	0	37,5	2	4	40	0	1	0	0	03C	14	2049	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	
01B00	Красный Раптор	-1	0	19	0	1054	2034	0	26,25	3	6	12,60000038	0	0,07	0	0	08F	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	19	
01B01	Красный Раптор	-1	0	19	0	1054	2034	0	26,25	3	6	12,60000038	0	0,07	0	0	08F	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	19	
01A02	Аргулин	-1	0	19	0	1054	2034	0	37,5	3	4	40	0	1	0	0	048	21	8	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	19	
01800	Скорпион	-1	0	20	0	1108	2034	0	37,5	2	4	30	0	1	0	0	036	21	8	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	20	
01801	Скорпион	-1	0	20	0	1108	2034	0	37,5	2	4	30	0	1	0	0	036	21	8	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	20	
01802	Скорпион	-1	0	20	0	1108	2034	0	37,5	2	4	30	0	1	0	0	036	21	8	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	20	
01901	Трицератопс	-1	0	20	0	1108	2034	0	37,5	2	4	40	0	1	0	0	03C	14	2049	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	
01902	Трицератопс	-1	0	20	0	1108	2034	0	37,5	2	4	40	0	1	0	0	03C	14	2049	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	
01A00	Аргулин	-1	0	21	0	1160	2034	0	37,5	3	4	40	0	1	0	0	048	21	8	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	21	
01A01	Аргулин	-1	0	21	0	1160	2034	0	37,5	3	4	40	0	1	0	0	048	21	8	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	21	
01B02	Красный Раптор	-1	0	21	0	1160	2034	0	26,25	3	6	12,60000038	0	0,07	0	0	08F	21	256	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	21	
01E00	Шипоголов Стрелок	-1	0	22	0	1211	2034	1	120	3	6	40	0	1	0	0	03D	17	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	22	
01E01	Шипоголов Стрелок	-1	0	22	0	1211	2034	1	120	3	6	40	0	1	0	0	03D	17	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	22	
01C01	Мехозавр	-1	0	22	0	1211	2034	1	120	2	4	40	0	1	0	0	08E	14	264	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	22	
01D02	Дроид	-1	0	22	0	1211	2034	1	120	2	6	40	0	1	0	0	08A	15	768	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	22	
01C00	Мехозавр	-1	0	23	0	1260	2034	1	120	2	4	40	0	1	0	0	08E	14	264	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	23	
01C02	Мехозавр	-1	0	23	0	1260	2034	1	120	2	4	40	0	1	0	0	08E	14	264	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	23	
01D00	Дроид	-1	0	23	0	1260	2034	1	120	2	6	40	0	1	0	0	08A	15	768	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	23	
01D01	Дроид	-1	0	23	0	1260	2034	1	120	2	6	40	0	1	0	0	08A	15	768	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	23	
01E02	Шипоголов Стрелок	-1	0	23	0	1260	2034	1	120	3	6	40	0	1	0	0	03D	17	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	23	
01F00	Синий Скорпион	-1	0	24	0	1310	2034	0	37,5	2	4	40	0	1	0	0	04B	21	8	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	24	
01F01	Синий Скорпион	-1	0	24	0	1310	2034	0	37,5	2	4	40	0	1	0	0	04B	21	8	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	24	
01F02	Синий Скорпион	-1	0	24	0	1310	2034	0	37,5	2	4	40	0	1	0	0	04B	21	8	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	24	
02000	Лобстер	-1	0	24	0	1310	2034	0	43,75	2	4	40	0	1	0	0	042	21	8	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	24	
02001	Лобстер	-1	0	24	0	1310	2034	0	43,75	2	4	40	0	1	0	0	042	21	8	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	24	
02002	Лобстер	-1	0	24	0	1310	2034	0	43,75	2	4	40	0	1	0	0	042	21	8	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	24	
02300	Ящер	-1	0	25	0	1351	2034	0	37,5	2	4	40	0	1	0	0	045	21	2049	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	25	
02301	Ящер	-1	0	25	0	1351	2034	0	37,5	2	4	40	0	1	0	0	045	21	2049	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	25	
02101	Культист Боец	-1	0	25	0	1351	2034	0	43,75	2	4	40	0	1	0	0	05D	21	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	25	
02102	Культист Боец	-1	0	25	0	1351	2034	0	43,75	2	4	40	0	1	0	0	05D	21	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	25	
02202	Змееголов Воин	-1	0	25	0	1351	2034	0	37,5	3	5	40	0	1	0	0	046	2	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	25	
046A0	Воин Лазувардинов	-1	0	25	0	1351	2034	0	56,25	1,5	2,25	60	0	1,5	0	0	071	1	258	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	25	
02400	Скарабей	-1	0	26	0	1409	2034	0	26,25	2	4	28	0	0,699999988	0	0	039	21	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	26	
02401	Скарабей	-1	0	26	0	1409	2034	0	26,25	2	4	28	0	0,699999988	0	0	039	21	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	26	
02402	Скарабей	-1	0	26	0	1409	2034	0	26,25	2	4	28	0	0,699999988	0	0	039	21	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	26	
02100	Культист Боец	-1	0	27	0	1456	2034	0	43,75	2	4	40	0	1	0	0	05D	21	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	27	
02200	Змееголов Воин	-1	0	27	0	1456	2034	0	37,5	3	5	40	0	1	0	0	046	2	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	27	
02201	Змееголов Воин	-1	0	27	0	1456	2034	0	37,5	3	5	40	0	1	0	0	046	2	513	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	27	
02302	Ящер	-1	0	27	0	1456	2034	0	37,5	2	4	40	0	1	0	0	045	21	2049	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	27	
048A0	Воительница Лазувардинов	-1	0	27	0	1456	2034	0	56,25	2	6	60	0	1,5	0	0	07B	1	256	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	27	
02700	Призрак	-1	0	28	0	1502	2034	1	120	2	6	40	0	1	0	0	08C	9	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	28	
02500	Бронированный Мехозавр	-1	0	28	0	1502	2034	1	120	2	4	40	0	1	0	0	096	14	512	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
02501	Бронированный Мехозавр	-1	0	28	0	1502	2034	1	120	2	4	40	0	1	0	0	096	14	512	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
02602	Дроид Воин	-1	0	28	0	1502	2034	1	120	3	6	40	0	1	0	0	091	15	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	28	
047A0	Тролль Лазувардинов	-1	0	28	0	1502	2034	0	87,5	2	3	80	0	2	0	0	076	4	256	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	28	
02800	Скарабей Секач	-1	0	29	0	1550	2034	0	31,875	2	4	34	0	0,850000024	0	0	051	21	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	29	
02801	Скарабей Секач	-1	0	29	0	1550	2034	0	31,875	2	4	34	0	0,850000024	0	0	051	21	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	29	
02802	Скарабей Секач	-1	0	29	0	1550	2034	0	31,875	2	4	34	0	0,850000024	0	0	051	21	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	29	
02600	Дроид Воин	-1	0	30	0	1612	2034	1	120	3	6	40	0	1	0	0	091	15	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	30	
02601	Дроид Воин	-1	0	30	0	1612	2034	1	120	3	6	40	0	1	0	0	091	15	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	30	
02502	Бронированный Мехозавр	-1	0	30	0	1612	2034	1	120	2	4	40	0	1	0	0	096	14	512	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	30	
02701	Призрак	-1	0	30	0	1612	2034	1	120	2	6	40	0	1	0	0	08C	9	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	30	
02702	Призрак	-1	0	30	0	1612	2034	1	120	2	6	40	0	1	0	0	08C	9	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	30	
