byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	END
43	89	89	89	99	72	72	99	99	99	89	1	1	1	89	1	1	1	89	1	1	1	89	1	1	1	89	1	1	1	89	1	1	1	99	26	1	1	99	26	1	1	0	0	0	0	
44	94	94	94	99	76	76	99	99	99	94	1	1	1	94	1	1	1	94	1	1	1	94	1	1	1	94	1	1	1	94	1	1	1	99	33	1	1	99	33	1	1	0	0	0	0	
45	99	99	99	99	80	80	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	40	1	1	99	40	1	1	0	0	0	0	
46	99	99	99	99	83	83	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	47	1	1	99	47	1	1	0	0	0	0	
47	99	99	99	99	87	87	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	54	1	1	99	54	1	1	0	0	0	0	
48	99	99	99	99	91	91	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	61	1	1	99	61	1	1	0	0	0	0	
49	99	99	99	99	95	95	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
50	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
51	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
52	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
53	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
54	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
55	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
56	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
57	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
58	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
59	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
60	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
61	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
62	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
63	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
64	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
65	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
66	99	99	99	99	99	99	99	99	99	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	1	1	1	99	66	1	1	99	66	1	1	0	0	0	0	
