byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	END
13	16	11	13	99	13	13	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	13	1	1	1	9	1	1	1	0	0	0	0	
14	17	12	14	99	14	14	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	9	1	1	1	14	1	1	1	9	1	1	1	0	0	0	0	
15	18	13	15	99	15	15	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	15	1	1	1	10	1	1	1	0	0	0	0	
16	19	14	16	99	16	16	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	16	1	1	1	11	1	1	1	0	0	0	0	
17	20	14	17	99	17	17	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	11	1	1	1	17	1	1	1	11	1	1	1	0	0	0	0	
18	21	15	18	99	18	18	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	12	1	1	1	18	1	1	1	12	1	1	1	0	0	0	0	
19	22	16	19	99	19	19	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	19	1	1	1	13	1	1	1	0	0	0	0	
20	23	17	20	99	20	20	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	13	1	1	1	20	1	1	1	13	1	1	1	0	0	0	0	
21	24	17	21	99	21	21	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	14	1	1	1	21	1	1	1	14	1	1	1	0	0	0	0	
22	25	18	22	99	22	22	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	15	1	1	1	22	1	1	1	15	1	1	1	0	0	0	0	
23	26	19	23	99	23	23	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	16	1	1	1	24	1	1	1	16	1	1	1	0	0	0	0	
24	28	20	23	99	23	23	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	25	1	1	1	17	1	1	1	0	0	0	0	
25	29	20	24	99	24	24	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	26	1	1	1	17	1	1	1	0	0	0	0	
26	30	21	25	99	25	25	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	28	1	1	1	19	1	1	1	0	0	0	0	
27	31	22	26	99	26	26	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	29	1	1	1	19	1	1	1	0	0	0	0	
28	32	23	27	99	27	27	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	31	20	1	1	21	1	1	1	0	0	0	0	
29	33	23	28	99	28	28	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	33	25	1	1	22	1	1	1	0	0	0	0	
30	35	25	30	99	30	30	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	35	29	1	1	23	1	1	1	0	0	0	0	
31	39	28	33	99	33	33	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	37	32	5	1	25	1	1	1	0	0	0	0	
32	43	30	36	99	36	36	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	40	35	5	1	27	1	1	1	0	0	0	0	
33	47	33	39	99	39	39	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	42	38	5	1	28	1	1	1	0	0	0	0	
34	51	35	42	99	42	42	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	45	41	5	1	30	1	1	1	0	0	0	0	
35	55	38	45	99	45	45	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	48	43	5	1	32	1	1	1	0	0	0	0	
36	59	40	48	99	48	48	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	51	47	5	1	34	1	1	1	0	0	0	0	
37	63	43	51	99	51	51	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	54	50	5	1	36	1	1	1	0	0	0	0	
38	67	45	54	99	54	54	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	57	54	5	1	38	1	1	1	0	0	0	0	
39	71	48	57	99	57	57	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	61	58	5	1	41	1	1	1	0	0	0	0	
40	75	50	60	99	60	60	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	65	62	44	1	43	1	1	1	0	0	0	0	
41	80	53	64	99	64	64	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	69	66	52	1	46	1	1	1	0	0	0	0	
42	85	56	68	99	68	68	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	74	70	59	1	49	1	1	1	0	0	0	0	
43	89	60	72	99	72	72	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	79	75	66	5	53	1	1	1	0	0	0	0	
44	94	60	76	99	76	76	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	85	80	72	5	57	1	1	1	0	0	0	0	
45	99	60	80	99	80	80	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	91	86	78	5	61	1	1	1	0	0	0	0	
46	99	60	83	99	83	83	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	98	92	85	5	65	1	1	1	0	0	0	0	
47	99	60	87	99	87	87	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	93	73	66	1	1	1	0	0	0	0	
48	99	60	91	99	91	91	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	91	66	1	1	1	0	0	0	0	
49	99	60	95	99	95	95	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
50	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
51	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
52	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
53	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
54	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
55	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
56	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
57	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
58	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
59	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
60	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
61	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
62	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
63	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
64	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
65	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
66	99	60	99	99	99	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	66	1	1	1	0	0	0	0	
