dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
15	0	24154	510	50	26	2000	4	2000	1082	62	16	28	0	0	0	7	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
16	0	27444	550	50	26	2000	4	2000	1201	74	16	32	0	0	0	8	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
17	0	30986	600	50	28	2000	4	2000	1313	85	16	35	0	0	0	8	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
18	0	34811	700	50	28	2000	4	2000	1433	98	16	35	0	0	0	9	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
19	0	38967	760	50	30	2000	4	2000	1562	113	16	39	0	0	0	9	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
20	0	43533	870	50	30	2000	4	2000	1701	129	16	42	0	0	0	10	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
21	0	48635	950	50	32	2000	4	2000	2452	145	16	52	0	0	0	11	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
22	0	54476	1020	50	32	2000	4	2000	2612	166	16	56	0	0	0	12	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
23	0	61384	1180	50	34	2000	4	2000	2785	189	16	60	0	0	0	12	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
24	0	69894	1440	50	34	2000	4	2000	2960	213	16	64	0	0	0	13	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
25	0	80874	1540	50	36	2000	4	2000	3148	239	16	68	0	0	0	14	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
26	0	95742	1780	50	36	2000	4	2000	3334	266	16	76	0	0	0	16	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
27	0	116819	2130	50	38	2000	4	2000	3526	294	16	80	0	0	0	17	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
28	0	147915	2270	50	38	2000	4	2000	3734	322	16	88	0	0	0	18	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
29	0	195306	2670	50	40	2000	4	2000	3945	352	16	96	0	0	0	20	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
30	0	269354	3130	50	40	2000	4	2000	4161	383	16	104	0	0	0	21	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
31	0	387224	3220	50	42	2000	4	2000	4638	417	16	112	0	0	0	23	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
32	0	577429	3820	50	42	2000	4	2000	4888	450	16	120	0	0	0	25	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
33	0	887473	4400	50	44	2000	4	2000	5139	486	16	132	0	0	0	27	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
34	0	1396732	4870	50	44	2000	4	2000	5409	523	16	148	0	0	0	30	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
35	0	2238226	5650	50	46	2000	4	2000	5684	561	16	160	0	0	0	32	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
36	0	3635531	6600	50	46	2000	4	2000	5958	600	16	176	0	0	0	36	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
37	0	5965520	7220	50	48	2000	4	2000	6259	640	16	196	0	0	0	39	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
38	0	9865347	8410	50	48	2000	4	2000	6557	682	16	216	0	0	0	43	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
39	0	16415364	9840	50	50	2000	4	2000	6874	727	16	244	0	0	0	48	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
40	0	27452782	10720	50	50	2000	4	2000	7194	772	16	255	0	0	0	53	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
41	0	46111082	12540	50	52	2000	4	2000	9404	817	16	255	0	0	0	59	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
42	0	77750319	14670	50	52	2000	4	2000	9840	864	16	255	0	0	0	66	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
43	0	131566211	16020	50	52	2000	4	2000	10285	915	16	255	0	0	0	74	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
44	0	223381318	18100	50	54	2000	4	2000	10716	962	16	255	0	0	0	83	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
45	0	380500681	19890	50	54	2000	4	2000	11117	1008	16	255	0	0	0	94	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
46	0	650183261	20380	50	56	2000	4	2000	11973	1056	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
47	0	1114464409	21530	50	56	2000	4	2000	12408	1104	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
48	0	1916165673	23640	50	58	2000	4	2000	12856	1153	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
49	0	3304667570	24030	50	58	2000	4	2000	13312	1205	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
50	0	4000000000	26260	50	60	2000	4	2000	16538	1256	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1800	300	6	6	20	0	1	1	7	0	
51	0	9200000000	28490	50	60	2000	4	2000	21252	1767	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
52	0	21160000000	30720	50	62	2000	4	2000	24127	2035	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
53	0	48668000000	32950	50	62	2000	4	2000	25518	2170	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
54	0	111936400000	35180	50	64	2000	4	2000	26924	2302	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
55	0	257453720000	37410	50	64	2000	4	2000	28307	2438	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
56	0	592143556000	39640	50	66	2000	4	2000	31678	2571	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
57	0	1361930178800	41870	50	66	2000	4	2000	33143	2705	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
58	0	3132439411240	44100	50	68	2000	4	2000	34634	2839	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
59	0	7204610645852	46330	50	68	2000	4	2000	36107	2974	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
60	0	16570604485459	48560	50	70	2000	4	2000	37578	3107	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
61	0	38112390316557	50790	50	70	2000	4	2000	39039	3242	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
62	0	87658497728081	53020	50	72	2000	4	2000	40525	3376	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
63	0	201614544774587	55250	50	72	2000	4	2000	41992	3510	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
64	0	463713452981550	57480	50	74	2000	4	2000	43457	3644	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
65	0	1066540941857560	59710	50	74	2000	4	2000	44919	3779	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
66	0	2453044166272400	59710	50	74	2000	4	2000	44919	3779	16	255	0	0	0	99	0	0	0	0	0	0	-1	50	50	50	50	1500	300	6	6	20	0	1	1	7	0	
