dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
38	0	9865347	6728	50	38	2000	4	2000	796	2920	16	216	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,04	1	512	0	
39	0	16415364	7872	50	40	2000	4	2000	852	3329	16	244	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,05	1	512	0	
40	0	27452782	8576	50	40	2000	4	2000	913	3778	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,06	1	512	0	
41	0	46111082	12540	50	52	2000	4	2000	1949	2575	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,08	1	512	0	
42	0	77750319	14670	50	52	2000	4	2000	2049	3261	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,09	1	512	0	
43	0	131566211	16020	50	52	2000	4	2000	2155	4014	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,1	1	512	0	
44	0	223381318	18100	50	54	2000	4	2000	2263	4984	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,11	1	512	0	
45	0	380500681	19890	50	54	2000	4	2000	2371	6074	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,12	1	512	0	
46	0	650183261	20380	50	56	2000	4	2000	2580	8342	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,14	1	512	0	
47	0	1114464409	21530	50	56	2000	4	2000	2710	8999	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,15	1	512	0	
48	0	1916165673	23640	50	58	2000	4	2000	2853	12477	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,16	1	512	0	
49	0	3304667570	24030	50	58	2000	4	2000	3008	13004	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,17	1	512	0	
50	0	4000000000	39390	50	90	2000	4	2000	3758	14870	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,18	1	512	0	
51	0	9200000000	42735	50	90	2000	4	2000	4203	19864	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,19	1	512	0	
52	0	21160000000	46080	50	93	2000	4	2000	5005	23138	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,2	1	512	0	
53	0	48668000000	49425	50	93	2000	4	2000	5593	32823	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,21	1	512	0	
54	0	111936400000	52770	50	96	2000	4	2000	6274	40000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,22	1	512	0	
55	0	257453720000	56115	50	96	2000	4	2000	7056	49000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,23	1	512	0	
56	0	592143556000	59460	50	99	2000	4	2000	7376	50000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,24	1	512	0	
57	0	1361930178800	60000	50	99	2000	4	2000	7690	51000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,25	1	512	0	
58	0	3132439411240	60000	50	102	2000	4	2000	8008	52000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,26	1	512	0	
59	0	7204610645852	60000	50	102	2000	4	2000	8320	53000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,27	1	512	0	
60	0	16570604485459	60000	50	105	2000	4	2000	8630	55000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,28	1	512	0	
61	0	38112390316557	60000	50	105	2000	4	2000	8936	56000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,29	1	512	0	
62	0	87658497728081	60000	50	108	2000	4	2000	9246	57000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,3	1	512	0	
63	0	201614544774587	60000	50	108	2000	4	2000	9550	58000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,31	1	512	0	
64	0	463713452981550	60000	50	111	2000	4	2000	9852	59000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,32	1	512	0	
65	0	1066540941857560	60000	50	111	2000	4	2000	10152	60000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,33	1	512	0	
66	0	2453044166272400	60000	50	111	2000	4	2000	10152	60000	16	255	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	2000	45	6	6	20	0	1,33	1	512	0	
