dword	dword	qword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	byte	byte	byte	byte	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	float	byte	byte	byte	byte	float	dword	dword	dword	END
27	0	1921740	2130	50	38	2000	4	2000	386	587	16	20	0	0	0	17	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
28	0	2375852	2270	50	38	2000	4	2000	409	644	16	22	0	0	0	18	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
29	0	3017319	2670	50	40	2000	4	2000	441	704	16	24	0	0	0	20	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
30	0	3923093	3130	50	40	2000	4	2000	474	767	16	26	0	0	0	21	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
31	0	5203666	3220	50	42	2000	4	2000	507	833	16	28	0	0	0	23	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
32	0	7054836	3820	50	42	2000	4	2000	550	899	16	30	0	0	0	25	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
33	0	9683520	4400	50	44	2000	4	2000	584	972	16	33	0	0	0	27	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
34	0	13519044	4870	50	44	2000	4	2000	636	1047	16	37	0	0	0	30	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
35	0	18999982	5650	50	46	2000	4	2000	680	1123	16	40	0	0	0	32	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
36	0	26899867	6600	50	46	2000	4	2000	732	1199	16	44	0	0	0	36	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
37	0	38318327	7220	50	48	2000	4	2000	793	1280	16	49	0	0	0	39	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
38	0	54761153	8410	50	48	2000	4	2000	854	1364	16	54	0	0	0	43	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
39	0	78536394	9840	50	50	2000	4	2000	923	1453	16	61	0	0	0	48	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
40	0	112957874	10720	50	50	2000	4	2000	999	1544	16	68	0	0	0	53	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
41	0	162925381	12540	50	52	2000	4	2000	1082	1634	16	76	0	0	0	59	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
42	0	235524123	14670	50	52	2000	4	2000	1172	1729	16	85	0	0	0	66	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
43	0	341605232	16020	50	52	2000	4	2000	1275	1829	16	96	0	0	0	74	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
44	0	491359542	18100	50	54	2000	4	2000	1337	1924	16	99	0	0	0	83	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
45	0	697811493	19890	50	54	2000	4	2000	1367	2017	16	99	0	0	0	94	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
46	0	982779911	20380	50	56	2000	4	2000	1397	2111	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
47	0	1376895753	21530	50	56	2000	4	2000	1427	2208	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
48	0	1922845767	23640	50	58	2000	4	2000	1457	2306	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
49	0	2680743467	24030	50	58	2000	4	2000	1487	2409	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
50	0	4000000000	26260	50	60	2000	4	2000	1516	2512	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1575	225	6	6	20	0	0,42	0	1041	0	
51	0	9200000000	28490	50	60	2000	4	2000	1701	2717	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
52	0	21160000000	30720	50	62	2000	4	2000	1865	3130	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
53	0	48668000000	32950	50	62	2000	4	2000	2034	3337	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
54	0	111936400000	35180	50	64	2000	4	2000	2208	3543	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
55	0	257453720000	37410	50	64	2000	4	2000	2387	3750	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
56	0	592143556000	39640	50	66	2000	4	2000	2475	3955	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
57	0	1361930178800	41870	50	66	2000	4	2000	2564	4162	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
58	0	3132439411240	44100	50	68	2000	4	2000	2655	4368	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
59	0	7204610645852	46330	50	68	2000	4	2000	2748	4575	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
60	0	16570604485459	48560	50	70	2000	4	2000	2843	4780	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
61	0	38112390316557	50790	50	70	2000	4	2000	2939	4988	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
62	0	87658497728081	53020	50	72	2000	4	2000	3036	5194	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
63	0	201614544774587	55250	50	72	2000	4	2000	3135	5400	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
64	0	463713452981550	57480	50	74	2000	4	2000	3236	5606	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
65	0	1066540941857560	59710	50	74	2000	4	2000	3338	5813	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
66	0	2453044166272400	59710	50	74	2000	4	2000	3338	5813	16	99	0	0	0	99	0	0	0	0	0	0	-1	0	0	0	0	1400	225	6	6	20	0	0,42	0	1041	0	
