byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	END
24	20	28	23	99	16	23	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	25	1	1	1	0	0	0	0	
25	20	29	24	99	16	24	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	17	1	1	1	26	1	1	1	0	0	0	0	
26	21	30	25	99	17	25	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	28	1	1	1	0	0	0	0	
27	22	31	26	99	18	26	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	19	1	1	1	29	1	1	1	0	0	0	0	
28	23	32	27	99	18	27	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	21	1	1	1	31	20	1	1	0	0	0	0	
29	23	33	28	99	19	28	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	22	1	1	1	33	25	1	1	0	0	0	0	
30	25	35	30	99	20	30	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	23	1	1	1	35	29	1	1	0	0	0	0	
31	28	39	33	99	22	33	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	25	1	1	1	37	32	5	1	0	0	0	0	
32	30	43	36	99	23	36	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	27	1	1	1	40	35	5	1	0	0	0	0	
33	33	47	39	99	25	39	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	28	1	1	1	42	38	5	1	0	0	0	0	
34	35	51	42	99	26	42	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	30	1	1	1	45	41	5	1	0	0	0	0	
35	38	55	45	99	28	45	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	32	1	1	1	48	43	5	1	0	0	0	0	
36	40	59	48	99	29	48	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	34	1	1	1	51	47	5	1	0	0	0	0	
37	43	63	51	99	31	51	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	36	1	1	1	54	50	5	1	0	0	0	0	
38	45	67	54	99	32	54	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	38	1	1	1	57	54	5	1	0	0	0	0	
39	48	71	57	99	34	57	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	41	1	1	1	61	58	5	1	0	0	0	0	
40	50	75	60	99	35	60	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	43	1	1	1	65	62	44	1	0	0	0	0	
41	53	80	64	99	38	64	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	46	1	1	1	69	66	52	1	0	0	0	0	
42	56	85	68	99	41	68	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	49	1	1	1	74	70	59	1	0	0	0	0	
43	60	89	72	99	44	72	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	53	1	1	1	79	75	66	5	0	0	0	0	
44	60	94	76	99	47	76	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	57	1	1	1	85	80	72	5	0	0	0	0	
45	60	99	80	99	51	80	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	61	1	1	1	91	86	78	5	0	0	0	0	
46	60	99	83	99	54	83	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	65	1	1	1	98	92	85	5	0	0	0	0	
47	60	99	87	99	57	87	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	93	73	0	0	0	0	
48	60	99	91	99	60	91	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	91	0	0	0	0	
49	60	99	95	99	60	95	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
50	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
51	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
52	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
53	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
54	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
55	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	99	0	0	0	0	
56	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	1	0	0	0	0	
57	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	1	0	0	0	0	
58	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	1	0	0	0	0	
59	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	1	0	0	0	0	
60	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	1	0	0	0	0	
61	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	5	0	0	0	0	
62	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	5	0	0	0	0	
63	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	5	0	0	0	0	
64	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	5	0	0	0	0	
65	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	5	0	0	0	0	
66	60	99	99	99	60	99	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	66	1	1	1	99	99	99	5	0	0	0	0	
