dword	text	END	
94	Новый убийственный вирус		
95	Новый убийственный вирус		
96	Новый убийственный вирус		
97	Новый убийственный вирус		
98	Спрос и предложение		
99	Штурм		
100	Штурм		
101	Штурм		
102	Штурм		
103	Охота на Медведок		
104	Вирус Копье Скарабея		
105	Вирус Копье Скарабея		
106	Вирус Копье Скарабея		
107	Вирус Копье Скарабея		
108	Русалки		
109	Истребление Культистов		
110	Истребление Культистов		
111	Истребление Культистов		
112	Истребление Культистов		
113	Твари Новуса		
114	Запасы ресурсов		
115	Новое задание от Зеленоглаза		
116	Охота на Скарабея		
117	121  Уничтожьте 20 Змееголовов Метателей и устраните тем угрозу АванПосту. Найти их можно в Охотничьей Пещере и на Лунных Равнинах.		
118	Инфекция Мясного Слизня		
119	Дикие Богомолы		
120	Задание от Калусы		
121	Неожиданное нападение		
122	Предатели		
123	Рапорт Разведки		
124	Офицеры Предатели		
125	Рапорт Разведки		
126	Начало террористической атаки		
127	Идентификация пиратов  Караван		
128	Личная сделка		
129	Уничтожение террористов		
130	Организовать террор		
131	Составляющие части оборудования		
132	Задание от Калусы		
133	Предательство		
134	Атака в Сеттовой пустыне		
135	Механический Терроризм		
136	Сбор информации		
137	Атака Укрепления Коры		
138	Возвращать добро		
139	Разоблачение террористов		
140	Трофеи Калиан		
141	Неконтролируемые монстры		
142	Охота на Жука		
143	Препятствия в изучении		
144	Секретная кампания		
145	Монстры, рожденные из магмы		
146	Причина необычного роста		
147	Истребить Яростных Скарабеев		
148	Следы падения		
149	Исследование Бельфегора		
150	Определение степени заражения вирусом		
151	Ликвидировать Царя Богомолов		
152	Каменный Монстр		
153	Уничтожить Хранителя Кровавого Культа		
154	Идентификация Гигантского Орка		
155	Использование вируса		
156	Принцесса Калиана		
157	Стражник Элана		
158	Принцесса Калиан, предводительница террористов		
159	Уничтожение Имперского Разрушителя		
160	Ликвидация Имперского Разрушителя		
161	Смена места обитания		
162	Атака Ренегатов		
163	Просьба Калусы		
164	Знаки алтаря на Элане		
165	Свойства дерева Новуса		
166	Экспериментальный экземпляр вируса геродиан		
167	Ликвидация Бельфегора		
168	Второй помощник Ренегата		
169	Испытание на прочность		
170	Испытание на прочность		
171	Испытание на прочность		
172	Испытание на прочность		
173	Испытание на прочность		
174	Испытание на прочность		
175	Пробуждение		
176	Поимка Бельфегора и Геродиан		
177	Предзнаменование		
178	Предзнаменование		
179	Предзнаменование		
180	Приручение зверя		
181	Приручение зверя		
182	Хранитель Древнего Царства		
183	Хранитель Древнего Царства		
184	Следы дрессировки		
185	Идентификация Новой Земли		
186	Хранитель Тропы Древних		
187	По направлению к Земле Изгнанников		
188	Альянс Новуса		
189	Враг Земель Изгнанников		
190	Встреча с Муни		
191	Образцы по запросу		
192	Восстановление снабжения		
193	Восстановление снабжения		
194	Восстановление снабжения		
195	Восстановление снабжения		
196	Разрушение пищевой цепочки		
197	Образцы фауны		
198	Охота на Арголов		
199	Охота на Синих Молотоглавов		
200	Периодическая оценка		
201	Периодическая оценка		
202	Периодическая оценка		
203	Периодическая оценка		
204	Защитный периметр		
205	Защитный периметр		
206	Защитный периметр		
207	Защитный периметр		
208	Строение Трицертопса		
209	Связь с Эли Идэс		
210	Связь с Эли Идэс		
211	Связь с Эли Идэс		
212	Связь с Эли Идэс		
213	Миссия Краговы шахты		
214	Секретная миссия		
215	Секретная миссия		
216	Секретная миссия		
217	Секретная миссия		
218	К Оружию, Альянс!		
219	Инфекция Лобстеров		
220	Инфекция Лобстеров		
221	Инфекция Лобстеров		
222	Инфекция Лобстеров		
223	Защита вибромагнитных систем		
224	Защита вибромагнитных систем		
225	Защита вибромагнитных систем		
226	Защита вибромагнитных систем		
227	Вирусная инфекция		
228	Вирусная инфекция		
229	Вирусная инфекция		
230	Вирусная инфекция		
231	Буря в Пустыне		
232	Ящеры Новуса		
233	Охота на Дроида воина		
234	Охота на Дроида воина		
235	Охота на Дроида воина		
236	Охота на Дроида воина		
237	Специальное обучение		
238	Специальное обучение		
239	Специальное обучение		
240	Специальное обучение		
241	Сбор ресурсов		
242	Выследить Гиперморфа		
243	Выследить Гиперморфа		
244	Выследить Гиперморфа		
245	Выследить Гиперморфа		
246	Задание от исследовательского института		
247	Связь с Эли Идэс		
248	Связь с Эли Идэс		
249	Связь с Эли Идэс		
250	Связь с Эли Идэс		
251	Ресурсная база		
252	Охота на Змеегловов		
253	Охота на Змеегловов		
254	Охота на Змеегловов		
255	Охота на Змеегловов		
256	Патруль отряда Геродиан		
257	Оборона Систем Снабжения		
258	Изучение Наяды		
259	Заслуженное продвижение		
260	Коллекция клешней Брутальных Медведок		
261	Анонимные Клиенты		
262	Поимка Богомолов		
263	Охота на Богомола		
264	Изучение области		
265	Конец Предателям		
266	Атака в Сеттовой пустыне		
267	Воля Дайсема		
268	Воля Дайсема		
269	Начало террористической атаки		
270	Идентификация пиратов  Караван		
271	Связь с Муни		
272	Террористическая бойня		
273	Организовать террор		
274	Составляющие части оборудования		
275	Приказы Командования		
276	Конец Предателям		
277	Буря в Пустыне		
278	Патрульные роботы Бета с Этера		
279	Сбор информации		
280	Атака укреплений Беллато		
281	Возвращать добро		
282	Разоблачение террористов		
283	Трофеи Калиан		
284	Неконтролируемые монстры		
285	Трудная миссия		
286	Препятствия в изучении		
287	Уничтожение императорского Лобстера [Пит-босс]		
288	Монстры, рожденные из магмы		
289	Причина необычного роста		
290	Самая опасная миссия		
291	Следы падения		
292	Задание от Муни		
293	Определение степени заражения вирусом		
294	Убийство Кровавого Змееголова		
295	Каменный Монстр		
296	Принцесса Калиана		
297	Идентификация Гигантского Орка		
298	Использование вируса		
299	Ликвидация Имперского Разрушителя		
300	Стражник Элана		
301	Принцесса Калиан, предводительница террористов		
302	Уничтожение Имперского Разрушителя		
303	Провалившаяся операция		
304	Смена места обитания		
305	Атака Ренегатов		
306	Жалоба Муни		
307	Знаки алтаря на Элане		
308	Свойства дерева Новуса		
309	Экспериментальный экземпляр вируса геродиан		
310	Доверие		
311	Второй помощник Ренегата		
312	Стигматы Дайсема		
313	Стигматы Дайсема		
314	Стигматы Дайсема		
315	Стигматы Дайсема		
316	Стигматы Дайсема		
317	Стигматы Дайсема		
318	Пробуждение 		
319	Поимка Бельфегора и Геродиан		
320	Предзнаменование		
321	Предзнаменование		
322	Предзнаменование		
323	Приручение зверя		
324	Приручение зверя		
325	Хранитель Древнего Царства		
326	Хранитель Древнего Царства		
327	Следы дрессировки		
328	Идентификация Новой Земли		
329	Хранитель Тропы Древних		
330	По направлению к Земле Изгнанников		
331	Альянс Новуса		
332	Враг Земель Изгнанников		
333	Охота на Молодого Саблезуба		
334	Уничтожить Золотого Стригоя		
335	Срочное сообщение 		
336	Срочное сообщение 		
337	Задание от исследовательского института		
338	Задание от NC - 49		
339	Изучение Молодого Раптора		
340	Центр Стратегических исследований		
341	Спрос и предложение		
342	Спрос и предложение		
343	Охота на Трицератопса		
344	Охота на Трицератопса		
345	Центр Стратегических исследований просит о помощи		
346	Защита вибромагнитных систем		
347	Защита вибромагнитных систем		
348	Миссия Краговы шахты		
349	Существа Новуса		
350	Существа Новуса		
351	Операция по поимке Синего Скорпиона		
352	Личная услуга NC 5873		
353	Личная услуга NC 5874		
354	Коллекция Ящеров		
355	Коллекция Ящеров		
356	Устранение вируса		
357	Устранение вируса		
358	Охота на Гигантского Раптора		
359	Достать Культиста Бойца		
360	Охота на Призраков		
361	Охота на Призраков		
362	Специальное соглашение		
363	Специальное соглашение		
364	Охота на Дрона Воина		
365	Спрос и предложение		
366	Спрос и предложение		
367	Поимка Медведок		
368	Приказы Наместника		
369	Приказы Наместника		
370	Охота на Шипоголовов Копейщиков		
371	Истребление Шипоголовов Лучников		
372	Истребление Шипоголовов Лучников		
373	Добыть кожу Древнего Ящера		
374	Антиматерия		
375	Охота на Армированного Дроида		
376	Источник песчанных штормов		
377	Изгнание Брутальной медведки		
378	Ценный материал		
379	Зачистка Богомолов		
380	Публичная операция		
381	Сбор информации		
382	Предатель Империи		
383	Мощь Империи		
384	Организованная Переработка		
385	Мощь Империи		
386	Безумие		
387	Идентификация пиратов  Караван		
388	Монстры мутанты		
389	Слух о Геродианах		
390	Организовать террор		
391	Составляющие части оборудования		
392	Атака в Сеттовой пустыне		
393	Атака в Сеттовой пустыне		
394	Атака в Сеттовой пустыне		
395	Сбор информации		
396	Усмирить террористов		
397	Атака Укрепления Коры		
398	Уничтожение Калиан		
399	Идентификация террористов		
400	Трофеи Калиан		
401	Неконтролируемые монстры		
402	Задание от NC - 5874		
403	Препятствия в изучении		
404	Уничтожить Царя Медведок		
405	Монстры, рожденные из магмы		
406	Причина необычного роста		
407	Мутации Брутальной Медведки [Пит-босс]		
408	Следы падения		
409	Уничтожить Царя Богомолов [Пит-босс]		
410	Определение степени заражения вирусом		
411	Король Шипоголовов		
412	Каменный Монстр		
413	Принцесса Калиана		
414	Идентификация Гигантского Орка		
415	Использование вируса		
416	Ликвидация Имперского Разрушителя		
417	Стражник Элана		
418	Принцесса Калиан, предводительница террористов		
419	Уничтожение Имперского Разрушителя		
420	Охота на Реликтового Ящера		
421	Смена места обитания		
422	Атака Ренегатов		
423	Специальное задание		
424	Знаки алтаря на Элане		
425	Свойства дерева Новуса		
426	Экспериментальный экземпляр вируса геродиан		
427	Убийство Бельфегора		
428	Второй помощник Ренегата		
429	Поимка Бельфегора и Геродиан		
430	Закалка воли		
431	Закалка воли		
432	Закалка воли		
433	Закалка воли		
434	Закалка воли		
435	Закалка воли		
436	Пробуждение		
437	Предзнаменование		
438	Предзнаменование		
439	Предзнаменование		
440	Приручение зверя		
441	Приручение зверя		
442	Хранитель Древнего Царства		
443	Хранитель Дренего Царства		
444	Следы дрессировки		
445	Идентификация Новой Земли		
446	Хранитель Тропы Древних		
447	По направлению к Земле Изгнанников		
448	Альянс Новуса		
449	Враг Земель Изгнанников		
450	Штурм Краговых шахт: Захват чипа		
451	Штурм Краговых шахт: Защита контрольного терминала		
452	Подчинение Хранителя Алтаря: Захват чипа		
453	Подчинение Хранителя Алтаря: Защита контрольного терминала		
454	Миссия код R-SA80981: Захват чипа		
455	Миссия код R-SA80981: Защита контрольного терминала		
456	[Код: Штурм Краговых шахт] Охрана Хранителя Алтаря		
457	[Код: Благословение духа] Охрана Хранителя Алтаря		
458	[Код миссии: R-SA80981] Охрана Хранителя Алтаря  		
459	[Код: Штурм Краговых шахт] Охрана Хранителя Алтаря		
460	[Код: Благословение духа] Охрана Хранителя Алтаря		
461	[Код миссии: R-SA80981] Уничтожить Хранителя Алтаря  		
462	Потерянная Коробка		
463	Частица		
464	Местонахождение Нападающего		
465	Обладающий Тайной Властью		
466	Результат Тайного Альянса		
467	Восстановление Данных		
468	Ликвидация Дезертиров		
469	Знаки отличия Предателя		
470	Появление Дезертиров		
471	Сообщение о Миссии		
472	Потерянная Коробка		
473	Частица		
474	Местонахождение Нападающего		
475	Обладающий Тайной Властью		
476	Результат Тайного Альянса		
477	Восстановление Данных		
478	Ликвидация Дезертиров		
479	Знаки отличия Предателя		
480	Появление Дезертиров		
481	Сообщение о Миссии		
482	Потерянная Коробка		
483	Частица		
484	Местонахождение Нападающего		
485	Обладающий Тайной Властью		
486	Результат Тайного Альянса		
487	Восстановление Данных		
488	Ликвидация Дезертиров		
489	Знаки отличия Предателя		
490	Появление Дезертиров		
491	Сообщение о Миссии		
492	Сбор кредитов		
493	Свойства силы		
494	История Беллато и Коры		
495	Осознание Силы		
496	Свидетельство существования Цивилизации машин		
497	История Беллато и Коры		
498	Гордость цивилизации		
499	Накопление кредитов		
500	Неполные трофеи		
501	Возвратная машина		
502	Ложное обвинение		
503	Помощь миллионеру		
504	То, чем занимается миллионер J		
505	Полезный предмет		
506	Восстановление кредитов		
507	Заговор Коры		
508	Побег иноземцев		
509	Сведения о дезертирах		
510	Следы старого судна		
511	Следы старого судна(2)		
512	Следы ног		
513	Информация о ресурсах		
514	Вопрос о квалификации		
515	Условия для маскировки		
516	Обман		
517	Новые товары		
518	Подпись для спасения торговцев		
519	Подпись Картелы		
520	Цена за подпись		
521	Сбор подписей закончен		
522	Повестка в суд		
523	Присутствие агрессии		
524	Альбом с чертежами		
525	Чужестранцы пустыни		
526	Распространитель заразы		
527	Информирование о распространении заражения		
528	Основная сила при решении проблемы вируса		
529	Уменьшение количества трофеев		
530	Материалы для продажи		
531	Изготовление отражателя		
532	Опыты по блокировке вируса		
533	Проверка результатов испытания		
534	Разобщенная информация		
535	Начало совместного обсуждения		
536	Способ коммуникации		
537	Общение с Корой		
538	Сохранение сообщения		
539	Сообщение		
540	Отмена обсуждения		
541	Информирование о результатах совместного обсуждения		
542	Изучение помощника Геродиан		
543	Результаты по исследованию интеллекта		
544	Текущее состояние Геродиан		
545	Представители Отчизны		
546	Собранная информация		
547	Шанс получить другой вызов		
548	Изучение гормона роста		
549	Свойства дерева Новуса		
550	Правитель Элана		
551	Подсчет прибыли и потерь Картелы		
552	Замедленная реакция		
553	Вражеская пудра		
554	Вражеская маскировка		
555	Волновая энергия Поселения		
556	Расправиться с охраной		
557	Преступники в Затерянных Землях		
558	Уничтожить Лобстера Матриарха		
559	Появление Молодых Яростных Скарабеев		
560	Экосистема Новуса и размножение обитателей Новуса		
561	Период размножения Яростных Скарабеев		
562	Озабоченность торговца оружием		
563	Призыв миллионера		
564	Материал для запретной книги		
565	Проверка для вернувшихся		
566	Восстановление славы Гильдии		
567	Способ подслушивания разговоров		
568	Свойства накидки		
569	Стража, охраняющая торговцев		
570	Лидер торговцев Новуса		
571	Доставка таинственного сосуда		
572	Секрет копателей		
573	Дышащий камень		
574	Клетка Жизни		
575	Идеальный копатель		
576	Обнаружение Карабанов		
577	Таинственная энергия		
578	Анализатор энергии		
579	Параграф 227		
580	Объект эксперимента		
581	Закрытие лаборатории		
582	Подготовка к закрытию лаборатории		
583	Голограмма Калиан		
584	Голограмма Калиан(2)		
585	Исследователь-Мутант		
586	Конец лаборатории		
587	Записи безумца		
588	Армия предателей Акретии		
589	Уничтожение лидера Черного Знака		
590	Уничтожение Черного Знака		
591	Тест Дракона		
592	Голос Назаала		
593	Уровень защиты		
594	Доверитель		
595	Проверка печати		
596	Разрушитель гробниц		
597	Завершающий тест		
598	Избавиться от свидетельств		
599	Свидетельства распространения заражения		
600	Доставка зараженных крыльев		
601	Секретное поручение		
602	Следы Путешественника		
603	Восстановление следов		
604	Оставшиеся свидетельства		
605	Оставшиеся свидетельства(2)		
606	Запертая сумка		
607	Зашифрованная литография		
608	Энергия трансформации		
609	Восстанавливающее зелье		
610	Результаты теста		
611	Недостаточно материала		
612	Изобретение мощной био-энергии		
613	Результаты похищенных исследований		
614	Неидентифицированная раса		
615	Таинственная карта		
616	Анализ картины		
617	Анализ символов		
618	Части карты		
619	Доставка карты		
620	Безопасность Эльфов		
621	Просьба Гарка		
622	Вне контроля		
623	Обитатели Новуса и Эльфы		
624	Обитатели Новуса и Эльфы(2)		
625	Способ использования сокровищ		
626	Ожерелье Назаала		
627	Операция по уничтожению обитателей Новуса		
628	Кодовое имя: Ли		
629	Ложное осуждение		
630	Правдивое осуждение		
631	Причина беспорядка		
632	Раскрытая операция		
633	Препятствия для осуществления операции		
634	Операция-N		
635	Подготовка к битве		
636	Начало битвы		
637	Начало битвы(2)		
638	Начало		
639	Начало(2)		
640	Информация о месторождениях		
641	Поиск месторождений		
642	Поиск месторождений(2)		
643	Поиск месторождений на Этере		
644	Сбор кредитов		
645	Рождение силы		
646	История Беллато и Коры		
647	Осознание Силы		
648	Совершенство Дайсема		
649	История Коры и Акретии		
650	Гордость цивилизации		
651	Опасность исходящая от клиента		
652	Файл Траст		
653	Сравнительный анализ		
654	Раскрытая история		
655	Заговор Беллато		
656	Побег Чужеземцев		
657	Сведения о дезертирах		
658	Следы старого судна		
659	Следы старого судна(2)		
660	Следы ног		
661	Новый амулет		
662	Свойства амулета		
663	Побочный эффект		
664	Уничтожение амулета		
665	Предположение и теория		
666	Опасная попытка		
667	Результат гипотезиса		
668	Идентификация опасных трофеев		
669	Упорство Одинора		
670	Арест Исследователя		
671	Результат безумства		
672	Последний шанс		
673	Решение о приостановке операции		
674	Решение		
675	Альбом Калиан		
676	Чужестранцы пустыни		
677	Распространитель заразы		
678	Информирование о распространении заражения		
679	Основная сила при решении проблемы вируса		
680	Уменьшение количества трофеев		
681	Материалы для продажи		
682	Изготовление отражателя		
683	Опыты по блокировке вируса		
684	Проверка результатов испытания		
685	Разобщенная информация		
686	Начало совместного обсуждения		
687	Способ коммуникации		
688	Общение с Корой		
689	Сохранение сообщения		
690	Сообщение		
691	Отмена обсуждения		
692	Информирование о результатах совместного обсуждения		
693	Изучение помощника Геродиан		
694	Результаты по исследованию интеллекта		
695	Текущее состояние Геродиан		
696	Представители Отчизны		
697	Собранная информация		
698	Шанс получить другой вызов		
699	Изучение гормона роста		
700	Свойства дерева Новуса		
701	Правитель Элана		
702	Подсчет прибыли и потерь Картелы		
703	Замедленная реакция		
704	Вражеское обарудование		
705	Вражеская маскировка		
706	Озабоченность торговца оружием		
707	Уничтожить Лобстера Матриарха		
708	Испугаться слухов		
709	Просьба торговца		
710	Поймать Гигантского Дроида		
711	Ненормальный рост		
712	Экосистема Новуса и размножение обитателей Новуса		
713	Причина необыкновенного роста		
714	Просьба исследователей		
715	Материал для запретной книги		
716	Проверка для вернувшихся		
717	Восстановление славы Гильдии		
718	Способ подслушивания разговоров		
719	Свойства накидки		
720	Стража, охраняющая торговцев		
721	Лидер торговцев Новуса		
722	Доставка таинственного сосуда		
723	Секрет копателей		
724	Дышащий камень		
725	Клетка Жизни		
726	Идеальный копатель		
727	Обнаружение Карабанов		
728	Таинственная энергия		
729	Анализатор энергии		
730	Параграф 227		
731	Объект эксперимента		
732	Закрытие лаборатории		
733	Подготовка к закрытию лаборатории		
734	Голограмма Калиан		
735	Голограмма Калиан(2)		
736	Исследователь-Мутант		
737	Конец лаборатории		
738	Записи безумца		
739	Армия предателей Акретии		
740	Уничтожение лидера Черного Знака		
741	Уничтожение Черного Знака		
742	Тест Дракона		
743	Голос Назаала		
744	Уровень защиты		
745	Доверитель		
746	Проверка печати		
747	Разрушитель гробниц		
748	Завершающий тест		
749	Избавиться от свидетельств		
750	Свидетельства распространения заражения		
751	Доставка зараженных крыльев		
752	Секретное поручение		
753	Следы Путешественника		
754	Восстановление следов		
755	Оставшиеся свидетельства		
756	Оставшиеся свидетельства(2)		
757	Запертая сумка		
758	Зашифрованная литография		
759	Энергия трансформации		
760	Новая энергия		
761	Результаты теста		
762	Недостаточно материала		
763	Изобретение мощной био-энергии		
764	Результаты похищенных исследований		
765	Неидентифицированная раса		
766	Таинственная карта		
767	Анализ картины		
768	Анализ символов		
769	Части карты		
770	Доставка карты		
771	Безопасность Эльфов		
772	Просьба Гарка		
773	Вне контроля		
774	Обитатели Новуса и Эльфы		
775	Обитатели Новуса и Эльфы(2)		
776	Способ использования сокровищ		
777	Ожерелье Назаала		
778	Изменить веру жителей Новуса		
779	Распространение веры		
780	Обратный эффект		
781	Не удалось изменить веру		
782	Непонимание		
783	Поход		
784	Цель похода		
785	Операция-N		
786	Подготовка к битве		
787	Начало битвы		
788	Начало битвы(2)		
789	Начало		
790	Начало(2)		
791	Информация о месторождениях		
792	Поиск месторождений		
793	Поиск месторождений(2)		
794	Поиск месторождений на Этере		
795	Сбор кредитов		
796	Первая помощь		
797	Утраченные компоненты		
798	Восстановление		
799	Обнаружить местонахождение		
800	Благодарственный презент		
801	Просьба достойного человека		
802	Исчезнувшая слава		
803	Серьезное недопонимание		
804	Награда за смелость		
805	Сведения, способные разрешить недопонимание		
806	Заговор Коры		
807	Цель Коры		
808	Вернуть машину-переводчика		
809	Следы старого судна		
810	Следы старого судна(2)		
811	Следы ног		
812	Сущность Оракула		
813	Файл с запрещенной книгой		
814	Содержание файла		
815	Следы войны		
816	Жажда власти		
817	Новое оружие		
818	Руины Шипоголовов		
819	Поиск последнего реликта		
820	Эффект иллюзии		
821	Последний реликт		
822	Мечта торговца		
823	Появление опасности		
824	Альбом с чертежами		
825	Чужестранцы пустыни		
826	Распространитель заразы		
827	Информирование о распространении заражения		
828	Основная сила при решении проблемы вируса		
829	Уменьшение количества трофеев		
830	Материалы для продажи		
831	Изготовление отражателя		
832	Опыты по блокировке вируса		
833	Проверка результатов испытания		
834	Разобщенная информация		
835	Начало совместного обсуждения		
836	Способ коммуникации		
837	Общение с Корой		
838	Сохранение сообщения		
839	Сообщение		
840	Отмена обсуждения		
841	Информирование о результатах совместного обсуждения		
842	Изучение помощника Геродиан		
843	Результаты по исследованию интеллекта		
844	Текущее состояние Геродиан		
845	Представители Отчизны		
846	Собранная информация		
847	Шанс получить другой вызов		
848	Изучение гормона роста		
849	Свойства дерева Новуса		
850	Правитель Элана		
851	Подсчет прибыли и потерь Картелы		
852	Замедленная реакция		
853	Вражеское обарудование		
854	Капля воды с территории врага		
855	Волновая энергия Поселения		
856	Расправиться с охраной		
857	Нарушитель в Песчаной Буре		
858	Уничтожить Царя Медведок		
859	Появление Молодых Яростных Скарабеев		
860	Восстановление славы Гильдии		
861	Способ подслушивания разговоров		
862	Свойства накидки		
863	Стража, охраняющая торговцев		
864	Лидер торговцев Новуса		
865	Доставка таинственного сосуда		
866	Способ подслушивания разговоров		
867	Материал для запретной книги		
868	Проверка для вернувшихся		
869	Стража, охраняющая торговцев		
870	Экосистема Новуса и размножение обитателей Новуса		
871	Доставка таинственного сосуда		
872	Секрет копателей		
873	Дышащий камень		
874	Клетка Жизни		
875	Идеальный копатель		
876	Обнаружение Карабанов		
877	Таинственная энергия		
878	Анализатор энергии		
879	Параграф 227		
880	Объект эксперимента		
881	Закрытие лаборатории		
882	Подготовка к закрытию лаборатории		
883	Голограмма Калиан		
884	Голограмма Калиан(2)		
885	Исследователь-Мутант		
886	Конец лаборатории		
887	Записи безумца		
888	Армия предателей Акретии		
889	Уничтожение лидера Черного Знака		
890	Уничтожение Черного Знака		
891	Тест Дракона		
892	Голос Назаала		
893	Уровень защиты		
894	Доверитель		
895	Проверка печати		
896	Разрушитель гробниц		
897	Завершающий тест		
898	Избавиться от свидетельств		
899	Свидетельства распространения заражения		
900	Доставка зараженных крыльев		
901	Секретное поручение		
902	Следы Путешественника		
903	Восстановление следов		
904	Оставшиеся свидетельства		
905	Оставшиеся свидетельства(2)		
906	Запертая сумка		
907	Зашифрованная литография		
908	Энергия трансформации		
909	Новая энергия		
910	Результаты теста		
911	Недостаточно материала		
912	Изобретение мощной био-энергии		
913	Результаты похищенных исследований		
914	Неидентифицированная раса		
