dword	qcode	byte	byte	byte	byte	dword	byte	byte	word	param1	param2	dword	dword	dword	qitid	byte	byte	word	param1	param2	dword	dword	dword	qitid	byte	byte	word	param1	param2	dword	dword	dword	qitid	double	dword	dword	dword	dword	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	store	byte	byte	word	byte	byte	word	dword	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	qcode	END
9	Q070009	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
10	Q070020	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
11	Q070021	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
12	Q070022	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
13	Q070023	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
14	Q070024	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
15	Q070025	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
16	Q070026	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
17	Q070027	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
18	Q070028	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
19	Q070029	0	1	0	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
20	Q080000	0	1	1	-1	0	15	0	0	Q080000	-1	1	3102	3124	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	iwrtn01	1	0	0	iwrtn02	1	0	0	iwrtn03	1	0	0	bxcsa77	1	0	0	bxcsa80	1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	6	997	998	999	-1	-1	2059	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
21	Q080001	0	1	1	-1	0	3	0	0	00002	-1	5	3096	3118	-1	3	0	0	00202	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	idbcb04	1	0	0	iwknb05	1	0	0	ieccs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	1026	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
22	Q080002	0	1	1	-1	0	3	0	0	00002	-1	5	3096	3118	-1	3	0	0	00202	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwswb05	1	0	0	ieccs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1026	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
23	Q080003	0	1	1	-1	0	3	0	0	00002	-1	5	3096	3118	-1	3	0	0	00202	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwmab05	1	0	0	ieccs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	1026	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
24	Q080004	0	1	1	-1	0	3	0	0	00002	-1	5	3096	3118	-1	3	0	0	00202	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwaxb05	1	0	0	ieccs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	1026	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
25	Q080005	0	1	1	-1	0	3	0	0	00002	-1	5	3096	3118	-1	3	0	0	00202	-1	10	3096	3118	-1	6	0	0	3	-1	1	3093	3115	-1	0	1558	0	150	0	iwspb05	1	0	0	ieccs00	1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	3148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	1026	-1	-1	-1	-1	2063	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
26	Q080006	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
27	Q080007	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
28	Q080008	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
29	Q080009	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
30	Q080020	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
31	Q080021	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
32	Q080022	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
33	Q080023	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
34	Q080024	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
35	Q080025	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
36	Q080026	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
37	Q080027	0	1	1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	
