string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	float	float	float	float	float	long	dword	float	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	float	END
ikbb015	0	70060E	0	Накидка Гражданина Федерации15	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb015	-1	0	0	
ikbb016	0	70060F	0	Накидка Гражданина Федерации16	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb016	-1	0	0	
ikbb017	0	700610	0	Накидка Гражданина Федерации17	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb017	-1	0	0	
ikbb018	0	700611	0	Накидка Гражданина Федерации18	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb018	-1	0	0	
ikbb019	0	700612	0	Накидка Гражданина Федерации19	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb019	-1	0	0	
ikbb020	0	700613	0	Накидка Гражданина Федерации20	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb020	-1	0	0	
ikbb021	0	700614	0	Накидка Гражданина Федерации21	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb021	-1	0	0	
ikbb022	0	700615	0	Накидка Гражданина Федерации22	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb022	-1	0	0	
ikbb023	0	700616	0	Накидка Гражданина Федерации23	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb023	-1	0	0	
ikbb024	0	700617	0	Накидка Гражданина Федерации24	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb024	-1	0	0	
ikbb025	0	700618	0	Накидка Гражданина Федерации25	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb025	-1	0	0	
ikbb026	0	700619	0	Накидка Гражданина Федерации26	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb026	-1	0	0	
ikbb027	0	70061A	0	Накидка Гражданина Федерации27	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb027	-1	0	0	
ikbb028	0	70061B	0	Накидка Гражданина Федерации28	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb028	-1	0	0	
ikbb029	0	70061C	0	Накидка Гражданина Федерации29	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb029	-1	0	0	
ikbb030	0	70061D	0	Накидка Гражданина Федерации30	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb030	-1	0	0	
ikbb031	0	70061E	0	Накидка Гражданина Федерации31	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb031	-1	0	0	
ikbb032	0	70061F	0	Накидка Гражданина Федерации32	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb032	-1	0	0	
ikbb033	0	700620	0	Накидка Гражданина Федерации33	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb033	-1	0	0	
ikbb034	0	700621	0	Накидка Гражданина Федерации34	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb034	-1	0	0	
ikbb035	0	700622	0	Накидка Гражданина Федерации35	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb035	-1	0	0	
ikbb036	0	700623	0	Накидка Гражданина Федерации36	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb036	-1	0	0	
ikbb037	0	700624	0	Накидка Гражданина Федерации37	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb037	-1	0	0	
ikbb038	0	700625	0	Накидка Гражданина Федерации38	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb038	-1	0	0	
ikbb039	0	700626	0	Накидка Гражданина Федерации39	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb039	-1	0	0	
ikbb040	0	700627	0	Накидка Гражданина Федерации40	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb040	-1	0	0	
ikbb041	0	700628	0	Накидка Гражданина Федерации41	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb041	-1	0	0	
ikbb042	0	700629	0	Накидка Гражданина Федерации42	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb042	-1	0	0	
ikbb043	0	70062A	0	Накидка Гражданина Федерации43	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb043	-1	0	0	
ikbb044	0	70062B	0	Накидка Гражданина Федерации44	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb044	-1	0	0	
ikbb045	0	70062C	0	Накидка Гражданина Федерации45	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb045	-1	0	0	
ikbb046	0	70062D	0	Накидка Гражданина Федерации46	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb046	-1	0	0	
ikbb047	0	70062E	0	Накидка Гражданина Федерации47	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb047	-1	0	0	
ikbb048	0	70062F	0	Накидка Гражданина Федерации48	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb048	-1	0	0	
ikbb049	0	700630	0	Накидка Гражданина Федерации49	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb049	-1	0	0	
ikbb050	0	700631	0	Накидка Гражданина Федерации50	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb050	-1	0	0	
ikbb051	0	700632	0	Накидка Гражданина Федерации51	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb051	-1	0	0	
ikbb052	0	700633	0	Накидка Гражданина Федерации52	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb052	-1	0	0	
ikbb053	0	700634	0	Накидка Гражданина Федерации53	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb053	-1	0	0	
ikbb054	0	700635	0	Накидка Гражданина Федерации54	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb054	-1	0	0	
ikbb055	0	700636	0	Накидка Гражданина Федерации55	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb055	-1	0	0	
ikbb056	0	700637	0	Накидка Гражданина Федерации56	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb056	-1	0	0	
ikbb057	0	700638	0	Накидка Гражданина Федерации57	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb057	-1	0	0	
ikbb058	0	700639	0	Накидка Гражданина Федерации58	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb058	-1	0	0	
ikbb059	0	70063A	0	Накидка Гражданина Федерации59	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb059	-1	0	0	
ikbb060	0	70063B	0	Накидка Гражданина Федерации60	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb060	-1	0	0	
ikbb061	0	70063C	0	Накидка Гражданина Федерации61	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb061	-1	0	0	
ikbb062	0	70063D	0	Накидка Гражданина Федерации62	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb062	-1	0	0	
ikbb063	0	70063E	0	Накидка Гражданина Федерации63	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb063	-1	0	0	
ikbb064	0	70063F	0	Накидка Гражданина Федерации64	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb064	-1	0	0	
ikbb065	0	700640	0	Накидка Гражданина Федерации65	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb065	-1	0	0	
ikbb066	0	700641	0	Накидка Гражданина Федерации66	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb066	-1	0	0	
ikbb067	0	700642	0	Накидка Гражданина Федерации67	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb067	-1	0	0	
ikbb068	0	700643	0	Накидка Гражданина Федерации68	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb068	-1	0	0	
ikbb069	0	700644	0	Накидка Гражданина Федерации69	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb069	-1	0	0	
ikbb070	0	700645	0	Накидка Гражданина Федерации70	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb070	-1	0	0	
ikbb071	0	700646	0	Накидка Гражданина Федерации71	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb071	-1	0	0	
ikbb072	0	700647	0	Накидка Гражданина Федерации72	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb072	-1	0	0	
ikbb073	0	700648	0	Накидка Гражданина Федерации73	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb073	-1	0	0	
ikbb074	0	700649	0	Накидка Гражданина Федерации74	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb074	-1	0	0	
ikbb075	0	70064A	0	Накидка Гражданина Федерации75	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb075	-1	0	0	
ikbb076	0	70064B	0	Накидка Гражданина Федерации76	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb076	-1	0	0	
ikbb077	0	70064C	0	Накидка Гражданина Федерации77	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb077	-1	0	0	
ikbb078	0	70064D	0	Накидка Гражданина Федерации78	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb078	-1	0	0	
ikbb079	0	70064E	0	Накидка Гражданина Федерации79	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb079	-1	0	0	
ikbb080	0	70064F	0	Накидка Гражданина Федерации80	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb080	-1	0	0	
ikbb081	0	700650	0	Накидка Гражданина Федерации81	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb081	-1	0	0	
ikbb082	0	700651	0	Накидка Гражданина Федерации82	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb082	-1	0	0	
ikbb083	0	700652	0	Накидка Гражданина Федерации83	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb083	-1	0	0	
ikbb084	0	700653	0	Накидка Гражданина Федерации84	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb084	-1	0	0	
ikbb085	0	700654	0	Накидка Гражданина Федерации85	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb085	-1	0	0	
ikbb086	0	700655	0	Накидка Гражданина Федерации86	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb086	-1	0	0	
ikbb087	0	700656	0	Накидка Гражданина Федерации87	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb087	-1	0	0	
ikbb088	0	700657	0	Накидка Гражданина Федерации88	6	0	6	0	11000	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	tikbb088	-1	0	0	
