clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	long	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	dword	word	word	word	word	float	float	float	dword	END
ikbb047	Накидка Гражданина Федерации47	70062E	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	46	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb048	Накидка Гражданина Федерации48	70062F	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	47	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb049	Накидка Гражданина Федерации49	700630	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	48	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb050	Накидка Гражданина Федерации50	700631	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	49	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb051	Накидка Гражданина Федерации51	700632	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	50	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb052	Накидка Гражданина Федерации52	700633	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	51	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb053	Накидка Гражданина Федерации53	700634	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	52	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb054	Накидка Гражданина Федерации54	700635	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	53	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb055	Накидка Гражданина Федерации55	700636	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	54	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb056	Накидка Гражданина Федерации56	700637	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	55	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb057	Накидка Гражданина Федерации57	700638	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	56	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb058	Накидка Гражданина Федерации58	700639	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	57	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb059	Накидка Гражданина Федерации59	70063A	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	58	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb060	Накидка Гражданина Федерации60	70063B	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	59	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb061	Накидка Гражданина Федерации61	70063C	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	60	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb062	Накидка Гражданина Федерации62	70063D	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	61	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb063	Накидка Гражданина Федерации63	70063E	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	62	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb064	Накидка Гражданина Федерации64	70063F	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	63	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb065	Накидка Гражданина Федерации65	700640	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	64	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb066	Накидка Гражданина Федерации66	700641	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	65	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb067	Накидка Гражданина Федерации67	700642	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	66	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb068	Накидка Гражданина Федерации68	700643	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	67	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb069	Накидка Гражданина Федерации69	700644	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	68	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb070	Накидка Гражданина Федерации70	700645	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	69	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb071	Накидка Гражданина Федерации71	700646	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	70	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb072	Накидка Гражданина Федерации72	700647	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	71	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb073	Накидка Гражданина Федерации73	700648	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	72	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb074	Накидка Гражданина Федерации74	700649	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	73	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb075	Накидка Гражданина Федерации75	70064A	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	74	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb076	Накидка Гражданина Федерации76	70064B	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	75	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb077	Накидка Гражданина Федерации77	70064C	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	76	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb078	Накидка Гражданина Федерации78	70064D	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	77	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb079	Накидка Гражданина Федерации79	70064E	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	78	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb080	Накидка Гражданина Федерации80	70064F	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	79	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb081	Накидка Гражданина Федерации81	700650	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	80	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb082	Накидка Гражданина Федерации82	700651	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	81	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb083	Накидка Гражданина Федерации83	700652	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	82	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb084	Накидка Гражданина Федерации84	700653	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	83	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb085	Накидка Гражданина Федерации85	700654	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	84	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb086	Накидка Гражданина Федерации86	700655	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	85	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb087	Накидка Гражданина Федерации87	700656	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	86	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb088	Накидка Гражданина Федерации88	700657	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	87	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb089	Накидка Гражданина Федерации89	700658	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	88	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
ikbb090	Накидка Гражданина Федерации90	700659	0	11000	8	0	0	0	0	0	0	0	0	1	1	1	0	89	0	0	0	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	
