xeh	string[128]	string[64]	string[64]	END
0000006d	.\CHARACTER\MONSTER\BONE\	BELPHEGOR.BN	BELPHEGOR.BBX	
0000006e	.\CHARACTER\MONSTER\BONE\	BELPHEGORGUARD.BN	BELPHEGORGUARD.BBX	
000000c9	.\CHARACTER\MONSTER\BONE\	BIGFOOT.BN	BIGFOOT.BBX	
000000d1	.\CHARACTER\MONSTER\BONE\	BIGHORNCROOK.BN	BIGHORNCROOK.BBX	
00000015	.\CHARACTER\MONSTER\BONE\	BIGRATMOTH.BN	BIGRATMOTH.BBX	
000000eb	.\CHARACTER\MONSTER\BONE\	BLACKCLAWWARBEAST.BN	BLACKCLAWWARBEAST.BBX	
00000068	.\CHARACTER\MONSTER\BONE\	BLADEPAWN.BN	BLADEPAWN.BBX	
00000061	.\CHARACTER\MONSTER\BONE\	BLAZEBLOCK.BN	BLAZEBLOCK.BBX	
000000ac	.\CHARACTER\MONSTER\BONE\	BLINK.BN	BLINK.BBX	
00000013	.\CHARACTER\MONSTER\BONE\	BLOCKLUNKER.BN	BLOCKLUNKER.BBX	
00000163	.\CHARACTER\MONSTER\BONE\	BLOODAXE.BN	BLOODAXE.BBX	
00000134	.\CHARACTER\MONSTER\BONE\	BLOODKINGTWEEZER.BN	BLOODKINGTWEEZER.BBX	
000000e9	.\CHARACTER\MONSTER\BONE\	BLOODVAFERREX.BN	BLOODVAFERREX.BBX	
00000101	.\CHARACTER\MONSTER\BONE\	BLOODYSARCHER.BN	BLOODYSARCHER.BBX	
00000100	.\CHARACTER\MONSTER\BONE\	BLOODYSASSASSIN.BN	BLOODYSASSASSIN.BBX	
000000f3	.\CHARACTER\MONSTER\BONE\	BLOODYSBLACKKNIGHTS.BN	BLOODYSBLACKKNIGHTS.BBX	
000000f1	.\CHARACTER\MONSTER\BONE\	BLOODYSGRAIZER.BN	BLOODYSGRAIZER.BBX	
000000f6	.\CHARACTER\MONSTER\BONE\	BLOODYSGUARDIAN.BN	BLOODYSGUARDIAN.BBX	
00000066	.\CHARACTER\MONSTER\BONE\	BOGYBOLT.BN	BOGYBOLT.BBX	
0000019b	.\CHARACTER\MONSTER\BONE\	BOGYBOLTFIRE.BN	BOGYBOLTFIRE.BBX	
0000019a	.\CHARACTER\MONSTER\BONE\	BOGYBOLTICE.BN	BOGYBOLTICE.BBX	
00000014	.\CHARACTER\MONSTER\BONE\	BOKLAN.BN	BOKLAN.BBX	
00000041	.\CHARACTER\MONSTER\BONE\	BRUTAL.BN	BRUTAL.BBX	
0000001b	.\CHARACTER\MONSTER\BONE\	BULKYLUNKER.BN	BULKYLUNKER.BBX	
000000e5	.\CHARACTER\MONSTER\BONE\	BURNINGHANDSVAFERBARBAR.BN	BURNINGHANDSVAFERBARBAR.BBX	
00000065	.\CHARACTER\MONSTER\BONE\	BURROD.BN	BURROD.BBX	
000000b3	.\CHARACTER\MONSTER\BONE\	CALLIANAARCHER.BN	CALLIANAARCHER.BBX	
00000057	.\CHARACTER\MONSTER\BONE\	CALLIANAATROC.BN	CALLIANAATROC.BBX	
00000056	.\CHARACTER\MONSTER\BONE\	CALLIANACRUE.BN	CALLIANACRUE.BBX	
00000058	.\CHARACTER\MONSTER\BONE\	CALLIANAPRINCESS.BN	CALLIANAPRINCESS.BBX	
0000007c	.\CHARACTER\MONSTER\BONE\	CANDRA.BN	CANDRA.BBX	
00000019	.\CHARACTER\MONSTER\BONE\	CANNIBAL.BN	CANNIBAL.BBX	
000000cf	.\CHARACTER\MONSTER\BONE\	CAPTAINLARGO.BN	CAPTAINLARGO.BBX	
00000072	.\CHARACTER\MONSTER\BONE\	CASTER.BN	CASTER.BBX	
0000009e	.\CHARACTER\MONSTER\BONE\	CATY.BN	CATY.BBX	
00000076	.\CHARACTER\MONSTER\BONE\	CHAMPION.BN	CHAMPION.BBX	
00000059	.\CHARACTER\MONSTER\BONE\	CHOOTY.BN	CHOOTY.BBX	
000000b9	.\CHARACTER\MONSTER\BONE\	CHOOTYSANTA.BN	CHOOTYSANTA.BBX	
00000160	.\CHARACTER\MONSTER\BONE\	CHREMULCHIEF.BN	CHREMULCHIEF.BBX	
000000ee	.\CHARACTER\MONSTER\BONE\	CLAK.BN	CLAK.BBX	
00000037	.\CHARACTER\MONSTER\BONE\	CLOD.BN	CLOD.BBX	
00000074	.\CHARACTER\MONSTER\BONE\	COMMANDO.BN	COMMANDO.BBX	
000000a2	.\CHARACTER\MONSTER\BONE\	CORHOLYSTONE.BN	CORHOLYSTONE.BBX	
0000009b	.\CHARACTER\MONSTER\BONE\	COTY.BN	COTY.BBX	
00000030	.\CHARACTER\MONSTER\BONE\	CRAWLERAXLE.BN	CRAWLERAXLE.BBX	
00000021	.\CHARACTER\MONSTER\BONE\	CRAWLERBUNCH.BN	CRAWLERBUNCH.BBX	
00000029	.\CHARACTER\MONSTER\BONE\	CRAWLERCAST.BN	CRAWLERCAST.BBX	
00000176	.\CHARACTER\MONSTER\BONE\	CRAWLERGHOST.BN	CRAWLERGHOST.BBX	
00000036	.\CHARACTER\MONSTER\BONE\	CRAWLERMAUL.BN	CRAWLERMAUL.BBX	
00000043	.\CHARACTER\MONSTER\BONE\	CRAWLERREX.BN	CRAWLERREX.BBX	
00000172	.\CHARACTER\MONSTER\BONE\	CRAWLERSOUL.BN	CRAWLERSOUL.BBX	
00000165	.\CHARACTER\MONSTER\BONE\	CRIMSONDRACO.BN	CRIMSONDRACO.BBX	
000000ff	.\CHARACTER\MONSTER\BONE\	CRIMSONEDGEASSASSIN.BN	CRIMSONEDGEASSASSIN.BBX	
00000137	.\CHARACTER\MONSTER\BONE\	CRIMSONEDGEBLACKKNIGHTS.BN	CRIMSONEDGEBLACKKNIGHTS.BBX	
000000f0	.\CHARACTER\MONSTER\BONE\	CRIMSONEDGEGRAIZER.BN	CRIMSONEDGEGRAIZER.BBX	
000000f9	.\CHARACTER\MONSTER\BONE\	CRIMSONEDGEGUARDIAN.BN	CRIMSONEDGEGUARDIAN.BBX	
000000fc	.\CHARACTER\MONSTER\BONE\	CRIMSONEDGETEMPLER.BN	CRIMSONEDGETEMPLER.BBX	
000000a5	.\CHARACTER\MONSTER\BONE\	CRISTALBOX.BN	CRISTALBOX.BBX	
0000013c	.\CHARACTER\MONSTER\BONE\	CROMEWARAKIA.BN	CROMEWARAKIA.BBX	
0000002c	.\CHARACTER\MONSTER\BONE\	CROOK.BN	CROOK.BBX	
0000004a	.\CHARACTER\MONSTER\BONE\	CRYSTAL.BN	CRYSTAL.BBX	
0000004b	.\CHARACTER\MONSTER\BONE\	CRYSTALCONTROLER.BN	CRYSTALCONTROLER.BBX	
0000009f	.\CHARACTER\MONSTER\BONE\	CUTY.BN	CUTY.BBX	
000000b1	.\CHARACTER\MONSTER\BONE\	DAGAN.BN	DAGAN.BBX	
00000135	.\CHARACTER\MONSTER\BONE\	DAGANSPLINTER.BN	DAGANSPLINTER.BBX	
000000b0	.\CHARACTER\MONSTER\BONE\	DAGNU.BN	DAGNU.BBX	
000000be	.\CHARACTER\MONSTER\BONE\	DAGNUYONGFLEM.BN	DAGNUYONGFLEM.BBX	
000000b2	.\CHARACTER\MONSTER\BONE\	DAGON.BN	DAGON.BBX	
00000169	.\CHARACTER\MONSTER\BONE\	DARKFA.BN	DARKFA.BBX	
0000016c	.\CHARACTER\MONSTER\BONE\	DARKFB.BN	DARKFB.BBX	
0000016f	.\CHARACTER\MONSTER\BONE\	DARKFC.BN	DARKFC.BBX	
000000ea	.\CHARACTER\MONSTER\BONE\	DARKHELLER.BN	DARKHELLER.BBX	
00000168	.\CHARACTER\MONSTER\BONE\	DARKRA.BN	DARKRA.BBX	
0000016b	.\CHARACTER\MONSTER\BONE\	DARKRB.BN	DARKRB.BBX	
0000016e	.\CHARACTER\MONSTER\BONE\	DARKRC.BN	DARKRC.BBX	
00000167	.\CHARACTER\MONSTER\BONE\	DARKWA.BN	DARKWA.BBX	
0000016a	.\CHARACTER\MONSTER\BONE\	DARKWB.BN	DARKWB.BBX	
0000016d	.\CHARACTER\MONSTER\BONE\	DARKWC.BN	DARKWC.BBX	
00000181	.\CHARACTER\MONSTER\BONE\	DEATHMOSS.BN	DEATHMOSS.BBX	
00000007	.\CHARACTER\MONSTER\BONE\	DEMOLIS.BN	DEMOLIS.BBX	
00000003	.\CHARACTER\MONSTER\BONE\	DESERKLAN.BN	DESERKLAN.BBX	
00000071	.\CHARACTER\MONSTER\BONE\	DESPERADO.BN	DESPERADO.BBX	
0000007a	.\CHARACTER\MONSTER\BONE\	DESTROYER.BN	DESTROYER.BBX	
000000b4	.\CHARACTER\MONSTER\BONE\	DEVASTATOR.BN	DEVASTATOR.BBX	
0000017e	.\CHARACTER\MONSTER\BONE\	DOCTORHOSTFITTON.BN	DOCTORHOSTFITTON.BBX	
0000004e	.\CHARACTER\MONSTER\BONE\	DRACO.BN	DRACO.BBX	
00000166	.\CHARACTER\MONSTER\BONE\	DRAGONKNIGHTSC.BN	DRAGONKNIGHTSC.BBX	
000000ca	.\CHARACTER\MONSTER\BONE\	DREADNOUGHT.BN	DREADNOUGHT.BBX	
0000010a	.\CHARACTER\MONSTER\BONE\	EISENASSAULTER.BN	EISENASSAULTER.BBX	
00000118	.\CHARACTER\MONSTER\BONE\	EISENMERCENARY.BN	EISENMERCENARY.BBX	
00000110	.\CHARACTER\MONSTER\BONE\	EISENSTRIKER.BN	EISENSTRIKER.BBX	
0000014d	.\CHARACTER\MONSTER\BONE\	ELDCROCHI.BN	ELDCROCHI.BBX	
00000038	.\CHARACTER\MONSTER\BONE\	ELDERLIZARD.BN	ELDERLIZARD.BBX	
0000011b	.\CHARACTER\MONSTER\BONE\	ELEFHANTPHANTOMSHADOW.BN	ELEFHANTPHANTOMSHADOW.BBX	
00000107	.\CHARACTER\MONSTER\BONE\	ELEPHANTASSULTER.BN	ELEPHANTASSULTER.BBX	
00000104	.\CHARACTER\MONSTER\BONE\	ELEPHANTFUNISHER.BN	ELEPHANTFUNISHER.BBX	
0000011a	.\CHARACTER\MONSTER\BONE\	ELEPHANTG.BN	ELEPHANTG.BBX	
00000113	.\CHARACTER\MONSTER\BONE\	ELEPHANTMERCENARY.BN	ELEPHANTMERCENARY.BBX	
00000112	.\CHARACTER\MONSTER\BONE\	ELEPHANTSTRIKER.BN	ELEPHANTSTRIKER.BBX	
00000188	.\CHARACTER\MONSTER\BONE\	ELVENRIDINGLUNKER.BN	ELVENRIDINGLUNKER.BBX	
00000183	.\CHARACTER\MONSTER\BONE\	ELVENWARCANNIBAL.BN	ELVENWARCANNIBAL.BBX	
00000189	.\CHARACTER\MONSTER\BONE\	ELVENWARSPLINTER.BN	ELVENWARSPLINTER.BBX	
000000e0	.\CHARACTER\MONSTER\BONE\	EVILEYETOTUM.BN	EVILEYETOTUM.BBX	
000000d6	.\CHARACTER\MONSTER\BONE\	EVILSNATCHERBITE.BN	EVILSNATCHERBITE.BBX	
000000db	.\CHARACTER\MONSTER\BONE\	EVILSNATCHERHORN.BN	EVILSNATCHERHORN.BBX	
000000de	.\CHARACTER\MONSTER\BONE\	EVILSNATCHERHORNKZAQ.BN	EVILSNATCHERHORNKZAQ.BBX	
00000141	.\CHARACTER\MONSTER\BONE\	FITTON.BN	FITTON.BBX	
00000187	.\CHARACTER\MONSTER\BONE\	FLAMEEITER.BN	FLAMEEITER.BBX	
00000002	.\CHARACTER\MONSTER\BONE\	FLEM.BN	FLEM.BBX	
00000004	.\CHARACTER\MONSTER\BONE\	FLEMGUARD.BN	FLEMGUARD.BBX	
000000c0	.\CHARACTER\MONSTER\BONE\	FLEMMUSCLETAIL.BN	FLEMMUSCLETAIL.BBX	
00000103	.\CHARACTER\MONSTER\BONE\	FORINAELEWIN.BN	FORINAELEWIN.BBX	
00000184	.\CHARACTER\MONSTER\BONE\	FOURHANDRUNNER.BN	FOURHANDRUNNER.BBX	
000000e8	.\CHARACTER\MONSTER\BONE\	FREAKVAFERSLY.BN	FREAKVAFERSLY.BBX	
00000102	.\CHARACTER\MONSTER\BONE\	FREEDOMADVENTURER.BN	FREEDOMADVENTURER.BBX	
000000f5	.\CHARACTER\MONSTER\BONE\	FREEDOMBLACKNIGHTS.BN	FREEDOMBLACKNIGHTS.BBX	
00000132	.\CHARACTER\MONSTER\BONE\	FREEDOMDEVASTATOR.BN	FREEDOMDEVASTATOR.BBX	
00000106	.\CHARACTER\MONSTER\BONE\	FREEDOMFUNISHER.BN	FREEDOMFUNISHER.BBX	
000000f2	.\CHARACTER\MONSTER\BONE\	FREEDOMGRAIZER.BN	FREEDOMGRAIZER.BBX	
00000119	.\CHARACTER\MONSTER\BONE\	FREEDOMMERCENARY.BN	FREEDOMMERCENARY.BBX	
0000011d	.\CHARACTER\MONSTER\BONE\	FREEDOMPHANTOMSHADOW.BN	FREEDOMPHANTOMSHADOW.BBX	
00000111	.\CHARACTER\MONSTER\BONE\	FREEDOMSTRIKER.BN	FREEDOMSTRIKER.BBX	
0000001f	.\CHARACTER\MONSTER\BONE\	GAFF.BN	GAFF.BBX	
00000018	.\CHARACTER\MONSTER\BONE\	GAFFTAIL.BN	GAFFTAIL.BBX	
00000027	.\CHARACTER\MONSTER\BONE\	GHOST.BN	GHOST.BBX	
000000d3	.\CHARACTER\MONSTER\BONE\	GIANTLIZARD.BN	GIANTLIZARD.BBX	
000000b8	.\CHARACTER\MONSTER\BONE\	GIANTMARSHSCUD.BN	GIANTMARSHSCUD.BBX	
000000b6	.\CHARACTER\MONSTER\BONE\	GIANTSCUD.BN	GIANTSCUD.BBX	
0000007e	.\CHARACTER\MONSTER\BONE\	GLADIUS.BN	GLADIUS.BBX	
00000164	.\CHARACTER\MONSTER\BONE\	GOLDENPIG.BN	GOLDENPIG.BBX	
0000005c	.\CHARACTER\MONSTER\BONE\	GRAVELAPIS.BN	GRAVELAPIS.BBX	
00000067	.\CHARACTER\MONSTER\BONE\	GRAVESTONE.BN	GRAVESTONE.BBX	
0000017d	.\CHARACTER\MONSTER\BONE\	GREATANABOLA.BN	GREATANABOLA.BBX	
0000018c	.\CHARACTER\MONSTER\BONE\	GREATBLOCK.BN	GREATBLOCK.BBX	
00000024	.\CHARACTER\MONSTER\BONE\	GRUMBLE.BN	GRUMBLE.BBX	
00000028	.\CHARACTER\MONSTER\BONE\	GRUMBLEHOOK.BN	GRUMBLEHOOK.BBX	
0000003c	.\CHARACTER\MONSTER\BONE\	GRUMBLEOWL.BN	GRUMBLEOWL.BBX	
00000078	.\CHARACTER\MONSTER\BONE\	GUNNER.BN	GUNNER.BBX	
000000a3	.\CHARACTER\MONSTER\BONE\	HEART.BN	HEART.BBX	
00000006	.\CHARACTER\MONSTER\BONE\	HEAVYWING.BN	HEAVYWING.BBX	
00000033	.\CHARACTER\MONSTER\BONE\	HELLER.BN	HELLER.BBX	
00000182	.\CHARACTER\MONSTER\BONE\	HELLERWING.BN	HELLERWING.BBX	
0000015d	.\CHARACTER\MONSTER\BONE\	HIGHELFARCHER.BN	HIGHELFARCHER.BBX	
00000199	.\CHARACTER\MONSTER\BONE\	HIGHELFARCHMAGE.BN	HIGHELFARCHMAGE.BBX	
00000191	.\CHARACTER\MONSTER\BONE\	HIGHELFASSAULTER.BN	HIGHELFASSAULTER.BBX	
00000192	.\CHARACTER\MONSTER\BONE\	HIGHELFDRUID.BN	HIGHELFDRUID.BBX	
0000018d	.\CHARACTER\MONSTER\BONE\	HIGHELFGARDENER.BN	HIGHELFGARDENER.BBX	
0000015e	.\CHARACTER\MONSTER\BONE\	HIGHELFKNIGHT.BN	HIGHELFKNIGHT.BBX	
0000018a	.\CHARACTER\MONSTER\BONE\	HIGHELFRANGER.BN	HIGHELFRANGER.BBX	
0000015c	.\CHARACTER\MONSTER\BONE\	HIGHELFSORCERESS.BN	HIGHELFSORCERESS.BBX	
0000018e	.\CHARACTER\MONSTER\BONE\	HIGHELFSUMMONER.BN	HIGHELFSUMMONER.BBX	
00000193	.\CHARACTER\MONSTER\BONE\	HIGHELFTAMER.BN	HIGHELFTAMER.BBX	
0000015b	.\CHARACTER\MONSTER\BONE\	HIGHELFWARLOCK.BN	HIGHELFWARLOCK.BBX	
00000052	.\CHARACTER\MONSTER\BONE\	HOBOBLADE.BN	HOBOBLADE.BBX	
0000004f	.\CHARACTER\MONSTER\BONE\	HOBOCUTTER.BN	HOBOCUTTER.BBX	
0000004d	.\CHARACTER\MONSTER\BONE\	HOBOMITE.BN	HOBOMITE.BBX	
00000053	.\CHARACTER\MONSTER\BONE\	HOBOROBBER.BN	HOBOROBBER.BBX	
0000004c	.\CHARACTER\MONSTER\BONE\	HOBOSWORD.BN	HOBOSWORD.BBX	
00000050	.\CHARACTER\MONSTER\BONE\	HOBOTURNPIKE.BN	HOBOTURNPIKE.BBX	
00000049	.\CHARACTER\MONSTER\BONE\	HOLYSTONEKEEPER.BN	HOLYSTONEKEEPER.BBX	
00000142	.\CHARACTER\MONSTER\BONE\	HOPPER.BN	HOPPER.BBX	
000000ec	.\CHARACTER\MONSTER\BONE\	HORAKAN.BN	HORAKAN.BBX	
00000143	.\CHARACTER\MONSTER\BONE\	HOSTFITTON.BN	HOSTFITTON.BBX	
0000000e	.\CHARACTER\MONSTER\BONE\	HOSTMAHR.BN	HOSTMAHR.BBX	
000000e6	.\CHARACTER\MONSTER\BONE\	HOUVAN.BN	HOUVAN.BBX	
0000002e	.\CHARACTER\MONSTER\BONE\	HUGAFF.BN	HUGAFF.BBX	
0000006b	.\CHARACTER\MONSTER\BONE\	HUMBABA.BN	HUMBABA.BBX	
00000077	.\CHARACTER\MONSTER\BONE\	HUNTER.BN	HUNTER.BBX	
00000145	.\CHARACTER\MONSTER\BONE\	INFECTEDBEAST.BN	INFECTEDBEAST.BBX	
000000bb	.\CHARACTER\MONSTER\BONE\	INFERNALDRACO.BN	INFERNALDRACO.BBX	
00000128	.\CHARACTER\MONSTER\BONE\	INTRUDER.BN	INTRUDER.BBX	
0000012b	.\CHARACTER\MONSTER\BONE\	INTRUDERHIDDENSOLDIER.BN	INTRUDERHIDDENSOLDIER.BBX	
0000011e	.\CHARACTER\MONSTER\BONE\	INTRUDERHOLYCHANDRA.BN	INTRUDERHOLYCHANDRA.BBX	
0000012e	.\CHARACTER\MONSTER\BONE\	INTRUDERSHIELDMILER.BN	INTRUDERSHIELDMILER.BBX	
000000c4	.\CHARACTER\MONSTER\BONE\	KARAYAN.BN	KARAYAN.BBX	
000000d2	.\CHARACTER\MONSTER\BONE\	KERUBIM.BN	KERUBIM.BBX	
00000122	.\CHARACTER\MONSTER\BONE\	KILSGUARDS.BN	KILSGUARDS.BBX	
00000123	.\CHARACTER\MONSTER\BONE\	KILZAICHEF.BN	KILZAICHEF.BBX	
0000003d	.\CHARACTER\MONSTER\BONE\	KINGTWEEZER.BN	KINGTWEEZER.BBX	
0000000b	.\CHARACTER\MONSTER\BONE\	KLAN.BN	KLAN.BBX	
0000007d	.\CHARACTER\MONSTER\BONE\	KNIGHTS.BN	KNIGHTS.BBX	
000000c1	.\CHARACTER\MONSTER\BONE\	KSSTINGBUG.BN	KSSTINGBUG.BBX	
00000162	.\CHARACTER\MONSTER\BONE\	KUKURACHIEF.BN	KUKURACHIEF.BBX	
0000006c	.\CHARACTER\MONSTER\BONE\	KUR.BN	KUR.BBX	
00000154	.\CHARACTER\MONSTER\BONE\	KWELERSOKUM.BN	KWELERSOKUM.BBX	
0000013f	.\CHARACTER\MONSTER\BONE\	KWELERSOKUMGUARD.BN	KWELERSOKUMGUARD.BBX	
000000d0	.\CHARACTER\MONSTER\BONE\	LABTWEEZER.BN	LABTWEEZER.BBX	
0000001c	.\CHARACTER\MONSTER\BONE\	LAPIS.BN	LAPIS.BBX	
000000cc	.\CHARACTER\MONSTER\BONE\	LARGOKINGTWEEZER.BN	LARGOKINGTWEEZER.BBX	
000000fa	.\CHARACTER\MONSTER\BONE\	LAURGUARDER.BN	LAURGUARDER.BBX	
0000010b	.\CHARACTER\MONSTER\BONE\	LAURMESER.BN	LAURMESER.BBX	
0000001d	.\CHARACTER\MONSTER\BONE\	LAVA.BN	LAVA.BBX	
00000047	.\CHARACTER\MONSTER\BONE\	LAZHUWARDIAN.BN	LAZHUWARDIAN.BBX	
00000046	.\CHARACTER\MONSTER\BONE\	LAZHUWARDIANWARRIOR.BN	LAZHUWARDIANWARRIOR.BBX	
00000091	.\CHARACTER\MONSTER\BONE\	LAZUILTOWER.BN	LAZUILTOWER.BBX	
00000023	.\CHARACTER\MONSTER\BONE\	LIZARD.BN	LIZARD.BBX	
0000003a	.\CHARACTER\MONSTER\BONE\	LOBUSTLAVA.BN	LOBUSTLAVA.BBX	
000000ab	.\CHARACTER\MONSTER\BONE\	LOCKJAW.BN	LOCKJAW.BBX	
00000144	.\CHARACTER\MONSTER\BONE\	LOSSMUTANT.BN	LOSSMUTANT.BBX	
0000000d	.\CHARACTER\MONSTER\BONE\	LUNKER.BN	LUNKER.BBX	
00000009	.\CHARACTER\MONSTER\BONE\	MAHR.BN	MAHR.BBX	
000000ed	.\CHARACTER\MONSTER\BONE\	MARINEBUILDER.BN	MARINEBUILDER.BBX	
000000b7	.\CHARACTER\MONSTER\BONE\	MARSHSCUD.BN	MARSHSCUD.BBX	
000000e4	.\CHARACTER\MONSTER\BONE\	MARWING.BN	MARWING.BBX	
0000003e	.\CHARACTER\MONSTER\BONE\	MASSSANDWORM.BN	MASSSANDWORM.BBX	
0000017a	.\CHARACTER\MONSTER\BONE\	MASSSANDWORMHERO.BN	MASSSANDWORMHERO.BBX	
00000098	.\CHARACTER\MONSTER\BONE\	MATY.BN	MATY.BBX	
00000042	.\CHARACTER\MONSTER\BONE\	MEATCLOD.BN	MEATCLOD.BBX	
0000012d	.\CHARACTER\MONSTER\BONE\	MEIBUSHATE.BN	MEIBUSHATE.BBX	
000000a7	.\CHARACTER\MONSTER\BONE\	MEMORIAGEM.BN	MEMORIAGEM.BBX	
0000014e	.\CHARACTER\MONSTER\BONE\	METALELFARCHER.BN	METALELFARCHER.BBX	
0000018f	.\CHARACTER\MONSTER\BONE\	METALELFASSASSIN.BN	METALELFASSASSIN.BBX	
00000151	.\CHARACTER\MONSTER\BONE\	METALELFBERSERKER.BN	METALELFBERSERKER.BBX	
00000194	.\CHARACTER\MONSTER\BONE\	METALELFDEMOLISHER.BN	METALELFDEMOLISHER.BBX	
00000190	.\CHARACTER\MONSTER\BONE\	METALELFDESTROYER.BN	METALELFDESTROYER.BBX	
0000014f	.\CHARACTER\MONSTER\BONE\	METALELFGUNER.BN	METALELFGUNER.BBX	
00000150	.\CHARACTER\MONSTER\BONE\	METALELFKNIGHT.BN	METALELFKNIGHT.BBX	
00000195	.\CHARACTER\MONSTER\BONE\	METALELFMECHANICMASTER.BN	METALELFMECHANICMASTER.BBX	
00000196	.\CHARACTER\MONSTER\BONE\	METALELFSHIELDGUARD.BN	METALELFSHIELDGUARD.BBX	
0000018b	.\CHARACTER\MONSTER\BONE\	METALELFSNIPER.BN	METALELFSNIPER.BBX	
00000197	.\CHARACTER\MONSTER\BONE\	METALELFWARLORD.BN	METALELFWARLORD.BBX	
0000007b	.\CHARACTER\MONSTER\BONE\	MILER.BN	MILER.BBX	
00000121	.\CHARACTER\MONSTER\BONE\	MIROKU.BN	MIROKU.BBX	
000000c5	.\CHARACTER\MONSTER\BONE\	MOZEL.BN	MOZEL.BBX	
000000c2	.\CHARACTER\MONSTER\BONE\	MOZELSSTINGBUG.BN	MOZELSSTINGBUG.BBX	
000000c7	.\CHARACTER\MONSTER\BONE\	MRK.BN	MRK.BBX	
000000e3	.\CHARACTER\MONSTER\BONE\	MUSCLEDANCE.BN	MUSCLEDANCE.BBX	
00000039	.\CHARACTER\MONSTER\BONE\	NAIADHELLER.BN	NAIADHELLER.BBX	
00000161	.\CHARACTER\MONSTER\BONE\	NARUMCHIEF.BN	NARUMCHIEF.BBX	
00000152	.\CHARACTER\MONSTER\BONE\	NARWINIDISIL.BN	NARWINIDISIL.BBX	
00000064	.\CHARACTER\MONSTER\BONE\	NECROMETAL.BN	NECROMETAL.BBX	
00000012	.\CHARACTER\MONSTER\BONE\	NEOWARBEAST.BN	NEOWARBEAST.BBX	
00000114	.\CHARACTER\MONSTER\BONE\	NIGHTHUNTER.BN	NIGHTHUNTER.BBX	
000000df	.\CHARACTER\MONSTER\BONE\	NINETAILSNATCHERCHEAT.BN	NINETAILSNATCHERCHEAT.BBX	
000000bf	.\CHARACTER\MONSTER\BONE\	NINJAFLEM.BN	NINJAFLEM.BBX	
0000017f	.\CHARACTER\MONSTER\BONE\	NUBOMB.BN	NUBOMB.BBX	
000000a0	.\CHARACTER\MONSTER\BONE\	NUTY.BN	NUTY.BBX	
00000186	.\CHARACTER\MONSTER\BONE\	OBELISK.BN	OBELISK.BBX	
00000026	.\CHARACTER\MONSTER\BONE\	OPSLAVA.BN	OPSLAVA.BBX	
000000e1	.\CHARACTER\MONSTER\BONE\	ORCURAS.BN	ORCURAS.BBX	
00000146	.\CHARACTER\MONSTER\BONE\	PACHI.BN	PACHI.BBX	
