clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	byte	byte	byte	byte	float	dword	bttype	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	xeh	dword	effbttype	dword	END
ibbow34	Сумка Огненных Стрел	A20421	2	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	33	1	0	0	-1	0	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow35	Сумка Ледяных Стрел	A20422	3	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	34	1	0	0	-1	1	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow36	Сумка Сланцевых Стрел	A20423	4	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	35	1	0	0	-1	2	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow37	Сумка Керамитовых Стрел	A20424	5	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	36	1	0	0	-1	-1	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow38	Сумка Ураганных Стрел	A20425	6	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	37	1	0	0	-1	3	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow39	Сумка Взрывных Стрел	A20426	7	11111	11	0	0	103175	0	0	0	0	5158	1	1	1	0	38	1	0	0	-1	0	0	0	0	1	30000	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow40	Сумка Болтов	A20427	8	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	39	1	0	0	-1	-1	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow41	Сумка Огненных Болтов	A20428	9	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	40	1	0	0	-1	0	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow42	Сумка Ледяных Болтов	A20429	10	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	41	1	0	0	-1	1	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow43	Сумка Сланцевых Болтов	A2042A	11	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	42	1	0	0	-1	2	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow44	Сумка Керамитовых Болтов	A2042B	12	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	43	1	0	0	-1	-1	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow45	Сумка Ураганных Болтов	A2042C	13	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	44	1	0	0	-1	3	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow46	Сумка Взрывных Болтов	A2042D	14	11111	11	0	0	103175	0	0	0	0	5158	1	1	1	0	45	1	0	0	-1	0	0	0	0	1	30000	B	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow47	Насыщенный Энергоэлемент	A2042E	15	11111	11	0	0	120000	0	0	0	0	6000	1	1	1	0	46	1	0	0	-1	-1	0	0	0	1	30000	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow48	Насыщенный Энергоэлемент Mk.II	A2042F	16	11111	11	0	0	100794	0	0	0	0	5039	1	1	1	0	47	1	0	0	-1	-1	0	0	0	1,25	30000	CD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow49	Снаряд	A20430	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	48	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow50	Снаряд	A20431	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	49	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow51	Снаряд	A20432	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	50	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow52	Снаряд	A20433	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	51	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow53	Снаряд	A20434	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	52	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow54	Снаряд	A20435	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	53	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow55	Снаряд	A20436	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	54	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow56	Снаряд	A20437	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	55	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow57	Снаряд	A20438	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	56	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow58	Снаряд	A20439	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	57	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow59	Снаряд	A2043A	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	58	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow60	Снаряд	A2043B	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	59	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow61	Снаряд	A2043C	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	60	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow62	Снаряд	A2043D	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	61	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow63	Снаряд	A2043E	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	62	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow64	Снаряд	A2043F	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	63	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow65	Снаряд	A20440	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	64	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow66	Снаряд	A20441	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	65	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow67	Снаряд	A20442	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	66	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow68	Снаряд	A20443	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	67	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow69	Снаряд	A20444	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	68	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow70	Снаряд	A20445	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	69	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow71	Снаряд	A20446	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	70	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow72	Снаряд	A20447	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	71	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow73	Снаряд	A20448	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	72	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow74	Снаряд	A20449	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	73	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow75	Снаряд	A2044A	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	74	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow76	Снаряд	A2044B	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	75	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow77	Снаряд	A2044C	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	76	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow78	Снаряд	A2044D	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	77	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow79	Снаряд	A2044E	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	78	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow80	Снаряд	A2044F	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	79	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow81	Снаряд	A20450	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	80	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow82	Снаряд	A20451	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	81	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow83	Снаряд	A20452	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	82	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow84	Снаряд	A20453	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	83	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow85	Снаряд	A20454	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	84	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow86	Снаряд	A20455	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	85	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow87	Снаряд	A20456	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	86	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow88	Снаряд	A20457	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	87	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow89	Снаряд	A20458	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	88	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow90	Снаряд	A20459	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	89	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow91	Снаряд	A2045A	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	90	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow92	Снаряд	A2045B	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	91	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow93	Снаряд	A2045C	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	92	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow94	Снаряд	A2045D	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	93	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow95	Снаряд	A2045E	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	94	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow96	Снаряд	A2045F	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	95	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow97	Снаряд	A20460	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	96	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow98	Снаряд	A20461	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	97	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow99	Снаряд	A20462	0	11111	11	0	0	400	0	0	0	0	20	1	1	1	0	98	0	0	0	-1	-1	0	0	0	1,25	100	A	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibbow00	Стрела Новичка	A20463	1	11111	11	0	0	400	0	0	0	0	20	0	1	0	0	99	1	0	0	-1	-1	0	0	0	1	500	ABCD	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir01	Магазин	A20364	17	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	100	1	0	0	-1	-1	0	0	0	1	100	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir02	Циклонный Магазин	A20365	18	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	101	1	0	0	-1	3	0	0	0	1	100	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir03	Энергомагазин	A20366	19	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	102	1	0	0	-1	-1	0	0	0	1,25	100	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir04	Лазерный Магазин	A20367	20	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	103	1	0	0	-1	-1	0	0	0	1	100	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir05	Ленточный Магазин	A20368	21	11111	11	0	0	400	0	0	0	0	20	1	1	1	1	104	1	0	0	-1	-1	0	0	0	1	100	FG	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir06	Сланцевый Магазин	A20369	22	11111	11	0	0	500	0	0	0	0	25	1	1	1	1	105	1	0	0	-1	2	0	0	0	1	100	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir07	Разрывной Магазин	A2036A	23	11111	11	0	0	500	0	0	0	0	25	1	1	1	1	106	1	0	0	-1	0	0	0	0	1	100	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir08	Ядерная Ракета	42036B	24	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	107	1	0	0	-1	0	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir09	Магнитная Ракета	42036C	25	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	108	1	0	0	-1	3	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir10	Напалмовая Ракета	42036D	26	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	109	1	0	0	-1	0	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir11	Токсичная Ракета	42036E	27	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	110	1	0	0	-1	2	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir12	Циклонная Ракета	42036F	28	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	111	1	0	0	-1	1	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir13	Световая Ракета	420370	29	00001	11	0	0	2000	0	0	0	0	100	1	1	1	1	112	1	0	0	-1	0	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir14	Огненная Ракета	420371	30	00001	11	0	0	2000	0	0	0	0	100	1	1	1	1	113	1	0	0	-1	0	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir15	Жидкое Топливо	420372	31	00001	11	0	0	2500	0	0	0	0	125	1	1	1	1	114	1	0	0	-1	0	0	0	0	1,25	100	J	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir16	Керамитовая Ракета	420373	32	00001	11	0	0	2000	0	0	0	0	100	1	1	1	1	115	1	0	0	-1	-1	0	0	0	1,25	100	IK	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir17	Цинк Магазинов	A20374	17	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	116	1	0	0	-1	-1	0	0	0	1	500	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir18	Цинк Циклонных Магазинов	A20375	18	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	117	1	0	0	-1	3	0	0	0	1	500	E	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir19	Заряженный Энергомагазин	A20376	19	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	118	1	0	0	-1	-1	0	0	0	1,25	500	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir20	Заряженный Лазерный Магазин	A20377	20	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	119	1	0	0	-1	-1	0	0	0	1	500	H	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
ibfir21	Цинк Ленточных Магазинов	A20378	21	11111	11	0	0	2000	0	0	0	0	100	1	1	1	1	120	1	0	0	-1	-1	0	0	0	1	500	FG	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	
