string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	float	float	float	float	float	string[64]	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
ibbow31	1	A2041E	15	Заряженный Энергоэлемент	204	200	11111	CD	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibbow31	0	0	0	
ibbow32	1	A2041F	16	Заряженный Энергоэлемент Mk.II	204	200	11111	CD	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibbow32	0	0	0	
ibbow33	1	A20420	1	Сумка Стрел	204	200	11111	A	-1	1	-1	0	120000	0	0	0	0	6000	30000	1	0	-1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow33	0	0	0	
ibbow34	1	A20421	2	Сумка Огненных Стрел	204	200	11111	A	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	0	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow34	0	0	0	
ibbow35	1	A20422	3	Сумка Ледяных Стрел	204	200	11111	A	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow35	0	0	0	
ibbow36	1	A20423	4	Сумка Сланцевых Стрел	204	200	11111	A	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	2	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow36	0	0	0	
ibbow37	1	A20424	5	Сумка Керамитовых Стрел	204	200	11111	A	-1	1	-1	0	120000	0	0	0	0	6000	30000	1	0	-1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow37	0	0	0	
ibbow38	1	A20425	6	Сумка Ураганных Стрел	204	200	11111	A	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	3	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow38	0	0	0	
ibbow39	1	A20426	7	Сумка Взрывных Стрел	204	200	11111	A	-1	1	-1	0	103175	0	0	0	0	5158	30000	1	6	0	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow39	0	0	0	
ibbow40	1	A20427	8	Сумка Болтов	204	200	11111	B	-1	1	-1	0	120000	0	0	0	0	6000	30000	1	0	-1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow40	0	0	0	
ibbow41	1	A20428	9	Сумка Огненных Болтов	204	200	11111	B	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	0	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow41	0	0	0	
ibbow42	1	A20429	10	Сумка Ледяных Болтов	204	200	11111	B	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow42	0	0	0	
ibbow43	1	A2042A	11	Сумка Сланцевых Болтов	204	200	11111	B	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	2	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow43	0	0	0	
ibbow44	1	A2042B	12	Сумка Керамитовых Болтов	204	200	11111	B	-1	1	-1	0	120000	0	0	0	0	6000	30000	1	0	-1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow44	0	0	0	
ibbow45	1	A2042C	13	Сумка Ураганных Болтов	204	200	11111	B	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	3	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow45	0	0	0	
ibbow46	1	A2042D	14	Сумка Взрывных Болтов	204	200	11111	B	-1	1	-1	0	103175	0	0	0	0	5158	30000	1	6	0	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow46	0	0	0	
ibbow47	1	A2042E	15	Насыщенный Энергоэлемент	204	200	11111	CD	-1	1	-1	0	120000	0	0	0	0	6000	30000	1	0	-1	0	0	0	0	1	-1	1	1	1	0	1	0	tibbow47	0	0	0	
ibbow48	1	A2042F	16	Насыщенный Энергоэлемент Mk.II	204	200	11111	CD	-1	1	-1	0	100794	0	0	0	0	5039	30000	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow48	0	0	0	
ibbow49	0	A20430	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow49	0	0	0	
ibbow50	0	A20431	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow50	0	0	0	
ibbow51	0	A20432	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow51	0	0	0	
ibbow52	0	A20433	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow52	0	0	0	
ibbow53	0	A20434	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow53	0	0	0	
ibbow54	0	A20435	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow54	0	0	0	
ibbow55	0	A20436	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow55	0	0	0	
ibbow56	0	A20437	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow56	0	0	0	
ibbow57	0	A20438	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow57	0	0	0	
ibbow58	0	A20439	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow58	0	0	0	
ibbow59	0	A2043A	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow59	0	0	0	
ibbow60	0	A2043B	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow60	0	0	0	
ibbow61	0	A2043C	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow61	0	0	0	
ibbow62	0	A2043D	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow62	0	0	0	
ibbow63	0	A2043E	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow63	0	0	0	
ibbow64	0	A2043F	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow64	0	0	0	
ibbow65	0	A20440	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow65	0	0	0	
ibbow66	0	A20441	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow66	0	0	0	
ibbow67	0	A20442	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow67	0	0	0	
ibbow68	0	A20443	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow68	0	0	0	
ibbow69	0	A20444	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow69	0	0	0	
ibbow70	0	A20445	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow70	0	0	0	
ibbow71	0	A20446	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow71	0	0	0	
ibbow72	0	A20447	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow72	0	0	0	
ibbow73	0	A20448	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow73	0	0	0	
ibbow74	0	A20449	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow74	0	0	0	
ibbow75	0	A2044A	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow75	0	0	0	
ibbow76	0	A2044B	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow76	0	0	0	
ibbow77	0	A2044C	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow77	0	0	0	
ibbow78	0	A2044D	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow78	0	0	0	
ibbow79	0	A2044E	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow79	0	0	0	
ibbow80	0	A2044F	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow80	0	0	0	
ibbow81	0	A20450	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow81	0	0	0	
ibbow82	0	A20451	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow82	0	0	0	
ibbow83	0	A20452	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow83	0	0	0	
ibbow84	0	A20453	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow84	0	0	0	
ibbow85	0	A20454	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow85	0	0	0	
ibbow86	0	A20455	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow86	0	0	0	
ibbow87	0	A20456	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow87	0	0	0	
ibbow88	0	A20457	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow88	0	0	0	
ibbow89	0	A20458	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow89	0	0	0	
ibbow90	0	A20459	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow90	0	0	0	
ibbow91	0	A2045A	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow91	0	0	0	
ibbow92	0	A2045B	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow92	0	0	0	
ibbow93	0	A2045C	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow93	0	0	0	
ibbow94	0	A2045D	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow94	0	0	0	
ibbow95	0	A2045E	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow95	0	0	0	
ibbow96	0	A2045F	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow96	0	0	0	
ibbow97	0	A20460	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow97	0	0	0	
ibbow98	0	A20461	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow98	0	0	0	
ibbow99	0	A20462	0	Снаряд	204	200	11111	A	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	0	1	0	tibbow99	0	0	0	
ibbow00	1	A20463	1	Стрела Новичка	204	200	11111	ABCD	-1	1	-1	0	400	0	0	0	0	20	500	1	0	-1	0	0	0	0	1	-1	1	0	0	0	1	0	tibbow00	0	0	0	
ibfir01	1	A20364	17	Магазин	203	200	11111	E	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir01	0	0	0	
ibfir02	1	A20365	18	Циклонный Магазин	203	200	11111	E	-1	1	-1	0	400	0	0	0	0	20	100	1	0	3	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir02	0	0	0	
ibfir03	1	A20366	19	Энергомагазин	203	200	11111	H	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir03	0	0	0	
ibfir04	1	A20367	20	Лазерный Магазин	203	200	11111	H	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir04	0	0	0	
ibfir05	1	A20368	21	Ленточный Магазин	203	200	11111	FG	-1	1	-1	0	400	0	0	0	0	20	100	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir05	0	0	0	
ibfir06	1	A20369	22	Сланцевый Магазин	203	200	11111	E	-1	1	-1	0	500	0	0	0	0	25	100	1	6	2	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir06	0	0	0	
ibfir07	1	A2036A	23	Разрывной Магазин	203	200	11111	E	-1	1	-1	0	500	0	0	0	0	25	100	1	6	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir07	0	0	0	
ibfir08	1	42036B	24	Ядерная Ракета	203	200	00001	IK	-1	1	-1	0	2500	0	0	0	0	125	100	1	6	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir08	0	0	0	
ibfir09	1	42036C	25	Магнитная Ракета	203	200	00001	IK	-1	1	-1	0	2500	0	0	0	0	125	100	1	6	3	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir09	0	0	0	
ibfir10	1	42036D	26	Напалмовая Ракета	203	200	00001	IK	-1	1	-1	0	2500	0	0	0	0	125	100	1	6	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir10	0	0	0	
ibfir11	1	42036E	27	Токсичная Ракета	203	200	00001	IK	-1	1	-1	0	2500	0	0	0	0	125	100	1	6	2	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir11	0	0	0	
ibfir12	1	42036F	28	Циклонная Ракета	203	200	00001	IK	-1	1	-1	0	2500	0	0	0	0	125	100	1	6	1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir12	0	0	0	
ibfir13	1	420370	29	Световая Ракета	203	200	00001	IK	-1	1	-1	0	2000	0	0	0	0	100	100	1	0	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir13	0	0	0	
ibfir14	1	420371	30	Огненная Ракета	203	200	00001	IK	-1	1	-1	0	2000	0	0	0	0	100	100	1	0	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir14	0	0	0	
ibfir15	1	420372	31	Жидкое Топливо	203	200	00001	J	-1	1	-1	0	2500	0	0	0	0	125	100	1	6	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir15	0	0	0	
ibfir16	1	420373	32	Керамитовая Ракета	203	200	00001	IK	-1	1	-1	0	2000	0	0	0	0	100	100	1	0	-1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir16	0	0	0	
ibfir17	1	A20374	17	Цинк Магазинов	203	200	11111	E	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir17	0	0	0	
ibfir18	1	A20375	18	Цинк Циклонных Магазинов	203	200	11111	E	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	3	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir18	0	0	0	
ibfir19	1	A20376	19	Заряженный Энергомагазин	203	200	11111	H	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir19	0	0	0	
ibfir20	1	A20377	20	Заряженный Лазерный Магазин	203	200	11111	H	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir20	0	0	0	
ibfir21	1	A20378	21	Цинк Ленточных Магазинов	203	200	11111	FG	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	-1	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir21	0	0	0	
ibfir22	1	A20379	22	Цинк Сланцевых Магазинов	203	200	11111	E	-1	1	-1	0	2000	0	0	0	0	100	500	1	0	2	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir22	0	0	0	
ibfir23	1	A2037A	23	Цинк Разрывных Магазинов	203	200	11111	E	-1	1	-1	0	2500	0	0	0	0	125	500	1	6	0	0	0	0	0	1	-1	1	1	1	1	1	0	tibfir23	0	0	0	
ibfir24	1	42037B	24	Блок Ядерных Ракет	203	200	00001	IK	-1	1	-1	0	12500	0	0	0	0	625	500	1	6	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir24	0	0	0	
ibfir25	1	42037C	25	Блок Магнитных Ракет	203	200	00001	IK	-1	1	-1	0	12500	0	0	0	0	625	500	1	6	3	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir25	0	0	0	
ibfir26	1	42037D	26	Блок Гибридных Ракет	203	200	00001	IK	-1	1	-1	0	12500	0	0	0	0	625	500	1	6	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir26	0	0	0	
ibfir27	1	42037E	27	Блок Токсичных Ракет	203	200	00001	IK	-1	1	-1	0	12500	0	0	0	0	625	500	1	6	2	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir27	0	0	0	
ibfir28	1	42037F	28	Блок Ураганных Ракет	203	200	00001	IK	-1	1	-1	0	12500	0	0	0	0	625	500	1	6	1	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir28	0	0	0	
ibfir29	1	420380	29	Блок Световых Ракет	203	200	00001	IK	-1	1	-1	0	10000	0	0	0	0	500	500	1	0	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir29	0	0	0	
ibfir30	1	420381	30	Блок Самонаводящихся Ракет	203	200	00001	IK	-1	1	-1	0	10000	0	0	0	0	500	500	1	0	0	0	0	0	0	1,25	-1	1	1	1	1	1	0	tibfir30	0	0	0	
