clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	word	word	word	word	dword	END
iabba23	Узкий Амулет Ветра Бета	700816	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	22	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
iabba24	Узкий Амулет Ветра Сигма(3)	700817	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	23	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
iabba25	Узкий Амулет Ветра Дельта	700818	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	24	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
iabba26	Узкий Амулет Ветра Эта(5)	700819	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	25	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
iabba27	Узкий Амулет Ветра Тета	70081A	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	26	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
iabba28	Узкий Амулет Ветра Гамма(7)	70081B	4	11000	10	1	0	60	0	0	0	0	1200	1	1	1	1	27	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	
iabba29	Шпринг Амулет Огня Гамма(1)	70081C	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	28	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
iabba30	Шпринг Амулет Огня Бета	70081D	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	29	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
iabba31	Шпринг Амулет Огня Сигма(3)	70081E	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	30	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
iabba32	Шпринг Амулет Огня Дельта	70081F	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	31	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	
iabba33	Шпринг Амулет Огня Эта(5)	700820	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	32	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	
iabba34	Шпринг Амулет Огня Тета	700821	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	33	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	
iabba35	Шпринг Амулет Огня Гамма(7)	700822	5	11000	10	1	0	80	0	0	0	0	1600	1	1	1	1	34	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	
iabba36	Остерегающий Амулет Воды Гамма(1)	700823	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	35	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,300000012	0	0	0	0	0	0	3	0	0	0	
iabba37	Остерегающий Амулет Воды Бета	700824	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	36	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,300000012	0	0	0	0	0	0	4	0	0	0	
iabba38	Остерегающий Амулет Воды Сигма(3)	700825	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	37	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,300000012	0	0	0	0	0	0	5	0	0	0	
iabba39	Остерегающий Амулет Воды Дельта	700826	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	38	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,5	0	0	0	0	0	0	3	0	0	0	
iabba40	Остерегающий Амулет Воды Эта(5)	700827	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	39	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,5	0	0	0	0	0	0	3	0	0	0	
iabba41	Остерегающий Амулет Воды Тета	700828	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	40	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,5	0	0	0	0	0	0	5	0	0	0	
iabba42	Остерегающий Амулет Воды Гамма(7)	700829	10	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	41	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0,5	0	0	0	0	0	0	5	0	0	0	
iabba43	Остерегающий Амулет Огня Гамма(1)	70082A	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	42	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,050000001	0	0	0	0	0	3	0	0	0	0	
iabba44	Остерегающий Амулет Огня Бета	70082B	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	43	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,050000001	0	0	0	0	0	4	0	0	0	0	
iabba45	Остерегающий Амулет Огня Сигма(3)	70082C	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	44	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,079999998	0	0	0	0	0	5	0	0	0	0	
iabba46	Остерегающий Амулет Огня Дельта	70082D	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	45	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,100000001	0	0	0	0	0	3	0	0	0	0	
iabba47	Остерегающий Амулет Огня Эта(5)	70082E	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	46	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,050000001	0	0	0	0	0	3	0	0	0	0	
iabba48	Остерегающий Амулет Огня Тета	70082F	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	47	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,079999998	0	0	0	0	0	5	0	0	0	0	
iabba49	Остерегающий Амулет Огня Гамма(7)	700830	9	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	48	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	-0,100000001	0	0	0	0	0	5	0	0	0	0	
iabba50	Остерегающий Амулет Земли Гамма(1)	700831	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	49	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	
iabba51	Остерегающий Амулет Земли Бета	700832	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	50	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	
iabba52	Остерегающий Амулет Земли Сигма(3)	700833	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	51	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	
iabba53	Остерегающий Амулет Земли Дельта	700834	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	52	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	
iabba54	Остерегающий Амулет Земли Эта(5)	700835	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	53	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	
iabba55	Остерегающий Амулет Земли Тета	700836	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	54	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	
iabba56	Остерегающий Амулет Земли Гамма(7)	700837	11	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	55	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	
iabba57	Остерегающий Амулет Ветра Гамма(1)	700838	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	56	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,050000001	0	0	0	0	0	0	0	0	3	0	
iabba58	Остерегающий Амулет Ветра Бета	700839	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	57	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,050000001	0	0	0	0	0	0	0	0	4	0	
iabba59	Остерегающий Амулет Ветра Сигма(3)	70083A	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	58	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,079999998	0	0	0	0	0	0	0	0	5	0	
iabba60	Остерегающий Амулет Ветра Дельта	70083B	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	59	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,100000001	0	0	0	0	0	0	0	0	3	0	
iabba61	Остерегающий Амулет Ветра Эта(5)	70083C	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	60	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,050000001	0	0	0	0	0	0	0	0	3	0	
iabba62	Остерегающий Амулет Ветра Тета	70083D	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	61	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,079999998	0	0	0	0	0	0	0	0	5	0	
iabba63	Остерегающий Амулет Ветра Гамма(7)	70083E	12	11000	10	1	0	100	0	0	0	0	2000	1	1	1	1	62	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,100000001	0	0	0	0	0	0	0	0	5	0	
iabba64	Неровный Амулет Воды Гамма(1)	70083F	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	63	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,050000001	0	0	0	0	0	0	2	2	0	0	
iabba65	Неровный Амулет Воды Бета	700840	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	64	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,050000001	0	0	0	0	0	0	2	2	0	0	
iabba66	Неровный Амулет Воды Сигма(3)	700841	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	65	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,079999998	0	0	0	0	0	0	2	2	0	0	
iabba67	Неровный Амулет Воды Дельта	700842	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	66	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,100000001	0	0	0	0	0	0	2	2	0	0	
iabba68	Неровный Амулет Воды Эта(5)	700843	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	67	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,050000001	0	0	0	0	0	0	3	2	0	0	
iabba69	Неровный Амулет Воды Тета	700844	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	68	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,079999998	0	0	0	0	0	0	2	3	0	0	
iabba70	Неровный Амулет Воды Гамма(7)	700845	14	11000	10	1	0	120	0	0	0	0	2400	1	1	1	1	69	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,100000001	0	0	0	0	0	0	3	3	0	0	
iabba71	Неровный Амулет Огня Гамма(1)	700846	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	70	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	
iabba72	Неровный Амулет Огня Бета	700847	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	71	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	
iabba73	Неровный Амулет Огня Сигма(3)	700848	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	72	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	
iabba74	Неровный Амулет Огня Дельта	700849	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	73	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	
iabba75	Неровный Амулет Огня Эта(5)	70084A	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	74	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	
iabba76	Неровный Амулет Огня Тета	70084B	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	75	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	
iabba77	Неровный Амулет Огня Гамма(7)	70084C	17	11000	10	1	0	150	0	0	0	0	3000	1	1	1	1	76	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	
iabba78	Стихийный Узкий Амулет	70084D	17	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	77	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	5	6	0	
iabba79	Стихийный Узкий Амулет	70084E	18	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	78	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	4	5	0	
iabba80	Стихийный Узкий Амулет	70084F	19	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	79	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	8	4	0	
iabba81	Стихийный Узкий Амулет	700850	20	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	80	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	6	8	0	
iabba82	Стихийный Узкий Амулет	700851	17	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	81	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	0	
iabba83	Стихийный Узкий Амулет	700852	18	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	82	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	0	
iabba84	Стихийный Узкий Амулет	700853	19	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	83	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	0	
iabba85	Стихийный Узкий Амулет	700854	20	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	84	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	0	
iabba86	Стихийный Шпринг Амулет	700855	17	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	85	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	5	0	0	0	0	0	4	2	3	3	0	
iabba87	Стихийный Шпринг Амулет	700856	18	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	86	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	3	4	2	3	0	
iabba88	Стихийный Шпринг Амулет	700857	19	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	87	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	3	3	4	2	0	
iabba89	Стихийный Шпринг Амулет	700858	20	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	88	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	10	0	0	0	0	0	2	3	3	4	0	
iabba90	Стихийный Шпринг Амулет	700859	17	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	89	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	15	0	0	0	0	0	2	2	2	2	0	
iabba91	Стихийный Шпринг Амулет	70085A	18	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	90	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	15	0	0	0	0	0	3	3	3	3	0	
iabba92	Стихийный Шпринг Амулет	70085B	19	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	91	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	15	0	0	0	0	0	3	3	3	3	0	
iabba93	Стихийный Шпринг Амулет	70085C	20	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	92	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	20	0	0	0	0	0	4	4	4	4	0	
iabba94	Стихийный Остерегающий Амулет	70085D	17	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	93	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,100000001	0	0	0	0	0	4	2	3	3	0	
iabba95	Стихийный Остерегающий Амулет	70085E	18	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	94	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,150000006	0	0	0	0	0	3	4	2	3	0	
iabba96	Стихийный Остерегающий Амулет	70085F	19	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	95	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,150000006	0	0	0	0	0	3	3	4	2	0	
iabba97	Стихийный Остерегающий Амулет	700860	20	11000	10	1	0	500	0	0	0	0	10000	1	1	1	1	96	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0,150000006	0	0	0	0	0	2	3	3	4	0	
