string[64]	dword	string[64]	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	END
iwaxa02	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	2	iwaxa02	6540	iwxha02	165	iwxhb02	165	iwxhc02	165	iwxhd02	165	iwxhe02	165	iwxhf02	165	iwxhg02	165	iwxhh02	165	iwxhi02	165	iwxhj02	165	iwxhk02	165	iwxhl02	165	iwaxb02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwaxa03	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	2	iwaxa03	6562	iwxha03	164	iwxhb03	164	iwxhc03	164	iwxhd03	164	iwxhe03	164	iwxhf03	164	iwxhg03	164	iwxhh03	164	iwxhi03	164	iwxhj03	164	iwxhk03	164	iwxhl03	164	iwaxb03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwaxa05	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	6	iwaxa05	6606	iwxha05	162	iwxhb05	162	iwxhc05	162	iwxhd05	162	iwxhe05	162	iwxhf05	162	iwxhg05	162	iwxhh05	162	iwxhi05	162	iwxhj05	162	iwxhk05	162	iwxhl05	162	iwaxb05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa01	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwmaa01	6530	iwmha01	165	iwmhb01	165	iwmhc01	165	iwmhd01	165	iwmhe01	165	iwmhf01	165	iwmhg01	165	iwmhh01	165	iwmhi01	165	iwmhj01	165	iwmhk01	165	iwmhl01	165	iwmab01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa02	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwmaa02	6540	iwmha02	165	iwmhb02	165	iwmhc02	165	iwmhd02	165	iwmhe02	165	iwmhf02	165	iwmhg02	165	iwmhh02	165	iwmhi02	165	iwmhj02	165	iwmhk02	165	iwmhl02	165	iwmab02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa03	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	2	iwmaa03	6562	iwmha03	164	iwmhb03	164	iwmhc03	164	iwmhd03	164	iwmhe03	164	iwmhf03	164	iwmhg03	164	iwmhh03	164	iwmhi03	164	iwmhj03	164	iwmhk03	164	iwmhl03	164	iwmab03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa05	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	5	iwmaa05	6606	iwmha05	162	iwmhb05	162	iwmhc05	162	iwmhd05	162	iwmhe05	162	iwmhf05	162	iwmhg05	162	iwmhh05	162	iwmhi05	162	iwmhj05	162	iwmhk05	162	iwmhl05	162	iwmab05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta01	1	11110	irriu01	1	0	0	0	0	0	0	iyyyy20	3	iwsta01	6530	iwtha01	165	iwthb01	165	iwthc01	165	iwthd01	165	iwthe01	165	iwthf01	165	iwthg01	165	iwthh01	165	iwthi01	165	iwthj01	165	iwthk01	165	iwthl01	165	iwstb01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta02	1	11110	irriu01	1	0	0	0	0	0	0	iyyyy20	3	iwsta02	6540	iwtha02	165	iwthb02	165	iwthc02	165	iwthd02	165	iwthe02	165	iwthf02	165	iwthg02	165	iwthh02	165	iwthi02	165	iwthj02	165	iwthk02	165	iwthl02	165	iwstb02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta03	1	11110	irriu01	1	0	0	0	0	0	0	iyyyy20	4	iwsta03	6562	iwtha03	164	iwthb03	164	iwthc03	164	iwthd03	164	iwthe03	164	iwthf03	164	iwthg03	164	iwthh03	164	iwthi03	164	iwthj03	164	iwthk03	164	iwthl03	164	iwstb03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta05	1	11110	irriu01	1	0	0	0	0	0	0	iyyyy20	17	iwsta05	6606	iwtha05	162	iwthb05	162	iwthc05	162	iwthd05	162	iwthe05	162	iwthf05	162	iwthg05	162	iwthh05	162	iwthi05	162	iwthj05	162	iwthk05	162	iwthl05	162	iwstb05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa01	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	1	iwspa01	6530	iwpha01	165	iwphb01	165	iwphc01	165	iwphd01	165	iwphe01	165	iwphf01	165	iwphg01	165	iwphh01	165	iwphi01	165	iwphj01	165	iwphk01	165	iwphl01	165	iwspb01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa02	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	2	iwspa02	6540	iwpha02	165	iwphb02	165	iwphc02	165	iwphd02	165	iwphe02	165	iwphf02	165	iwphg02	165	iwphh02	165	iwphi02	165	iwphj02	165	iwphk02	165	iwphl02	165	iwspb02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa03	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	3	iwspa03	6562	iwpha03	164	iwphb03	164	iwphc03	164	iwphd03	164	iwphe03	164	iwphf03	164	iwphg03	164	iwphh03	164	iwphi03	164	iwphj03	164	iwphk03	164	iwphl03	164	iwspb03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa05	1	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	6	iwspa05	6606	iwpha05	162	iwphb05	162	iwphc05	162	iwphd05	162	iwphe05	162	iwphf05	162	iwphg05	162	iwphh05	162	iwphi05	162	iwphj05	162	iwphk05	162	iwphl05	162	iwspb05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa01	1	11111	irriu04	1	0	0	0	0	0	0	iyyyy20	1	iwboa01	6530	iwbha01	165	iwbhb01	165	iwbhc01	165	iwbhd01	165	iwbhe01	165	iwbhf01	165	iwbhg01	165	iwbhh01	165	iwbhi01	165	iwbhj01	165	iwbhk01	165	iwbhl01	165	iwbob01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa02	1	11111	irriu04	1	0	0	0	0	0	0	iyyyy20	2	iwboa02	6540	iwbha02	165	iwbhb02	165	iwbhc02	165	iwbhd02	165	iwbhe02	165	iwbhf02	165	iwbhg02	165	iwbhh02	165	iwbhi02	165	iwbhj02	165	iwbhk02	165	iwbhl02	165	iwbob02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa03	1	11111	irriu04	1	0	0	0	0	0	0	iyyyy20	3	iwboa03	6562	iwbha03	164	iwbhb03	164	iwbhc03	164	iwbhd03	164	iwbhe03	164	iwbhf03	164	iwbhg03	164	iwbhh03	164	iwbhi03	164	iwbhj03	164	iwbhk03	164	iwbhl03	164	iwbob03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa05	1	11111	irriu04	1	0	0	0	0	0	0	iyyyy20	5	iwboa05	6606	iwbha05	162	iwbhb05	162	iwbhc05	162	iwbhd05	162	iwbhe05	162	iwbhf05	162	iwbhg05	162	iwbhh05	162	iwbhi05	162	iwbhj05	162	iwbhk05	162	iwbhl05	162	iwbob05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwfia01	1	11111	irriu02	1	0	0	0	0	0	0	iyyyy20	1	iwfia01	6530	iwfha01	165	iwfhb01	165	iwfhc01	165	iwfhd01	165	iwfhe01	165	iwfhf01	165	iwfhg01	165	iwfhh01	165	iwfhi01	165	iwfhj01	165	iwfhk01	165	iwfhl01	165	iwfib01	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwfia02	1	11111	irriu02	1	0	0	0	0	0	0	iyyyy20	2	iwfia02	6540	iwfha02	165	iwfhb02	165	iwfhc02	165	iwfhd02	165	iwfhe02	165	iwfhf02	165	iwfhg02	165	iwfhh02	165	iwfhi02	165	iwfhj02	165	iwfhk02	165	iwfhl02	165	iwfib02	1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwfia03	1	11111	irriu02	1	0	0	0	0	0	0	iyyyy20	3	iwfia03	6562	iwfha03	164	iwfhb03	164	iwfhc03	164	iwfhd03	164	iwfhe03	164	iwfhf03	164	iwfhg03	164	iwfhh03	164	iwfhi03	164	iwfhj03	164	iwfhk03	164	iwfhl03	164	iwfib03	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwfia05	1	11111	irriu02	1	0	0	0	0	0	0	iyyyy20	5	iwfia05	6606	iwfha05	162	iwfhb05	162	iwfhc05	162	iwfhd05	162	iwfhe05	162	iwfhf05	162	iwfhg05	162	iwfhh05	162	iwfhi05	162	iwfhj05	162	iwfhk05	162	iwfhl05	162	iwfib05	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwdka05	1	11111	irriu04	1	0	0	0	0	0	0	iyyyy20	4	iwdka05	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwkna07	3	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	7	iwkna07	6650	iwkha07	160	iwkhb07	160	iwkhc07	160	iwkhd07	160	iwkhe07	160	iwkhf07	160	iwkhg07	160	iwkhh07	160	iwkhi07	160	iwkhj07	160	iwkhk07	160	iwkhl07	160	iwknb07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa07	3	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	10	iwswa07	6650	iwsha07	160	iwshb07	160	iwshc07	160	iwshd07	160	iwshe07	160	iwshf07	160	iwshg07	160	iwshh07	160	iwshi07	160	iwshj07	160	iwshk07	160	iwshl07	160	iwswb07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwaxa07	3	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	9	iwaxa07	6650	iwxha07	160	iwxhb07	160	iwxhc07	160	iwxhd07	160	iwxhe07	160	iwxhf07	160	iwxhg07	160	iwxhh07	160	iwxhi07	160	iwxhj07	160	iwxhk07	160	iwxhl07	160	iwaxb07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa07	3	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	10	iwmaa07	6650	iwmha07	160	iwmhb07	160	iwmhc07	160	iwmhd07	160	iwmhe07	160	iwmhf07	160	iwmhg07	160	iwmhh07	160	iwmhi07	160	iwmhj07	160	iwmhk07	160	iwmhl07	160	iwmab07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta07	3	11110	irriu01	2	0	0	0	0	0	0	iyyyy20	23	iwsta07	6650	iwtha07	160	iwthb07	160	iwthc07	160	iwthd07	160	iwthe07	160	iwthf07	160	iwthg07	160	iwthh07	160	iwthi07	160	iwthj07	160	iwthk07	160	iwthl07	160	iwstb07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa07	3	11111	irriu05	1	0	0	0	0	0	0	iyyyy20	10	iwspa07	6650	iwpha07	160	iwphb07	160	iwphc07	160	iwphd07	160	iwphe07	160	iwphf07	160	iwphg07	160	iwphh07	160	iwphi07	160	iwphj07	160	iwphk07	160	iwphl07	160	iwspb07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa07	3	11111	irriu04	1	0	0	0	0	0	0	iyyyy20	10	iwboa07	6650	iwbha07	160	iwbhb07	160	iwbhc07	160	iwbhd07	160	iwbhe07	160	iwbhf07	160	iwbhg07	160	iwbhh07	160	iwbhi07	160	iwbhj07	160	iwbhk07	160	iwbhl07	160	iwbob07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwfia07	3	11111	irriu02	1	0	0	0	0	0	0	iyyyy20	10	iwfia07	6650	iwfha07	160	iwfhb07	160	iwfhc07	160	iwfhd07	160	iwfhe07	160	iwfhf07	160	iwfhg07	160	iwfhh07	160	iwfhi07	160	iwfhj07	160	iwfhk07	160	iwfhl07	160	iwfib07	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwkna10	7	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	3	iwkna10	6704	iwkha10	158	iwkhb10	158	iwkhc10	158	iwkhd10	158	iwkhe10	158	iwkhf10	158	iwkhg10	158	iwkhh10	158	iwkhi10	158	iwkhj10	158	iwkhk10	158	iwkhl10	158	iwknb10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa10	7	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	3	iwswa10	6704	iwsha10	158	iwshb10	158	iwshc10	158	iwshd10	158	iwshe10	158	iwshf10	158	iwshg10	158	iwshh10	158	iwshi10	158	iwshj10	158	iwshk10	158	iwshl10	158	iwswb10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwaxa10	7	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	3	iwaxa10	6704	iwxha10	158	iwxhb10	158	iwxhc10	158	iwxhd10	158	iwxhe10	158	iwxhf10	158	iwxhg10	158	iwxhh10	158	iwxhi10	158	iwxhj10	158	iwxhk10	158	iwxhl10	158	iwaxb10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa10	7	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	3	iwmaa10	6704	iwmha10	158	iwmhb10	158	iwmhc10	158	iwmhd10	158	iwmhe10	158	iwmhf10	158	iwmhg10	158	iwmhh10	158	iwmhi10	158	iwmhj10	158	iwmhk10	158	iwmhl10	158	iwmab10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta10	7	11110	irrio01	1	irriu01	2	0	0	0	0	iyyyy21	6	iwsta10	6704	iwtha10	158	iwthb10	158	iwthc10	158	iwthd10	158	iwthe10	158	iwthf10	158	iwthg10	158	iwthh10	158	iwthi10	158	iwthj10	158	iwthk10	158	iwthl10	158	iwstb10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa10	7	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	3	iwspa10	6704	iwpha10	158	iwphb10	158	iwphc10	158	iwphd10	158	iwphe10	158	iwphf10	158	iwphg10	158	iwphh10	158	iwphi10	158	iwphj10	158	iwphk10	158	iwphl10	158	iwspb10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa10	7	11111	irrio04	1	irriu04	1	0	0	0	0	iyyyy21	3	iwboa10	6704	iwbha10	158	iwbhb10	158	iwbhc10	158	iwbhd10	158	iwbhe10	158	iwbhf10	158	iwbhg10	158	iwbhh10	158	iwbhi10	158	iwbhj10	158	iwbhk10	158	iwbhl10	158	iwbob10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwfia10	7	11111	irrio02	1	irriu02	1	0	0	0	0	iyyyy21	3	iwfia10	6704	iwfha10	158	iwfhb10	158	iwfhc10	158	iwfhd10	158	iwfhe10	158	iwfhf10	158	iwfhg10	158	iwfhh10	158	iwfhi10	158	iwfhj10	158	iwfhk10	158	iwfhl10	158	iwfib10	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwdka10	7	11111	irrio04	1	irriu04	1	0	0	0	0	iyyyy21	3	iwdka10	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwkna12	9	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	4	iwkna12	6748	iwkha12	156	iwkhb12	156	iwkhc12	156	iwkhd12	156	iwkhe12	156	iwkhf12	156	iwkhg12	156	iwkhh12	156	iwkhi12	156	iwkhj12	156	iwkhk12	156	iwkhl12	156	iwknb12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwswa12	9	11111	irrio05	1	irriu05	2	0	0	0	0	iyyyy21	5	iwswa12	6748	iwsha12	156	iwshb12	156	iwshc12	156	iwshd12	156	iwshe12	156	iwshf12	156	iwshg12	156	iwshh12	156	iwshi12	156	iwshj12	156	iwshk12	156	iwshl12	156	iwswb12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwaxa12	9	11111	irrio05	1	irriu05	2	0	0	0	0	iyyyy21	5	iwaxa12	6748	iwxha12	156	iwxhb12	156	iwxhc12	156	iwxhd12	156	iwxhe12	156	iwxhf12	156	iwxhg12	156	iwxhh12	156	iwxhi12	156	iwxhj12	156	iwxhk12	156	iwxhl12	156	iwaxb12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwmaa12	9	11111	irrio05	1	irriu05	1	0	0	0	0	iyyyy21	4	iwmaa12	6748	iwmha12	156	iwmhb12	156	iwmhc12	156	iwmhd12	156	iwmhe12	156	iwmhf12	156	iwmhg12	156	iwmhh12	156	iwmhi12	156	iwmhj12	156	iwmhk12	156	iwmhl12	156	iwmab12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwsta12	9	11110	irrio01	1	irriu01	2	0	0	0	0	iyyyy21	7	iwsta12	6748	iwtha12	156	iwthb12	156	iwthc12	156	iwthd12	156	iwthe12	156	iwthf12	156	iwthg12	156	iwthh12	156	iwthi12	156	iwthj12	156	iwthk12	156	iwthl12	156	iwstb12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwspa12	9	11111	irrio05	1	irriu05	2	0	0	0	0	iyyyy21	5	iwspa12	6748	iwpha12	156	iwphb12	156	iwphc12	156	iwphd12	156	iwphe12	156	iwphf12	156	iwphg12	156	iwphh12	156	iwphi12	156	iwphj12	156	iwphk12	156	iwphl12	156	iwspb12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
iwboa12	9	11111	irrio04	1	irriu04	2	0	0	0	0	iyyyy21	5	iwboa12	6748	iwbha12	156	iwbhb12	156	iwbhc12	156	iwbhd12	156	iwbhe12	156	iwbhf12	156	iwbhg12	156	iwbhh12	156	iwbhi12	156	iwbhj12	156	iwbhk12	156	iwbhl12	156	iwbob12	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
