dword	dword	dword	clcode	dword	stb	byte	byte	word	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	dword	hex	hex	hex	hex	hex	dword	dword	dword	dword	dword	END
CombineIdx	rtype	rindex	Code	dwFee	Civil	TradeValue	none	none	dwTradeMoney	Num	ID1	ID2	ID3	ID4	ID5	none	Index1	Index2	Index3	Index4	Index5	Code1	Code2	Code3	Code4	Code5	Need1	Need2	Need3	Need4	Need5
10	31	49	bxgem04	10000	11111	-1	0	0	-1	1	20	-1	-1	-1	-1	0	568	0	0	0	0	03170ec1	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
11	13	313	ipexp03	10000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	125	0	0	0	0	011500d6	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
12	31	165	bxcou01	10000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	109	0	0	0	0	021811c2	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
13	31	118	bxbwc50	10000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
14	31	119	bxbrc50	10000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
15	31	120	bxbfc50	10000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
16	31	121	bxcwc50	10000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
17	31	122	bxcrc50	10000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
18	31	123	bxcfc50	10000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
19	31	124	bxawc50	10000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
20	31	125	bxarc50	10000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
21	31	126	bxafc50	10000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
22	31	127	bxbwc53	20000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
23	31	128	bxbrc53	20000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
24	31	129	bxbfc53	20000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
25	31	130	bxcwc53	20000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
26	31	131	bxcrc53	20000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
27	31	132	bxcfc53	20000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
28	31	133	bxawc53	20000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
29	31	134	bxarc53	20000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
30	31	135	bxafc53	20000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
31	31	136	bxbwc55	30000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
32	31	137	bxbrc55	30000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
33	31	138	bxbfc55	30000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
34	31	139	bxcwc55	30000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
35	31	140	bxcrc55	30000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
36	31	141	bxcfc55	30000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
37	31	142	bxawc55	30000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
38	31	143	bxarc55	30000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
39	31	144	bxafc55	30000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
40	31	145	bxrel01	10000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
41	31	146	bxbab50	2500000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	3	-1	-1	-1	-1
42	31	147	bxcab50	2500000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	3	-1	-1	-1	-1
43	31	148	bxaab50	2500000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	3	-1	-1	-1	-1
44	31	162	bxano50	2000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	2	-1	-1	-1	-1
45	31	163	bxano53	4000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
46	31	164	bxano55	6000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	12	-1	-1	-1	-1
47	31	156	bxbno50	2000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	2	-1	-1	-1	-1
48	31	157	bxbno53	4000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
49	31	158	bxbno55	6000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	12	-1	-1	-1	-1
50	31	159	bxcno50	2000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	2	-1	-1	-1	-1
51	31	160	bxcno53	4000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	5	-1	-1	-1	-1
52	31	161	bxcno55	6000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	12	-1	-1	-1	-1
53	31	114	bxtal01	50000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	25	0	0	0	0	060b00d3	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
54	31	115	bxtal02	50000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	25	0	0	0	0	060b00d3	ffffffff	ffffffff	ffffffff	ffffffff	3	-1	-1	-1	-1
55	31	116	bxtal03	50000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	20	0	0	0	0	010b00d3	ffffffff	ffffffff	ffffffff	ffffffff	1	-1	-1	-1	-1
56	31	117	bxtal04	50000	11111	-1	0	0	-1	1	17	-1	-1	-1	-1	0	20	0	0	0	0	010b00d3	ffffffff	ffffffff	ffffffff	ffffffff	3	-1	-1	-1	-1
57	31	174	bxbsh50	10000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
58	31	175	bxbsh53	20000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
59	31	176	bxbsh55	30000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
60	31	177	bxcsh50	10000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
61	31	178	bxcsh53	20000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
62	31	179	bxcsh55	30000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
63	31	180	bxash50	10000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	4	-1	-1	-1	-1
64	31	181	bxash53	20000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	10	-1	-1	-1	-1
65	31	182	bxash55	30000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	26	-1	-1	-1	-1
66	31	348	bxgol04	100000	11111	6	0	0	50000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	ffffffff	ffffffff	-1	-1	-1	-1	-1
67	31	350	bxbwc57	60000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
68	31	351	bxbrc57	60000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
69	31	352	bxbfc57	60000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
70	31	353	bxcwc57	60000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
71	31	354	bxcrc57	60000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
72	31	355	bxcfc57	60000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
73	31	356	bxawc57	60000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
74	31	357	bxarc57	60000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
75	31	358	bxafc57	60000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	30	-1	-1	-1	-1
76	31	359	bxbwc60	90000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
77	31	360	bxbrc60	90000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
78	31	361	bxbfc60	90000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
79	31	362	bxcwc60	90000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
80	31	363	bxcrc60	90000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
81	31	364	bxcfc60	90000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
82	31	365	bxawc60	90000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
83	31	366	bxarc60	90000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
84	31	367	bxafc60	90000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	60	-1	-1	-1	-1
85	31	368	bxbwc63	120000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
86	31	369	bxbrc63	120000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
87	31	370	bxbfc63	120000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
88	31	371	bxcwc63	120000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
89	31	372	bxcrc63	120000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
90	31	373	bxcfc63	120000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
91	31	374	bxawc63	120000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
92	31	375	bxarc63	120000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
93	31	376	bxafc63	120000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	105	0	0	0	0	011811c2	ffffffff	ffffffff	ffffffff	ffffffff	70	-1	-1	-1	-1
94	31	377	bxbwc65	150000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
95	31	378	bxbrc65	150000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
96	31	379	bxbfc65	150000000	11000	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
97	31	380	bxcwc65	150000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
98	31	381	bxcrc65	150000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
99	31	382	bxcfc65	150000000	00110	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
100	31	383	bxawc65	150000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
101	31	384	bxarc65	150000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
102	31	385	bxafc65	150000000	00001	-1	0	0	-1	1	17	-1	-1	-1	-1	0	230	0	0	0	0	031811c2	ffffffff	ffffffff	ffffffff	ffffffff	50	-1	-1	-1	-1
