string[64]	dword	dword	string[64]	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	string[8]	dword	END
bxawc55	37	30000000	00001	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc55	38	30000000	00001	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc55	39	30000000	00001	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxrel01	40	10000	11111	-1	-1	ircry01	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbab50	41	2500000	11000	-1	-1	ircry01	3	-1	-1	-1	-1	-1	-1	-1	-1	
bxcab50	42	2500000	00110	-1	-1	ircry01	3	-1	-1	-1	-1	-1	-1	-1	-1	
bxaab50	43	2500000	00001	-1	-1	ircry01	3	-1	-1	-1	-1	-1	-1	-1	-1	
bxano50	44	2000000	00001	-1	-1	ircry01	2	-1	-1	-1	-1	-1	-1	-1	-1	
bxano53	45	4000000	00001	-1	-1	ircry01	5	-1	-1	-1	-1	-1	-1	-1	-1	
bxano55	46	6000000	00001	-1	-1	ircry01	12	-1	-1	-1	-1	-1	-1	-1	-1	
bxbno50	47	2000000	11000	-1	-1	ircry01	2	-1	-1	-1	-1	-1	-1	-1	-1	
bxbno53	48	4000000	11000	-1	-1	ircry01	5	-1	-1	-1	-1	-1	-1	-1	-1	
bxbno55	49	6000000	11000	-1	-1	ircry01	12	-1	-1	-1	-1	-1	-1	-1	-1	
bxcno50	50	2000000	00110	-1	-1	ircry01	2	-1	-1	-1	-1	-1	-1	-1	-1	
bxcno53	51	4000000	00110	-1	-1	ircry01	5	-1	-1	-1	-1	-1	-1	-1	-1	
bxcno55	52	6000000	00110	-1	-1	ircry01	12	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal01	53	50000	11111	-1	-1	irtal06	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal02	54	50000	11111	-1	-1	irtal06	3	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal03	55	50000	11111	-1	-1	irtal01	1	-1	-1	-1	-1	-1	-1	-1	-1	
bxtal04	56	50000	11111	-1	-1	irtal01	3	-1	-1	-1	-1	-1	-1	-1	-1	
bxbsh50	57	10000000	11000	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxbsh53	58	20000000	11000	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxbsh55	59	30000000	11000	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsh50	60	10000000	00110	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsh53	61	20000000	00110	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsh55	62	30000000	00110	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxash50	63	10000000	00001	-1	-1	ircry01	4	-1	-1	-1	-1	-1	-1	-1	-1	
bxash53	64	20000000	00001	-1	-1	ircry01	10	-1	-1	-1	-1	-1	-1	-1	-1	
bxash55	65	30000000	00001	-1	-1	ircry01	26	-1	-1	-1	-1	-1	-1	-1	-1	
bxgol04	66	100000	11111	6	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc57	67	60000000	11000	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc57	68	60000000	11000	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc57	69	60000000	11000	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc57	70	60000000	00110	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc57	71	60000000	00110	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc57	72	60000000	00110	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc57	73	60000000	00001	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc57	74	60000000	00001	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc57	75	60000000	00001	-1	-1	ircry01	30	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc60	76	90000000	11000	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc60	77	90000000	11000	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc60	78	90000000	11000	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc60	79	90000000	00110	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc60	80	90000000	00110	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc60	81	90000000	00110	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc60	82	90000000	00001	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc60	83	90000000	00001	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc60	84	90000000	00001	-1	-1	ircry01	60	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc63	85	120000000	11000	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc63	86	120000000	11000	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc63	87	120000000	11000	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc63	88	120000000	00110	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc63	89	120000000	00110	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc63	90	120000000	00110	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc63	91	120000000	00001	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc63	92	120000000	00001	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc63	93	120000000	00001	-1	-1	ircry01	70	-1	-1	-1	-1	-1	-1	-1	-1	
bxbwc65	94	150000000	11000	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxbrc65	95	150000000	11000	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxbfc65	96	150000000	11000	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxcwc65	97	150000000	00110	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxcrc65	98	150000000	00110	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxcfc65	99	150000000	00110	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxawc65	100	150000000	00001	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxarc65	101	150000000	00001	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
bxafc65	102	150000000	00001	-1	-1	ircry03	50	-1	-1	-1	-1	-1	-1	-1	-1	
