string[64]	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	dword	dword	dword	dword	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
gtcc004	830E14	8014	Эпохальная Охранная Турель	00110	45	-1	0	10	0	4	50	30	20	0,5	0	330	1500	250	26655	29616	30	50	99	3110	0,5	0,114767	-1	20	20	20	20	0	0	0	0	0	26210	0	1000000	0	0	0	0	50000	iyyyy25	5	iyyyy26	5	iybla01	1	1	1	1	1	1	0	tgtcc004	13	2	0	
gtcc005	830E14	8014	Эпохальная Охранная Турель Мк.2	00110	50	-1	0	10	0	4	55	30	20	0,5	0	450	1500	300	52254	58061	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	2500000	0	0	0	0	125000	iyyyy25	10	iyyyy26	10	iybla01	1	1	1	1	1	1	0	tgtcc005	13	2	0	
gtcc006	830E14	8014	Охранная Турель Дзета(Cora6)	00110	53	-1	0	10	0	4	56	30	20	0,5	0	450	1500	300	59238	65820	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	3000000	0	0	0	0	150000	iyyyy25	15	iyyyy26	15	iybla02	1	1	1	1	1	1	0	tgtcc006	13	2	0	
gtcc007	830E14	8014	Автоматическая буровая установка(Cora)	00110	55	-1	0	10	0	4	57	30	20	0,5	0	450	1500	300	67589	75098	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	4000000	0	0	0	0	200000	iyyyy25	20	iyyyy26	20	iybla02	1	1	1	1	1	1	0	tgtcc007	13	2	0	
gtcc008	830E14	8014	Усиленная Эпохальная Охранная Турель Т1	00110	50	-1	0	10	0	4	55	30	20	0,5	0	450	1500	300	54867	60964	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	10000	0	0	0	0	500	iyyyy25	30	iyyyy26	30	iybla01	1	1	1	1	1	1	0	tgtcc008	13	2	0	
gtcc009	830E14	8014	Усиленная Эпохальная Охранная Турель Т2	00110	50	-1	0	10	0	4	55	30	20	0,5	0	450	1500	300	60092	66770	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	10000	0	0	0	0	500	iyyyy25	30	iyyyy26	30	iybla01	1	1	1	1	1	1	0	tgtcc009	13	2	0	
gtcc010	830E14	8014	Плазменная Турель Т1	00110	53	-1	0	10	0	4	56	30	20	0,5	0	450	1500	300	62200	69111	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	20000	0	0	0	0	1000	iyyyy25	35	iyyyy26	35	iybla02	1	1	1	1	1	1	0	tgtcc010	13	2	0	
gtcc011	830E14	8014	Плазменная Турель Т2	00110	53	-1	0	10	0	4	56	30	20	0,5	0	450	1500	300	68124	75693	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	20000	0	0	0	0	1000	iyyyy25	35	iyyyy26	35	iybla02	1	1	1	1	1	1	0	tgtcc011	13	2	0	
gtcc012	830E14	8014	Усиленная Плазменная Турель Т1	00110	55	-1	0	10	0	4	57	30	20	0,5	0	450	1500	300	70968	78852	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	50000	0	0	0	0	2500	iyyyy25	40	iyyyy26	40	iybla03	1	1	1	1	1	1	0	tgtcc012	13	2	0	
gtcc013	830E14	8014	Усиленная Плазменная Турель Т2	00110	55	-1	0	10	0	4	57	30	20	0,5	0	450	1500	300	77727	86362	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	50000	0	0	0	0	2500	iyyyy25	40	iyyyy26	40	iybla03	1	1	1	1	1	1	0	tgtcc013	13	2	0	
gtcc014	830E14	8014	Темная Охранная Турель	00110	57	-1	0	10	0	4	60	30	20	0,5	0	450	1500	300	76290	84768	30	50	99	4750	0,5	0,072210997	-1	25	25	25	25	0	0	0	0	0	32582	0	5000000	0	0	0	0	25000	iyyyy26	40	iyyyy25	45	iybla03	3	1	1	1	1	1	0	tgtcc014	13	2	0	
gtcc015	830E14	8014	Усиленная Темная Охранная Турель	00110	60	-1	0	10	0	4	63	30	20	0,5	0	450	750	300	150694	167438	30	50	99	4750	0,5	0,068210997	-1	25	25	25	25	0	0	0	0	0	34211	0	6000000	0	0	0	0	30000	iyyyy26	45	iyyyy25	50	iybla03	5	1	1	1	1	1	0	tgtcc015	13	2	0	
gtcc016	830E14	8014	Сияющая Охранная Турель	00110	63	-1	0	10	0	4	66	30	20	0,5	0	450	1500	300	87101	96779	30	50	99	4956	0,5	0,060001999	-1	30	30	30	30	0	0	0	0	0	37632	0	7000000	0	0	0	0	35000	iyyyy26	50	iyyyy25	55	iybla03	8	1	1	1	1	1	0	tgtcc016	13	2	0	
gtcc017	830E14	8014	Сияющая Охранная Турель II	00110	65	-1	0	10	0	4	68	30	20	0,5	0	450	750	300	76290	84768	30	50	99	4956	0,5	0,056019999	-1	30	30	30	30	0	0	0	0	0	39513	0	10000000	0	0	0	0	50000	iyyyy26	55	iyyyy25	60	iybla03	10	1	1	1	1	1	0	tgtcc017	13	2	0	
gtcc018	830E14	8014	Охранная Турель Ро	00110	1	-1	0	0	0	4	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	0	0	1	1	1	1	1	0	tgtcc018	13	2	0	
gtcc019	830E14	8014	Охранная Турель Сигма(Cora19)	00110	1	-1	0	0	0	4	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	0	0	1	1	1	1	1	0	tgtcc019	13	2	0	
gtcc020	830E14	8014	Охранная Турель Тау(Cora20)	00110	1	-1	0	0	0	4	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	0	0	1	1	1	1	1	0	tgtcc020	13	2	0	
gtaa000	430E28	4028	Охранная турель Империи(system)	00001	30	-1	0	180	0	7	67	30	20	0,5	0	450	1000	400	331104	367891	30	50	99	13192	0,5	0,057390999	-1	20	20	20	20	0	0	0	0	0	346400	0	10000	0	0	0	0	500	irgef01	2	irgea01	5	-1	0	1	1	1	1	1	0	tgtaa000	16	2	0	
gtaa001	430E28	4028	Охранная Турель Альфа(Accretia1)	00001	30	-1	0	10	0	7	30	30	20	0,5	0	330	2000	99	1442	1602	30	50	99	671	0,5	0,310716987	-1	20	20	20	20	0	0	0	0	0	16120	0	10000	0	0	0	0	500	irgef01	2	irgew01	2	-1	0	1	1	1	1	1	0	tgtaa001	16	2	0	
gtaa002	430E28	4028	Охранная Турель Бета	00001	35	-1	0	10	0	7	38	30	20	0,5	0	330	2000	150	4733	5259	30	50	99	1151	0,5	0,206907004	-1	20	20	20	20	0	0	0	0	0	20010	0	20000	0	0	0	0	1000	irgef01	3	irgew01	3	-1	0	1	1	1	1	1	0	tgtaa002	16	2	0	
gtaa003	430E28	4028	Охранная Турель Гамма(Accretia3)	00001	40	-1	0	10	0	7	43	30	20	0,5	0	330	2000	200	10622	11802	30	50	99	1503	0,5	0,166804999	-1	20	20	20	20	0	0	0	0	0	22570	0	50000	0	0	0	0	2500	irgef02	2	irgew02	2	-1	0	1	1	1	1	1	0	tgtaa003	16	2	0	
gtaa004	430E28	4028	Эпохальная Охранная Турель	00001	45	-1	0	10	0	7	50	30	20	0,5	0	330	1500	250	26655	29616	30	50	99	3110	0,5	0,114767	-1	20	20	20	20	0	0	0	0	0	26210	0	1000000	0	0	0	0	50000	iyyyy25	5	iyyyy26	5	iyyel01	1	1	1	1	1	1	0	tgtaa004	16	2	0	
gtaa005	430E28	4028	Эпохальная Охранная Турель Mk.2	00001	50	-1	0	10	0	7	55	30	20	0,5	0	450	1500	300	52254	58061	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	2500000	0	0	0	0	125000	iyyyy25	10	iyyyy26	10	iyyel01	1	1	1	1	1	1	0	tgtaa005	16	2	0	
gtaa006	430E28	4028	Охранная Турель Дзета(Accretia6)	00001	53	-1	0	10	0	7	56	30	20	0,5	0	450	1500	300	59238	65820	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	3000000	0	0	0	0	150000	iyyyy25	15	iyyyy26	15	iyyel02	1	1	1	1	1	1	0	tgtaa006	16	2	0	
gtaa007	430E28	4028	Автоматическая буровая установка(Accretia)	00001	55	-1	0	10	0	7	57	30	20	0,5	0	450	1500	300	67589	75098	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	4000000	0	0	0	0	200000	iyyyy25	20	iyyyy26	20	iyyel02	1	1	1	1	1	1	0	tgtaa007	16	2	0	
gtaa008	430E28	4028	Усиленная Эпохальная Охранная Турель Т1	00001	50	-1	0	10	0	7	55	30	20	0,5	0	450	1500	300	54867	60964	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	10000	0	0	0	0	500	iyyyy25	30	iyyyy26	30	iyyel01	1	1	1	1	1	1	0	tgtaa008	16	2	0	
gtaa009	430E28	4028	Усиленная Эпохальная Охранная Турель Т2	00001	50	-1	0	10	0	7	55	30	20	0,5	0	450	1500	300	60092	66770	30	50	99	4136	0,5	0,088505	-1	20	20	20	20	0	0	0	0	0	28610	0	10000	0	0	0	0	500	iyyyy25	30	iyyyy26	30	iyyel01	1	1	1	1	1	1	0	tgtaa009	16	2	0	
gtaa010	430E28	4028	Плазменная Турель Т1	00001	53	-1	0	10	0	7	56	30	20	0,5	0	450	1500	300	62200	69111	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	20000	0	0	0	0	1000	iyyyy25	35	iyyyy26	35	iyyel02	1	1	1	1	1	1	0	tgtaa010	16	2	0	
gtaa011	430E28	4028	Плазменная Турель Т2	00001	53	-1	0	10	0	7	56	30	20	0,5	0	450	1500	300	68124	75693	30	50	99	4340	0,5	0,085083	-1	20	20	20	20	0	0	0	0	0	29260	0	20000	0	0	0	0	1000	iyyyy25	35	iyyyy26	35	iyyel02	1	1	1	1	1	1	0	tgtaa011	16	2	0	
gtaa012	430E28	4028	Усиленная Плазменная Турель Т1	00001	55	-1	0	10	0	7	57	30	20	0,5	0	450	1500	300	70968	78852	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	50000	0	0	0	0	2500	iyyyy25	40	iyyyy26	40	iyyel03	1	1	1	1	1	1	0	tgtaa012	16	2	0	
gtaa013	430E28	4028	Усиленная Плазменная Турель Т2	00001	55	-1	0	10	0	7	57	30	20	0,5	0	450	1500	300	77727	86362	30	50	99	4546	0,5	0,081170999	-1	20	20	20	20	0	0	0	0	0	29620	0	50000	0	0	0	0	2500	iyyyy25	40	iyyyy26	40	iyyel03	1	1	1	1	1	1	0	tgtaa013	16	2	0	
gtaa014	430E28	4028	Темная Линейная Турель	00001	57	-1	0	10	0	7	60	30	20	0,5	0	450	1500	300	76290	84768	30	50	99	4750	0,5	0,072210997	-1	25	25	25	25	0	0	0	0	0	32582	0	5000000	0	0	0	0	25000	iyyyy26	40	iyyyy25	45	iyyel03	3	1	1	1	1	1	0	tgtaa014	16	2	0	
gtaa015	430E28	4028	Усиленная Темная Линейная Турель	00001	60	-1	0	10	0	7	63	30	20	0,5	0	450	750	300	150694	167438	30	50	99	4750	0,5	0,068210997	-1	25	25	25	25	0	0	0	0	0	34211	0	6000000	0	0	0	0	30000	iyyyy26	45	iyyyy25	50	iyyel03	5	1	1	1	1	1	0	tgtaa015	16	2	0	
gtaa016	430E28	4028	Сияющая Линейная Турель	00001	63	-1	0	10	0	7	66	30	20	0,5	0	450	1500	300	87101	96779	30	50	99	4956	0,5	0,060001999	-1	30	30	30	30	0	0	0	0	0	37632	0	7000000	0	0	0	0	35000	iyyyy26	50	iyyyy25	55	iyyel03	8	1	1	1	1	1	0	tgtaa016	16	2	0	
gtaa017	430E28	4028	Особая Сияющая Линейная Турель	00001	65	-1	0	10	0	7	68	30	20	0,5	0	450	750	300	76290	84768	30	50	99	4956	0,5	0,056019999	-1	30	30	30	30	0	0	0	0	0	39513	0	10000000	0	0	0	0	50000	iyyyy26	55	iyyyy25	60	iyyel03	10	1	1	1	1	1	0	tgtaa017	16	2	0	
gtaa018	430E28	4028	Охранная Турель Ро	00001	1	-1	0	0	0	7	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	0	0	1	1	1	1	1	0	tgtaa018	16	2	0	
gtaa019	430E28	4028	Охранная Турель Сигма(Accretia19)	00001	1	-1	0	0	0	7	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	0	0	1	1	1	1	1	0	tgtaa019	16	2	0	
gtaa020	430E28	4028	Охранная Турель Тэй(Accretia20)	00001	1	-1	0	0	0	7	1	30	20	0,5	0	330	2000	0	33	44	30	50	99	12	0,5	0,731544018	-1	20	20	20	20	0	0	0	0	0	220	0	50000	0	0	0	0	2500	0	0	0	0	0	0	1	1	1	1	1	0	tgtaa020	16	2	0	
