clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	xeh	dword	dword	float	dword	dword	dword	dword	byte	byte	word	dword	dword	xeh	dword	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	dword	hex	hex	hex	xeh	xeh	dword	dword	dword	dword	dword	dword	dword	dword	END
Code	Name	Model	Icon	Civil	ListID	Money	none	StdPrice	StdPoint	GoldPoint	ProcPoint	KillPoint	Storeprice	IsExchage	IsSell	IsGround	IsStore	Descript	IsExist	IsCash	IsTime	UpLvLim	Level	MeshID	HitPoint	LvLim	Radius	StartTime	hz	hz	hz	Height	Width	none	AttMin	AttMax	hz	DeFc	fire	water	soil	wind	Speed	NumItem	ItemType1	ItemType2	ItemType3	ItemType4	ItemType5	none	ItemIndex1	ItemIndex2	ItemIndex3	ItemIndex4	ItemIndex5	ItemCode1	ItemCode2	ItemCode3	ItemCode4	ItemCode5	NeedItem1	NeedItem2	NeedItem3	NeedItem4	NeedItem5	AttEff	DefEff	hz
gtbb010	Плазменная Турель Т1	730E00	1	11000	25	0	0	20000	0	0	0	0	1000	1	1	1	1	10	1	0	0	-1	56	7000	29260	53	450	10	0	0	0	30	20	0	62200	69111	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	77	0	0	251818d8	261818d8	020807d6	0	0	35	35	1	0	0	11	2	2490563
gtbb011	Плазменная Турель Т2	730E00	1	11000	25	0	0	20000	0	0	0	0	1000	1	1	1	1	11	1	0	0	-1	56	7000	29260	53	450	10	0	0	0	30	20	0	68124	75693	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	77	0	0	251818d8	261818d8	020807d6	0	0	35	35	1	0	0	11	2	2490563
gtbb012	Усиленная Плазменная Турель Т1	730E00	1	11000	25	0	0	50000	0	0	0	0	2500	1	1	1	1	12	1	0	0	-1	57	7000	29620	55	450	10	0	0	0	30	20	0	70968	78852	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	78	0	0	251818d8	261818d8	030807d6	0	0	40	40	1	0	0	11	2	2490563
gtbb013	Усиленная Плазменная Турель Т2	730E00	1	11000	25	0	0	50000	0	0	0	0	2500	1	1	1	1	13	1	0	0	-1	57	7000	29620	55	450	10	0	0	0	30	20	0	77727	86362	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	78	0	0	251818d8	261818d8	030807d6	0	0	40	40	1	0	0	11	2	2490563
gtbb014	Темная Плазменная Турель	730E00	1	11000	25	0	0	5000000	0	0	0	0	25000	1	1	1	1	14	1	0	0	-1	60	7000	32582	57	450	10	0	0	0	30	20	0	76290	84768	ff00	4750	25	25	25	25	1500	3	20	20	20	-1	-1	0	25	24	78	0	0	261818d8	251818d8	030807d6	0	0	40	45	3	0	0	11	2	2490563
gtbb015	Усиленная Темная Плазменная Турель	730E00	1	11000	25	0	0	6000000	0	0	0	0	30000	1	1	1	1	15	1	0	0	-1	63	7000	34211	60	450	10	0	0	0	30	20	0	150694	167438	ff00	4750	25	25	25	25	750	3	20	20	20	-1	-1	0	25	24	78	0	0	261818d8	251818d8	030807d6	0	0	45	50	5	0	0	11	2	2490563
gtbb016	Сияющая Плазменная Турель	730E00	1	11000	25	0	0	7000000	0	0	0	0	35000	1	1	1	1	16	1	0	0	-1	66	7000	37632	63	450	10	0	0	0	30	20	0	87101	96779	ff00	4956	30	30	30	30	1500	3	20	20	20	-1	-1	0	25	24	78	0	0	261818d8	251818d8	030807d6	0	0	50	55	8	0	0	11	2	2490563
gtbb017	Сияющая Плазменная Турель II	730E00	1	11000	25	0	0	10000000	0	0	0	0	50000	1	1	1	1	17	1	0	0	-1	68	7000	39513	65	450	10	0	0	0	30	20	0	76290	84768	ff00	4956	30	30	30	30	750	3	20	20	20	-1	-1	0	25	24	78	0	0	261818d8	251818d8	030807d6	0	0	55	60	10	0	0	11	2	2490563
gtbb018	Охранная Турель Ро	730E00	1	11000	25	0	0	50000	0	0	0	0	2500	1	1	1	1	18	1	0	0	-1	1	7000	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	11	2	2490563
gtbb019	Охранная Турель Сигма(Bellato19)	730E00	1	11000	25	0	0	50000	0	0	0	0	2500	1	1	1	1	19	1	0	0	-1	1	7000	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	11	2	2490563
gtbb020	Охранная Турель Тау(Bellato20)	730E00	1	11000	25	0	0	50000	0	0	0	0	2500	1	1	1	1	20	1	0	0	-1	1	7000	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	11	2	2490563
gtcc000	Охранная Турель Альянса(system)	830E14	4	00110	25	0	0	10000	0	0	0	0	500	1	1	1	1	21	1	0	0	-1	67	8014	346400	30	450	180	0	0	0	30	20	0	331104	367891	ff00	13192	20	20	20	20	1000	2	17	17	-1	-1	-1	0	34	37	0	0	0	010504c6	010004c6	ffffffff	0	0	2	5	0	0	0	13	2	2490563
gtcc001	Охранная Турель Альфа(Cora 1)	830E14	4	00110	25	0	0	10000	0	0	0	0	500	1	1	1	1	22	1	0	0	-1	30	8014	16120	30	330	10	0	0	0	30	20	0	1442	1602	ff00	671	20	20	20	20	2000	2	17	17	-1	-1	-1	0	34	40	0	0	0	010504c6	011304c6	ffffffff	0	0	2	2	0	0	0	13	2	2490563
gtcc002	Охранная Турель Бета	830E14	4	00110	25	0	0	20000	0	0	0	0	1000	1	1	1	1	23	1	0	0	-1	38	8014	20010	35	330	10	0	0	0	30	20	0	4733	5259	ff00	1151	20	20	20	20	2000	2	17	17	-1	-1	-1	0	34	40	0	0	0	010504c6	011304c6	ffffffff	0	0	3	3	0	0	0	13	2	2490563
gtcc003	Охранная Турель Гамма(Cora 3)	830E14	4	00110	25	0	0	50000	0	0	0	0	2500	1	1	1	1	24	1	0	0	-1	43	8014	22570	40	330	10	0	0	0	30	20	0	10622	11802	ff00	1503	20	20	20	20	2000	2	17	17	-1	-1	-1	0	35	41	0	0	0	020504c6	021304c6	ffffffff	0	0	2	2	0	0	0	13	2	2490563
gtcc004	Эпохальная Охранная Турель	830E14	4	00110	25	0	0	1000000	0	0	0	0	50000	1	1	1	1	25	1	0	0	-1	50	8014	26210	45	330	10	0	0	0	30	20	0	26655	29616	ff00	3110	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	58	0	0	251818d8	261818d8	01000bc1	0	0	5	5	1	0	0	13	2	2490563
gtcc005	Эпохальная Охранная Турель Мк.2	830E14	4	00110	25	0	0	2500000	0	0	0	0	125000	1	1	1	1	26	1	0	0	-1	55	8014	28610	50	450	10	0	0	0	30	20	0	52254	58061	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	58	0	0	251818d8	261818d8	01000bc1	0	0	10	10	1	0	0	13	2	2490563
gtcc006	Охранная Турель Дзета(Cora6)	830E14	4	00110	25	0	0	3000000	0	0	0	0	150000	1	1	1	1	27	1	0	0	-1	56	8014	29260	53	450	10	0	0	0	30	20	0	59238	65820	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	59	0	0	251818d8	261818d8	02000bc1	0	0	15	15	1	0	0	13	2	2490563
gtcc007	Автоматическая буровая установка(Cora)	830E14	4	00110	25	0	0	4000000	0	0	0	0	200000	1	1	1	1	28	1	0	0	-1	57	8014	29620	55	450	10	0	0	0	30	20	0	67589	75098	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	59	0	0	251818d8	261818d8	02000bc1	0	0	20	20	1	0	0	13	2	2490563
gtcc008	Усиленная Эпохальная Охранная Турель Т1	830E14	4	00110	25	0	0	10000	0	0	0	0	500	1	1	1	1	29	1	0	0	-1	55	8014	28610	50	450	10	0	0	0	30	20	0	54867	60964	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	58	0	0	251818d8	261818d8	01000bc1	0	0	30	30	1	0	0	13	2	2490563
gtcc009	Усиленная Эпохальная Охранная Турель Т2	830E14	4	00110	25	0	0	10000	0	0	0	0	500	1	1	1	1	30	1	0	0	-1	55	8014	28610	50	450	10	0	0	0	30	20	0	60092	66770	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	58	0	0	251818d8	261818d8	01000bc1	0	0	30	30	1	0	0	13	2	2490563
gtcc010	Плазменная Турель Т1	830E14	4	00110	25	0	0	20000	0	0	0	0	1000	1	1	1	1	31	1	0	0	-1	56	8014	29260	53	450	10	0	0	0	30	20	0	62200	69111	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	59	0	0	251818d8	261818d8	02000bc1	0	0	35	35	1	0	0	13	2	2490563
gtcc011	Плазменная Турель Т2	830E14	4	00110	25	0	0	20000	0	0	0	0	1000	1	1	1	1	32	1	0	0	-1	56	8014	29260	53	450	10	0	0	0	30	20	0	68124	75693	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	59	0	0	251818d8	261818d8	02000bc1	0	0	35	35	1	0	0	13	2	2490563
gtcc012	Усиленная Плазменная Турель Т1	830E14	4	00110	25	0	0	50000	0	0	0	0	2500	1	1	1	1	33	1	0	0	-1	57	8014	29620	55	450	10	0	0	0	30	20	0	70968	78852	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	60	0	0	251818d8	261818d8	03000bc1	0	0	40	40	1	0	0	13	2	2490563
gtcc013	Усиленная Плазменная Турель Т2	830E14	4	00110	25	0	0	50000	0	0	0	0	2500	1	1	1	1	34	1	0	0	-1	57	8014	29620	55	450	10	0	0	0	30	20	0	77727	86362	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	60	0	0	251818d8	261818d8	03000bc1	0	0	40	40	1	0	0	13	2	2490563
gtcc014	Темная Охранная Турель	830E14	4	00110	25	0	0	5000000	0	0	0	0	25000	1	1	1	1	35	1	0	0	-1	60	8014	32582	57	450	10	0	0	0	30	20	0	76290	84768	ff00	4750	25	25	25	25	1500	3	20	20	20	-1	-1	0	25	24	60	0	0	261818d8	251818d8	03000bc1	0	0	40	45	3	0	0	13	2	2490563
gtcc015	Усиленная Темная Охранная Турель	830E14	4	00110	25	0	0	6000000	0	0	0	0	30000	1	1	1	1	36	1	0	0	-1	63	8014	34211	60	450	10	0	0	0	30	20	0	150694	167438	ff00	4750	25	25	25	25	750	3	20	20	20	-1	-1	0	25	24	60	0	0	261818d8	251818d8	03000bc1	0	0	45	50	5	0	0	13	2	2490563
gtcc016	Сияющая Охранная Турель	830E14	4	00110	25	0	0	7000000	0	0	0	0	35000	1	1	1	1	37	1	0	0	-1	66	8014	37632	63	450	10	0	0	0	30	20	0	87101	96779	ff00	4956	30	30	30	30	1500	3	20	20	20	-1	-1	0	25	24	60	0	0	261818d8	251818d8	03000bc1	0	0	50	55	8	0	0	13	2	2490563
gtcc017	Сияющая Охранная Турель II	830E14	4	00110	25	0	0	10000000	0	0	0	0	50000	1	1	1	1	38	1	0	0	-1	68	8014	39513	65	450	10	0	0	0	30	20	0	76290	84768	ff00	4956	30	30	30	30	750	3	20	20	20	-1	-1	0	25	24	60	0	0	261818d8	251818d8	03000bc1	0	0	55	60	10	0	0	13	2	2490563
gtcc018	Охранная Турель Ро	830E14	4	00110	25	0	0	50000	0	0	0	0	2500	1	1	1	1	39	1	0	0	-1	1	8014	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	13	2	2490563
gtcc019	Охранная Турель Сигма(Cora19)	830E14	4	00110	25	0	0	50000	0	0	0	0	2500	1	1	1	1	40	1	0	0	-1	1	8014	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	13	2	2490563
gtcc020	Охранная Турель Тау(Cora20)	830E14	4	00110	25	0	0	50000	0	0	0	0	2500	1	1	1	1	41	1	0	0	-1	1	8014	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	13	2	2490563
gtaa000	Охранная турель Империи(system)	430E28	7	00001	25	0	0	10000	0	0	0	0	500	1	1	1	1	42	1	0	0	-1	67	4028	346400	30	450	180	0	0	0	30	20	0	331104	367891	ff00	13192	20	20	20	20	1000	2	17	17	-1	-1	-1	0	34	37	0	0	0	010504c6	010004c6	ffffffff	0	0	2	5	0	0	0	16	2	2490563
gtaa001	Охранная Турель Альфа(Accretia1)	430E28	7	00001	25	0	0	10000	0	0	0	0	500	1	1	1	1	43	1	0	0	-1	30	4028	16120	30	330	10	0	0	0	30	20	0	1442	1602	ff00	671	20	20	20	20	2000	2	17	17	-1	-1	-1	0	34	43	0	0	0	010504c6	011604c6	ffffffff	0	0	2	2	0	0	0	16	2	2490563
gtaa002	Охранная Турель Бета	430E28	7	00001	25	0	0	20000	0	0	0	0	1000	1	1	1	1	44	1	0	0	-1	38	4028	20010	35	330	10	0	0	0	30	20	0	4733	5259	ff00	1151	20	20	20	20	2000	2	17	17	-1	-1	-1	0	34	43	0	0	0	010504c6	011604c6	ffffffff	0	0	3	3	0	0	0	16	2	2490563
gtaa003	Охранная Турель Гамма(Accretia3)	430E28	7	00001	25	0	0	50000	0	0	0	0	2500	1	1	1	1	45	1	0	0	-1	43	4028	22570	40	330	10	0	0	0	30	20	0	10622	11802	ff00	1503	20	20	20	20	2000	2	17	17	-1	-1	-1	0	35	44	0	0	0	020504c6	021604c6	ffffffff	0	0	2	2	0	0	0	16	2	2490563
gtaa004	Эпохальная Охранная Турель	430E28	7	00001	25	0	0	1000000	0	0	0	0	50000	1	1	1	1	46	1	0	0	-1	50	4028	26210	45	330	10	0	0	0	30	20	0	26655	29616	ff00	3110	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	70	0	0	251818d8	261818d8	010b04d8	0	0	5	5	1	0	0	16	2	2490563
gtaa005	Эпохальная Охранная Турель Mk.2	430E28	7	00001	25	0	0	2500000	0	0	0	0	125000	1	1	1	1	47	1	0	0	-1	55	4028	28610	50	450	10	0	0	0	30	20	0	52254	58061	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	70	0	0	251818d8	261818d8	010b04d8	0	0	10	10	1	0	0	16	2	2490563
gtaa006	Охранная Турель Дзета(Accretia6)	430E28	7	00001	25	0	0	3000000	0	0	0	0	150000	1	1	1	1	48	1	0	0	-1	56	4028	29260	53	450	10	0	0	0	30	20	0	59238	65820	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	71	0	0	251818d8	261818d8	020b04d8	0	0	15	15	1	0	0	16	2	2490563
gtaa007	Автоматическая буровая установка(Accretia)	430E28	7	00001	25	0	0	4000000	0	0	0	0	200000	1	1	1	1	49	1	0	0	-1	57	4028	29620	55	450	10	0	0	0	30	20	0	67589	75098	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	71	0	0	251818d8	261818d8	020b04d8	0	0	20	20	1	0	0	16	2	2490563
gtaa008	Усиленная Эпохальная Охранная Турель Т1	430E28	7	00001	25	0	0	10000	0	0	0	0	500	1	1	1	1	50	1	0	0	-1	55	4028	28610	50	450	10	0	0	0	30	20	0	54867	60964	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	70	0	0	251818d8	261818d8	010b04d8	0	0	30	30	1	0	0	16	2	2490563
gtaa009	Усиленная Эпохальная Охранная Турель Т2	430E28	7	00001	25	0	0	10000	0	0	0	0	500	1	1	1	1	51	1	0	0	-1	55	4028	28610	50	450	10	0	0	0	30	20	0	60092	66770	ff00	4136	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	70	0	0	251818d8	261818d8	010b04d8	0	0	30	30	1	0	0	16	2	2490563
gtaa010	Плазменная Турель Т1	430E28	7	00001	25	0	0	20000	0	0	0	0	1000	1	1	1	1	52	1	0	0	-1	56	4028	29260	53	450	10	0	0	0	30	20	0	62200	69111	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	71	0	0	251818d8	261818d8	020b04d8	0	0	35	35	1	0	0	16	2	2490563
gtaa011	Плазменная Турель Т2	430E28	7	00001	25	0	0	20000	0	0	0	0	1000	1	1	1	1	53	1	0	0	-1	56	4028	29260	53	450	10	0	0	0	30	20	0	68124	75693	ff00	4340	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	71	0	0	251818d8	261818d8	020b04d8	0	0	35	35	1	0	0	16	2	2490563
gtaa012	Усиленная Плазменная Турель Т1	430E28	7	00001	25	0	0	50000	0	0	0	0	2500	1	1	1	1	54	1	0	0	-1	57	4028	29620	55	450	10	0	0	0	30	20	0	70968	78852	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	72	0	0	251818d8	261818d8	030b04d8	0	0	40	40	1	0	0	16	2	2490563
gtaa013	Усиленная Плазменная Турель Т2	430E28	7	00001	25	0	0	50000	0	0	0	0	2500	1	1	1	1	55	1	0	0	-1	57	4028	29620	55	450	10	0	0	0	30	20	0	77727	86362	ff00	4546	20	20	20	20	1500	3	20	20	20	-1	-1	0	24	25	72	0	0	251818d8	261818d8	030b04d8	0	0	40	40	1	0	0	16	2	2490563
gtaa014	Темная Линейная Турель	430E28	7	00001	25	0	0	5000000	0	0	0	0	25000	1	1	1	1	56	1	0	0	-1	60	4028	32582	57	450	10	0	0	0	30	20	0	76290	84768	ff00	4750	25	25	25	25	1500	3	20	20	20	-1	-1	0	25	24	72	0	0	261818d8	251818d8	030b04d8	0	0	40	45	3	0	0	16	2	2490563
gtaa015	Усиленная Темная Линейная Турель	430E28	7	00001	25	0	0	6000000	0	0	0	0	30000	1	1	1	1	57	1	0	0	-1	63	4028	34211	60	450	10	0	0	0	30	20	0	150694	167438	ff00	4750	25	25	25	25	750	3	20	20	20	-1	-1	0	25	24	72	0	0	261818d8	251818d8	030b04d8	0	0	45	50	5	0	0	16	2	2490563
gtaa016	Сияющая Линейная Турель	430E28	7	00001	25	0	0	7000000	0	0	0	0	35000	1	1	1	1	58	1	0	0	-1	66	4028	37632	63	450	10	0	0	0	30	20	0	87101	96779	ff00	4956	30	30	30	30	1500	3	20	20	20	-1	-1	0	25	24	72	0	0	261818d8	251818d8	030b04d8	0	0	50	55	8	0	0	16	2	2490563
gtaa017	Особая Сияющая Линейная Турель	430E28	7	00001	25	0	0	10000000	0	0	0	0	50000	1	1	1	1	59	1	0	0	-1	68	4028	39513	65	450	10	0	0	0	30	20	0	76290	84768	ff00	4956	30	30	30	30	750	3	20	20	20	-1	-1	0	25	24	72	0	0	261818d8	251818d8	030b04d8	0	0	55	60	10	0	0	16	2	2490563
gtaa018	Охранная Турель Ро	430E28	7	00001	25	0	0	50000	0	0	0	0	2500	1	1	1	1	60	1	0	0	-1	1	4028	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	16	2	2490563
gtaa019	Охранная Турель Сигма(Accretia19)	430E28	7	00001	25	0	0	50000	0	0	0	0	2500	1	1	1	1	61	1	0	0	-1	1	4028	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	16	2	2490563
gtaa020	Охранная Турель Тэй(Accretia20)	430E28	7	00001	25	0	0	50000	0	0	0	0	2500	1	1	1	1	62	1	0	0	-1	1	4028	220	1	330	0	0	0	0	30	20	0	33	44	ff00	12	20	20	20	20	2000	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	ffffffff	ffffffff	ffffffff	0	0	0	0	0	0	0	16	2	2490563
