clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	END
iyyyy17	Сол Зид	A30210	17	11111	20	0	0	190	0	0	0	0	1	1	1	1	1	16	1	0	0	0	0	
iyyyy18	Шай Зид	A30211	18	11111	20	0	0	1040	0	0	0	0	10	1	1	1	1	17	1	0	0	0	0	
iyyyy19	Варм	A30212	19	11111	20	0	0	5850	0	0	0	0	58	1	1	1	1	18	1	0	0	0	0	
iyyyy20	БриДент	A30213	20	11111	20	0	0	120	0	0	0	0	1	1	1	1	1	19	1	0	0	0	0	
iyyyy21	Плю БриДент	A30214	21	11111	20	0	0	580	0	0	0	0	5	1	1	1	1	20	1	0	0	0	0	
iyyyy22	Саер БриДент	A30215	22	11111	20	0	0	2710	0	0	0	0	27	1	1	1	1	21	1	0	0	0	0	
iyyyy23	Глю	A30216	23	11111	20	0	0	10530	0	0	0	0	105	1	1	1	1	22	1	0	0	0	0	
iyyyy24	Биим	A30217	24	11111	20	0	0	12640	0	0	0	0	126	1	1	1	1	23	1	0	0	0	0	
iyyyy25	Серебряный Катализатор	A30218	25	11111	20	0	0	15000	0	0	0	0	150	1	1	1	1	24	1	0	0	0	0	
iyyyy26	Золотой Катализатор	A30219	26	11111	20	0	0	30000	0	0	0	0	300	1	1	1	1	25	1	0	0	0	0	
iyeee01	MobyBlue	A20700	78	11111	20	0	0	2000	0	0	0	0	20	1	1	1	1	26	1	0	0	0	0	
iyeee02	MobyBlue	A20700	79	11111	20	0	0	4000	0	0	0	0	40	1	1	1	1	27	1	0	0	0	0	
iyeee03	MobyBlue	A20700	80	11111	20	0	0	6000	0	0	0	0	60	1	1	1	1	28	1	0	0	0	0	
iyeee04	MobyBlue	A20700	81	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	29	1	0	0	0	0	
iyeee05	MobyBlue	A20700	82	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	30	1	0	0	0	0	
iyeee06	Электронный магазин 	A20700	78	11111	20	0	0	2000	0	0	0	0	20	1	1	1	1	31	1	0	0	0	0	
iyeee07	Электронный магазин 	A20700	79	11111	20	0	0	4000	0	0	0	0	40	1	1	1	1	32	1	0	0	0	0	
iyeee08	Электронный магазин 	A20700	80	11111	20	0	0	6000	0	0	0	0	60	1	1	1	1	33	1	0	0	0	0	
iyeee09	Электронный магазин 	A20700	81	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	34	1	0	0	0	0	
iyeee10	Электронный магазин 	A20700	82	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	35	1	0	0	0	0	
iyeee11	Электронный магазин 	A20700	78	11111	20	0	0	2000	0	0	0	0	20	1	1	1	1	36	1	0	0	0	0	
iyeee12	Электронный магазин 	A20700	79	11111	20	0	0	4000	0	0	0	0	40	1	1	1	1	37	1	0	0	0	0	
iyeee13	Электронный магазин 	A20700	80	11111	20	0	0	6000	0	0	0	0	60	1	1	1	1	38	1	0	0	0	0	
iyeee14	Электронный магазин 	A20700	81	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	39	1	0	0	0	0	
iyeee15	Электронный магазин 	A20700	82	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	40	1	0	0	0	0	
iyeee16	Электронный магазин 	A20700	78	11111	20	0	0	2000	0	0	0	0	20	1	1	1	1	41	1	0	0	0	0	
iyeee17	Электронный магазин 	A20700	79	11111	20	0	0	4000	0	0	0	0	40	1	1	1	1	42	1	0	0	0	0	
iyeee18	Электронный магазин 	A20700	80	11111	20	0	0	6000	0	0	0	0	60	1	1	1	1	43	1	0	0	0	0	
iyeee19	Электронный магазин 	A20700	81	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	44	1	0	0	0	0	
iyeee20	Электронный магазин 	A20700	82	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	45	1	0	0	0	0	
iyeee21	Электронный магазин 	A20700	78	11111	20	0	0	2000	0	0	0	0	20	1	1	1	1	46	1	0	0	0	0	
iyeee22	Электронный магазин 	A20700	79	11111	20	0	0	4000	0	0	0	0	40	1	1	1	1	47	1	0	0	0	0	
iyeee23	Электронный магазин 	A20700	80	11111	20	0	0	6000	0	0	0	0	60	1	1	1	1	48	1	0	0	0	0	
iyeee24	Электронный магазин 	A20700	81	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	49	1	0	0	0	0	
iyeee25	Электронный магазин 	A20700	82	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	50	1	0	0	0	0	
iyeee26	Электронный магазин 	A20700	78	11111	20	0	0	2000	0	0	0	0	20	1	1	1	1	51	1	0	0	0	0	
iyeee27	Электронный магазин 	A20700	79	11111	20	0	0	4000	0	0	0	0	40	1	1	1	1	52	1	0	0	0	0	
iyeee28	Электронный магазин 	A20700	80	11111	20	0	0	6000	0	0	0	0	60	1	1	1	1	53	1	0	0	0	0	
iyeee29	Электронный магазин 	A20700	81	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	54	1	0	0	0	0	
iyeee30	Электронный магазин 	A20700	82	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	55	1	0	0	0	0	
iytwe01	Альтаир	A30220	27	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	56	1	0	0	0	0	
iytwe02	Вега	A30221	28	11111	20	0	0	20000	0	0	0	0	200	1	1	1	1	57	1	0	0	0	0	
iybla01	Черная Стружка A	A3021A	29	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	58	1	0	0	0	0	
iybla02	Черная Стружка B	A3021B	30	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	59	1	0	0	0	0	
iybla03	Черная Стружка C	A3021C	31	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	60	1	0	0	0	0	
iyred01	Красная Стружка A	A3021D	32	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	61	1	0	0	0	0	
iyred02	Красная Стружка B	A3021E	33	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	62	1	0	0	0	0	
iyred03	Красная Стружка C	A3021F	34	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	63	1	0	0	0	0	
iyblu01	Синяя Стружка A	A30220	35	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	64	1	0	0	0	0	
iyblu02	Синяя Стружка B	A30221	36	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	65	1	0	0	0	0	
iyblu03	Синяя Стружка C	A30222	37	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	66	1	0	0	0	0	
iygre01	Зеленая Стружка A	A30223	38	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	67	1	0	0	0	0	
iygre02	Зеленая Стружка B	A30224	39	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	68	1	0	0	0	0	
iygre03	Зеленая Стружка C	A30225	40	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	69	1	0	0	0	0	
iyyel01	Желтая Стружка A	A30226	41	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	70	1	0	0	0	0	
iyyel02	Желтая Стружка B	A30227	42	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	71	1	0	0	0	0	
iyyel03	Желтая Стружка C	A30228	43	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	72	1	0	0	0	0	
iypur01	Лиловая Стружка A	A30229	44	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	73	1	0	0	0	0	
iypur02	Лиловая Стружка B	A3022A	45	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	74	1	0	0	0	0	
iypur03	Лиловая Стружка C	A3022B	46	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	75	1	0	0	0	0	
iywhi01	Белая Стружка A	A3022C	47	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	76	1	0	0	0	0	
iywhi02	Белая Стружка B	A3022D	48	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	77	1	0	0	0	0	
iywhi03	Белая Стружка C	A3022E	49	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	78	1	0	0	0	0	
iybrw01	Бархатная Стружка A	A3022F	50	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	79	1	0	0	0	0	
iybrw02	Бархатная Стружка B	A30230	51	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	80	1	0	0	0	0	
iybrw03	Бархатная Стружка C	A30231	52	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	81	1	0	0	0	0	
iyolv01	Оливковая Стружка A	A30232	53	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	82	1	0	0	0	0	
iyolv02	Оливковая Стружка B	A30233	54	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	83	1	0	0	0	0	
iyolv03	Оливковая Стружка C	A30234	55	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	84	1	0	0	0	0	
iynav01	Морская Стружка A	A30235	56	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	85	1	0	0	0	0	
iynav02	Морская Стружка B	A30236	57	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	86	1	0	0	0	0	
iynav03	Морская Стружка C	A30237	58	11111	20	1	0	5	0	0	0	0	100	1	1	1	1	87	1	0	0	0	0	
iyxma01	Красные сандали	A30238	59	11111	20	1	0	1	0	0	0	0	20	1	1	1	1	88	1	0	0	0	0	
iygra01	Гравитационный Мяч	A31100	27	11111	20	1	0	1	0	0	0	0	20	1	1	1	1	89	1	0	0	0	0	
iyaop01	Средство Скорости	A30243	60	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	90	1	0	0	0	0	
iybop01	Средство Выносливости	A30244	61	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	91	1	0	0	0	0	
iycop01	Средство Изящества	A30245	62	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	92	1	0	0	0	0	
iydop01	Средство Ловкости	A30246	63	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	93	1	0	0	0	0	
iyeop01	Средство Физической Силы	A30247	64	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	94	1	0	0	0	0	
iyfop01	Средство Защиты	A30248	65	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	95	1	0	0	0	0	
iygop01	Средство Силы	A30249	66	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	96	1	0	0	0	0	
iyhop01	Средство Великой Силы	A3024A	67	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	97	1	0	0	0	0	
iyiop01	Средство Вампиризма	A3024B	68	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	98	1	0	0	0	0	
iyjop01	Средство Охраны	A3024C	69	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	99	1	0	0	0	0	
iykop01	Средство Точности	A3024D	70	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	100	1	0	0	0	0	
iylop01	Средство Благородства	A3024E	71	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	101	1	0	0	0	0	
iyext01	Разделительное Средство	A3024F	72	11111	20	0	0	40000	0	0	0	0	400	1	1	1	1	102	1	0	0	0	0	
iymer01	Компоновочное Средство	A30250	73	11111	20	0	0	80000	0	0	0	0	800	1	1	1	1	103	1	0	0	0	0	
iymer02	Особое Компоновочное Средство	A30251	74	11111	20	0	0	120000	0	0	0	0	1200	0	1	0	0	104	1	0	0	0	0	
iyjpb01	Наградная Квитанция Lv1 	A30252	75	11111	20	0	0	5	0	0	0	0	1	0	0	0	0	105	1	0	0	0	0	
iyjpb02	Наградная Квитанция Lv43 	A30253	76	11111	20	0	0	5	0	0	0	0	1	0	0	0	0	106	1	0	0	0	0	
iyjpc01	Наградная Квитанция Lv1 	A30254	75	11111	20	0	0	5	0	0	0	0	1	0	0	0	0	107	1	0	0	0	0	
iyjpc02	Наградная Квитанция Lv43 	A30255	76	11111	20	0	0	5	0	0	0	0	1	0	0	0	0	108	1	0	0	0	0	
iyjpa01	Наградная Квитанция Lv1 	A30256	75	11111	20	0	0	5	0	0	0	0	1	0	0	0	0	109	1	0	0	0	0	
iyjpa02	Наградная Квитанция Lv43 	A30257	76	11111	20	0	0	5	0	0	0	0	1	0	0	0	0	110	1	0	0	0	0	
iydbr01	Разбитый Грецкий Орех	A30258	77	11111	20	0	0	100	0	0	0	0	1	1	1	1	1	111	1	0	0	0	0	
iycra01	Зубило	A30259	78	11111	20	0	0	1000	0	0	0	0	10	1	1	1	1	112	1	0	0	0	0	
iymop01	Средство Промахов	A30259	152	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	113	1	0	0	0	0	
iynop01	Средство Сохранения	A30259	153	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	114	1	0	0	0	0	
iyoop01	Средство Стойкости	A30259	154	11111	20	0	0	10000	0	0	0	0	100	1	1	1	1	115	1	0	0	0	0	
iyscr01	Жетон Турнира Гильдий	A30259	151	11111	20	0	0	1000	0	0	0	0	10	0	1	0	0	116	1	0	0	0	0	
iyfok01	Саиф Леона1 	A30259	79	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	117	1	0	0	0	0	
iyfok02	Саиф Леона2 	A30259	80	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	118	1	0	0	0	0	
iyfok03	Саиф Леона3 	A30259	81	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	119	1	0	0	0	0	
iyfok04	Саиф Леона4 	A30259	82	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	120	1	0	0	0	0	
iyffk01	Гладиус Леона1 	A30259	83	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	121	1	0	0	0	0	
iyffk02	Гладиус Леона2 	A30259	84	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	122	1	0	0	0	0	
iyffk03	Гладиус Леона3 	A30259	85	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	123	1	0	0	0	0	
iyffk04	Гладиус Леона4 	A30259	86	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	124	1	0	0	0	0	
iyfik01	Легендарный Меч Леона1 	A30259	87	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	125	1	0	0	0	0	
iyfik02	Легендарный Меч Леона2 	A30259	88	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	126	1	0	0	0	0	
iyfik03	Легендарный Меч Леона3 	A30259	89	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	127	1	0	0	0	0	
iyfik04	Легендарный Меч Леона4 	A30259	90	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	128	1	0	0	0	0	
iyfos01	Штурмовое Копье Леона1 	A30259	91	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	129	1	0	0	0	0	
iyfos02	Штурмовое Копье Леона2 	A30259	92	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	130	1	0	0	0	0	
iyfos03	Штурмовое Копье Леона3 	A30259	93	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	131	1	0	0	0	0	
iyfos04	Штурмовое Копье Леона4 	A30259	94	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	132	1	0	0	0	0	
iyffs01	Боевое Копье Леона1 	A30259	95	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	133	1	0	0	0	0	
iyffs02	Боевое Копье Леона2 	A30259	96	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	134	1	0	0	0	0	
iyffs03	Боевое Копье Леона3 	A30259	97	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	135	1	0	0	0	0	
iyffs04	Боевое Копье Леона4 	A30259	98	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	136	1	0	0	0	0	
iyfis01	Легендарное Копье Леона1 	A30259	99	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	137	1	0	0	0	0	
iyfis02	Легендарное Копье Леона2 	A30259	100	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	138	1	0	0	0	0	
iyfis03	Легендарное Копье Леона3 	A30259	101	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	139	1	0	0	0	0	
iyfis04	Легендарное Копье Леона4 	A30259	102	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	140	1	0	0	0	0	
iyfot01	Рунический Посох Леона1 	A30259	103	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	141	1	0	0	0	0	
iyfot02	Рунический Посох Леона2 	A30259	104	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	142	1	0	0	0	0	
iyfot03	Рунический Посох Леона3 	A30259	105	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	143	1	0	0	0	0	
iyfot04	Рунический Посох Леона4 	A30259	106	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	144	1	0	0	0	0	
iyfft01	Шипастый Посох Леона1 	A30259	107	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	145	1	0	0	0	0	
iyfft02	Шипастый Посох Леона2 	A30259	108	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	146	1	0	0	0	0	
iyfft03	Шипастый Посох Леона3 	A30259	109	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	147	1	0	0	0	0	
iyfft04	Шипастый Посох Леона4 	A30259	110	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	148	1	0	0	0	0	
iyfit01	Легендарный Посох Леона1 	A30259	111	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	149	1	0	0	0	0	
iyfit02	Легендарный Посох Леона2 	A30259	112	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	150	1	0	0	0	0	
iyfit03	Легендарный Посох Леона3 	A30259	113	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	151	1	0	0	0	0	
iyfit04	Легендарный Посох Леона4 	A30259	114	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	152	1	0	0	0	0	
iyfob01	Осадный Энерголук Леона1 	A30259	115	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	153	1	0	0	0	0	
iyfob02	Осадный Энерголук Леона2 	A30259	116	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	154	1	0	0	0	0	
iyfob03	Осадный Энерголук Леона3 	A30259	117	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	155	1	0	0	0	0	
iyfob04	Осадный Энерголук Леона4 	A30259	118	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	156	1	0	0	0	0	
iyffb01	Лучевой Лук Леона1 	A30259	119	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	157	1	0	0	0	0	
iyffb02	Лучевой Лук Леона2 	A30259	120	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	158	1	0	0	0	0	
iyffb03	Лучевой Лук Леона3 	A30259	121	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	159	1	0	0	0	0	
iyffb04	Лучевой Лук Леона4 	A30259	122	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	160	1	0	0	0	0	
iyfib01	Легендарный Энерголук Леона1 	A30259	123	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	161	1	0	0	0	0	
iyfib02	Легендарный Энерголук Леона2 	A30259	124	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	162	1	0	0	0	0	
iyfib03	Легендарный Энерголук Леона3 	A30259	125	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	163	1	0	0	0	0	
iyfib04	Легендарный Энерголук Леона4 	A30259	126	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	164	1	0	0	0	0	
iyfog01	Импульсная Винтовка Леона1 	A30259	127	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	165	1	0	0	0	0	
iyfog02	Импульсная Винтовка Леона2 	A30259	128	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	166	1	0	0	0	0	
iyfog03	Импульсная Винтовка Леона3 	A30259	129	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	167	1	0	0	0	0	
iyfog04	Импульсная Винтовка Леона4 	A30259	130	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	168	1	0	0	0	0	
iyffg01	Пулемет Вулкан Леона1 	A30259	131	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	169	1	0	0	0	0	
iyffg02	Пулемет Вулкан Леона2 	A30259	132	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	170	1	0	0	0	0	
iyffg03	Пулемет Вулкан Леона3 	A30259	133	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	171	1	0	0	0	0	
iyffg04	Пулемет Вулкан Леона4 	A30259	134	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	172	1	0	0	0	0	
iyfig01	Легендарный Гатлинг Леона1 	A30259	135	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	173	1	0	0	0	0	
iyfig02	Легендарный Гатлинг Леона2 	A30259	136	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	174	1	0	0	0	0	
iyfig03	Легендарный Гатлинг Леона3 	A30259	137	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	175	1	0	0	0	0	
iyfig04	Легендарный Гатлинг Леона4 	A30259	138	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	176	1	0	0	0	0	
iyfol01	Штурмовой Огнемет Леона1 	A30259	139	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	177	1	0	0	0	0	
iyfol02	Штурмовой Огнемет Леона2 	A30259	140	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	178	1	0	0	0	0	
iyfol03	Штурмовой Огнемет Леона3 	A30259	141	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	179	1	0	0	0	0	
iyfol04	Штурмовой Огнемет Леона4 	A30259	142	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	180	1	0	0	0	0	
iyffl01	Ракетная Установка Леона1 	A30259	143	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	181	1	0	0	0	0	
iyffl02	Ракетная Установка Леона2 	A30259	144	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	182	1	0	0	0	0	
iyffl03	Ракетная Установка Леона3 	A30259	145	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	183	1	0	0	0	0	
iyffl04	Ракетная Установка Леона4 	A30259	146	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	184	1	0	0	0	0	
iyfil01	Панцерфауст Леона1 	A30259	147	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	185	1	0	0	0	0	
iyfil02	Панцерфауст Леона2 	A30259	148	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	186	1	0	0	0	0	
iyfil03	Панцерфауст Леона3 	A30259	149	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	187	1	0	0	0	0	
iyfil04	Панцерфауст Леона4 	A30259	150	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	188	1	0	0	0	0	
iyfok11	Саиф Леона1 	A30259	79	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	189	1	0	0	0	0	
iyfok12	Саиф Леона2 	A30259	80	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	190	1	0	0	0	0	
iyfok13	Саиф Леона3 	A30259	81	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	191	1	0	0	0	0	
iyfok14	Саиф Леона4 	A30259	82	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	192	1	0	0	0	0	
iyffk11	Гладиус Леона1 	A30259	83	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	193	1	0	0	0	0	
iyffk12	Гладиус Леона2 	A30259	84	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	194	1	0	0	0	0	
iyffk13	Гладиус Леона3 	A30259	85	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	195	1	0	0	0	0	
iyffk14	Гладиус Леона4 	A30259	86	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	196	1	0	0	0	0	
iyfik11	Легендарный Меч Леона1 	A30259	87	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	197	1	0	0	0	0	
iyfik12	Легендарный Меч Леона2 	A30259	88	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	198	1	0	0	0	0	
iyfik13	Легендарный Меч Леона3 	A30259	89	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	199	1	0	0	0	0	
iyfik14	Легендарный Меч Леона4 	A30259	90	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	200	1	0	0	0	0	
iyfos11	Штурмовое Копье Леона1 	A30259	91	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	201	1	0	0	0	0	
iyfos12	Штурмовое Копье Леона2 	A30259	92	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	202	1	0	0	0	0	
iyfos13	Штурмовое Копье Леона3 	A30259	93	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	203	1	0	0	0	0	
iyfos14	Штурмовое Копье Леона4 	A30259	94	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	204	1	0	0	0	0	
iyffs11	Боевое Копье Леона1 	A30259	95	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	205	1	0	0	0	0	
iyffs12	Боевое Копье Леона2 	A30259	96	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	206	1	0	0	0	0	
iyffs13	Боевое Копье Леона3 	A30259	97	11111	20	0	0	10000	0	0	0	0	100	0	1	0	1	207	1	0	0	0	0	
