string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
iyeee01	1	A20700	78	MobyBlue	302	300	11111	0	2000	0	0	0	0	20	1	1	1	1	1	tiyeee01	0	0	
iyeee02	1	A20700	79	MobyBlue	302	300	11111	0	4000	0	0	0	0	40	1	1	1	1	1	tiyeee02	0	0	
iyeee03	1	A20700	80	MobyBlue	302	300	11111	0	6000	0	0	0	0	60	1	1	1	1	1	tiyeee03	0	0	
iyeee04	1	A20700	81	MobyBlue	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyeee04	0	0	
iyeee05	1	A20700	82	MobyBlue	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiyeee05	0	0	
iyeee06	1	A20700	78	Электронный магазин 	302	300	11111	0	2000	0	0	0	0	20	1	1	1	1	1	tiyeee06	0	0	
iyeee07	1	A20700	79	Электронный магазин 	302	300	11111	0	4000	0	0	0	0	40	1	1	1	1	1	tiyeee07	0	0	
iyeee08	1	A20700	80	Электронный магазин 	302	300	11111	0	6000	0	0	0	0	60	1	1	1	1	1	tiyeee08	0	0	
iyeee09	1	A20700	81	Электронный магазин 	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyeee09	0	0	
iyeee10	1	A20700	82	Электронный магазин 	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiyeee10	0	0	
iyeee11	1	A20700	78	Электронный магазин 	302	300	11111	0	2000	0	0	0	0	20	1	1	1	1	1	tiyeee11	0	0	
iyeee12	1	A20700	79	Электронный магазин 	302	300	11111	0	4000	0	0	0	0	40	1	1	1	1	1	tiyeee12	0	0	
iyeee13	1	A20700	80	Электронный магазин 	302	300	11111	0	6000	0	0	0	0	60	1	1	1	1	1	tiyeee13	0	0	
iyeee14	1	A20700	81	Электронный магазин 	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyeee14	0	0	
iyeee15	1	A20700	82	Электронный магазин 	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiyeee15	0	0	
iyeee16	1	A20700	78	Электронный магазин 	302	300	11111	0	2000	0	0	0	0	20	1	1	1	1	1	tiyeee16	0	0	
iyeee17	1	A20700	79	Электронный магазин 	302	300	11111	0	4000	0	0	0	0	40	1	1	1	1	1	tiyeee17	0	0	
iyeee18	1	A20700	80	Электронный магазин 	302	300	11111	0	6000	0	0	0	0	60	1	1	1	1	1	tiyeee18	0	0	
iyeee19	1	A20700	81	Электронный магазин 	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyeee19	0	0	
iyeee20	1	A20700	82	Электронный магазин 	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiyeee20	0	0	
iyeee21	1	A20700	78	Электронный магазин 	302	300	11111	0	2000	0	0	0	0	20	1	1	1	1	1	tiyeee21	0	0	
iyeee22	1	A20700	79	Электронный магазин 	302	300	11111	0	4000	0	0	0	0	40	1	1	1	1	1	tiyeee22	0	0	
iyeee23	1	A20700	80	Электронный магазин 	302	300	11111	0	6000	0	0	0	0	60	1	1	1	1	1	tiyeee23	0	0	
iyeee24	1	A20700	81	Электронный магазин 	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyeee24	0	0	
iyeee25	1	A20700	82	Электронный магазин 	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiyeee25	0	0	
iyeee26	1	A20700	78	Электронный магазин 	302	300	11111	0	2000	0	0	0	0	20	1	1	1	1	1	tiyeee26	0	0	
iyeee27	1	A20700	79	Электронный магазин 	302	300	11111	0	4000	0	0	0	0	40	1	1	1	1	1	tiyeee27	0	0	
iyeee28	1	A20700	80	Электронный магазин 	302	300	11111	0	6000	0	0	0	0	60	1	1	1	1	1	tiyeee28	0	0	
iyeee29	1	A20700	81	Электронный магазин 	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyeee29	0	0	
iyeee30	1	A20700	82	Электронный магазин 	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiyeee30	0	0	
iytwe01	1	A30220	27	Альтаир	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiytwe01	0	0	
iytwe02	1	A30221	28	Вега	302	300	11111	0	20000	0	0	0	0	200	1	1	1	1	1	tiytwe02	0	0	
iybla01	1	A3021A	29	Черная Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiybla01	0	0	
iybla02	1	A3021B	30	Черная Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiybla02	0	0	
iybla03	1	A3021C	31	Черная Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiybla03	0	0	
iyred01	1	A3021D	32	Красная Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyred01	0	0	
iyred02	1	A3021E	33	Красная Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyred02	0	0	
iyred03	1	A3021F	34	Красная Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyred03	0	0	
iyblu01	1	A30220	35	Синяя Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyblu01	0	0	
iyblu02	1	A30221	36	Синяя Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyblu02	0	0	
iyblu03	1	A30222	37	Синяя Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyblu03	0	0	
iygre01	1	A30223	38	Зеленая Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiygre01	0	0	
iygre02	1	A30224	39	Зеленая Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiygre02	0	0	
iygre03	1	A30225	40	Зеленая Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiygre03	0	0	
iyyel01	1	A30226	41	Желтая Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyyel01	0	0	
iyyel02	1	A30227	42	Желтая Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyyel02	0	0	
iyyel03	1	A30228	43	Желтая Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyyel03	0	0	
iypur01	1	A30229	44	Лиловая Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiypur01	0	0	
iypur02	1	A3022A	45	Лиловая Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiypur02	0	0	
iypur03	1	A3022B	46	Лиловая Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiypur03	0	0	
iywhi01	1	A3022C	47	Белая Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiywhi01	0	0	
iywhi02	1	A3022D	48	Белая Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiywhi02	0	0	
iywhi03	1	A3022E	49	Белая Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiywhi03	0	0	
iybrw01	1	A3022F	50	Бархатная Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiybrw01	0	0	
iybrw02	1	A30230	51	Бархатная Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiybrw02	0	0	
iybrw03	1	A30231	52	Бархатная Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiybrw03	0	0	
iyolv01	1	A30232	53	Оливковая Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyolv01	0	0	
iyolv02	1	A30233	54	Оливковая Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyolv02	0	0	
iyolv03	1	A30234	55	Оливковая Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiyolv03	0	0	
iynav01	1	A30235	56	Морская Стружка A	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiynav01	0	0	
iynav02	1	A30236	57	Морская Стружка B	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiynav02	0	0	
iynav03	1	A30237	58	Морская Стружка C	302	300	11111	1	5	0	0	0	0	100	1	1	1	1	1	tiynav03	0	0	
iyxma01	1	A30238	59	Красные сандали	302	300	11111	1	1	0	0	0	0	20	1	1	1	1	1	tiyxma01	0	0	
iygra01	1	A31100	27	Гравитационный Мяч	302	300	11111	1	1	0	0	0	0	20	1	1	1	1	1	tiygra01	0	0	
iyaop01	1	A30243	60	Средство Скорости	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiyaop01	0	0	
iybop01	1	A30244	61	Средство Выносливости	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiybop01	0	0	
iycop01	1	A30245	62	Средство Изящества	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiycop01	0	0	
iydop01	1	A30246	63	Средство Ловкости	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiydop01	0	0	
iyeop01	1	A30247	64	Средство Физической Силы	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiyeop01	0	0	
iyfop01	1	A30248	65	Средство Защиты	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiyfop01	0	0	
iygop01	1	A30249	66	Средство Силы	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiygop01	0	0	
iyhop01	1	A3024A	67	Средство Великой Силы	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiyhop01	0	0	
iyiop01	1	A3024B	68	Средство Вампиризма	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiyiop01	0	0	
iyjop01	1	A3024C	69	Средство Охраны	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiyjop01	0	0	
iykop01	1	A3024D	70	Средство Точности	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiykop01	0	0	
iylop01	1	A3024E	71	Средство Благородства	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiylop01	0	0	
iyext01	1	A3024F	72	Разделительное Средство	302	300	11111	0	40000	0	0	0	0	400	1	1	1	1	1	tiyext01	0	0	
iymer01	1	A30250	73	Компоновочное Средство	302	300	11111	0	80000	0	0	0	0	800	1	1	1	1	1	tiymer01	0	0	
iymer02	1	A30251	74	Особое Компоновочное Средство	302	300	11111	0	120000	0	0	0	0	1200	1	0	0	0	1	tiymer02	0	0	
iyjpb01	1	A30252	75	Наградная Квитанция Lv1 	302	300	11111	0	5	0	0	0	0	1	0	0	0	0	1	tiyjpb01	0	0	
iyjpb02	1	A30253	76	Наградная Квитанция Lv43 	302	300	11111	0	5	0	0	0	0	1	0	0	0	0	1	tiyjpb02	0	0	
iyjpc01	1	A30254	75	Наградная Квитанция Lv1 	302	300	11111	0	5	0	0	0	0	1	0	0	0	0	1	tiyjpc01	0	0	
iyjpc02	1	A30255	76	Наградная Квитанция Lv43 	302	300	11111	0	5	0	0	0	0	1	0	0	0	0	1	tiyjpc02	0	0	
iyjpa01	1	A30256	75	Наградная Квитанция Lv1 	302	300	11111	0	5	0	0	0	0	1	0	0	0	0	1	tiyjpa01	0	0	
iyjpa02	1	A30257	76	Наградная Квитанция Lv43 	302	300	11111	0	5	0	0	0	0	1	0	0	0	0	1	tiyjpa02	0	0	
iydbr01	1	A30258	77	Разбитый Грецкий Орех	302	300	11111	0	100	0	0	0	0	1	1	1	1	1	1	tiydbr01	0	0	
iycra01	1	A30259	78	Зубило	302	300	11111	0	1000	0	0	0	0	10	1	1	1	1	1	tiycra01	0	0	
iymop01	1	A30259	152	Средство Промахов	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiymop01	0	0	
iynop01	1	A30259	153	Средство Сохранения	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiynop01	0	0	
iyoop01	1	A30259	154	Средство Стойкости	302	300	11111	0	10000	0	0	0	0	100	1	1	1	1	1	tiyoop01	0	0	
iyscr01	1	A30259	151	Жетон Турнира Гильдий	302	300	11111	0	1000	0	0	0	0	10	1	0	0	0	1	tiyscr01	0	0	
iyfok01	1	A30259	79	Саиф Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok01	0	0	
iyfok02	1	A30259	80	Саиф Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok02	0	0	
iyfok03	1	A30259	81	Саиф Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok03	0	0	
iyfok04	1	A30259	82	Саиф Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok04	0	0	
iyffk01	1	A30259	83	Гладиус Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk01	0	0	
iyffk02	1	A30259	84	Гладиус Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk02	0	0	
iyffk03	1	A30259	85	Гладиус Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk03	0	0	
iyffk04	1	A30259	86	Гладиус Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk04	0	0	
iyfik01	1	A30259	87	Легендарный Меч Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfik01	0	0	
iyfik02	1	A30259	88	Легендарный Меч Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfik02	0	0	
iyfik03	1	A30259	89	Легендарный Меч Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfik03	0	0	
iyfik04	1	A30259	90	Легендарный Меч Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfik04	0	0	
iyfos01	1	A30259	91	Штурмовое Копье Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfos01	0	0	
iyfos02	1	A30259	92	Штурмовое Копье Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfos02	0	0	
iyfos03	1	A30259	93	Штурмовое Копье Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfos03	0	0	
iyfos04	1	A30259	94	Штурмовое Копье Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfos04	0	0	
iyffs01	1	A30259	95	Боевое Копье Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffs01	0	0	
iyffs02	1	A30259	96	Боевое Копье Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffs02	0	0	
iyffs03	1	A30259	97	Боевое Копье Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffs03	0	0	
iyffs04	1	A30259	98	Боевое Копье Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffs04	0	0	
iyfis01	1	A30259	99	Легендарное Копье Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfis01	0	0	
iyfis02	1	A30259	100	Легендарное Копье Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfis02	0	0	
iyfis03	1	A30259	101	Легендарное Копье Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfis03	0	0	
iyfis04	1	A30259	102	Легендарное Копье Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfis04	0	0	
iyfot01	1	A30259	103	Рунический Посох Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfot01	0	0	
iyfot02	1	A30259	104	Рунический Посох Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfot02	0	0	
iyfot03	1	A30259	105	Рунический Посох Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfot03	0	0	
iyfot04	1	A30259	106	Рунический Посох Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfot04	0	0	
iyfft01	1	A30259	107	Шипастый Посох Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfft01	0	0	
iyfft02	1	A30259	108	Шипастый Посох Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfft02	0	0	
iyfft03	1	A30259	109	Шипастый Посох Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfft03	0	0	
iyfft04	1	A30259	110	Шипастый Посох Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfft04	0	0	
iyfit01	1	A30259	111	Легендарный Посох Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfit01	0	0	
iyfit02	1	A30259	112	Легендарный Посох Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfit02	0	0	
iyfit03	1	A30259	113	Легендарный Посох Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfit03	0	0	
iyfit04	1	A30259	114	Легендарный Посох Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfit04	0	0	
iyfob01	1	A30259	115	Осадный Энерголук Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfob01	0	0	
iyfob02	1	A30259	116	Осадный Энерголук Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfob02	0	0	
iyfob03	1	A30259	117	Осадный Энерголук Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfob03	0	0	
iyfob04	1	A30259	118	Осадный Энерголук Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfob04	0	0	
iyffb01	1	A30259	119	Лучевой Лук Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffb01	0	0	
iyffb02	1	A30259	120	Лучевой Лук Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffb02	0	0	
iyffb03	1	A30259	121	Лучевой Лук Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffb03	0	0	
iyffb04	1	A30259	122	Лучевой Лук Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffb04	0	0	
iyfib01	1	A30259	123	Легендарный Энерголук Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfib01	0	0	
iyfib02	1	A30259	124	Легендарный Энерголук Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfib02	0	0	
iyfib03	1	A30259	125	Легендарный Энерголук Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfib03	0	0	
iyfib04	1	A30259	126	Легендарный Энерголук Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfib04	0	0	
iyfog01	1	A30259	127	Импульсная Винтовка Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfog01	0	0	
iyfog02	1	A30259	128	Импульсная Винтовка Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfog02	0	0	
iyfog03	1	A30259	129	Импульсная Винтовка Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfog03	0	0	
iyfog04	1	A30259	130	Импульсная Винтовка Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfog04	0	0	
iyffg01	1	A30259	131	Пулемет Вулкан Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffg01	0	0	
iyffg02	1	A30259	132	Пулемет Вулкан Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffg02	0	0	
iyffg03	1	A30259	133	Пулемет Вулкан Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffg03	0	0	
iyffg04	1	A30259	134	Пулемет Вулкан Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffg04	0	0	
iyfig01	1	A30259	135	Легендарный Гатлинг Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfig01	0	0	
iyfig02	1	A30259	136	Легендарный Гатлинг Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfig02	0	0	
iyfig03	1	A30259	137	Легендарный Гатлинг Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfig03	0	0	
iyfig04	1	A30259	138	Легендарный Гатлинг Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfig04	0	0	
iyfol01	1	A30259	139	Штурмовой Огнемет Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfol01	0	0	
iyfol02	1	A30259	140	Штурмовой Огнемет Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfol02	0	0	
iyfol03	1	A30259	141	Штурмовой Огнемет Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfol03	0	0	
iyfol04	1	A30259	142	Штурмовой Огнемет Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfol04	0	0	
iyffl01	1	A30259	143	Ракетная Установка Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffl01	0	0	
iyffl02	1	A30259	144	Ракетная Установка Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffl02	0	0	
iyffl03	1	A30259	145	Ракетная Установка Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffl03	0	0	
iyffl04	1	A30259	146	Ракетная Установка Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffl04	0	0	
iyfil01	1	A30259	147	Панцерфауст Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfil01	0	0	
iyfil02	1	A30259	148	Панцерфауст Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfil02	0	0	
iyfil03	1	A30259	149	Панцерфауст Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfil03	0	0	
iyfil04	1	A30259	150	Панцерфауст Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfil04	0	0	
iyfok11	1	A30259	79	Саиф Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok11	0	0	
iyfok12	1	A30259	80	Саиф Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok12	0	0	
iyfok13	1	A30259	81	Саиф Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok13	0	0	
iyfok14	1	A30259	82	Саиф Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfok14	0	0	
iyffk11	1	A30259	83	Гладиус Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk11	0	0	
iyffk12	1	A30259	84	Гладиус Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk12	0	0	
iyffk13	1	A30259	85	Гладиус Леона3 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk13	0	0	
iyffk14	1	A30259	86	Гладиус Леона4 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyffk14	0	0	
iyfik11	1	A30259	87	Легендарный Меч Леона1 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfik11	0	0	
iyfik12	1	A30259	88	Легендарный Меч Леона2 	302	300	11111	0	10000	0	0	0	0	100	1	0	0	1	1	tiyfik12	0	0	
