string[64]	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
cash031	iqcsa31	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash032	iqcsa32	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash033	iqcsa33	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash034	iqcsa34	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash035	iqcsa35	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash036	iqcsa36	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash037	iqcsa37	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash038	iqcsa38	200	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash039	iqcsa39	300	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash040	iqcsa40	300	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash041	iqcsa41	300	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash042	iqcsa42	300	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash043	iqcsa43	450	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash044	iqcsa44	500	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash045	iqcsa45	700	1	0/be/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash046	iqcsa46	1000	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash047	iqcsa47	1000	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash048	iqcsa48	1000	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash049	iqcsa49	1300	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash050	iqcsa50	1400	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash051	iqcsa51	1500	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash052	iqcsa52	1500	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash053	iqcsa55	1600	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash054	iqcsa56	1600	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash055	ibcsa01	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash056	ibcsa02	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash057	ibcsa03	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash058	ibcsa04	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash059	ibcsa05	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash060	ibcsa06	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash061	ibcsa07	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash062	ibcsa08	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash063	ibcsa09	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash064	ibcsa10	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash065	ibcsa11	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash066	ibcsa12	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash067	ibcsa13	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash068	ibcsa14	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash069	ibcsa15	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash070	ibcsa16	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash071	ibcsa17	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash072	ibcsa18	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash073	ibcsa19	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash074	ibcsa20	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash075	ibcsa21	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash076	ibcsa22	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash077	ibcsa23	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash078	ibcsa24	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash079	ibcsa25	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash080	ibcsa26	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash081	ibcsa27	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash082	ibcsa28	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash083	ibcsa29	0	0	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash084	itcsa01	300	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash085	itcsa02	550	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash086	uncsa10	200	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash087	uncsa11	200	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash088	uncsa12	200	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash089	uncsa07	500	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash090	uncsa08	500	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash091	uncsa09	500	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash092	uncsa01	750	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash093	uncsa03	750	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash094	uncsa05	750	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash095	iacsa01	750	0	0/be/hi/0/li	-1	0	1	0	0	0	0	0	0	
cash096	iicsa01	750	0	0/be/hi/0/li	-1	0	1	0	0	0	0	0	0	
cash097	cucou00	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash098	cucou01	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash099	cucou02	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash100	cucou03	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash101	cucou04	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash102	cucou05	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash103	cucou06	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash104	cucou07	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash105	cucou08	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash106	cucou09	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash107	cucou10	0	0	0/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash108	iabbd16	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash109	iabbd17	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash110	iabbd18	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash111	iabbd19	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash112	iabbd20	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash113	iabbd21	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash114	iaccd81	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash115	iaccd82	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash116	iaccd83	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash117	iaaad56	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash118	iaaad57	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash119	iaaad58	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash120	iibbd81	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash121	iibbd82	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash122	iibbd83	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash123	iiccd16	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash124	iiccd17	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash125	iiccd18	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash126	iiccd19	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash127	iiccd20	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash128	iiccd21	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash129	iiaad81	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash130	iiaad82	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash131	iiaad83	0	0	0/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash132	iqcsa04	3000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash133	iqcsa05	5600	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash134	iqcsa06	6500	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash135	iqcsa07	3500	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash136	iqcsa08	3500	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash137	iqcsa09	3500	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash138	ibcsa30	5000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash139	ibcsa31	5000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash140	ibcsa32	5000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash141	ibcsa33	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash142	ibcsa34	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash143	ibcsa35	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash144	ibcsa36	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash145	ibcsa37	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash146	ibcsa38	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash147	ibcsa39	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash148	ibcsa40	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash149	ibcsa41	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash150	ibcsa42	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash151	ibcsa43	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash152	ibcsa44	6000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash153	ibcsa45	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash154	ibcsa46	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash155	ibcsa47	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash156	ibcsa48	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash157	ibcsa49	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash158	ibcsa50	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash159	ibcsa51	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash160	ibcsa52	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash161	ibcsa53	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash162	ibcsa54	11000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash163	ibcsa55	11000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash164	ibcsa56	11000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash165	ibcsa57	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash166	ibcsa58	8000	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash167	ibcsa99	1420	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash168	ibcsb00	1420	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash169	ibcsb01	1420	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash170	ibcsb02	1420	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash171	ibcsb03	1420	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash172	ibcsb04	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash173	ibcsb05	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash174	ibcsb06	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash175	ibcsb07	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash176	ibcsb08	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash177	recsa01	2200	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash178	lknpc21	700	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash179	iacsa04	750	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash180	iicsa04	750	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash181	iacsa02	2800	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash182	iicsa02	2800	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash183	iacsa03	2800	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash184	iicsa03	2800	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash185	ibcsb09	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash186	ibcsb10	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash187	ibcsb11	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash188	ibcsb12	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash189	ibcsb13	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash190	ibcsb14	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash191	ibcsb15	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash192	ibcsb16	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash193	ibcsb17	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash194	ibcsb18	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash195	ibcsb19	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash196	ibcsb20	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash197	ibcsb21	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash198	ibcsb22	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash199	ibcsb23	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash200	ibcsb24	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash201	ibcsb25	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash202	ibcsb26	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash203	ipcsb19	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash204	ipcsb18	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash205	ipcsb17	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash206	ipcsb16	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash207	ipwhp02	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash208	ipcal02	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash209	ipcsb15	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash210	ipcsb14	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash211	ipcsb13	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash212	ipcsb12	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash213	ipcsb11	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash214	ipcsb10	9999999	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash215	ipftr03	0	0	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash216	ipevn07	210	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash217	ipevn06	210	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash218	ipevn05	0	0	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash219	ipsav01	13500	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash220	ipdou01	5000	1	ne/0/0/0/0	0	0	0	0	0	0	0	0	0	
cash221	ipcsa97	3000	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash222	ipcsa94	3000	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash223	ipcsa98	3500	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash224	ipcsa95	3500	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash225	ipcsa99	5500	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash226	ipcsa96	5500	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash227	ipcsa72	40	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash228	ipcsa71	40	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash229	ipche01	2250	1	ne/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash230	ipcsa70	40	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash231	ipevn04	1180	1	ne/0/0/0/li	-1	0	1	0	0	0	0	0	0	
cash232	ipevn03	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash233	ipevn02	1180	1	ne/0/0/0/li	-1	0	1	0	0	0	0	0	0	
cash234	ipevn01	1180	1	ne/0/0/0/li	-1	0	1	0	0	0	0	0	0	
cash235	ipcsa74	700	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash236	ipgag09	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash237	ipcsb05	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash238	ipcsb04	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash239	ipcsb03	1180	1	ne/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash240	ipcsa73	1180	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash241	ipcal01	1180	1	ne/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash242	ipwhp01	700	1	ne/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash243	ipcsb09	0	0	ne/0/0/gm/0	0	0	0	0	0	0	0	0	0	
cash244	ipcsb08	0	0	ne/0/0/gm/0	0	0	0	0	0	0	0	0	0	
cash245	ipftr02	0	0	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash246	ipexp01	0	0	ne/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash247	ipcsa12	10	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash248	ipcsa11	10	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash249	ipcsa10	10	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash250	ipcsa15	20	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash251	ipcsa14	20	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash252	ipcsa13	20	1	0/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash253	ipcsa27	100	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash254	ipcsa26	100	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash255	ipcsa25	100	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash256	ipcsa39	100	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash257	ipcsa38	100	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash258	ipcsa37	100	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash259	ipcsa36	30	1	0/0/hi/gm/0	-1	0	0	0	0	0	0	0	0	
cash260	ipcsa35	30	1	0/0/hi/gm/0	-1	0	0	0	0	0	0	0	0	
cash261	ipcsa34	30	1	0/0/hi/gm/0	-1	0	0	0	0	0	0	0	0	
cash262	ipcsa30	400	1	0/be/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash263	ipcsa29	400	1	0/be/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash264	ipcsa28	400	1	0/be/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash265	ipcsa03	160	1	0/be/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash266	ipcsa02	160	1	0/be/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash267	ipcsa01	160	1	0/be/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash268	ipcsa06	200	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash269	ipcsa05	200	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash270	ipcsa04	200	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash271	ipcsa18	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash272	ipcsa17	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash273	ipcsa16	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash274	ipcsa09	130	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash275	ipcsa08	130	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash276	ipcsa07	130	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash277	ipcsa21	150	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash278	ipcsa20	150	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash279	ipcsa19	150	1	0/0/hi/gm/0	-1	0	1	0	0	0	0	0	0	
cash280	ipcsa24	100	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash281	ipcsa23	100	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash282	ipcsa22	100	1	0/0/hi/0/0	-1	0	1	0	0	0	0	0	0	
cash283	ipcsa42	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash284	ipcsa41	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash285	ipcsa40	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash286	ipcsa45	140	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash287	ipcsa44	140	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash288	ipcsa43	140	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash289	ipcsa48	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash290	ipcsa47	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash291	ipcsa46	150	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash292	ipcsa33	180	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash293	ipcsa32	180	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash294	ipcsa31	180	1	0/0/0/0/0	-1	0	1	0	0	0	0	0	0	
cash295	iygco01	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash296	iycsa13	29950	1	0/be/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash297	iysps01	9999999	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash298	iyses01	5800	1	ne/0/0/0/0	-1	0	0	0	0	0	0	0	0	
cash299	iycsb15	4000	1	ne/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
cash300	iycsb16	2000	1	ne/0/hi/0/0	-1	0	0	0	0	0	0	0	0	
