string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	long	float	dword	float	dword	float	dword	float	dword	float	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	END
sklu017	1	411E0C	6	Улучшенный Сияющий огнем Осадный Набор	286	0	7	1	00001	65	-1	2	99	1	99	0	5920	0	0	0	0	555	1	2000	0	0	1	1	50	-550	1	6	0,5	3	20	31	-0,150000006	25	-100	0	1	1	1	1	1	0	tsklu017	11	0	
sklu018	0	411E12	1	Осадный Набор 	286	0	7	1	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu018	11	0	
sklu019	0	411E13	1	Осадный Набор 	286	0	7	1	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu019	11	0	
sklu020	0	411E14	1	Осадный Набор 	286	0	7	1	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu020	11	0	
sklu021	1	411F15	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu021	11	0	
sklu022	0	411F16	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	315000	0	0	0	0	15750	1	1500	0	0	1	1	50	-550	1	6	0,349999994	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu022	11	0	
sklu023	0	411F17	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu023	11	0	
sklu024	0	411F18	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu024	11	0	
sklu025	0	411F19	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu025	11	0	
sklu026	0	411F1A	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu026	11	0	
sklu027	0	411F1B	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu027	11	0	
sklu028	0	411F1C	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu028	11	0	
sklu029	0	411F1D	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu029	11	0	
sklu030	0	411F1E	1	Осадный Набор 	287	0	7	2	00001	30	-1	-1	0	-1	0	0	150000	0	0	0	0	7500	1	1000	0	0	1	1	50	-550	1	21	0,200000003	0	0	0	0	0	0	0	1	1	1	1	1	0	tsklu030	11	0	
skbal01	0	A31500	2	Мяч Международного Чемпионата	315	0	7	2	11111	1	-1	-1	0	-1	0	0	50000	0	0	0	0	2500	1	1000	0	0	1	1	50	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	tskbal01	11	0	
