clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	byte	byte	dword	byte	byte	byte	byte	byte	byte	byte	byte	float	float	float	float	dword	dword	byte	byte	word	float	float	float	long	dword	END
sklu010	Осадный Набор 	411D0A	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	9	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	0	0	1	50	1	-550	0	
sklu011	Осадный Набор 	411D01	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	10	1	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	1	0	1	50	1	-550	0	
sklu012	Улучшенный Осадный Набор 	411D01	1	00001	27	0	0	420000	0	0	0	0	21000	1	1	1	1	11	1	0	0	-1	0	0	0	0	1500	40	-1	-1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0,349999994	0	0	0	11	0	7	1	0	1	50	1	-550	0	
sklu013	Эпохальный Огнеметный Осадный Набор [Атака]	411D03	4	00001	27	0	0	2100	0	0	0	0	105	1	1	1	1	12	1	0	0	-1	0	0	0	0	1000	50	-1	-1	0	0	0	0	0	0	4	6	5	21	3	0	0	0	0,400000006	0,100000001	0,100000001	20	11	0	7	1	0	1	50	1	-550	0	
sklu014	Эпохальный Огнеметный Осадный Набор [Защита]	411D03	4	00001	27	0	0	2100	0	0	0	0	105	1	1	1	1	13	1	0	0	-1	0	0	0	0	2000	50	-1	-1	0	0	0	0	0	0	4	6	5	21	3	0	0	0	0,100000001	0,200000003	0,400000006	20	11	0	7	1	0	1	50	1	-550	0	
sklu015	Осадный Набор Огнемет(Extra)	411D05	5	00001	27	0	0	2728	0	0	0	0	185	1	1	1	1	14	1	0	0	-1	0	0	0	0	3000	55	2	1	99	99	0	0	0	0	3	25	24	3	0	0	0	0	-500	-50	30	0	11	0	7	1	0	0	40	1	-550	0	
sklu016	Сияющий огнем Осадный Набор	411E0C	6	00001	27	0	0	4095	0	0	0	0	370	1	1	1	1	15	1	0	0	-1	0	0	0	0	1500	60	2	1	99	99	0	0	0	0	4	6	3	31	25	0	0	0	0,449999988	20	-0,100000001	-100	11	0	7	1	0	1	50	1	-550	0	
sklu017	Улучшенный Сияющий огнем Осадный Набор	411E0C	6	00001	27	0	0	5920	0	0	0	0	555	1	1	1	1	16	1	0	0	-1	0	0	0	0	2000	65	2	1	99	99	0	0	0	0	4	6	3	31	25	0	0	0	0,5	20	-0,150000006	-100	11	0	7	1	0	1	50	1	-550	0	
sklu018	Осадный Набор 	411E12	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	17	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	1	0	1	50	1	-550	0	
sklu019	Осадный Набор 	411E13	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	18	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	1	0	1	50	1	-550	0	
sklu020	Осадный Набор 	411E14	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	19	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	1	0	1	50	1	-550	0	
sklu021	Осадный Набор 	411F15	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	20	1	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu022	Осадный Набор 	411F16	1	00001	27	0	0	315000	0	0	0	0	15750	1	1	1	1	21	0	0	0	-1	0	0	0	0	1500	30	-1	-1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0,349999994	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu023	Осадный Набор 	411F17	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	22	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu024	Осадный Набор 	411F18	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	23	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu025	Осадный Набор 	411F19	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	24	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu026	Осадный Набор 	411F1A	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	25	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu027	Осадный Набор 	411F1B	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	26	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu028	Осадный Набор 	411F1C	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	27	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu029	Осадный Набор 	411F1D	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	28	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
sklu030	Осадный Набор 	411F1E	1	00001	27	0	0	150000	0	0	0	0	7500	1	1	1	1	29	0	0	0	-1	0	0	0	0	1000	30	-1	-1	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0,200000003	0	0	0	11	0	7	2	0	1	50	1	-550	0	
skbal01	Мяч Международного Чемпионата	A31500	2	11111	27	0	0	50000	0	0	0	0	2500	1	1	1	1	30	0	0	0	-1	0	0	0	0	1000	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	2	0	1	50	1	0	0	
