clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
ifdcm07	Обычное Лицо Коритки7	350106	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm08	Обычное Лицо Коритки8	350107	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm09	Обычное Лицо Коритки9	350108	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm10	Обычное Лицо Коритки10	350109	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm11	Обычное Лицо Коритки11	35010A	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm12	Обычное Лицо Коритки12	35010B	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm13	Обычное Лицо Коритки13	35010C	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm14	Обычное Лицо Коритки14	35010D	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm15	Обычное Лицо Коритки15	35010E	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifdcm16	Обычное Лицо Коритки16	35010F	0	00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda001	Обычное Лицо Акретианина1	450100	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda002	Обычное Лицо Акретианина2	450101	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda003	Обычное Лицо Акретианина3	450102	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda004	Обычное Лицо Акретианина4	450103	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda005	Обычное Лицо Акретианина5	450104	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda006	Обычное Лицо Акретианина6	450115	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda007	Обычное Лицо Акретианина7	450106	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda008	Обычное Лицо Акретианина8	450107	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda009	Обычное Лицо Акретианина9	450108	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda010	Обычное Лицо Акретианина10	450109	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda011	Обычное Лицо Акретианина11	45010A	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda012	Обычное Лицо Акретианина12	45010B	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda013	Обычное Лицо Акретианина13	45010C	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda014	Обычное Лицо Акретианина14	45010D	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda015	Обычное Лицо Акретианина15	45010E	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ifda016	Обычное Лицо Акретианина16	45010F	0	00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
