string[32]	string[512]	END
110	Восстанавливает FP	
111	Восстанавливает FP	
112	Восстанавливает FP	
113	Восстанавливает FP	
114	Восстанавливает FP	
115	Изменяет имя	
116	Вызывает	
117	Телепортирует	
118	Добавляет 1% опыта.	
119	Добавляет 100,000,000 опыта	
11A	Восстанавливает Защиту	
11B	Временно блокирует персонажа	
11C	Сжигает противника ненавистью	
11D	Запрещает использовать умения	
11E	Запрещает перемещаться и использовать умения	
11F	Делает невидимым	
120	Поглощает здоровье врага	
121	Увеличивает скорость передвижения	
122	Переносит в безопасную зону	
123	Защищает от любых атак	
124	Восстанавливает Защиту	
125	Восстанавливает Защиту	
126	Восстанавливает Защиту	
127	Восстанавливает Защиту	
128	Восстанавливает Защиту	
129	Восстанавливает Защиту	
12A	Восстанавливает Защиту	
12B	Находит Ловушки	
12C	Находит Ловушки	
12D	Усиливает Атаку	
12E	Усиливает Защиту	
12F	Увеличивает количество получаемых очков опыта	
130	Увеличивает количество получаемых очков опыта	
131	Увеличивает количество получаемых очков умений	
132	Увеличивает количество получаемых очков умений	
133	Увеличивает количество получаемых очков умений	
134	Увеличивает количество выпадающих предметов	
135	Увеличивает количество выпадающих предметов	
136	Увеличивает скорость добычи руды	
137	Увеличивает скорость добычи руды	
138	Восстанавливает Защиту	
139	Воскрешает	
13A	Расширенная Коробка Благословления2	
13B	Немного увеличивает получаемый опыт	
13C	Пища, сделанная из передних ног Королевы Крук.	
13D	Водопад Наяла, Эльфийского Дракона, кристализирующий силу.	
13E	Микстура, повышающая сопративление.	
13F	Яд используемый для понижения защиты цели	
140	Увеличивает опыт игрока	
141	Получаемый опыт увеличин на 100%	
142	Увеличивает скорость добычи руды	
143	Увеличивает скорость атаки и передвижения	
144	Увеличивает получаемый опыт на 100%	
145	Премиум Восстановитель	
146	Премиум Восстановитель	
147	Премиум Восстановитель	
148	Премиум Восстановитель	
149	Премиум Восстановитель	
14A	Премиум Восстановитель	
14B	Премиум Восстановитель	
14C	Премиум Восстановитель	
14D	Премиум Восстановитель	
14E	Премиум Восстановитель	
14F	Премиум Восстановитель	
150	Премиум Восстановитель	
151	Премиум Восстановитель	
152	Премиум Восстановитель	
153	Премиум Восстановитель	
154	Премиум Восстановитель	
155	Премиум Восстановитель	
156	Премиум Восстановитель	
157	Премиум Восстановитель	
158	Премиум Восстановитель	
159	Премиум Восстановитель	
15A	Мистическая капсула, использовав ее, вы получаете возможнось использовать еще одно разделение в хранилище. [Можно использовать только 2 капсулы 	
15B	С помощью этого зелья вы можете исцелиться от шрама поражения 1 уровня и вернуть себе былую мощь.	
15C	С помощью этого зелья вы можете исцелиться от шрама поражения 2 уровня и ниже и вернуть себе былую мощь.	
15D	С помощью этого зелья вы можете исцелиться от шрама поражения 3 уровня и ниже и вернуть себе былую мощь.	
15E	С помощью этого зелья вы можете освободиться от клейма позора 1 уровня и вернуть себе былую мощь.	
15F	С помощью этого зелья вы можете исцелиться от клейма позора 2 уровня и ниже и вернуть себе былую мощь.	
160	С помощью этого зелья вы можете исцелиться от клейма позора 3 уровня и ниже и вернуть себе былую мощь.	
161	Микстура Беллато	
162	Микстура Беллато	
163	Зелье Кора	
164	Зелье Кора	
165	Восстановитель Акретии	
166	Восстановитель Акретии	
167	Мекстура Опыта 7%	
168	Маленькая Мекстура Увеличения Опыта	
169	Капсула ДНК [Мечта 	
16A	Капсула ДНК [Защита 	
16B	Капсула ДНК [Стальная Броня 	
16C	Капсула ДНК [Ветер 	
16D	Капсула ДНК [Двойная Мощьность 	
16E	Капсула ДНК [Смещение 	
16F	Капсула ДНК [Чуство 	
170	Капсула ДНК [Скрытность 	
171	Капсула ДНК [Скорость Света 	
172	Капсула ДНК [Молчание 	
173	Мекстура Увеличения Обьемного Взрыва	
174	Мекстура Увеличения Обьемного Взрыва	
175	Наступательная Мекстура Защиты	
176	Мекстура Опыта 5%	
177	Вкусный каштан, жареный на огне [Сильно увеличивает атаку, немного уменьшает защиту и уклонение 	
178	Вкусный сладкий картофель, жареный на огне [Сильно увеличивает атаку, немного снижает защиту и уклонение 	
179	Теплый, сладкий горячий шоколад [Сильно увеличивает защиту, немного уменьшает атаку и уклонение 	
17A	Обнаруживает ловушки	
17B	Увеличивает Золотые Очки	
17C	Увеличивает Золотые Очки	
17D	Увеличивает Золотые Очки	
17E	Увеличивает Золотые Очки	
17F	Увеличивает Золотые Очки	
180	Увеличивает Золотые Очки	
181	Увеличивает Золотые Очки	
182	Увеличивает Золотые Очки	
183	Увеличивает Золотые Очки	
184	Увеличивает Золотые Очки	
185	Увеличивает Золотые Очки	
186	Увеличивает Золотые Очки	
187	Увеличивает Золотые Очки	
188	Увеличивает Золотые Очки	
189	Увеличивает Золотые Очки	
18A	Увеличивает Золотые Очки	
18B	Увеличивает Золотые Очки	
18C	Увеличивает Золотые Очки	
18D	Увеличивает Золотые Очки	
18E	Увеличивает Золотые Очки	
18F	Увеличивает Золотые Очки	
190	Увеличивает Золотые Очки	
191	Увеличивает Золотые Очки	
192	Увеличивает Золотые Очки	
193	Увеличивает Золотые Очки	
194	Увеличивает Золотые Очки	
195	Увеличивает Золотые Очки	
196	Увеличивает Золотые Очки	
197	Увеличивает Золотые Очки	
198	Увеличивает Золотые Очки	
199	Увеличивает Золотые Очки	
19A	Увеличивает Золотые Очки	
19B	Увеличивает Золотые Очки	
19C	Увеличивает Золотые Очки	
19D	Увеличивает Золотые Очки	
19E	Увеличивает Золотые Очки	
19F	Увеличивает Золотые Очки	
201	Увеличивает Золотые Очки	
202	Увеличивает Золотые Очки	
203	Увеличивает Золотые Очки	
204	Увеличивает Золотые Очки	
205	Увеличивает Золотые Очки	
206	Увеличивает Золотые Очки	
21E	Снято ограничение на Мастерство ближнего боя.	
21F	Снято ограничение на Мастерство дальнего боя.	
220	Снято ограничение на Мастерство защиты.	
221	Снято ограничение на Мастерство силы.	
222	Снято ограничение на Мастерство щита.	
223	Снято ограничение на Мастерство расовой специализации.	
224	Снято ограничение на все Мастерство.	
225	Увеличивает шанс критической атаки.	
226	Увеличивает шанс критической атаки.	
227	Увеличивает шанс критической атаки.	
228	Увеличивает уклонение.	
229	Увеличивает уклонение.	
22A	Увеличивает уклонение.	
22B	Персонаж будет неуязвим 5 секунд после призыва.	
22C	Персонаж будет неуязвим 5 секунд после телепортации.	
22D	Делает персонажа полностью невидимым.	
22E	Делает персонажа полностью невидимым.	
22F	Делает персонажа полностью невидимым.	
230	После воскрешения персонаж сразу может использовать умения.	
231	Увеличивает количество золотых очков.	
232	Возможно передвижение в состоянии неуязвимости.	
233	Возможен призыв во время боя.	
234	Возможен телепорт во время боя.	
235	Призывает цель к вам.	
236	Восстанавливет все HP, SP и FP.	
237	Уменьшает время действия всех отрицательных сил.	
