string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	float	long	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	END
8009	0	10	3	Зп	Hell	Поглощение	Absorption	3	1	0	001100	01000	100000000000	2	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	13	0,200000003	0,300000012	0,400000006	0,5	0,600000024	0,699999988	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
800A	0	11	3	Зп	Hell	Сумрак	Transparency	3	1	0	001100	01000	100000000000	2	0000000000000000	0	1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	21	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
800B	0	12	3	Зп	Hell	Воскрешение	Revival	3	1	0	001100	01000	100000000000	2	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	2	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	
7100	1	13	4	И¦ё®	Holy	Благословение	Bless	0	1	1	110000	01000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	5	0	0,200000003	0,300000012	0,400000006	0,5	0,649999976	0,800000012	1	-1	0	-1	-1	0,200000003	0,300000012	0,400000006	0,5	0,649999976	0,800000012	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	
7101	1	14	4	И¦ё®	Holy	Восстановление	Restoration	0	1	1	110000	01000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	4	0	0,200000003	0,25	0,300000012	0,400000006	0,600000024	0,699999988	1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	
7102	1	15	4	И¦ё®	Holy	Душевная Баллада	Soul Ballad	0	1	1	110000	01000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	14	0,5	1	1,200000048	1,399999976	1,600000024	1,799999952	2	0	15	0,5	1	1,200000048	1,399999976	1,600000024	1,799999952	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
7103	1	16	5	ЗЫ·Оїмµе	Hallowed	Щит Стихий	Elemental Resist	1	1	1	110000	01000	100000000000	4	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	15	1	2	3	4	5	7	10	1	16	1	2	3	4	5	7	10	1	17	1	2	3	4	5	7	10	1	18	1	2	3	4	5	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
7104	1	17	5	ЗЫ·Оїмµе	Hallowed	Лечение	Healing	1	1	1	110000	01000	100000000000	4	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	2000	0	-1	-1	-1	0	-1	8	-1	165	-1	3	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	
7105	1	18	5	ЗЫ·Оїмµе	Hallowed	Ускорение	Increase Speed(Holy)	1	1	1	110000	01000	100000000000	4	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	20	1	1,100000024	1,200000048	1,399999976	1,600000024	1,799999952	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
7106	1	19	6	µр№ЩАО	Devine	Уклонение	Agility	2	1	1	110000	01000	100000000000	5	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	1	3	10	12	15	18	21	25	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
7107	1	20	6	µр№ЩАО	Devine	Щит Эгиды	Holy Shield	2	1	1	110000	01000	100000000000	5	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	6	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
7108	1	21	6	µр№ЩАО	Devine	Практичность	Effective Consume(Holy)	2	1	1	110000	01000	100000000000	5	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	7	-0,050000001	-0,100000001	-0,150000006	-0,200000003	-0,25	-0,300000012	-0,349999994	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
7109	1	22	7	ё®№ЩАМ№ъ	Revival	Вампиризм	Blood Capture	3	1	0	110000	01000	100000000000	6	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	0	12	0,02	0,029999999	0,039999999	0,050000001	0,059999999	0,07	0,100000001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
710A	1	23	7	ё®№ЩАМ№ъ	Revival	Мастер уклонения	Absolute Armor	3	1	0	110000	01000	100000000000	6	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	-1	-1	0	0	0	0	0	0	0	1	0	2	8	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	6	
710B	1	24	7	ё®№ЩАМ№ъ	Revival	Восстановление	Over Healing	3	1	0	110000	01000	100000000000	6	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	0	-1	-1	-1	0	-1	8	-1	165	-1	6	0	0,200000003	0,25	0,300000012	0,400000006	0,600000024	0,699999988	1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	6	
9200	2	25	8	ЖДАМѕо&¶уАМЖ®	Fire&Light	Призматический Луч	Prism Beam	0	1	1	111100	00110	100000000000	-1	0000000001000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	6000	0	-1	-1	-1	1	0	0	1,375	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
9201	2	26	8	ЖДАМѕо&¶уАМЖ®	Fire&Light	Звезда Огня	Fire Piece	0	1	1	111100	00110	100000000000	-1	0000000001000000	0	-1	-1	0	75	0	-1	-1	-1	-1	-1	-1	6000	0	-1	-1	-1	1	0	4	1,485000014	10	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	
9202	2	27	8	ЖДАМѕо&¶уАМЖ®	Fire&Light	Огненный Шар	Fire Ball	0	1	1	111100	00110	100000000000	-1	0000000001000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	6000	0	-1	-1	-1	1	0	5	1,375	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	2	
9203	2	28	8	ЖДАМѕо&¶уАМЖ®	Fire&Light	Луч Света	Flash Beam	0	1	1	111100	00110	100000000000	-1	0000000001000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	6000	0	-1	-1	-1	1	0	6	1,375	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	
9204	2	29	9	ЗГ·№АУ&Ѕєїъ	Flame&Swarm	Огненная Стрела	Flame Arrow	1	1	1	111100	00110	100000000000	8	0000000001000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	12000	0	-1	-1	-1	1	0	0	1,71875	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
9205	2	30	9	ЗГ·№АУ&Ѕєїъ	Flame&Swarm	Огненный круг	Circle Flame	1	1	1	111100	00110	100000000000	8	0000000001000000	0	-1	-1	0	150	0	-1	-1	-1	-1	-1	-1	12000	0	-1	-1	-1	1	0	4	1,856250048	10	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	
9206	2	31	9	ЗГ·№АУ&Ѕєїъ	Flame&Swarm	Огненный шквал	Flame Explosion	1	1	1	111100	00110	100000000000	8	0000000001000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	12000	0	-1	-1	-1	1	0	5	1,71875	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	2	
9207	2	32	9	ЗГ·№АУ&Ѕєїъ	Flame&Swarm	Сила света	Mirror Swarm	1	1	1	111100	00110	100000000000	8	0000000001000000	0	-1	-1	0	180	0	-1	-1	-1	-1	-1	-1	12000	0	-1	-1	-1	1	0	6	1,71875	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	
9208	2	33	10	єн·№АМБо&єк¶уАМЖ®	Blaze&Bright	Огненный Дождь	Blaze Pearl	2	1	1	111100	00110	100000000000	9	0000000001000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	18000	0	-1	-1	-1	1	0	0	2,148437977	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	4	
9209	2	34	10	єн·№АМБо&єк¶уАМЖ®	Blaze&Bright	Солнечный Клинок	Solar Blade	2	1	1	111100	00110	100000000000	9	0000000001000000	0	-1	-1	0	225	0	-1	-1	-1	-1	-1	-1	18000	0	-1	-1	-1	1	0	4	2,320312977	10	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	
920A	2	35	10	єн·№АМБо&єк¶уАМЖ®	Blaze&Bright	Сияющее Копье	Blaze Lance	2	1	1	111100	00110	100000000000	9	0000000001000000	0	-1	-1	0	180	0	-1	-1	-1	-1	-1	-1	18000	0	-1	-1	-1	1	0	5	2,148437977	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	2	
920B	2	36	10	єн·№АМБо&єк¶уАМЖ®	Blaze&Bright	Метеорит	Meteor Swarm	2	1	1	111100	00110	100000000000	9	0000000001000000	0	-1	-1	0	270	0	-1	-1	-1	-1	-1	-1	18000	0	-1	-1	-1	1	0	6	2,148437977	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	
920C	2	37	11	ЗпЖДАМѕо&јЦ¶у	Hellfire&Solar	Вспышка света	Solar Of Power	3	1	0	111100	00110	100000000000	10	0000000001000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	24000	0	-1	-1	-1	1	0	0	2,685547113	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
920D	2	38	11	ЗпЖДАМѕо&јЦ¶у	Hellfire&Solar	Извержение	Hell Soul	3	1	0	111100	00110	100000000000	10	0000000001000000	0	-1	-1	0	300	0	-1	-1	-1	-1	-1	-1	24000	0	-1	-1	-1	1	0	4	2,900391102	10	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	
920E	2	39	11	ЗпЖДАМѕо&јЦ¶у	Hellfire&Solar	Огненная Птица	Hell Fire	3	1	0	111100	00110	100000000000	10	0000000001000000	0	-1	-1	0	240	0	-1	-1	-1	-1	-1	-1	24000	0	-1	-1	-1	1	0	5	2,685547113	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	2	
920F	2	40	11	ЗпЖДАМѕо&јЦ¶у	Hellfire&Solar	Священная вспышка	Benediction Of Solar	3	1	0	111100	00110	100000000000	10	0000000001000000	0	-1	-1	0	360	0	-1	-1	-1	-1	-1	-1	24000	0	-1	-1	-1	1	0	6	2,685547113	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	5	
9300	3	41	12	ѕЖДнѕЖ&ѕЖАМЅє	Aqua&Ice	Осколок Льда	Ice Beam	0	1	1	111100	00110	100000000000	-1	0000000001000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	6000	0	-1	-1	-1	1	1	0	1,25	120	-1	-1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
