string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	long	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	END
AF003	0	10	1	№Рё® АНЅєЖЫЖ®	Melee Expert	Сила духа	Aid Stretching	1	1	1	111110	10000	100000000000	0	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	14	0	0,200000003	0,300000012	0,400000006	0,5	0,649999976	0,800000012	1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF004	0	11	1	№Рё® АНЅєЖЫЖ®	Melee Expert	Контратака	Concession	1	1	1	111110	10000	100000000000	0	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	27	5	7	10	12	15	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF005	0	12	1	№Рё® АНЅєЖЫЖ®	Melee Expert	Сломанный щит	Dizzy	1	1	1	111110	10000	100000000000	0	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	28	5	7	10	12	15	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
A0006	0	13	2	№Рё® ё¶ЅєЕН	Melee Master	Вихрь ударов	Deep Injury	2	1	1	111110	00110	100000000000	1	1111100000000000	0	-1	-1	0	135	0	-1	-1	-1	-1	-1	-1	18000	1	4	788	788	1	4	4	4	4	4	4	4	788	788	788	788	788	788	788	1,953125	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	7	0	0	0	0	5	
A0007	0	14	2	№Рё® ё¶ЅєЕН	Melee Master	Кульбит	Pressure	2	1	1	111110	00110	100000000000	1	1111100000000000	0	-1	-1	0	135	0	-1	-1	-1	-1	-1	-1	18000	1	5	788	788	1	5	5	5	5	5	5	5	788	788	788	788	788	788	788	1,953125	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	8	0	0	0	0	4	
A0008	0	15	2	№Рё® ё¶ЅєЕН	Melee Master	Неистовство	Slug Flat	2	1	1	111110	00110	100000000000	1	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	18000	1	2	788	788	1	0	0	0	1	1	1	2	788	788	788	788	788	788	788	1,953125	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	9	1	5	1	7,5	11	
AF006	0	16	2	№Рё® ё¶ЅєЕН	Melee Master	Критический удар	Bull's Eye	2	1	1	111110	10000	100000000000	1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	14	10	12	15	18	21	25	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF007	0	17	2	№Рё® ё¶ЅєЕН	Melee Master	Пламя очищения	Slam	2	1	1	111110	10000	100000000000	1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	24000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	28	1	1	1	1	1	1	1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	6	
FF008	0	18	2	№Рё® ё¶ЅєЕН	Melee Master	Оглушающий удар	Fainting	2	1	0	111110	10000	100000000000	1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	2	13	1000	1000	1000	1000	1000	1000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
A0009	0	19	3	№Рё® ±Ч·ЈБ®	Melee Granduer	Разгром	Fatal Fence	3	1	0	111110	00110	100000000000	2	1110100000000000	0	-1	-1	0	180	0	-1	-1	-1	-1	-1	-1	24000	1	4	788	788	1	4	4	4	4	4	4	4	788	788	788	788	788	788	788	2,441406012	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	10	0	0	0	0	5	
A000A	0	20	3	№Рё® ±Ч·ЈБ®	Melee Granduer	Управление гневом	Lightning Trick	3	1	0	111110	00110	100000000000	2	1011000000000000	0	-1	-1	0	180	0	-1	-1	-1	-1	-1	-1	24000	1	5	788	788	1	5	5	5	5	5	5	5	788	788	788	788	788	788	788	2,441406012	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	11	0	0	0	0	4	
A000B	0	21	3	№Рё® ±Ч·ЈБ®	Melee Granduer	Рывок	Sprit Attack	3	1	0	111110	00110	100000000000	2	0100100000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	24000	1	2	788	788	1	0	0	0	1	1	1	2	788	788	788	788	788	788	788	2,441406012	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	12	1	5	1	7,5	11	
AF009	0	22	3	№Рё® ±Ч·ЈБ®	Melee Granduer	Могучий замах	Ex Slam	3	1	0	111110	10000	100000000000	2	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF00A	0	23	3	№Рё® ±Ч·ЈБ®	Melee Granduer	Ослабление	Resist	3	1	0	111110	10000	100000000000	2	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	2	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF00B	0	24	3	№Рё® ±Ч·ЈБ®	Melee Granduer	Фатальный удар	Winning Hit	3	1	0	111110	10000	100000000000	2	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	0	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	2	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
A100C	1	25	4	·№АОБц ЅєДГ·Ї	Range Scholar	Двойной выстрел	Fast Shot	0	1	1	111110	00110	100000000000	-1	0000011010000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	6000	1	1	788	788	1	1	1	1	1	1	1	1	788	788	788	788	788	788	788	1,25	2	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	13	0	0	0	0	0	
FF00D	1	26	4	·№АОБц ЅєДГ·Ї	Range Scholar	Blank	Blank	0	1	0	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	788	788	0	8	8	8	8	8	8	8	788	788	788	788	788	788	788	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	-1	
FF00E	1	27	4	·№АОБц ЅєДГ·Ї	Range Scholar	Blank	Blank	0	1	0	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	788	788	0	8	8	8	8	8	8	8	788	788	788	788	788	788	788	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	-1	
AF00C	1	28	4	·№АОБц ЅєДГ·Ї	Range Scholar	Перезарядка	Quarrel Reload	0	1	1	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	10	-800	-900	-1000	-1100	-1200	-1300	-1400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF00D	1	29	4	·№АОБц ЅєДГ·Ї	Range Scholar	Меткость	Precision	0	1	1	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	1	10	12	15	18	21	25	30	1	30	10	12	15	18	21	25	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
FF00E	1	30	4	·№АОБц ЅєДГ·Ї	Range Scholar	Blank	Blank	0	1	0	111110	10000	100000000000	-1	0000000000000000	0	-1	-1	0	30	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	-1	
A100F	1	31	5	·№АОБц АНЅєЖЫЖ®	Range Expert	Мульти-выстрел	Multi Shot	1	1	1	111110	00110	100000000000	4	0000010000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	12000	1	5	788	788	1	5	5	5	5	5	5	5	788	788	788	788	788	788	788	1,5625	5	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	14	0	0	0	0	10	
A1010	1	32	5	·№АОБц АНЅєЖЫЖ®	Range Expert	Прицельный Выстрел	Aiming Shot	1	1	1	111110	00110	100000000000	4	0000001010000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	12000	0	0	788	788	1	0	0	0	0	0	0	0	788	788	788	788	788	788	788	1,5625	1	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	15	0	0	0	0	0	
FF011	1	33	5	·№АОБц АНЅєЖЫЖ®	Range Expert	Blank	Blank	1	1	0	111110	10000	100000000000	4	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	1	8	788	788	0	8	8	8	8	8	8	8	788	788	788	788	788	788	788	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	-1	
AF00F	1	34	5	·№АОБц АНЅєЖЫЖ®	Range Expert	Дальнобойность	Wide Range	1	1	1	111110	10000	100000000000	4	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	5	10	20	30	45	60	75	100	1	7	10	20	30	45	60	75	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
AF010	1	35	5	·№АОБц АНЅєЖЫЖ®	Range Expert	Уклонение	Evasion	1	1	1	111110	10000	100000000000	4	0000000000000000	0	-1	-1	0	60	0	-1	-1	-1	-1	-1	-1	1000	1	8	0	0	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	1	-1	-1	0	1	3	10	12	15	18	21	25	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	140	210	320	480	720	1080	0	0	0	0	0	6	
