string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	long	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	END
70021	-1	6	10	-1	-1	Землятрясение	Judgment	1	1	1	110000	00110	100000000000	-1	0001000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	20000	0	-1	-1	-1	2	4	4	4	4	4	4	4	788	788	788	788	788	788	788	1,953125	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	
7F022	-1	7	10	-1	-1	Утомление	StaminaZero	1	1	1	110000	00100	100000000000	-1	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	40000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	120	-1	24	0	0,050000001	0,050000001	0,050000001	0,050000001	0,050000001	0,050000001	0,050000001	0	-1	-1	0	0	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	0	0	0	0	0	6	
7F023	-1	122	10	-1	-1	Великое Мастерство	Perfect	1	1	1	110000	10000	100000000000	-1	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	1	0	50	50	50	50	50	50	50	1	30	50	50	50	50	50	50	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	240	240	240	240	240	240	240	0	0	0	0	0	6	
7F024	-1	8	10	-1	-1	Фортификация	BuildupDefense	1	1	1	110000	10000	100000000000	-1	0000000000000000	1	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	0	6	0,400000006	0,400000006	0,400000006	0,400000006	0,400000006	0,400000006	0,400000006	1	29	10	10	10	10	10	10	10	0	38	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	240	240	240	240	240	240	240	0	0	0	0	0	6	
7F025	-1	9	10	-1	-1	Кровопийца	BloodSucking	1	1	1	110000	00110	100000000000	-1	0000000000000000	1	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	20000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	27	1	1000	1000	1000	1000	1000	1000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	6	
7F026	-1	125	10	-1	-1	Насмешка	Taunt	1	1	1	110000	10000	100000000000	-1	0000000000000000	1	-1	-1	0	90	120	-1	-1	-1	-1	-1	-1	30000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F002	-1	186	10	-1	-1	Ускорение	Acceleration	1	1	1	110000	10000	100000000000	-1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	30000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	1	20	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	10	10	10	10	10	10	0	0	0	0	0	-1	
70008	-1	187	10	-1	-1	Оглушающий Взрыв	BashExplosion	1	1	1	110000	00110	100000000000	-1	1111100000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	24000	0	-1	-1	-1	1	2	2	2	2	2	2	2	788	788	788	788	788	788	788	2,929687977	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	9	1	5	1	7,5	11	
7F029	-1	0	10	-1	-1	BW2 4 3	BW2 4 3	1	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	90	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F02A	-1	0	11	-1	-1	BW3 1 1	BW3 1 1	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F02B	-1	0	11	-1	-1	BW3 1 2	BW3 1 2	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F02C	-1	0	11	-1	-1	BW3 1 3	BW3 1 3	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F02D	-1	0	11	-1	-1	BW3 2 1	BW3 2 1	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F02E	-1	0	11	-1	-1	BW3 2 2	BW3 2 2	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F02F	-1	0	11	-1	-1	BW3 2 3	BW3 2 3	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F030	-1	0	11	-1	-1	BW3 3 1	BW3 3 1	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F031	-1	0	11	-1	-1	BW3 3 2	BW3 3 2	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F032	-1	0	11	-1	-1	BW3 3 3	BW3 3 3	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F033	-1	0	11	-1	-1	BW3 4 1	BW3 4 1	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F034	-1	0	11	-1	-1	BW3 4 2	BW3 4 2	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F035	-1	0	11	-1	-1	BW3 4 3	BW3 4 3	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F036	-1	0	11	-1	-1	BW3 5 1	BW3 5 1	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F037	-1	0	11	-1	-1	BW3 5 2	BW3 5 2	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F038	-1	0	11	-1	-1	BW3 5 3	BW3 5 3	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F039	-1	0	11	-1	-1	BW3 6 1	BW3 6 1	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
7F03A	-1	0	11	-1	-1	BW3 6 2	BW3 6 2	2	1	0	110000	00000	100000000000	-1	0000000000000000	0	-1	-1	0	120	0	-1	-1	-1	-1	-1	-1	10000	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	
