string[32]	string[512]	END
7F0B1	_	
7F0B2	_	
7F0B3	_	
7F0B4	_	
7F0B5	_	
7F0B6	_	
7F0B7	_	
7F0B8	_	
7F0B9	_	
7F0BA	_	
7F0BB	_	
7F0BC	_	
7F0BD	_	
7F0BE	_	
7F0BF	_	
8F0C0	Противник попадает в магический капкан, который сковывает его движения.	
810C1	Дистанционная атака концентрированной силой	
8F0C2	_	
8F0C3	Благословенное умение творца, позволяющее становиться невидимым для врагов. [Значительно уменьшает агрессивность монстров]	
8F0C4	Позволяет устанавливать ловушки	
8F0C5	Позволяет обнаруживать ловушки	
8F0C6	Увеличивает силу атаки и шанс нанесения критического удара.	
8F0C7	Увеличивает дальнобойность дистанционных атак.	
8F0C5	Позволяет обнаруживать ловушки	
8F0C9	Введенный в замешательство противник думает, что персонаж мертв.	
8F0CA	Могущественное проклятие, уменьшающее максимальное количество FP и увеличивающее затраты на использование целью Сил и Умений.	
8F0CB	Создает иллюзерную копию цели, заставляя противника промахиваться.	
800CC	Смертоносный удар исподтишка. Используется с Плащом Дайсема.	
8F0CD	Позволяет устанавливать максимальное количество ловушек. Пассивное умение.	
8F0CE	_	
8100C	Увеличивает точность и наносит оглушающий удар противнику.	
8F0D0	_	
8F0D1	_	
8F0D2	_	
8F0D3	_	
8F0D4	_	
8F0D5	_	
8F0D6	_	
8F0D7	_	
8F0D8	_	
8F0D9	_	
8F0DA	_	
8F0DB	_	
8F0DC	_	
8F0DD	_	
8F0DE	_	
8F0DF	_	
8F0E0	_	
8F0E1	_	
8F0E2	_	
8F0E3	_	
8F0E4	_	
8F0E5	_	
8F0E6	_	
8F0E7	_	
8F0E8	_	
8F0E9	_	
4F0EA	Взрыв световой гранаты дезорентирует противника и уменьшает его ловкость. [Понижает агрессивность монстров до низкого уровня]	
410EB	Выстрел из пусковой установки поражает не только цель, но и большую площадь вокруг нее	
410EC	Мощный выстрел производимый в осадном режиме. Необходим осадный комплект 30-го уровня.	
4F0ED	Активирует энергетическую систему, которая позволяет становиться невидимым. [Понижает агрессивность монстров до низкого уровня]	
4F0EE	Позволяет устанавливать ловушки	
4F0EF	Позволяет обнаруживать ловушки	
410ED	Мощный выстрел из пусковой установки.	
4F0F1	При активации режима осады позволяет увеличить силу атаки и защитную способность.	
410EF	Серия разрушительных ракетных залпов. Применимо только в осадном режиме. Необходим осадный комплект 40-го уровня.	
4F0F3	Мгновенное перераспределение внутренней энергии боевой единицы, позволяющее нанести мощные повреждения всем врагам вокруг.	
4F0F4	Излучает энерговибрации, парализующие нервную систему противника.	
4F0F5	Создает врата, телепортирующие создателя и его группу к точке привязки.	
400F6	Крайне опасная атака. Используется только с метательным оружием.	
4F0F7	Увеличивает максимальное число ловушек, которые вы можете установить. Пассивное Умение.	
4F0F8	_	
4100C	Увеличивает точность и наносит оглушающий удар противнику.	
4F0FA	Максимально увеличивает силу дистанционных атак.	
4F0FB	_	
4F0FC	_	
4F0FD	_	
4F0FE	_	
4F0FF	_	
4F100	_	
4F101	_	
4F102	_	
4F103	_	
4F104	_	
4F105	_	
4F106	_	
4F107	_	
4F108	_	
4F109	_	
4F10A	_	
4F10B	_	
4F10C	_	
4F10D	_	
4F10E	_	
4F10F	_	
4F110	_	
4F111	_	
4F112	_	
4F113	_	
7F114	Увеличивает эффективность атак с использованием Силы	
7F115	_	
7F116	_	
7F117	Переносит участника группы к заклинателю.	
7F118	Волшебный ветер залечивает раны всей вашей группы. [Понижает агрессивность монстров до низкого уровня]	
7F119	_	
7F11A	Увеличивает эффективность атак дистанционными боевыми Силами	
7011B	Оглушающий удар посохом	
7111C	Поражает цель концентрированным потоком Силы	
7F11D	Вы становитесь неуязвимы, но при этом теряете возможность двигаться [Понижает агрессивность монстра до среднего уровня]	
7F11E	Создает врата, телепортирующие создателя и его группу к точке привязки.	
7F11F	Позволяет моментально перенестись к точке привязки.	
7F120	Восстанавливает HP участников вашей группы. [Понижает агрессивность монстра до низкого уровня]	
7F121	Уменьшает радиус видимости цели	
7F122	Уменьшает время, затрачиваемое на восстановление Умений	
7F123	_	
7F124	_	
7F125	_	
7F126	_	
7F127	_	
7F128	_	
7F129	_	
7F12A	_	
7F12B	_	
7F12C	_	
7F12D	_	
7F12E	_	
7F12F	_	
7F130	_	
7F131	_	
7F132	_	
7F133	_	
7F134	_	
7F135	_	
7F136	_	
7F137	_	
7F138	_	
7F139	_	
7F13A	_	
7F13B	_	
7F13C	_	
7F13D	_	
8F13E	Позволяет использовать SP для увеличения мощи боевых Сил	
8F13F	_	
8F140	_	
8F141	_	
8F142	_	
8F143	_	
8F144	Благославление Дайсема, увеличивающее точность и шанс нанесения критического удара.	
8F145	Превращает противника в неподвижную каменную статую. Во время действия проклятия цель не получает повреждений.	
81146	Цель поражается лучом концентрированной магической Силы	
8F147	Использует Силу Тьмы для создания вокруг персонажа священного щита. Каждое повреждение трансформируется в FP.	
8F148	Создает врата, телепортирующие создателя и его группу к точке привязки.	
8F149	Позволяет моментально перенестись к точке привязки.	
8F14A	Полностью восстанавливает HP всех Анимусов	
8F14B	Позволяет моментально призвать Анимуса	
8F14C	Многократно увеличивает силу атак Анимуса	
8F14D	Увеличивает максимальный показатель HP на 10% и увеличивает силу атаки на 5%.	
8F14E	_	
8F14F	_	
8F150	_	
8F151	_	
8F152	_	
8F153	_	
8F154	_	
8F155	_	
8F156	_	
8F157	_	
8F158	_	
8F159	_	
8F15A	_	
8F15B	_	
8F15C	_	
8F15D	_	
8F15E	_	
8F15F	_	
8F160	_	
8F161	_	
8F162	_	
8F163	_	
8F164	_	
8F165	_	
8F166	_	
8F167	_	
4F168	_	
4F169	_	
4F16A	_	
4F16B	_	
4F16C	_	
4F16D	_	
4F16E	_	
4F16F	_	
4F170	_	
4F16E	_	
4F16F	_	
4F170	_	
4F174	_	
4F175	_	
4F176	_	
4F177	_	
4F178	_	
4F179	_	
4F17A	_	
4F17B	_	
4F17C	_	
4F17D	_	
4F17E	_	
4F17F	_	
4F180	_	
4F181	_	
4F182	_	
4F183	_	
4F184	_	
4F185	_	
4F186	_	
4F187	_	
4F188	_	
4F189	_	
4F18A	_	
4F18B	_	
4F18C	_	
4F18D	_	
4F18E	_	
4F18F	_	
4F190	_	
4F191	_	
7F192	Позволяет устанавливать турели. Пассивное умение.	
7F193	_	
7F194	_	
7F195	_	
7F196	_	
7F197	_	
7F198	Чинит броню цели и восстанавливает ее защитную способность	
7F199	Воскрешает павших союзников вашей расы. [Увеличивает агрессивность монстра до высокого уровня]	
7F19A	_	
7F19B	Повышает силу атак и защитную способность MAU	
7F19C	По приказу высшего командования Федерации пилот получает скидки на ремонт и обслуживание робототехники.	
7F19A	_	
7F19E	_	
7F19F	_	
7F1A0	_	
7F1A1	_	
7F1A2	_	
7F1A3	_	
7F1A4	_	
7F1A5	_	
7F1A6	_	
7F1A7	_	
7F1A8	_	
7F1A9	_	
7F1AA	_	
7F1AB	_	
7F1AC	_	
7F1AD	_	
7F1AE	_	
7F1AF	_	
7F1B0	_	
7F1B1	_	
7F1B2	_	
7F1B3	_	
7F1B4	_	
7F1B5	_	
7F1B6	_	
7F1B7	_	
7F1B8	_	
7F1B9	_	
7F1BA	_	
7F1BB	_	
8F1BC	Позволяет устанавливать турели. Пассивное умение.	
8F1BD	_	
8F1BE	_	
8F1BF	_	
8F1C0	_	
8F1C1	_	
8F1C2	Чинит броню цели и восстанавливает ее защитную способность	
8F1C3	Воскрешает павших союзников вашей расы. [Увеличивает агрессивность монстра до высокого уровня]	
8F1C4	_	
8F1C2	Чинит броню цели и восстанавливает ее защитную способность	
8F1C3	Воскрешает павших союзников вашей расы. [Увеличивает агрессивность монстра до высокого уровня]	
8F1C4	_	
8F1C8	_	
8F1C9	_	
8F1CA	_	
8F1CB	_	
8F1CC	_	
8F1CD	_	
8F1CE	_	
8F1CF	_	
8F1D0	_	
8F1D1	_	
8F1D2	_	
8F1D3	_	
8F1D4	_	
8F1D5	_	
8F1D6	_	
8F1D7	_	
8F1D8	_	
8F1D9	_	
8F1DA	_	
8F1DB	_	
8F1DC	_	
8F1DD	_	
8F1DE	_	
8F1DF	_	
8F1E0	_	
8F1E1	_	
8F1E2	_	
8F1E3	_	
8F1E4	_	
8F1E5	_	
4F1E6	Позволяет устанавливать турели. Пассивное умение.	
4F1E7	_	
4F1E8	_	
4F1E9	_	
4F1EA	_	
4F1EB	_	
4F1EC	Восстанавливает вас и союзных игроков. [Увеличивает агрессивность монстра до высокого уровня]	
4F1ED	Чинит броню цели и восстанавливает защитную способность	
4F1EE	_	
4F1EF	Увеличивает скорость передвижения цели, подключая к системе приводов и двигательным механизмам дополнительный источник энергии.	
4F1F0	Мгновенно создает непробиваемое энергополе вокруг элементов брони. Невозможно передвигаться и атаковать. [Понижает агрессивность монстра до низкого уровня]	
4F1F1	Умение позволяет использовать сверхактивные наниты, снижающие показатель защиты противника.	
4F1F2	_	
4F1F3	_	
4F1F4	_	
4F1F5	_	
4F1F6	_	
4F1F7	_	
4F1F8	_	
4F1F9	_	
4F1FA	_	
4F1FB	_	
4F1FC	_	
4F1FD	_	
4F1FE	_	
4F1FF	_	
4F200	_	
4F201	_	
4F202	_	
4F203	_	
4F204	_	
4F205	_	
4F206	_	
4F207	_	
4F208	_	
4F209	_	
4F20A	_	
4F20B	_	
4F20C	_	
4F20D	_	
4F20E	_	
4F20F	_	
