string[64]	dword	dword	dword	string[64]	string[64]	string[64]	string[64]	dword	dword	dword	string[64]	string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	string[8]	dword	string[8]	dword	string[8]	dword	float	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	dword	dword	string[64]	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	dword	float	float	float	float	dword	END
A	1	110	-1	-1	-1	Придает защите обратный эффект	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	19	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
B	1	111	-1	-1	-1	Блокирует восстановление FP	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	25	0	0,300000012	0,300000012	0,300000012	0,300000012	0,300000012	0,300000012	0,300000012	0	-1	-1	0	2	16	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
C	1	112	-1	-1	-1	Оглушает и блокирует восстановле	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
D	1	113	-1	-1	-1	Ослепляет противника	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
E	1	114	-1	-1	-1	Обездвиживает противника	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	6	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
F	1	115	-1	-1	-1	Блокирует восстановление FP	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	18	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
10	1	116	-1	-1	-1	Запрещает использование любых ат	0	0	1	1	000010	00110	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	6	
11	1	117	-1	-1	-1	Изменение траектории заряда	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	6	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	10	10	10	10	10	10	-1	-1	-1	-1	-1	6	
12	1	118	-1	-1	-1	Ракетный массовый залп	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	3	-30	-30	-30	-30	-30	-30	-30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	10	10	10	10	10	10	-1	-1	-1	-1	-1	6	
13	1	119	-1	-1	-1	Лечебный Эффект	0	0	1	1	000010	01000	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	9	-1	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	6	
14	1	120	-1	-1	-1	Восстанавливающий Эффект	0	0	1	1	000010	01000	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	3	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	6	
15	1	130	-1	-1	-1	Вы целиком в снегу	0	0	1	1	111110	01100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	1	3	3	16	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	18	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	2	7	-1	-1	-1	-1	-1	-1	-1	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	2	
16	1	131	-1	-1	-1	Вы стали снеговиком	0	0	1	1	111110	01100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	20	-1	-1	-1	-1	-1	-1	-1	2	15	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	22	22	22	22	22	22	-1	-1	-1	-1	-1	2	
17	1	132	-1	-1	-1	Последствия ядерной атаки	0	0	1	1	111110	11100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	6	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	0	32	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	0	9	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	0	10	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	2	25	1	1	1	1	1	1	1	300	300	300	300	300	300	300	-1	-1	-1	-1	-1	2	
18	1	117	-1	-1	-1	Уменьшает уровень атаки противни	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	32	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	6	
19	1	117	-1	-1	-1	Уменьшает точность противника	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	40	-200	-200	-200	-200	-200	-200	-200	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	6	
1A	1	117	-1	-1	-1	Уменьшает скорость восстановлени	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	6	1	1	1	1	1	1	1	1	32	-300	-300	-300	-300	-300	-300	-300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	6	
1B	1	117	-1	-1	-1	Противник не может использовать 	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	4	0	-1	7	2	1	1	1	1	1	1	1	0	-1	-1	0	0	10	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	40	40	40	40	40	40	-1	-1	-1	-1	-1	6	
1C	1	117	-1	-1	-1	Уменьшает скорость восстановлени	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	18	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-0,800000012	-0,800000012	0	19	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	40	40	40	40	40	40	-1	-1	-1	-1	-1	6	
1D	1	117	-1	-1	-1	Изоляция противника	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	6	1	1	1	1	1	1	1	1	40	-300	-300	-300	-300	-300	-300	-300	2	18	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	60	60	60	60	60	60	-1	-1	-1	-1	-1	6	
1E	1	118	-1	-1	-1	Противник не может уклониться от	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	3	-300	-300	-300	-300	-300	-300	-300	0	18	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	6	
1F	1	118	-1	-1	-1	Уменьшает уровень защиты противн	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	33	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	1	32	-500	-500	-500	-500	-500	-500	-500	0	18	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-0,5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	6	
20	1	118	-1	-1	-1	Уменьшает скорость передвижения 	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	1	20	-4	-4	-4	-4	-4	-4	-4	2	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30	30	30	30	30	30	-1	-1	-1	-1	-1	6	
21	1	118	-1	-1	-1	Отключает функции FP,SP противни	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	11	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	0	10	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	-0,699999988	0	19	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	0	20	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-0,899999976	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	40	40	40	40	40	40	-1	-1	-1	-1	-1	6	
22	1	118	-1	-1	-1	Противник не может использовать 	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	10	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-0,99000001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	40	40	40	40	40	40	-1	-1	-1	-1	-1	6	
23	1	118	-1	-1	-1	Изоляция противника	0	0	1	1	000010	00100	100000000000	-1	1111111111111111	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	8	8	8	8	8	8	8	0	0	0	0	0	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2	6	1	1	1	1	1	1	1	1	40	-300	-300	-300	-300	-300	-300	-300	2	18	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	60	60	60	60	60	60	-1	-1	-1	-1	-1	6	
