xeh	dword	byte	byte	byte	byte	string[32]	string[32]	string[32]	string[32]	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	byte	byte	byte	byte	byte	byte	byte	byte	byte	byte	word	float	float	float	float	float	float	float	dword	dword	dword	dword	dword	dword	dword	stb	byte	stb	byte	stb16	word	dword	dword	dword	dword	dword	byte	byte	word	word	word	float	float	string[512]	byte	byte	word	dword	dword	dword	xeh	stb12	xeh	byte	byte	byte	byte	hex	hex	hex	byte	byte	byte	byte	byte	byte	word	END
Code	Icon	Class	IsActive	MastIndex	Lv	MastEngName	MastKorName	EngName	Name	Unk1	Unk2	Unk3	Unk4	Unk5	Unk6	Unk7	Unk8	Unk9	none	none	unit1	unit2	unit3	unit4	unit5	unit6	unit7	Hz1	Hz2	Hz3	Hz4	Hz5	Hz6	Hz7	Hz8	Hz9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	unit1	unit2	unit3	unit4	unit5	unit6	unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	HZ1	HZ2	HZ3	HZ4	HZ5	HZ6	HZ7	HZ8	HZ9	none	none	Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	ContEffSec1	ContEffSec2	ContEffSec3	ContEffSec4	ContEffSec5	ContEffSec6	ContEffSec7	UsableRace	Class	ActableDst	NeedMastIndex	FixWeapon	none	none	none	none	none	IsFixShield	SpecialType	NeedSpecialType	NeedHP	NeedFP	NeedSP	ActDealy	ActDistance	Description	EffectClass	none	none	IsCumulType	CumulCounter	NewEffCOunt	EffectCode	GradeLimit	RangeEffCode	none	none	none	none	none	none	none	none	none	none	none	Property	none	none
800A	11	0	1	3	3	Hell	Зп	Transparency	Сумрак	3	21	21	21	21	21	21	21	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	001100	2	01000	2	0000000000000000	0	0	0	0	0	0	1	-1	0	120	0	1000	165	Делает невидимым	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
800B	12	0	1	3	3	Hell	Зп	Revival	Воскрешение	1	2	2	2	2	2	2	2	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	001100	2	01000	2	0000000000000000	0	0	0	0	0	0	-1	-1	0	120	0	1000	165	Оживляет павших союзников из расы применяющего Силу	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7100	13	1	1	4	0	Holy	И¦ё®	Bless	Благословение	1	5	5	5	5	5	5	5	0	0	0	0,200000003	0,300000012	0,400000006	0,5	0,649999976	0,800000012	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110000	2	01000	-1	0000000000000000	0	0	0	0	0	0	-1	-1	0	30	0	1000	165	Увеличивает длительность воздействия Светлых Сил	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7101	14	1	1	4	0	Holy	И¦ё®	Restoration	Восстановление	1	4	4	4	4	4	4	4	0	0	0	0,200000003	0,25	0,300000012	0,400000006	0,600000024	0,699999988	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110000	2	01000	-1	0000000000000000	0	0	0	0	0	0	-1	-1	0	30	0	1000	165	Восстанавливает SP объекта	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7102	15	1	1	4	0	Holy	И¦ё®	Soul Ballad	Душевная Баллада	3	14	14	14	14	14	14	14	0	0	0	0,5	1	1,200000048	1,399999976	1,600000024	1,799999952	2	3	15	15	15	15	15	15	15	0	0	0	0,5	1	1,200000048	1,399999976	1,600000024	1,799999952	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	-1	0000000000000000	0	0	0	0	0	0	-1	-1	0	30	0	1000	165	Увеличивает скорость восстановления HP/FP объекта	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7103	16	1	1	5	1	Hallowed	ЗЫ·Оїмµе	Elemental Resist	Щит Стихий	3	15	15	15	15	15	15	15	1	0	0	1	2	3	4	5	7	10	3	16	16	16	16	16	16	16	1	0	0	1	2	3	4	5	7	10	3	17	17	17	17	17	17	17	1	0	0	1	2	3	4	5	7	10	3	18	18	18	18	18	18	18	1	0	0	1	2	3	4	5	7	10	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	4	0000000000000000	0	0	0	0	0	0	-1	-1	0	60	0	1000	165	Увеличивает сопротивляемость объекта к элементам стихий	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7104	17	1	1	5	1	Hallowed	ЗЫ·Оїмµе	Healing	Лечение	1	3	3	3	3	3	3	3	0	0	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110000	2	01000	4	0000000000000000	0	0	0	0	0	0	-1	-1	0	60	0	2000	165	Восстанавливает НP объекта	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7105	18	1	1	5	1	Hallowed	ЗЫ·Оїмµе	Increase Speed(Holy)	Ускорение	3	20	20	20	20	20	20	20	1	0	0	1	1,100000024	1,200000048	1,399999976	1,600000024	1,799999952	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	4	0000000000000000	0	0	0	0	0	0	-1	-1	0	60	0	1000	165	Увеличивает скорость передвижения	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7106	19	1	1	6	2	Devine	µр№ЩАО	Agility	Уклонение	3	3	3	3	3	3	3	3	1	0	0	10	12	15	18	21	25	30	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	5	0000000000000000	0	0	0	0	0	0	-1	-1	0	90	0	1000	165	Увеличивает способность объекта уклоняться от ударов	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7107	20	1	1	6	2	Devine	µр№ЩАО	Holy Shield	Щит Эгиды	3	6	6	6	6	6	6	6	0	0	0	0,100000001	0,119999997	0,150000006	0,180000007	0,209999993	0,25	0,300000012	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	5	0000000000000000	0	0	0	0	0	0	-1	-1	0	90	0	1000	165	Увеличивает защиту объекта	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7108	21	1	1	6	2	Devine	µр№ЩАО	Effective Consume(Holy)	Практичность	3	7	7	7	7	7	7	7	0	0	0	-0,050000001	-0,100000001	-0,150000006	-0,200000003	-0,25	-0,300000012	-0,349999994	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	5	0000000000000000	0	0	0	0	0	0	-1	-1	0	90	0	1000	165	Уменьшает затраты FP на использование Сил и Умений	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
7109	22	1	1	7	3	Revival	ё®№ЩАМ№ъ	Blood Capture	Вампиризм	3	12	12	12	12	12	12	12	0	0	0	0,02	0,029999999	0,039999999	0,050000001	0,059999999	0,07	0,100000001	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	6	0000000000000000	0	0	0	0	0	0	-1	-1	0	120	0	1000	165	Преобразует урон, наносимый противнику, в FP атакующего	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
710A	23	1	1	7	3	Revival	ё®№ЩАМ№ъ	Absolute Armor	Мастер уклонения	3	8	8	8	8	8	8	8	2	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	140000	210000	320000	480000	720000	1080000	110000	2	01000	6	0000000000000000	0	0	0	0	0	0	-1	-1	0	120	0	1000	165	Увеличивает способность объекта уклоняться от ударов	6	0	0	0	-1	-1	-1	100000000000	-1	0	-1	-1	-1	ffffffff	ffffffff	ffffffff	-1	-1	-1	0	-1	0	0
