string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	dword	dword	string[64]	END
icfha03	1	940222	35	Сияющее Копье	402	300	11110	0	800000	0	0	0	0	8000	920A	1	1	1	1	1	ticfha03	
icfha04	1	940223	36	Метеорит	402	300	11110	0	800000	0	0	0	0	8000	920B	1	1	1	1	1	ticfha04	
icfta01	1	940224	37	Вспышка света	402	300	11110	0	3200000	0	0	0	0	32000	920C	1	1	1	1	1	ticfta01	
icfta02	1	940225	38	Извержение	402	300	11110	0	3200000	0	0	0	0	32000	920D	1	1	1	1	1	ticfta02	
icfta03	1	940226	39	Огненная Птица	402	300	11110	0	3200000	0	0	0	0	32000	920E	1	1	1	1	1	ticfta03	
icfta04	1	940227	40	Священная вспышка	402	300	11110	0	3200000	0	0	0	0	32000	920F	1	1	1	1	1	ticfta04	
icala01	1	940328	41	Осколок Льда	403	300	11110	0	50000	0	0	0	0	500	9300	1	1	1	1	1	ticala01	
icala02	1	940329	42	Гейзер	403	300	11110	0	50000	0	0	0	0	500	9301	1	1	1	1	1	ticala02	
icala03	1	94032A	43	Ослепление	403	300	11110	0	50000	0	0	0	0	500	9302	1	1	1	1	1	ticala03	
icala04	1	94032B	44	Ослабление	403	300	11110	0	50000	0	0	0	0	500	9303	1	1	1	1	1	ticala04	
icama01	1	94032C	45	Ледяная Стрела	403	300	11110	0	200000	0	0	0	0	2000	9304	1	1	1	1	1	ticama01	
icama02	1	94032D	46	Ледяной клинок	403	300	11110	0	200000	0	0	0	0	2000	9305	1	1	1	1	1	ticama02	
icama03	1	94032E	47	Стихийная немощь	403	300	11110	0	200000	0	0	0	0	2000	9306	1	1	1	1	1	ticama03	
icama04	1	94032F	48	Поглощение Силы	403	300	11110	0	200000	0	0	0	0	2000	9307	1	1	1	1	1	ticama04	
icaha01	1	940330	49	Ледяная Ярость	403	300	11110	0	800000	0	0	0	0	8000	9308	1	1	1	1	1	ticaha01	
icaha02	1	940331	50	Ледяные шипы	403	300	11110	0	800000	0	0	0	0	8000	9309	1	1	1	1	1	ticaha02	
icaha03	1	940332	51	Растерянность	403	300	11110	0	800000	0	0	0	0	8000	930A	1	1	1	1	1	ticaha03	
icaha04	1	940333	52	Усталость	403	300	11110	0	800000	0	0	0	0	8000	930B	1	1	1	1	1	ticaha04	
icata01	1	940334	53	Облако пара	403	300	11110	0	3200000	0	0	0	0	32000	930C	1	1	1	1	1	ticata01	
icata02	1	940335	54	Метель	403	300	11110	0	3200000	0	0	0	0	32000	930D	1	1	1	1	1	ticata02	
icata03	1	940336	55	Ледяной Плен	403	300	11110	0	3200000	0	0	0	0	32000	930E	1	1	1	1	1	ticata03	
icata04	1	940337	56	Оковы	403	300	11110	0	3200000	0	0	0	0	32000	930F	1	1	1	1	1	ticata04	
ictla01	1	940438	57	Земляной Ком	404	300	11110	0	50000	0	0	0	0	500	9400	1	1	1	1	1	tictla01	
ictla02	1	940439	58	Ядовитый газ	404	300	11110	0	50000	0	0	0	0	500	9401	1	1	1	1	1	tictla02	
ictla03	1	94043A	59	Безмолвие	404	300	11110	0	50000	0	0	0	0	500	9402	1	1	1	1	1	tictla03	
ictla04	1	94043B	60	Слабодушие	404	300	11110	0	50000	0	0	0	0	500	9403	1	1	1	1	1	tictla04	
ictma01	1	94043C	61	Каменный клинок	404	300	11110	0	200000	0	0	0	0	2000	9404	1	1	1	1	1	tictma01	
ictma02	1	94043D	62	Ядовитое дыхание	404	300	11110	0	200000	0	0	0	0	2000	9405	1	1	1	1	1	tictma02	
ictma03	1	94043E	63	Забытье	404	300	11110	0	200000	0	0	0	0	2000	9406	1	1	1	1	1	tictma03	
ictma04	1	94043F	64	Зыбучие Пески	404	300	11110	0	200000	0	0	0	0	2000	9407	1	1	1	1	1	tictma04	
ictha01	1	940440	65	Отравление	404	300	11110	0	800000	0	0	0	0	8000	9408	1	1	1	1	1	tictha01	
ictha02	1	940441	66	Песчаная Буря	404	300	11110	0	800000	0	0	0	0	8000	9409	1	1	1	1	1	tictha02	
ictha03	1	940442	67	Путы	404	300	11110	0	800000	0	0	0	0	8000	940A	1	1	1	1	1	tictha03	
ictha04	1	940443	68	Изоляция	404	300	11110	0	800000	0	0	0	0	8000	940B	1	1	1	1	1	tictha04	
ictta01	1	940444	69	Болезненный вирус	404	300	11110	0	3200000	0	0	0	0	32000	940C	1	1	1	1	1	tictta01	
ictta02	1	940445	70	Каменная лавина	404	300	11110	0	3200000	0	0	0	0	32000	940D	1	1	1	1	1	tictta02	
ictta03	1	940446	71	Удушье	404	300	11110	0	3200000	0	0	0	0	32000	940E	1	1	1	1	1	tictta03	
ictta04	1	940447	72	Сеть охотника	404	300	11110	0	3200000	0	0	0	0	32000	940F	1	1	1	1	1	tictta04	
icwla01	1	940548	73	Электрический шар	405	300	11110	0	50000	0	0	0	0	500	9500	1	1	1	1	1	ticwla01	
icwla02	1	940549	74	Ураган	405	300	11110	0	50000	0	0	0	0	500	9501	1	1	1	1	1	ticwla02	
icwla03	1	94054A	75	Усмирение	405	300	11110	0	50000	0	0	0	0	500	9502	1	1	1	1	1	ticwla03	
icwla04	1	94054B	76	Подавление	405	300	11110	0	50000	0	0	0	0	500	9503	1	1	1	1	1	ticwla04	
icwma01	1	94054C	77	Молния	405	300	11110	0	200000	0	0	0	0	2000	9504	1	1	1	1	1	ticwma01	
icwma02	1	94054D	78	Тайфун	405	300	11110	0	200000	0	0	0	0	2000	9505	1	1	1	1	1	ticwma02	
icwma03	1	94054E	79	Очищение	405	300	11110	0	200000	0	0	0	0	2000	9506	1	1	1	1	1	ticwma03	
icwma04	1	94054F	80	Взгляд Истины	405	300	11110	0	200000	0	0	0	0	2000	9507	1	1	1	1	1	ticwma04	
icwha01	1	940550	81	Штормовой Ветер	405	300	11110	0	800000	0	0	0	0	8000	9508	1	1	1	1	1	ticwha01	
icwha02	1	940551	82	Цепная Молния	405	300	11110	0	800000	0	0	0	0	8000	9509	1	1	1	1	1	ticwha02	
icwha03	1	940552	83	Ревокация	405	300	11110	0	800000	0	0	0	0	8000	950A	1	1	1	1	1	ticwha03	
icwha04	1	940553	84	Вето	405	300	11110	0	800000	0	0	0	0	8000	950B	1	1	1	1	1	ticwha04	
icwta01	1	940554	85	Гравитационное поле	405	300	11110	0	3200000	0	0	0	0	32000	950C	1	1	1	1	1	ticwta01	
icwta02	1	940555	86	Крылья Бури	405	300	11110	0	3200000	0	0	0	0	32000	950D	1	1	1	1	1	ticwta02	
icwta03	1	940556	87	Удар Хаоса	405	300	11110	0	3200000	0	0	0	0	32000	950E	1	1	1	1	1	ticwta03	
icwta04	1	940557	88	Охранитель	405	300	11110	0	3200000	0	0	0	0	32000	950F	1	1	1	1	1	ticwta04	
icaex00	1	94032B	89	Тренировочное Ослабление	403	300	11110	0	1	0	0	0	0	1	9303	1	1	1	1	1	ticaex00	
ictex00	1	94043B	90	Тренировочная Немая Душа	404	300	11110	0	1	0	0	0	0	1	9403	1	1	1	1	1	tictex00	
