clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	byte	byte	word	dword	END
unba009	"Вспомогательная Тыльная Броня ""Голиафа""9"	00608	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba010	Энергоускоритель	00609	3	11000	42	0	0	1000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	41	2	-1	80	-1	0	0	1	-1	2	500	3	8	0	0	
unba011	"Вспомогательная Тыльная Броня ""Голиафа""11"	0060A	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba012	"Вспомогательная Тыльная Броня ""Голиафа""12"	0060B	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba013	Тыльная Броня XR1	0060C	4	11000	42	0	0	3000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	49	2	-1	99	-1	0	0	5	-1	2	1000	3	8	0	0	
unba014	Тыльная Броня XR2	00636	9	11000	42	0	0	3000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	54	2	-1	99	-1	0	0	1	-1	2	1000	3	8	0	0	
unba015	Накидка Яда	0062D	16	11000	42	0	0	4800000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	56	2	-1	99	-1	0	0	4	-1	2	1000	3	8	0	0	
unba016	Накидка Миража	0062D	16	11000	42	0	0	6000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	61	2	-1	99	-1	0	0	5	-1	2	1000	3	8	0	0	
unba017	"Вспомогательная Тыльная Броня ""Голиафа""17"	00610	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba018	"Вспомогательная Тыльная Броня ""Голиафа""18"	00611	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba019	"Вспомогательная Тыльная Броня ""Голиафа""19"	00612	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba020	"Вспомогательная Тыльная Броня ""Голиафа""20"	00613	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	10000000	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unbc000	Арьергардный Двигатель	106FF	5	11000	42	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	1	-1	0	0	0	-1	2	0	0	0	0	0	
unba021	Блок для боеприпасов	10614	6	11000	42	0	0	300000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	30	2	-1	15	-1	0	0	1	-1	2	50	0	4	0	0	
unba022	"Вспомогательная Тыльная Броня ""Баллисты""2"	10615	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba023	"Вспомогательная Тыльная Броня ""Баллисты""3"	10616	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba024	"Вспомогательная Тыльная Броня ""Баллисты""4"	10617	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba025	"Вспомогательная Тыльная Броня ""Баллисты""5"	10618	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba026	"Вспомогательная Тыльная Броня ""Баллисты""6"	10619	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba027	"Вспомогательная Тыльная Броня ""Баллисты""7"	1061A	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba028	"Вспомогательная Тыльная Броня ""Баллисты""8"	1061B	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	0	0	0	
unba029	"Вспомогательная Тыльная Броня ""Баллисты""9"	1061C	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba030	Отсек для боеприпасов	1061D	7	11000	42	0	0	1000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	41	2	-1	80	-1	0	0	1	-1	2	100	2	4	0	0	
unba031	"Вспомогательная Тыльная Броня ""Баллисты""11"	1061E	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba032	"Вспомогательная Тыльная Броня ""Баллисты""12"	1061F	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba033	Тыльная Броня XR3	10620	8	11000	42	0	0	3000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	49	2	-1	99	-1	0	0	5	-1	2	200	2	8	0	0	
unba034	Тыльная Броня XR4	10637	10	11000	42	0	0	3000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	54	2	-1	99	-1	0	0	5	-1	2	200	2	8	0	0	
unba035	Накидка Яда	1062D	16	11000	42	0	0	4800000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	56	2	-1	99	-1	0	0	20	-1	2	200	2	8	0	0	
unba036	Накидка Миража	1062D	16	11000	42	0	0	6000000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	61	2	-1	99	-1	0	0	25	-1	2	200	2	8	0	0	
unba037	"Вспомогательная Тыльная Броня ""Баллисты""17"	10624	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba038	"Вспомогательная Тыльная Броня ""Баллисты""18"	10625	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba039	"Вспомогательная Тыльная Броня ""Баллисты""19"	10626	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba040	"Вспомогательная Тыльная Броня ""Баллисты""20"	10627	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	01000000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unbe000	Композитная Тыльная Броня	206FF	100	11000	42	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	1	-1	0	0	0	-1	2	0	0	0	0	0	
unba041	"Вспомогательная Тыльная Броня ""Зодчего""1"	20628	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba042	"Вспомогательная Тыльная Броня ""Зодчего""2"	20629	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba043	"Вспомогательная Тыльная Броня ""Зодчего""3"	2062A	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba044	"Вспомогательная Тыльная Броня ""Зодчего""4"	2062B	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba045	"Вспомогательная Тыльная Броня ""Зодчего""5"	2062C	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba046	"Вспомогательная Тыльная Броня ""Зодчего""6"	2062D	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba047	"Вспомогательная Тыльная Броня ""Зодчего""7"	2062E	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba048	"Вспомогательная Тыльная Броня ""Зодчего""8"	2062F	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba049	"Вспомогательная Тыльная Броня ""Зодчего""9"	20630	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba050	"Вспомогательная Тыльная Броня ""Зодчего""10"	20631	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba051	"Вспомогательная Тыльная Броня ""Зодчего""11"	20632	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba052	"Вспомогательная Тыльная Броня ""Зодчего""12"	20633	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba053	"Вспомогательная Тыльная Броня ""Зодчего""13"	20634	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba054	"Вспомогательная Тыльная Броня ""Зодчего""14"	20635	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba055	"Вспомогательная Тыльная Броня ""Зодчего""15"	20636	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba056	"Вспомогательная Тыльная Броня ""Зодчего""16"	20637	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba057	"Вспомогательная Тыльная Броня ""Зодчего""17"	20638	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba058	"Вспомогательная Тыльная Броня ""Зодчего""18"	20639	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba059	"Вспомогательная Тыльная Броня ""Зодчего""19"	2063A	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba060	"Вспомогательная Тыльная Броня ""Зодчего""20"	2063B	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00100000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unbn000	Композитная Тыльная Броня	306FF	100	11000	42	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	1	-1	0	0	0	-1	2	0	0	0	0	0	
unba061	"Вспомогательная Тыльная Броня ""Скитальца""1"	3063C	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba062	"Вспомогательная Тыльная Броня ""Скитальца""2"	3063D	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba063	"Вспомогательная Тыльная Броня ""Скитальца""3"	3063E	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba064	"Вспомогательная Тыльная Броня ""Скитальца""4"	3063F	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba065	"Вспомогательная Тыльная Броня ""Скитальца""5"	30640	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba066	"Вспомогательная Тыльная Броня ""Скитальца""6"	30641	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba067	"Вспомогательная Тыльная Броня ""Скитальца""7"	30642	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba068	"Вспомогательная Тыльная Броня ""Скитальца""8"	30643	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba069	"Вспомогательная Тыльная Броня ""Скитальца""9"	30644	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba070	"Вспомогательная Тыльная Броня ""Скитальца""10"	30645	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba071	"Вспомогательная Тыльная Броня ""Скитальца""11"	30646	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba072	"Вспомогательная Тыльная Броня ""Скитальца""12"	30647	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba073	"Вспомогательная Тыльная Броня ""Скитальца""13"	30648	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba074	"Вспомогательная Тыльная Броня ""Скитальца""14"	30649	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	4	0	0	
unba075	"Вспомогательная Тыльная Броня ""Скитальца""15"	3064A	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba076	"Вспомогательная Тыльная Броня ""Скитальца""16"	3064B	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba077	"Вспомогательная Тыльная Броня ""Скитальца""17"	3064C	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba078	"Вспомогательная Тыльная Броня ""Скитальца""18"	3064D	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
unba079	"Вспомогательная Тыльная Броня ""Скитальца""19"	3064E	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	2	0	0	0	
unba080	"Вспомогательная Тыльная Броня ""Скитальца""20"	3064F	100	11000	42	0	0	100000	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	5	00010000	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2	-1	100	-1	0	0	1	-1	2	0	0	8	0	0	
