string[64]	string[64]	dword	END
iogre03	irtal01	644235	
iogre03	irtal02	214745	
iogre03	irtal03	644235	
iogre03	irtal04	644235	
iogre03	irtal05	214745	
iogre03	irtal06	644235	
iogre03	irtal07	214745	
iogre03	irtal08	214745	
iogre03	irtal09	214745	
iogre03	irtal10	214745	
iogre03	irtal11	214745	
iogre03	irtal12	644235	
iogre03	irtal13	644235	
iogre03	irtal14	644235	
iogre03	irgef01	4294901	
iogre03	irgef02	2147450	
iogre03	irgef03	515388	
iogre03	irgea01	4294901	
iogre03	irgea02	2147450	
iogre03	irgea03	515388	
iogre03	irget01	4294901	
iogre03	irget02	2147450	
iogre03	irget03	515388	
iogre03	irgew01	4294901	
iogre03	irgew02	2147450	
iogre03	irgew03	515388	
iogre03	irres01	644235	
iogre03	irmap01	644235	
iogre03	irmap03	644235	
iogre03	ircry02	214745	
iogre03	irhst02	0	
iogre03	irhst03	0	
iogre03	irhst04	0	
iogre03	irhst05	0	
iogre03	irhst06	15032156	
iogre03	irhst07	15032156	
iogre03	irhst08	15032156	
iogre03	irwav01	8589803	
iogre02	irriu04	1027104280	
iogre02	irrio04	342368093	
iogre02	irrus04	342368093	
iogre02	irria04	342368093	
iogre02	irtal01	644235	
iogre02	irtal02	214745	
iogre02	irtal03	644235	
iogre02	irtal04	644235	
iogre02	irtal05	214745	
iogre02	irtal06	644235	
iogre02	irtal07	214745	
iogre02	irtal08	214745	
iogre02	irtal09	214745	
iogre02	irtal10	214745	
iogre02	irtal11	214745	
iogre02	irtal12	644235	
iogre02	irtal13	644235	
iogre02	irtal14	644235	
iogre02	irgef01	4294901	
iogre02	irgef02	2147450	
iogre02	irgef03	515388	
iogre02	irgea01	4294901	
iogre02	irgea02	2147450	
iogre02	irgea03	515388	
iogre02	irget01	4294901	
iogre02	irget02	2147450	
iogre02	irget03	515388	
iogre02	irgew01	4294901	
iogre02	irgew02	2147450	
iogre02	irgew03	515388	
iogre02	irbls01	2061552	
iogre02	irmap01	644235	
iogre02	irmap03	644235	
iogre02	ircry02	214745	
iogre02	irhst05	0	
iogre02	irhst06	15032156	
iogre02	irhst07	15032156	
iogre02	irhst08	15032156	
iogre02	irwav01	10737254	
iogre01	irriu04	1012029175	
iogre01	irrio04	337343058	
iogre01	irrus04	337343058	
iogre01	irria04	337343058	
iogre01	irtal01	644235	
iogre01	irtal02	214745	
iogre01	irtal03	644235	
iogre01	irtal04	644235	
iogre01	irtal05	214745	
iogre01	irtal06	644235	
iogre01	irtal07	214745	
iogre01	irtal08	214745	
iogre01	irtal09	214745	
iogre01	irtal10	214745	
iogre01	irtal11	214745	
iogre01	irtal12	644235	
iogre01	irtal13	644235	
iogre01	irtal14	644235	
iogre01	irgef01	4294901	
iogre01	irgef02	2147450	
iogre01	irgef03	515388	
iogre01	irgea01	4294901	
iogre01	irgea02	2147450	
iogre01	irgea03	515388	
iogre01	irget01	4294901	
iogre01	irget02	2147450	
iogre01	irget03	515388	
iogre01	irgew01	4294901	
iogre01	irgew02	2147450	
iogre01	irgew03	515388	
iogre01	irmap01	644235	
iogre01	irmap03	644235	
iogre01	ircry02	214745	
iogre01	irhst05	0	
iogre01	irhst06	19327057	
iogre01	irhst07	19327057	
iogre01	irhst08	19327057	
iogre01	irwav01	15032156	
iogre01	ircht01	15032156	
iobla03	irriu05	1028886665	
iobla03	irrio05	342962221	
iobla03	irrus05	342962221	
iobla03	irria05	342962221	
iobla03	irtal01	644235	
iobla03	irtal02	214745	
iobla03	irtal03	644235	
iobla03	irtal04	644235	
iobla03	irtal05	214745	
iobla03	irtal06	644235	
iobla03	irtal07	214745	
iobla03	irtal08	214745	
iobla03	irtal09	214745	
iobla03	irtal10	214745	
iobla03	irtal11	214745	
iobla03	irtal12	644235	
iobla03	irtal13	644235	
iobla03	irtal14	644235	
iobla03	irgef01	4294901	
iobla03	irgef02	2147450	
iobla03	irgef03	515388	
iobla03	irgea01	4294901	
iobla03	irgea02	2147450	
iobla03	irgea03	515388	
iobla03	irget01	4294901	
iobla03	irget02	2147450	
iobla03	irget03	515388	
iobla03	irgew01	4294901	
iobla03	irgew02	2147450	
iobla03	irgew03	515388	
iobla03	irres01	644235	
iobla03	irmap01	644235	
iobla03	irmap03	644235	
iobla03	ircry02	214745	
iobla03	irhst02	0	
iobla03	irhst03	0	
iobla03	irhst04	0	
iobla03	irhst05	0	
iobla03	irhst06	15032156	
iobla03	irhst07	15032156	
iobla03	irhst08	15032156	
iobla03	irwav01	8589803	
iobla02	irriu05	1027104280	
iobla02	irrio05	342368093	
iobla02	irrus05	342368093	
iobla02	irria05	342368093	
iobla02	irtal01	644235	
iobla02	irtal02	214745	
iobla02	irtal03	644235	
iobla02	irtal04	644235	
iobla02	irtal05	214745	
iobla02	irtal06	644235	
iobla02	irtal07	214745	
iobla02	irtal08	214745	
iobla02	irtal09	214745	
iobla02	irtal10	214745	
iobla02	irtal11	214745	
iobla02	irtal12	644235	
iobla02	irtal13	644235	
iobla02	irtal14	644235	
iobla02	irgef01	4294901	
iobla02	irgef02	2147450	
iobla02	irgef03	515388	
iobla02	irgea01	4294901	
iobla02	irgea02	2147450	
iobla02	irgea03	515388	
iobla02	irget01	4294901	
iobla02	irget02	2147450	
iobla02	irget03	515388	
iobla02	irgew01	4294901	
iobla02	irgew02	2147450	
iobla02	irgew03	515388	
iobla02	irbls01	2061552	
iobla02	irmap01	644235	
iobla02	irmap03	644235	
iobla02	ircry02	214745	
iobla02	irhst05	0	
iobla02	irhst06	15032156	
iobla02	irhst07	15032156	
iobla02	irhst08	15032156	
iobla02	irwav01	10737254	
iobla01	irriu05	1012029175	
iobla01	irrio05	337343058	
iobla01	irrus05	337343058	
iobla01	irria05	337343058	
iobla01	irtal01	644235	
iobla01	irtal02	214745	
iobla01	irtal03	644235	
iobla01	irtal04	644235	
iobla01	irtal05	214745	
iobla01	irtal06	644235	
iobla01	irtal07	214745	
iobla01	irtal08	214745	
iobla01	irtal09	214745	
iobla01	irtal10	214745	
iobla01	irtal11	214745	
iobla01	irtal12	644235	
iobla01	irtal13	644235	
iobla01	irtal14	644235	
iobla01	irgef01	4294901	
iobla01	irgef02	2147450	
iobla01	irgef03	515388	
iobla01	irgea01	4294901	
iobla01	irgea02	2147450	
iobla01	irgea03	515388	
iobla01	irget01	4294901	
iobla01	irget02	2147450	
iobla01	irget03	515388	
iobla01	irgew01	4294901	
iobla01	irgew02	2147450	
iobla01	irgew03	515388	
iobla01	irmap01	644235	
iobla01	irmap03	644235	
iobla01	ircry02	214745	
iobla01	irhst05	0	
iobla01	irhst06	19327057	
iobla01	irhst07	19327057	
iobla01	irhst08	19327057	
iobla01	irwav01	15032156	
iobla01	ircht01	15032156	
ioblu04	irriu01	891728977	
ioblu04	irrio01	297242992	
ioblu04	irrus01	297242992	
ioblu04	irria01	297242992	
ioblu04	irgef04	4294901	
ioblu04	irgea04	4294901	
ioblu04	irget04	4294901	
ioblu04	irgew04	4294901	
ioblu04	irebu01	171796070	
ioblu04	irena01	171796070	
ioblu04	irhst02	1073725	
ioblu04	irhst03	1073725	
ioblu04	irhst04	1073725	
ioblu04	irhst05	0	
ioblu04	irhst06	0	
ioblu04	irhst07	0	
ioblu04	irhst08	0	
iored04	irriu02	891728977	
iored04	irrio02	297242992	
iored04	irrus02	297242992	
iored04	irria02	297242992	
iored04	irgef04	4294901	
iored04	irgea04	4294901	
iored04	irget04	4294901	
iored04	irgew04	4294901	
iored04	irere01	171796070	
iored04	irepu01	171796070	
iored04	irhst02	1073725	
iored04	irhst03	1073725	
iored04	irhst04	1073725	
iored04	irhst05	0	
iored04	irhst06	0	
iored04	irhst07	0	
iored04	irhst08	0	
ioyel04	irriu03	891728977	
ioyel04	irrio03	297242992	
ioyel04	irrus03	297242992	
ioyel04	irria03	297242992	
ioyel04	irgef04	4294901	
ioyel04	irgea04	4294901	
ioyel04	irget04	4294901	
ioyel04	irgew04	4294901	
ioyel04	ireyl01	171796070	
ioyel04	irebw01	171796070	
ioyel04	irhst02	1073725	
ioyel04	irhst03	1073725	
ioyel04	irhst04	1073725	
ioyel04	irhst05	0	
ioyel04	irhst06	0	
ioyel04	irhst07	0	
ioyel04	irhst08	0	
iogre04	irriu04	891728977	
iogre04	irrio04	297242992	
iogre04	irrus04	297242992	
iogre04	irria04	297242992	
iogre04	irgef04	4294901	
iogre04	irgea04	4294901	
iogre04	irget04	4294901	
iogre04	irgew04	4294901	
iogre04	iregr01	171796070	
iogre04	ireol01	171796070	
iogre04	irhst02	1073725	
iogre04	irhst03	1073725	
iogre04	irhst04	1073725	
iogre04	irhst05	0	
iogre04	irhst06	0	
iogre04	irhst07	0	
iogre04	irhst08	0	
iobla04	irriu05	891728977	
iobla04	irrio05	297242992	
iobla04	irrus05	297242992	
iobla04	irria05	297242992	
iobla04	irgef04	4294901	
iobla04	irgea04	4294901	
iobla04	irget04	4294901	
iobla04	irgew04	4294901	
iobla04	irebl01	171796070	
iobla04	irewh01	171796070	
iobla04	irhst02	1073725	
iobla04	irhst03	1073725	
iobla04	irhst04	1073725	
iobla04	irhst05	0	
iobla04	irhst06	0	
iobla04	irhst07	0	
iobla04	irhst08	0	
