string[64]	string[64]	dword	string[64]	dword	dword	dword	dword	dword	dword	float	string[64]	string[64]	END
unbu052	F070B	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu052	
unbu053	F070C	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu053	
unbu054	F070D	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu054	
unbu055	F070E	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu055	
unbu056	F070F	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu056	
unbu057	F0710	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu057	
unbu058	F0711	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu058	
unbu059	F0712	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu059	
unbu060	F0713	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu060	
unbn000	F07FF	1	Пустой Магазин	0	0	0	0	0	0	0	0	tunbn000	
unbu061	F0700	2	Вспомогательный	0	1	1000	0	10000	0	1	0	tunbu061	
unbu062	F0701	3	Вспомогательный	0	1	1000	0	20000	0	1,100000024	0	tunbu062	
unbu063	F0702	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu063	
unbu064	F0703	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu064	
unbu065	F0704	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu065	
unbu066	F0705	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu066	
unbu067	F0706	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu067	
unbu068	F0707	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu068	
unbu069	F0708	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu069	
unbu070	F0709	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu070	
unbu071	F070A	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu071	
unbu072	F070B	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu072	
unbu073	F070C	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu073	
unbu074	F070D	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu074	
unbu075	F070E	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu075	
unbu076	F070F	4	Вспомогательный	0	1	1000	0	30000	0	1,200000048	0	tunbu076	
unbu077	F0710	4	Temporary	0	1	1000	0	30000	0	1,200000048	0	tunbu077	
unbu078	F0711	4	Temporary	0	1	1000	0	30000	0	1,200000048	0	tunbu078	
unbu079	F0712	4	Temporary	0	1	1000	0	30000	0	1,200000048	0	tunbu079	
unbu080	F0713	4	Temporary	0	1	1000	0	30000	0	1,200000048	0	tunbu080	
