clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	stb	byte	word	dword	word	word	word	word	byte	byte	word	dword	dword	dword	dword	dword	byte	byte	byte	byte	byte	byte	word	dword	dword	dword	dword	dword	dword	xeh	dword	END
unbu029	Вспомогательный	F0708	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu030	Вспомогательный	F0709	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu031	Гранатометный Боеприпас	F070A	22	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	12	0	
unbu032	Вспомогательная система XR11	F070B	21	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1E	0	
unbu033	Вспомогательная система XR12	F070C	22	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1F	0	
unbu034	Вспомогательная система XR13	F070D	23	11000	43	0	0	40000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	20	0	
unbu035	Вспомогательная система XR14	F070E	24	11000	43	0	0	120000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	21	0	
unbu036	Вспомогательная система XR15	F070F	25	11000	43	0	0	120000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	22	0	
unbu037	Вспомогательная система XR16	F0710	26	11000	43	0	0	240000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	23	0	
unbu038	Вспомогательный	F0711	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu039	Вспомогательный	F0712	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu040	Вспомогательный	F0713	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbe000	Пустой Магазин	F07FF	1	11000	43	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
unbu041	Вспомогательный	F0700	2	11000	43	0	0	10000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu042	Вспомогательный	F0701	3	11000	43	0	0	20000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu043	Вспомогательный	F0702	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu044	Вспомогательный	F0703	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu045	Вспомогательный	F0704	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu046	Вспомогательный	F0705	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu047	Вспомогательный	F0706	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu048	Вспомогательный	F0707	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu049	Вспомогательный	F0708	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu050	Вспомогательный	F0709	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu051	Вспомогательный	F070A	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu052	Вспомогательный	F070B	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu053	Вспомогательный	F070C	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu054	Вспомогательный	F070D	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu055	Вспомогательный	F070E	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu056	Вспомогательный	F070F	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu057	Вспомогательный	F0710	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu058	Вспомогательный	F0711	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu059	Вспомогательный	F0712	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu060	Вспомогательный	F0713	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbn000	Пустой Магазин	F07FF	1	11000	43	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
unbu061	Вспомогательный	F0700	2	11000	43	0	0	10000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu062	Вспомогательный	F0701	3	11000	43	0	0	20000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu063	Вспомогательный	F0702	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu064	Вспомогательный	F0703	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu065	Вспомогательный	F0704	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu066	Вспомогательный	F0705	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu067	Вспомогательный	F0706	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu068	Вспомогательный	F0707	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu069	Вспомогательный	F0708	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu070	Вспомогательный	F0709	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu071	Вспомогательный	F070A	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu072	Вспомогательный	F070B	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu073	Вспомогательный	F070C	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu074	Вспомогательный	F070D	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu075	Вспомогательный	F070E	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu076	Вспомогательный	F070F	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu077	Temporary	F0710	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu078	Temporary	F0711	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu079	Temporary	F0712	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
unbu080	Temporary	F0713	4	11000	43	0	0	30000	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	6	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	1	0	0	
