string[64]	dword	string[64]	dword	string[64]	dword	dword	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
bxgem02	1	A20802	106	Средняя Коробочка Мастера	208	250	11111	1	0	-1	0	1584	0	0	0	0	100	1	1	1	1	1	tbxgem02	0	0	0	
bxgem03	1	A20803	107	Большая Коробочка Мастера	208	250	11111	1	0	-1	0	10125	0	0	0	0	100	1	1	1	1	1	tbxgem03	0	0	0	
bxxts01	1	A2080E	106	Оружие Воина Только для Тестового Сервера	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxxts01	0	0	0	
bxxts02	1	A2080F	106	Элемент Пусковой Установки Только для Тестового Сервера	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxxts02	0	0	0	
bxxts03	1	A20810	106	Оружие Стрелка Только для Тестового Сервера	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxxts03	0	0	0	
bxxts04	1	A20811	106	Элемент Укрепления Только для Тестового Сервера	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxxts04	0	0	0	
bxxts05	1	A20812	106	Элемент Одежды Только для Тестового Сервера	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxxts05	0	0	0	
bxcsa01	1	A20812	149	Малый_Набор_Модификации_Оружия_	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa01	1	0	0	
bxcsa02	1	A20812	150	Средний_Набор_Модификации_Оружия_	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa02	1	0	0	
bxcsa03	1	A20812	151	Большой_Набор_Модификации_Оружия_	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa03	1	0	0	
bxcsa04	1	A20812	149	Малый_Набор_Модификации_Оружия_	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa04	1	0	0	
bxcsa05	1	A20812	150	Средний_Набор_Модификации_Оружия_	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa05	1	0	0	
bxcsa06	1	A20812	151	Большой_Набор_Модификации_Оружия_	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa06	1	0	0	
bxcsa07	1	A20812	149	Малый_Набор_Модификации_Оружия_	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa07	1	0	0	
bxcsa08	1	A20812	150	Средний_Набор_Модификации_Оружия_	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa08	1	0	0	
bxcsa09	1	A20812	151	Большой_Набор_Модификации_Оружия_	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa09	1	0	0	
bxchu00	1	A20801	120	Большой Праздничный Презент	208	250	11111	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxchu00	0	0	0	
bxchu01	1	A20801	106	Праздничный Презент	208	250	11111	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxchu01	0	0	0	
bxcjh01	1	A20801	229	Куб Изобретателя 	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxcjh01	0	0	0	
bxcsa10	1	A20812	210	Малый_Набор_Хрупкой_Модификации_Брони	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa10	1	0	0	
bxcsa11	1	A20812	211	Средний_Набор_Хрупкой_Модификации_Брони	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa11	1	0	0	
bxcsa12	1	A20812	212	Крупный_Набор_Хрупкой_Модификации_Брони	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa12	1	0	0	
bxcsa13	1	A20812	213	Малый_Набор_Хрупкой_Модификации_Брони	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa13	1	0	0	
bxcsa14	1	A20812	214	Средний_Набор_Хрупкой_Модификации_Брони	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa14	1	0	0	
bxcsa15	1	A20812	215	Крупный_Набор_Хрупкой_Модификации_Брони	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa15	1	0	0	
bxcsa16	1	A20812	216	Малый_Набор_Хрупкой_Модификации_Брони	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa16	1	0	0	
bxcsa17	1	A20812	217	Средний_Набор_Хрупкой_Модификации_Брони	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa17	1	0	0	
bxcsa18	1	A20812	218	Крупный_Набор_Хрупкой_Модификации_Брони	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa18	1	0	0	
bxcsa19	1	A20812	219	Малый_Набор_Хрупкой_Модификации_Оружия	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa19	1	0	0	
bxcsa20	1	A20812	220	Средний_Набор_Хрупкой_Модификации_Оружия	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa20	1	0	0	
bxcsa21	1	A20812	221	Большой_Набор_Хрупкой_Модификации_Оружия	208	250	11000	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa21	1	0	0	
bxcsa22	1	A20812	222	Малый_Набор_Хрупкой_Модификации_Оружия	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa22	1	0	0	
bxcsa23	1	A20812	223	Средний_Набор_Хрупкой_Модификации_Оружия	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa23	1	0	0	
bxcsa24	1	A20812	224	Большой_Набор_Хрупкой_Модификации_Оружия	208	250	00110	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa24	1	0	0	
bxcsa25	1	A20812	225	Малый_Набор_Хрупкой_Модификации_Оружия	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa25	1	0	0	
bxcsa26	1	A20812	226	Средний_Набор_Хрупкой_Модификации_Оружия	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa26	1	0	0	
bxcsa27	1	A20812	227	Большой_Набор_Хрупкой_Модификации_Оружия	208	250	00001	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa27	1	0	0	
bxcsa28	1	A20812	228	Сокетный Куб	208	250	11111	1	0	-1	0	1	0	0	0	0	100	1	1	1	1	1	tbxcsa28	1	0	0	
bxgem04	1	A20803	231	Коробочка переработки	208	250	11111	1	0	-1	0	10000	0	0	0	0	100	1	1	1	1	1	tbxgem04	0	0	0	
bxdha00	1	A20812	243	Награда Цитадели 	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha00	0	0	0	
bxdha01	1	A20812	243	Награда Цитадели 	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha01	0	0	0	
bxdha02	1	A20812	243	Награда Цитадели 	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha02	0	0	0	
bxdha03	1	A20812	244	Коробка Брони Цитадели [Шлем	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha03	0	0	0	
bxdha04	1	A20812	244	Коробка Брони Цитадели [Шлем	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha04	0	0	0	
bxdha05	1	A20812	244	Коробка Брони Цитадели [Шлем	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha05	0	0	0	
bxdha06	1	A20812	244	Коробка Брони Цитадели [Торс	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha06	0	0	0	
bxdha07	1	A20812	244	Коробка Брони Цитадели [Торс	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha07	0	0	0	
bxdha08	1	A20812	244	Коробка Брони Цитадели [Торс	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha08	0	0	0	
bxdha09	1	A20812	244	Коробка Брони Цитадели [Ноги	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha09	0	0	0	
bxdha10	1	A20812	244	Коробка Брони Цитадели [Ноги	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha10	0	0	0	
bxdha11	1	A20812	244	Коробка Брони Цитадели [Ноги	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha11	0	0	0	
bxdha12	1	A20812	244	Коробка Брони Цитадели [Руки	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha12	0	0	0	
bxdha13	1	A20812	244	Коробка Брони Цитадели [Руки	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha13	0	0	0	
bxdha14	1	A20812	244	Коробка Брони Цитадели [Руки	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha14	0	0	0	
bxdha15	1	A20812	244	Коробка Брони Цитадели [Ступни	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha15	0	0	0	
bxdha16	1	A20812	244	Коробка Брони Цитадели [Ступни	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha16	0	0	0	
bxdha17	1	A20812	244	Коробка Брони Цитадели [Ступни	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha17	0	0	0	
bxdha18	1	A20812	245	Коробка Оружия Цитадели	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha18	0	0	0	
bxdha19	1	A20812	245	Коробка Оружия Цитадели	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha19	0	0	0	
bxdha20	1	A20812	245	Коробка Оружия Цитадели	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha20	0	0	0	
bxdha21	1	A20812	246	Коробка Драгоценностей Цитадели	208	250	11000	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha21	0	0	0	
bxdha22	1	A20812	246	Коробка Драгоценностей Цитадели	208	250	00110	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha22	0	0	0	
bxdha23	1	A20812	246	Коробка Драгоценностей Цитадели	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxdha23	0	0	0	
bxknb01	1	A20812	247	Меч со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxknb01	0	0	0	
bxswb01	1	A20812	248	Двуручный Меч со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxswb01	0	0	0	
bxaxb01	1	A20812	249	Топор со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxaxb01	0	0	0	
bxmab01	1	A20812	250	Булава/Молот со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxmab01	0	0	0	
bxspb01	1	A20812	251	Копье со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxspb01	0	0	0	
bxbob01	1	A20812	252	Лук/Арбалет со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxbob01	0	0	0	
bxfib01	1	A20812	253	Ружье/Пулемет со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxfib01	0	0	0	
bxlub01	1	A20812	254	ПУ со скрытой магией	208	250	00001	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxlub01	0	0	0	
bxstb01	1	A20812	255	Жезл/Посох со скрытой магией	208	250	11111	1	0	-1	0	2000000	0	0	0	0	100	1	0	0	1	1	tbxstb01	0	0	0	
bxbih01	1	A20812	256	Секретная магическая Коробка [Шлем	208	250	11000	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxbih01	0	0	0	
bxcih01	1	A20812	256	Секретная магическая Коробка [Шлем	208	250	00110	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxcih01	0	0	0	
bxaih01	1	A20812	256	Секретная магическая Коробка [Шлем	208	250	00001	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxaih01	0	0	0	
bxbiu01	1	A20812	257	Секретная магическая Коробка [Торс	208	250	11000	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxbiu01	0	0	0	
bxciu01	1	A20812	257	Секретная магическая Коробка [Торс	208	250	00110	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxciu01	0	0	0	
bxaiu01	1	A20812	257	Секретная магическая Коробка [Торс	208	250	00001	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxaiu01	0	0	0	
bxbil01	1	A20812	258	Секретная магическая Коробка [Ноги	208	250	11000	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxbil01	0	0	0	
bxcil01	1	A20812	258	Секретная магическая Коробка [Ноги	208	250	00110	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxcil01	0	0	0	
bxail01	1	A20812	258	Секретная магическая Коробка [Ноги	208	250	00001	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxail01	0	0	0	
bxbig01	1	A20812	259	Секретная магическая Коробка [Руки	208	250	11000	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxbig01	0	0	0	
bxcig01	1	A20812	259	Секретная магическая Коробка [Руки	208	250	00110	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxcig01	0	0	0	
bxaig01	1	A20812	259	Секретная магическая Коробка [Руки	208	250	00001	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxaig01	0	0	0	
bxbis01	1	A20812	260	Секретная магическая Коробка [Ступни	208	250	11000	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxbis01	0	0	0	
bxcis01	1	A20812	260	Секретная магическая Коробка [Ступни	208	250	00110	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxcis01	0	0	0	
bxais01	1	A20812	260	Секретная магическая Коробка [Ступни	208	250	00001	1	0	-1	0	1000000	0	0	0	0	50	1	0	0	1	1	tbxais01	0	0	0	
bxbih00	1	A20812	256	Секретная магическая Коробка Брони [Шлем	208	250	11000	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxbih00	0	0	0	
bxcih00	1	A20812	256	Секретная магическая Коробка Брони [Шлем	208	250	00110	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxcih00	0	0	0	
bxaih00	1	A20812	256	Секретная магическая Коробка Брони [Шлем	208	250	00001	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxaih00	0	0	0	
bxbiu00	1	A20812	257	Секретная магическая Коробка Брони [Торс	208	250	11000	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxbiu00	0	0	0	
bxciu00	1	A20812	257	Секретная магическая Коробка Брони [Торс	208	250	00110	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxciu00	0	0	0	
bxaiu00	1	A20812	257	Секретная магическая Коробка Брони [Торс	208	250	00001	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxaiu00	0	0	0	
bxbil00	1	A20812	258	Секретная магическая Коробка Брони [Ноги	208	250	11000	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxbil00	0	0	0	
bxcil00	1	A20812	258	Секретная магическая Коробка Брони [Ноги	208	250	00110	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxcil00	0	0	0	
bxail00	1	A20812	258	Секретная магическая Коробка Брони [Ноги	208	250	00001	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxail00	0	0	0	
bxbig00	1	A20812	259	Секретная магическая Коробка Брони [Руки	208	250	11000	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxbig00	0	0	0	
bxcig00	1	A20812	259	Секретная магическая Коробка Брони [Руки	208	250	00110	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxcig00	0	0	0	
bxaig00	1	A20812	259	Секретная магическая Коробка Брони [Руки	208	250	00001	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxaig00	0	0	0	
bxbis00	1	A20812	260	Секретная магическая Коробка Брони [Ступни	208	250	11000	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxbis00	0	0	0	
bxcis00	1	A20812	260	Секретная магическая Коробка Брони [Ступни	208	250	00110	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxcis00	0	0	0	
bxais00	1	A20812	260	Секретная магическая Коробка Брони [Ступни	208	250	00001	1	0	-1	0	500000	0	0	0	0	50	1	0	0	1	1	tbxais00	0	0	0	
bxbud01	1	A20812	262	Коробка Бусинок	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	0	0	1	1	tbxbud01	0	0	0	
bxtal01	1	A20812	271	Коробочка с загадочным сокровищем	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	0	0	1	1	tbxtal01	0	0	0	
bxtal02	1	A20812	272	Коробочка с магическим загадочным сокровищем	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	0	0	1	1	tbxtal02	0	0	0	
bxtal03	1	A20812	269	Коробочка с загадочным сокровищем	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	0	0	1	1	tbxtal03	0	0	0	
bxtal04	1	A20812	270	Коробочка с магическим загадочным сокровищем	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	0	0	1	1	tbxtal04	0	0	0	
bxbwc50	1	A20812	266	Наградная коробочка воина Федерации [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbwc50	0	0	0	
bxbrc50	1	A20812	266	Наградная коробочка стрелка Федерации [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbrc50	0	0	0	
bxbfc50	1	A20812	266	Наградная коробочка мага Федерации [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbfc50	0	0	0	
bxcwc50	1	A20812	266	Наградная коробочка воина Альянса [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcwc50	0	0	0	
bxcrc50	1	A20812	266	Наградная коробочка стрелка Альянса [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcrc50	0	0	0	
bxcfc50	1	A20812	266	Наградная коробочка мага Альянса [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcfc50	0	0	0	
bxawc50	1	A20812	266	Наградная коробочка воина Империи [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxawc50	0	0	0	
bxarc50	1	A20812	266	Наградная коробочка стрелка Империи [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxarc50	0	0	0	
bxafc50	1	A20812	266	Наградная коробочка ракетчика Империи [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxafc50	0	0	0	
bxbwc53	1	A20812	266	Наградная коробочка воина Федерации [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbwc53	0	0	0	
bxbrc53	1	A20812	266	Наградная коробочка стрелка Федерации [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbrc53	0	0	0	
bxbfc53	1	A20812	266	Наградная коробочка мага Федерации [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbfc53	0	0	0	
bxcwc53	1	A20812	266	Наградная коробочка воина Альянса [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcwc53	0	0	0	
bxcrc53	1	A20812	266	Наградная коробочка стрелка Альянса [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcrc53	0	0	0	
bxcfc53	1	A20812	266	Наградная коробочка мага Альянса [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcfc53	0	0	0	
bxawc53	1	A20812	266	Наградная коробочка воина Империи [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxawc53	0	0	0	
bxarc53	1	A20812	266	Наградная коробочка стрелка Империи [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxarc53	0	0	0	
bxafc53	1	A20812	266	Наградная коробочка ракетчика Империи [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxafc53	0	0	0	
bxbwc55	1	A20812	266	Наградная коробочка воина Федерации [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbwc55	0	0	0	
bxbrc55	1	A20812	266	Наградная коробочка стрелка Федерации [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbrc55	0	0	0	
bxbfc55	1	A20812	266	Наградная коробочка мага Федерации [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbfc55	0	0	0	
bxcwc55	1	A20812	266	Наградная коробочка воина Альянса [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcwc55	0	0	0	
bxcrc55	1	A20812	266	Наградная коробочка стрелка Альянса [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcrc55	0	0	0	
bxcfc55	1	A20812	266	Наградная коробочка мага Альянса [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcfc55	0	0	0	
bxawc55	1	A20812	266	Наградная коробочка воина Империи [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxawc55	0	0	0	
bxarc55	1	A20812	266	Наградная коробочка стрелка Империи [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxarc55	0	0	0	
bxafc55	1	A20812	266	Наградная коробочка ракетчика Империи [55	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxafc55	0	0	0	
bxrel01	1	A20812	267	Наследие аборигенов Новуса	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxrel01	0	0	0	
bxbab50	1	A20812	266	Маленькая наградная коробочка Федерации	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbab50	0	0	0	
bxcab50	1	A20812	266	Маленькая наградная коробочка Альянса	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcab50	0	0	0	
bxaab50	1	A20812	266	Маленькая наградная коробочка Империи	208	250	00001	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxaab50	0	0	0	
bxspr50	1	A20812	284	Коробочка Превосходства [50	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxupd50	1	0	0	
bxspr53	1	A20812	285	Коробочка Превосходства [53	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxupd53	1	0	0	
bxspr55	1	A20812	286	Коробочка Превосходства [55	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxupd55	1	0	0	
bxleo01	1	A20812	287	Оружейная коробочка Леона	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxleo01	0	0	0	
bxleo02	1	A20812	287	Оружейная коробочка Леона	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxleo02	0	0	0	
bxleo03	1	A20812	287	Оружейная коробочка Леона	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxleo03	0	0	0	
bxleo04	1	A20812	287	Оружейная коробочка Леона	208	250	11111	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxleo04	0	0	0	
bxbno50	1	A20812	266	Наградная коробочка Федерации [50	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbno50	0	0	0	
bxbno53	1	A20812	266	Наградная коробочка Федерации [53	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbno53	0	0	0	
bxbno55	1	A20812	266	Наградная коробочка Федерации [55	208	250	11000	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxbno55	0	0	0	
bxcno50	1	A20812	266	Наградная коробочка Альянса [50	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcno50	0	0	0	
bxcno53	1	A20812	266	Наградная коробочка Альянса [53	208	250	00110	1	0	-1	0	1	0	0	0	0	50	1	1	1	1	1	tbxcno53	0	0	0	
