string[64]	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	string[8]	dword	dword	END
bxscr01	ioblu04	99	800	iored04	99	800	ioyel04	99	800	iogre04	99	800	iobla04	99	800	rebbb04	1	2450	rebbb05	1	1700	iqres01	1	1100	ikbb001	1	50	ikbb002	1	50	ikbb003	1	50	ikbb004	1	50	ikbb005	1	50	ikcc001	1	50	ikcc002	1	50	ikcc003	1	50	ikcc004	1	50	ikcc005	1	50	ikaa001	1	50	ikaa002	1	50	ikaa003	1	50	ikaa004	1	50	ikaa005	1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem01	iybox01	1	6030	iymas01	1	670	ipcha01	1	300	ipcha02	1	300	ipcha03	1	300	ipcha04	1	300	ipcha05	1	300	ipcha06	1	300	iwkna45	1	100	iwswa45	1	100	iwaxa45	1	100	iwmaa45	1	100	iwsta45	1	100	iwspa45	1	100	iwboa45	1	100	iwfia45	1	100	iwlua45	1	100	ipbde01	3	100	ipbde02	3	100	ipbde03	3	100	rebbb01	1	100	bxgem02	1	100	bxgem03	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem02	iybox02	1	5360	iymas02	2	1340	ipbde01	10	300	ipbde02	10	300	ipbde03	10	300	rebbb01	1	300	rebbb02	1	300	bxgem01	4	300	bxgem03	1	100	iwknb45	1	100	iwswb45	1	100	iwaxb45	1	100	iwmab45	1	100	iwstb45	1	100	iwspb45	1	100	iwbob45	1	100	iwfib45	1	100	iwlub45	1	100	irgef04	1	100	irgea04	1	100	irget04	1	100	irgew04	1	100	bxgem03	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxgem03	iybox03	1	4663	iymas03	3	1999	irgea04	1	130	irgef04	1	130	irget04	1	130	irgew04	1	130	bxgem01	20	130	bxgem02	4	130	rebbb02	1	130	rebbb02	1	130	rebbb02	1	130	bxgem02	4	130	bxgem02	4	130	bxgem01	20	130	bxgem01	20	130	iwaxb45	1	90	iwbob45	1	90	iwfib45	1	90	iwknb45	1	90	iwlub45	1	90	iwmab45	1	90	iwspb45	1	90	iwstb45	1	90	iwswb45	1	90	iwaxb50	1	90	iwbob50	1	90	iwfab50	1	90	iwfib50	1	90	iwknb50	1	90	iwmab50	1	90	iwspb50	1	90	iwstb50	1	90	iwswb50	1	90	bxgem02	4	1	bxgem02	4	1	bxgem02	4	1	bxgem02	4	1	iaaab43	1	1	iaaab51	1	1	iaaab59	1	1	iabba86	1	1	iabba94	1	1	iabbb11	1	1	iacca65	1	1	iacca73	1	1	iacca81	1	1	iacca89	1	1	iiaab43	1	1	iiaab51	1	1	iiaab59	1	1	iiaab67	1	1	iibba65	1	1	iibba73	1	1	iibba81	1	1	iibba89	1	1	iicca86	1	1	iicca94	1	1	iiccb11	1	1	rebbb03	1	1	rebbb03	1	1	rebbb02	1	1	
bxxts01	iyfok11	1	400	iyfok12	1	400	iyfok13	1	400	iyfok14	1	400	iyffk11	1	400	iyffk12	1	400	iyffk13	1	400	iyffk14	1	400	iyfik11	1	400	iyfik12	1	400	iyfik13	1	400	iyfik14	1	400	iyfos11	1	400	iyfos12	1	400	iyfos13	1	400	iyfos14	1	400	iyffs11	1	400	iyffs12	1	400	iyffs13	1	400	iyffs14	1	400	iyfis11	1	400	iyfis12	1	400	iyfis13	1	400	iyfis14	1	400	imleo01	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxxts02	iyfot11	1	400	iyfot12	1	400	iyfot13	1	400	iyfot14	1	400	iyfft11	1	400	iyfft12	1	400	iyfft13	1	400	iyfft14	1	400	iyfit11	1	400	iyfit12	1	400	iyfit13	1	400	iyfit14	1	400	iyfol11	1	400	iyfol12	1	400	iyfol13	1	400	iyfol14	1	400	iyffl11	1	400	iyffl12	1	400	iyffl13	1	400	iyffl14	1	400	iyfil11	1	400	iyfil12	1	400	iyfil13	1	400	iyfil14	1	400	imleo01	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxxts03	iyfob11	1	400	iyfob12	1	400	iyfob13	1	400	iyfob14	1	400	iyffb11	1	400	iyffb12	1	400	iyffb13	1	400	iyffb14	1	400	iyfib11	1	400	iyfib12	1	400	iyfib13	1	400	iyfib14	1	400	iyfog11	1	400	iyfog12	1	400	iyfog13	1	400	iyfog14	1	400	iyffg11	1	400	iyffg12	1	400	iyffg13	1	400	iyffg14	1	400	iyfig11	1	400	iyfig12	1	400	iyfig13	1	400	iyfig14	1	400	imleo01	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxxts04	iyfil25	5	400	iyfil26	5	400	iyfil27	5	400	iyfil28	5	400	iyfil29	5	400	iyfil30	5	400	iyfil31	5	400	iyfil32	5	400	iyfil33	5	400	iyfil34	5	400	iyfil35	5	400	iyfil36	5	400	iyfil37	5	400	iyfil38	5	400	iyfil39	5	400	iyfil40	5	400	iyfil41	5	500	iyfil42	5	500	iyfil43	5	500	iyfil44	5	500	iyfil45	5	500	iyfil46	5	500	iyfil47	5	500	iyfil48	5	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxxts05	iyfil49	10	2500	iyfil50	10	2500	iyfil51	10	2500	iyfil52	10	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa01	iycsb18	1	5595	iycsb21	1	1200	iycsb26	1	800	iycsb29	1	800	iycsb36	1	400	iycsb39	1	200	iycsa02	1	100	iycsb44	1	100	iycsb48	1	100	iycsb49	1	60	iycsb52	1	30	iycsa08	1	15	iycsb57	1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa02	iycsb22	1	4734	iycsb25	1	1200	iycsb26	1	1000	iycsb29	1	800	iycsb32	1	600	iycsb40	1	450	iycsa01	1	300	iycsa02	1	220	iycsb44	1	200	iycsb46	1	180	iycsb53	1	150	iycsa07	1	90	iycsa08	1	45	iycsb57	1	30	iycsb59	1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
bxcsa03	iycsb25	1	4545	iycsb26	1	1392	iycsa01	1	1010	iycsb29	1	636	iycsa02	1	547	iycsa07	1	458	iycsa08	1	301	iycsb30	1	280	iycsb44	1	250	iycsb57	1	138	iycsb32	1	137	iycsa03	1	110	iycsa09	1	61	iycsb46	1	54	iycsb33	1	50	iycsb59	1	10	iycsa06	1	10	iycsb34	1	5	iycsa12	1	5	iycsb47	1	3	iycsb60	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
