clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	END
bxcsa04	Малый_Набор_Модификации_Оружия_	A20812	149	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	22	1	1	0	-1	1	0	0	0	
bxcsa05	Средний_Набор_Модификации_Оружия_	A20812	150	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	23	1	1	0	-1	1	0	0	0	
bxcsa06	Большой_Набор_Модификации_Оружия_	A20812	151	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	24	1	1	0	-1	1	0	0	0	
bxcsa07	Малый_Набор_Модификации_Оружия_	A20812	149	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	25	1	1	0	-1	1	0	0	0	
bxcsa08	Средний_Набор_Модификации_Оружия_	A20812	150	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	26	1	1	0	-1	1	0	0	0	
bxcsa09	Большой_Набор_Модификации_Оружия_	A20812	151	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	27	1	1	0	-1	1	0	0	0	
bxchu00	Большой Праздничный Презент	A20801	120	11111	31	0	0	1	0	0	0	0	100	1	1	1	1	28	1	0	0	-1	1	0	0	0	
bxchu01	Праздничный Презент	A20801	106	11111	31	0	0	1	0	0	0	0	100	1	1	1	1	29	1	0	0	-1	1	0	0	0	
bxcjh01	Куб Изобретателя 	A20801	229	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	30	1	0	0	-1	1	0	0	0	
bxcsa10	Малый_Набор_Хрупкой_Модификации_Брони	A20812	210	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	31	1	1	0	-1	1	0	0	0	
bxcsa11	Средний_Набор_Хрупкой_Модификации_Брони	A20812	211	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	32	1	1	0	-1	1	0	0	0	
bxcsa12	Крупный_Набор_Хрупкой_Модификации_Брони	A20812	212	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	33	1	1	0	-1	1	0	0	0	
bxcsa13	Малый_Набор_Хрупкой_Модификации_Брони	A20812	213	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	34	1	1	0	-1	1	0	0	0	
bxcsa14	Средний_Набор_Хрупкой_Модификации_Брони	A20812	214	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	35	1	1	0	-1	1	0	0	0	
bxcsa15	Крупный_Набор_Хрупкой_Модификации_Брони	A20812	215	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	36	1	1	0	-1	1	0	0	0	
bxcsa16	Малый_Набор_Хрупкой_Модификации_Брони	A20812	216	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	37	1	1	0	-1	1	0	0	0	
bxcsa17	Средний_Набор_Хрупкой_Модификации_Брони	A20812	217	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	38	1	1	0	-1	1	0	0	0	
bxcsa18	Крупный_Набор_Хрупкой_Модификации_Брони	A20812	218	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	39	1	1	0	-1	1	0	0	0	
bxcsa19	Малый_Набор_Хрупкой_Модификации_Оружия	A20812	219	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	40	1	1	0	-1	1	0	0	0	
bxcsa20	Средний_Набор_Хрупкой_Модификации_Оружия	A20812	220	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	41	1	1	0	-1	1	0	0	0	
bxcsa21	Большой_Набор_Хрупкой_Модификации_Оружия	A20812	221	11000	31	0	0	1	0	0	0	0	100	1	1	1	1	42	1	1	0	-1	1	0	0	0	
bxcsa22	Малый_Набор_Хрупкой_Модификации_Оружия	A20812	222	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	43	1	1	0	-1	1	0	0	0	
bxcsa23	Средний_Набор_Хрупкой_Модификации_Оружия	A20812	223	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	44	1	1	0	-1	1	0	0	0	
bxcsa24	Большой_Набор_Хрупкой_Модификации_Оружия	A20812	224	00110	31	0	0	1	0	0	0	0	100	1	1	1	1	45	1	1	0	-1	1	0	0	0	
bxcsa25	Малый_Набор_Хрупкой_Модификации_Оружия	A20812	225	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	46	1	1	0	-1	1	0	0	0	
bxcsa26	Средний_Набор_Хрупкой_Модификации_Оружия	A20812	226	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	47	1	1	0	-1	1	0	0	0	
bxcsa27	Большой_Набор_Хрупкой_Модификации_Оружия	A20812	227	00001	31	0	0	1	0	0	0	0	100	1	1	1	1	48	1	1	0	-1	1	0	0	0	
bxcsa28	Сокетный Куб	A20812	228	11111	31	0	0	1	0	0	0	0	100	1	1	1	1	49	1	1	0	-1	1	0	0	0	
bxgem04	Коробочка переработки	A20803	231	11111	31	0	0	10000	0	0	0	0	100	1	1	1	1	13	1	0	0	-1	1	0	0	0	
bxdha00	Награда Цитадели 	A20812	243	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	50	1	0	0	-1	1	0	0	0	
bxdha01	Награда Цитадели 	A20812	243	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	51	1	0	0	-1	1	0	0	0	
bxdha02	Награда Цитадели 	A20812	243	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	52	1	0	0	-1	1	0	0	0	
bxdha03	Коробка Брони Цитадели [Шлем	A20812	244	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	53	1	0	0	-1	1	0	0	0	
bxdha04	Коробка Брони Цитадели [Шлем	A20812	244	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	54	1	0	0	-1	1	0	0	0	
bxdha05	Коробка Брони Цитадели [Шлем	A20812	244	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	55	1	0	0	-1	1	0	0	0	
bxdha06	Коробка Брони Цитадели [Торс	A20812	244	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	56	1	0	0	-1	1	0	0	0	
bxdha07	Коробка Брони Цитадели [Торс	A20812	244	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	57	1	0	0	-1	1	0	0	0	
bxdha08	Коробка Брони Цитадели [Торс	A20812	244	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	58	1	0	0	-1	1	0	0	0	
bxdha09	Коробка Брони Цитадели [Ноги	A20812	244	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	59	1	0	0	-1	1	0	0	0	
bxdha10	Коробка Брони Цитадели [Ноги	A20812	244	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	60	1	0	0	-1	1	0	0	0	
bxdha11	Коробка Брони Цитадели [Ноги	A20812	244	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	61	1	0	0	-1	1	0	0	0	
bxdha12	Коробка Брони Цитадели [Руки	A20812	244	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	62	1	0	0	-1	1	0	0	0	
bxdha13	Коробка Брони Цитадели [Руки	A20812	244	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	63	1	0	0	-1	1	0	0	0	
bxdha14	Коробка Брони Цитадели [Руки	A20812	244	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	64	1	0	0	-1	1	0	0	0	
bxdha15	Коробка Брони Цитадели [Ступни	A20812	244	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	65	1	0	0	-1	1	0	0	0	
bxdha16	Коробка Брони Цитадели [Ступни	A20812	244	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	66	1	0	0	-1	1	0	0	0	
bxdha17	Коробка Брони Цитадели [Ступни	A20812	244	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	67	1	0	0	-1	1	0	0	0	
bxdha18	Коробка Оружия Цитадели	A20812	245	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	68	1	0	0	-1	1	0	0	0	
bxdha19	Коробка Оружия Цитадели	A20812	245	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	69	1	0	0	-1	1	0	0	0	
bxdha20	Коробка Оружия Цитадели	A20812	245	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	70	1	0	0	-1	1	0	0	0	
bxdha21	Коробка Драгоценностей Цитадели	A20812	246	11000	31	0	0	2000000	0	0	0	0	100	0	1	0	1	71	1	0	0	-1	1	0	0	0	
bxdha22	Коробка Драгоценностей Цитадели	A20812	246	00110	31	0	0	2000000	0	0	0	0	100	0	1	0	1	72	1	0	0	-1	1	0	0	0	
bxdha23	Коробка Драгоценностей Цитадели	A20812	246	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	73	1	0	0	-1	1	0	0	0	
bxknb01	Меч со скрытой магией	A20812	247	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	74	1	0	0	-1	1	0	0	0	
bxswb01	Двуручный Меч со скрытой магией	A20812	248	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	75	1	0	0	-1	1	0	0	0	
bxaxb01	Топор со скрытой магией	A20812	249	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	76	1	0	0	-1	1	0	0	0	
bxmab01	Булава/Молот со скрытой магией	A20812	250	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	77	1	0	0	-1	1	0	0	0	
bxspb01	Копье со скрытой магией	A20812	251	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	78	1	0	0	-1	1	0	0	0	
bxbob01	Лук/Арбалет со скрытой магией	A20812	252	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	79	1	0	0	-1	1	0	0	0	
bxfib01	Ружье/Пулемет со скрытой магией	A20812	253	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	80	1	0	0	-1	1	0	0	0	
bxlub01	ПУ со скрытой магией	A20812	254	00001	31	0	0	2000000	0	0	0	0	100	0	1	0	1	81	1	0	0	-1	1	0	0	0	
bxstb01	Жезл/Посох со скрытой магией	A20812	255	11111	31	0	0	2000000	0	0	0	0	100	0	1	0	1	82	1	0	0	-1	1	0	0	0	
bxbih01	Секретная магическая Коробка [Шлем	A20812	256	11000	31	0	0	1000000	0	0	0	0	50	0	1	0	1	83	1	0	0	-1	1	0	0	0	
bxcih01	Секретная магическая Коробка [Шлем	A20812	256	00110	31	0	0	1000000	0	0	0	0	50	0	1	0	1	84	1	0	0	-1	1	0	0	0	
bxaih01	Секретная магическая Коробка [Шлем	A20812	256	00001	31	0	0	1000000	0	0	0	0	50	0	1	0	1	85	1	0	0	-1	1	0	0	0	
bxbiu01	Секретная магическая Коробка [Торс	A20812	257	11000	31	0	0	1000000	0	0	0	0	50	0	1	0	1	86	1	0	0	-1	1	0	0	0	
bxciu01	Секретная магическая Коробка [Торс	A20812	257	00110	31	0	0	1000000	0	0	0	0	50	0	1	0	1	87	1	0	0	-1	1	0	0	0	
bxaiu01	Секретная магическая Коробка [Торс	A20812	257	00001	31	0	0	1000000	0	0	0	0	50	0	1	0	1	88	1	0	0	-1	1	0	0	0	
bxbil01	Секретная магическая Коробка [Ноги	A20812	258	11000	31	0	0	1000000	0	0	0	0	50	0	1	0	1	89	1	0	0	-1	1	0	0	0	
bxcil01	Секретная магическая Коробка [Ноги	A20812	258	00110	31	0	0	1000000	0	0	0	0	50	0	1	0	1	90	1	0	0	-1	1	0	0	0	
bxail01	Секретная магическая Коробка [Ноги	A20812	258	00001	31	0	0	1000000	0	0	0	0	50	0	1	0	1	91	1	0	0	-1	1	0	0	0	
bxbig01	Секретная магическая Коробка [Руки	A20812	259	11000	31	0	0	1000000	0	0	0	0	50	0	1	0	1	92	1	0	0	-1	1	0	0	0	
bxcig01	Секретная магическая Коробка [Руки	A20812	259	00110	31	0	0	1000000	0	0	0	0	50	0	1	0	1	93	1	0	0	-1	1	0	0	0	
bxaig01	Секретная магическая Коробка [Руки	A20812	259	00001	31	0	0	1000000	0	0	0	0	50	0	1	0	1	94	1	0	0	-1	1	0	0	0	
bxbis01	Секретная магическая Коробка [Ступни	A20812	260	11000	31	0	0	1000000	0	0	0	0	50	0	1	0	1	95	1	0	0	-1	1	0	0	0	
bxcis01	Секретная магическая Коробка [Ступни	A20812	260	00110	31	0	0	1000000	0	0	0	0	50	0	1	0	1	96	1	0	0	-1	1	0	0	0	
bxais01	Секретная магическая Коробка [Ступни	A20812	260	00001	31	0	0	1000000	0	0	0	0	50	0	1	0	1	97	1	0	0	-1	1	0	0	0	
bxbih00	Секретная магическая Коробка Брони [Шлем	A20812	256	11000	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxcih00	Секретная магическая Коробка Брони [Шлем	A20812	256	00110	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxaih00	Секретная магическая Коробка Брони [Шлем	A20812	256	00001	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxbiu00	Секретная магическая Коробка Брони [Торс	A20812	257	11000	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxciu00	Секретная магическая Коробка Брони [Торс	A20812	257	00110	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxaiu00	Секретная магическая Коробка Брони [Торс	A20812	257	00001	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxbil00	Секретная магическая Коробка Брони [Ноги	A20812	258	11000	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxcil00	Секретная магическая Коробка Брони [Ноги	A20812	258	00110	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxail00	Секретная магическая Коробка Брони [Ноги	A20812	258	00001	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxbig00	Секретная магическая Коробка Брони [Руки	A20812	259	11000	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxcig00	Секретная магическая Коробка Брони [Руки	A20812	259	00110	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxaig00	Секретная магическая Коробка Брони [Руки	A20812	259	00001	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxbis00	Секретная магическая Коробка Брони [Ступни	A20812	260	11000	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxcis00	Секретная магическая Коробка Брони [Ступни	A20812	260	00110	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxais00	Секретная магическая Коробка Брони [Ступни	A20812	260	00001	31	0	0	500000	0	0	0	0	50	0	1	0	1	-1	1	0	0	-1	1	0	0	0	
bxbud01	Коробка Бусинок	A20812	262	11111	31	0	0	1	0	0	0	0	50	0	1	0	1	98	1	0	0	-1	1	0	0	0	
bxtal01	Коробочка с загадочным сокровищем	A20812	271	11111	31	0	0	1	0	0	0	0	50	0	1	0	1	99	1	0	0	-1	1	0	0	0	
bxtal02	Коробочка с магическим загадочным сокровищем	A20812	272	11111	31	0	0	1	0	0	0	0	50	0	1	0	1	100	1	0	0	-1	1	0	0	0	
bxtal03	Коробочка с загадочным сокровищем	A20812	269	11111	31	0	0	1	0	0	0	0	50	0	1	0	1	101	1	0	0	-1	1	0	0	0	
bxtal04	Коробочка с магическим загадочным сокровищем	A20812	270	11111	31	0	0	1	0	0	0	0	50	0	1	0	1	102	1	0	0	-1	1	0	0	0	
bxbwc50	Наградная коробочка воина Федерации [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	103	1	0	0	-1	1	0	0	0	
bxbrc50	Наградная коробочка стрелка Федерации [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	104	1	0	0	-1	1	0	0	0	
bxbfc50	Наградная коробочка мага Федерации [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	105	1	0	0	-1	1	0	0	0	
bxcwc50	Наградная коробочка воина Альянса [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	106	1	0	0	-1	1	0	0	0	
bxcrc50	Наградная коробочка стрелка Альянса [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	107	1	0	0	-1	1	0	0	0	
bxcfc50	Наградная коробочка мага Альянса [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	108	1	0	0	-1	1	0	0	0	
bxawc50	Наградная коробочка воина Империи [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	109	1	0	0	-1	1	0	0	0	
bxarc50	Наградная коробочка стрелка Империи [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	110	1	0	0	-1	1	0	0	0	
bxafc50	Наградная коробочка ракетчика Империи [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	111	1	0	0	-1	1	0	0	0	
bxbwc53	Наградная коробочка воина Федерации [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	112	1	0	0	-1	1	0	0	0	
bxbrc53	Наградная коробочка стрелка Федерации [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	113	1	0	0	-1	1	0	0	0	
bxbfc53	Наградная коробочка мага Федерации [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	114	1	0	0	-1	1	0	0	0	
bxcwc53	Наградная коробочка воина Альянса [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	115	1	0	0	-1	1	0	0	0	
bxcrc53	Наградная коробочка стрелка Альянса [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	116	1	0	0	-1	1	0	0	0	
bxcfc53	Наградная коробочка мага Альянса [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	117	1	0	0	-1	1	0	0	0	
bxawc53	Наградная коробочка воина Империи [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	118	1	0	0	-1	1	0	0	0	
bxarc53	Наградная коробочка стрелка Империи [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	119	1	0	0	-1	1	0	0	0	
bxafc53	Наградная коробочка ракетчика Империи [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	120	1	0	0	-1	1	0	0	0	
bxbwc55	Наградная коробочка воина Федерации [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	121	1	0	0	-1	1	0	0	0	
bxbrc55	Наградная коробочка стрелка Федерации [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	122	1	0	0	-1	1	0	0	0	
bxbfc55	Наградная коробочка мага Федерации [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	123	1	0	0	-1	1	0	0	0	
bxcwc55	Наградная коробочка воина Альянса [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	124	1	0	0	-1	1	0	0	0	
bxcrc55	Наградная коробочка стрелка Альянса [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	125	1	0	0	-1	1	0	0	0	
bxcfc55	Наградная коробочка мага Альянса [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	126	1	0	0	-1	1	0	0	0	
bxawc55	Наградная коробочка воина Империи [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	127	1	0	0	-1	1	0	0	0	
bxarc55	Наградная коробочка стрелка Империи [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	128	1	0	0	-1	1	0	0	0	
bxafc55	Наградная коробочка ракетчика Империи [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	129	1	0	0	-1	1	0	0	0	
bxrel01	Наследие аборигенов Новуса	A20812	267	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	130	1	0	0	-1	1	0	0	0	
bxbab50	Маленькая наградная коробочка Федерации	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	131	1	0	0	-1	1	0	0	0	
bxcab50	Маленькая наградная коробочка Альянса	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	132	1	0	0	-1	1	0	0	0	
bxaab50	Маленькая наградная коробочка Империи	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	133	1	0	0	-1	1	0	0	0	
bxspr50	Коробочка Превосходства [50	A20812	284	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	134	1	1	0	-1	1	0	0	0	
bxspr53	Коробочка Превосходства [53	A20812	285	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	135	1	1	0	-1	1	0	0	0	
bxspr55	Коробочка Превосходства [55	A20812	286	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	136	1	1	0	-1	1	0	0	0	
bxleo01	Оружейная коробочка Леона	A20812	287	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	137	1	0	0	-1	1	0	0	0	
bxleo02	Оружейная коробочка Леона	A20812	287	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	138	1	0	0	-1	1	0	0	0	
bxleo03	Оружейная коробочка Леона	A20812	287	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	139	1	0	0	-1	1	0	0	0	
bxleo04	Оружейная коробочка Леона	A20812	287	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	140	1	0	0	-1	1	0	0	0	
bxbno50	Наградная коробочка Федерации [50	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	141	1	0	0	-1	1	0	0	0	
bxbno53	Наградная коробочка Федерации [53	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	142	1	0	0	-1	1	0	0	0	
bxbno55	Наградная коробочка Федерации [55	A20812	266	11000	31	0	0	1	0	0	0	0	50	1	1	1	1	143	1	0	0	-1	1	0	0	0	
bxcno50	Наградная коробочка Альянса [50	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	144	1	0	0	-1	1	0	0	0	
bxcno53	Наградная коробочка Альянса [53	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	145	1	0	0	-1	1	0	0	0	
bxcno55	Наградная коробочка Альянса [55	A20812	266	00110	31	0	0	1	0	0	0	0	50	1	1	1	1	146	1	0	0	-1	1	0	0	0	
bxano50	Наградная коробочка Империи [50	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	147	1	0	0	-1	1	0	0	0	
bxano53	Наградная коробочка Империи [53	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	148	1	0	0	-1	1	0	0	0	
bxano55	Наградная коробочка Империи [55	A20812	266	00001	31	0	0	1	0	0	0	0	50	1	1	1	1	149	1	0	0	-1	1	0	0	0	
bxcou01	Коробочка Купона	A20812	288	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	150	1	0	0	-1	1	0	0	0	
bxbgb01	Подарочная коробочка Золотой Пинг	A20812	310	11111	31	0	0	1	0	0	0	0	50	1	1	1	1	151	1	0	0	-1	1	0	0	0	
bxqsa01	40лвл Тип С Коробка с оружием 	A20812	301	11111	31	1	0	10	0	0	0	0	50	0	1	0	0	152	1	0	0	-1	1	0	0	0	
bxqsa02	40лвл Тип С Коробка с оружием 	A20812	302	11111	31	1	0	10	0	0	0	0	50	0	1	0	0	153	1	0	0	-1	1	0	0	0	
bxqsa03	40лвл Тип С Коробка с оружием 	A20812	303	11111	31	1	0	10	0	0	0	0	50	0	1	0	0	154	1	0	0	-1	1	0	0	0	
bxqsa04	40лвл Тип С Коробка с оружием 	A20812	304	11111	31	1	0	10	0	0	0	0	50	0	1	0	0	155	1	0	0	-1	1	0	0	0	
bxqsa05	Коробка с броней 	A20812	305	00001	31	1	0	10	0	0	0	0	50	0	1	0	0	156	1	0	0	-1	1	0	0	0	
bxqsa06	Коробка с броней 	A20812	305	11000	31	1	0	10	0	0	0	0	50	0	1	0	0	157	1	0	0	-1	1	0	0	0	
