clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	xeh	byte	byte	word	dword	dword	dword	dword	byte	byte	byte	byte	dword	dword	END
uncsa05	Усиленная Автоматическая Буровая Установка	431200	6	00001	33	0	0	1	0	0	0	0	0	0	1	0	1	588	1	1	0	-1	4200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncsa06	Усиленная Автоматическая Буровая Установка	431200	9	00001	33	0	0	1	0	0	0	0	0	0	1	0	1	589	1	0	0	-1	4200	50	45	0	300000	3000	1	2333	20	20	20	20	2	0	
uncsa07	Стандартная Автоматическая Буровая Установка	731200	4	11000	33	0	0	1	0	0	0	0	0	0	1	0	1	590	1	1	0	-1	7200	40	35	0	150000	3000	1	1289	20	20	20	20	2	0	
uncsa08	Стандартная Автоматическая Буровая Установка	831200	5	00110	33	0	0	1	0	0	0	0	0	0	1	0	1	591	1	1	0	-1	8200	40	35	0	150000	3000	1	1289	20	20	20	20	2	0	
uncsa09	Стандартная Автоматическая Буровая Установка	431200	6	00001	33	0	0	1	0	0	0	0	0	0	1	0	1	592	1	1	0	-1	4200	40	35	0	150000	3000	1	1289	20	20	20	20	2	0	
uncsa10	Легкая Автоматическая Буровая Установка	731200	4	11000	33	0	0	1	0	0	0	0	0	0	1	0	1	593	1	1	0	-1	7200	30	25	0	50000	3000	1	671	20	20	20	20	2	0	
uncsa11	Легкая Автоматическая Буровая Установка	831200	5	00110	33	0	0	1	0	0	0	0	0	0	1	0	1	594	1	1	0	-1	8200	30	25	0	50000	3000	1	671	20	20	20	20	2	0	
uncsa12	Легкая Автоматическая Буровая Установка	431200	6	00001	33	0	0	1	0	0	0	0	0	0	1	0	1	595	1	1	0	-1	4200	30	25	0	50000	3000	1	671	20	20	20	20	2	0	
unbpc01	Премиум Пейджер	731200	7	11000	33	0	0	1	0	0	0	0	0	0	1	0	1	608	1	0	0	-1	7200	50	25	0	300000	3000	1	2333	20	20	20	20	2	0	
uncpc01	Премиум Пейджер	831200	8	00110	33	0	0	1	0	0	0	0	0	0	1	0	1	609	1	0	0	-1	8200	50	25	0	300000	3000	1	2333	20	20	20	20	2	0	
unapc01	Премиум Пейджер	431200	9	00001	33	0	0	1	0	0	0	0	0	0	1	0	1	610	1	0	0	-1	4200	50	25	0	300000	3000	1	2333	20	20	20	20	2	0	
