string[64]	dword	string[64]	dword	string[64]	dword	dword	dword	string[64]	dword	float	string[64]	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	float	float	dword	float	float	dword	float	float	dword	float	float	dword	float	float	dword	dword	dword	dword	dword	string[64]	dword	dword	dword	END
irria01	1	A3010F	16	Слоталан	301	300	16	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirria01	0	0	0	
irria02	1	A30110	17	Моталан	301	300	17	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirria02	0	0	0	
irria03	1	A30111	18	Титалан	301	300	18	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirria03	0	0	0	
irria04	1	A30112	19	Сеталан	301	300	19	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirria04	0	0	0	
irria05	1	A30113	20	Новотолан	301	300	20	11111	-1	-1	-1	1	3	3	3	0	0	0	0	10	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirria05	0	0	0	
irtal01	1	A30114	21	Талика Невежества	301	300	21	11111	1	20	ircry01	1	24	24	24	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal01	0	0	0	
irtal02	1	A30115	22	Талика Разрушения	301	300	22	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal02	0	0	0	
irtal03	1	A30116	23	Талика Тьмы	301	300	23	11111	1	20	ircry01	1	24	24	24	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal03	0	0	0	
irtal04	1	A30117	24	Талика Хаоса	301	300	24	11111	1	20	ircry01	1	24	24	24	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal04	0	0	0	
irtal05	1	A30118	25	Талика Ненависти	301	300	25	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal05	0	0	0	
irtal06	1	A30119	26	Талика Покровительства	301	300	26	11111	1	20	ircry01	1	24	24	24	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal06	0	0	0	
irtal07	1	A3011A	27	Талика Мудрости	301	300	27	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal07	0	0	0	
irtal08	1	A3011B	28	Талика Святого Пламени	301	300	28	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal08	0	0	0	
irtal09	1	A3011C	29	Талика Веры	301	300	29	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal09	0	0	0	
irtal10	1	A3011D	30	Талика Святого Алтаря	301	300	30	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal10	0	0	0	
irtal11	1	A3011E	31	Талика Славы	301	300	31	11111	1	20	ircry01	1	34	34	34	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal11	0	0	0	
irtal12	1	A3011F	32	Талика Милосердия	301	300	32	11111	1	20	ircry01	1	24	24	24	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal12	0	0	0	
irtal13	1	A30120	33	Талика Грации	301	300	33	11111	1	20	ircry01	1	24	24	24	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal13	0	0	0	
irtal14	1	A30121	34	Талика Забвения	301	300	34	11111	1	20	ircry01	0	3	3	3	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirtal14	0	0	0	
irgef01	1	A30122	35	Рубин	301	300	35	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgef01	0	0	0	
irgef02	1	A30123	36	Потухший Рубин	301	300	36	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgef02	0	0	0	
irgef03	1	A30124	37	Пламенный Рубин	301	300	37	11111	-1	-1	-1	1	10	10	10	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgef03	0	0	0	
irgea01	1	A30125	38	Алмаз	301	300	38	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgea01	0	0	0	
irgea02	1	A30126	39	Аквамарин	301	300	39	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgea02	0	0	0	
irgea03	1	A30127	40	Матовый Бриллиант	301	300	40	11111	-1	-1	-1	1	10	10	10	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgea03	0	0	0	
irget01	1	A30128	41	Топаз	301	300	41	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirget01	0	0	0	
irget02	1	A30129	42	Обожженый Топаз	301	300	42	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirget02	0	0	0	
irget03	1	A3012A	43	Токсичный Топаз	301	300	43	11111	-1	-1	-1	1	10	10	10	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirget03	0	0	0	
irgew01	1	A3012B	44	Обсидиан	301	300	44	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgew01	0	0	0	
irgew02	1	A3012C	45	Освященный Обсидиан	301	300	45	11111	-1	-1	-1	1	6	6	6	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgew02	0	0	0	
irgew03	1	A3012D	46	Духовный Обсидиан	301	300	46	11111	-1	-1	-1	1	10	10	10	0	0	0	0	50	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgew03	0	0	0	
irjad01	1	A3012E	47	Изумруд Удачи	301	300	47	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	0	3	3699	1	0	0,100000001	0,100000001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirjad01	0	0	0	
irjad02	1	A3012F	48	Изумруд Сделки	301	300	48	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	0	3	3674	1	1	0,100000001	0,5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirjad02	0	0	0	
irjad03	1	A30130	49	Изумруд Боевого Опыта	301	300	49	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	0	3	3667	1	2	0,200000003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirjad03	0	0	0	
irjad04	1	A30131	50	Поющий Изумруд	301	300	50	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	0	3	3700	1	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirjad04	0	0	0	
irjad05	1	A30132	51	Изумруд Поддержки	301	300	51	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	0	3	3668	1	4	5	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirjad05	0	0	0	
irebl01	1	A30133	52	Кусок Черной Стружки	301	300	52	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirebl01	0	0	0	
irere01	1	A30134	53	Кусок Красной Стружки	301	300	53	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirere01	0	0	0	
irebu01	1	A30135	54	Кусок Синей Стружки	301	300	54	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirebu01	0	0	0	
iregr01	1	A30136	55	Кусок Зеленой Стружки	301	300	55	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tiregr01	0	0	0	
ireyl01	1	A30137	56	Кусок Желтой Стружки	301	300	56	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tireyl01	0	0	0	
irepu01	1	A30138	57	Кусок Лиловой Стружки	301	300	57	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirepu01	0	0	0	
irewh01	1	A30139	58	Кусок Белой Стружки	301	300	58	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirewh01	0	0	0	
irebw01	1	A3013A	59	Кусок Бархатной Стружки	301	300	59	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirebw01	0	0	0	
ireol01	1	A3013B	60	Кусок Оливковой Стружки	301	300	60	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tireol01	0	0	0	
irena01	1	A3013C	61	Кусок Морской Стружки	301	300	61	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirena01	0	0	0	
irchr01	1	A3013D	62	Праздничный Изумруд Изобилия	301	300	62	11111	-1	-1	-1	1	1	1	1	0	0	0	0	1000	-1	-1	0	3	3667	1	2	0,200000003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	1	tirchr01	0	0	0	
irchr02	1	A3013E	63	Праздничный Изумруд Утешения	301	300	63	11111	-1	-1	-1	1	1	1	1	0	0	0	0	1000	-1	-1	0	3	3668	1	4	5	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	1	tirchr02	0	0	0	
irval01	1	A3013F	64	Цветы	301	300	64	11111	-1	-1	-1	1	1	1	1	0	0	0	0	1000	-1	-1	0	3	3667	1	5	0,100000001	0,100000001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	1	tirval01	0	0	1	
irgef04	1	A30140	65	Искрящийся Рубин	301	300	65	11111	-1	-1	-1	1	22	22	22	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgef04	0	0	0	
irgea04	1	A30141	66	Кристальный Алмаз	301	300	66	11111	-1	-1	-1	1	22	22	22	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgea04	0	0	0	
irget04	1	A30142	67	Чайный Топаз	301	300	67	11111	-1	-1	-1	1	22	22	22	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirget04	0	0	0	
irgew04	1	A30143	68	Черный Обсидиан	301	300	68	11111	-1	-1	-1	1	22	22	22	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirgew04	0	0	0	
ircsa01	0	A30144	69	Рубин Удачи	301	300	69	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa01	1	0	0	
ircsa02	0	A30145	70	Алмаз Удачи	301	300	70	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa02	1	0	0	
ircsa03	0	A30146	71	Топаз Удачи	301	300	71	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa03	1	0	0	
ircsa04	0	A30147	72	Обсидиан Удачи	301	300	72	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa04	1	0	0	
irres01	0	A30148	75	Алый Камень	301	300	75	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirres01	0	0	0	
ircsa05	0	A30149	73	Изумруд_Изобилия_[1_день	301	300	73	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3667	1	2	0,200000003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa05	1	0	1	
ircsa06	0	A3014A	73	Изумруд_Изобилия_[6_дней	301	300	73	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3667	1	2	0,200000003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa06	1	0	1	
ircsa07	0	A3014B	73	Изумруд_Изобилия_[14_дней	301	300	73	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3667	1	2	0,200000003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa07	1	0	1	
ircsa08	0	A3014C	73	Изумруд_Изобилия_[30_дней	301	300	73	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3667	1	2	0,200000003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa08	1	0	1	
ircsa09	0	A3014D	74	Изумруд_Утешения_[1_день	301	300	74	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3668	1	4	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa09	1	0	1	
ircsa10	0	A3014E	74	Изумруд_Утешения_[6_дней	301	300	74	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3668	1	4	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa10	1	0	1	
ircsa11	0	A3014F	74	Изумруд_Утешения_[14_дней	301	300	74	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3668	1	4	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa11	1	0	1	
ircsa12	0	A30150	74	Изумруд_Утешения_[30_дней	301	300	74	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1000	-1	-1	0	3	3668	1	4	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tircsa12	1	0	1	
ircht01	0	A30151	77	Синяя пудра	301	300	77	11111	-1	-1	-1	1	2	2	2	0	0	0	0	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tircht01	0	0	0	
irbls01	0	A30152	76	Голубой камень	301	300	76	11111	-1	-1	-1	0	1	1	1	0	0	0	0	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbls01	0	0	0	
irskl01	0	A30153	79	Камень Ард-Руны	301	300	79	11111	-1	-1	-1	1	10	10	10	0	0	0	0	100	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirskl01	0	0	0	
irevn01	0	A30154	78	Нефритовый осколок	301	300	78	11111	-1	-1	-1	1	1	1	1	0	0	0	0	500	-1	-1	0	-1	3668	1	4	5	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirevn01	0	0	0	
irmap01	1	A30155	80	Осколок Огненной Души	301	300	80	11111	-1	-1	-1	1	1	1	1	0	0	0	0	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirmap01	0	0	0	
irmap03	1	A30156	81	Осколок Ледяной Души	301	300	81	11111	-1	-1	-1	1	1	1	1	0	0	0	0	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	tirmap03	0	0	0	
irbud01	1	A30157	82	Счастливая бусина 1Ч	301	300	82	11111	-1	-1	-1	0	5	5	5	0	0	0	0	1	-1	-1	0	-1	-1	1	8	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbud01	1	0	1	
irbud02	1	A30158	83	Благословенная Бусина 10 мин	301	300	83	11111	-1	-1	-1	0	5	5	5	0	0	0	0	1	-1	-1	0	-1	-1	1	5	0,100000001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbud02	1	0	1	
irbud03	1	A30159	83	Благословенная Бусина 30 мин	301	300	83	11111	-1	-1	-1	0	5	5	5	0	0	0	0	1	-1	-1	0	-1	-1	1	5	0,100000001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbud03	1	0	1	
irbud04	1	A3015A	83	Благословенная Бусина 1 час	301	300	83	11111	-1	-1	-1	0	5	5	5	0	0	0	0	1	-1	-1	0	-1	-1	1	5	0,100000001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbud04	1	0	1	
irbud05	1	A3015B	84	Бусина Интелекта 10 мин	301	300	84	11111	-1	-1	-1	0	5	5	5	0	0	0	0	1	-1	-1	0	-1	-1	1	6	0,100000001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbud05	1	0	1	
irbud06	1	A3015C	84	Бусина Интелекта 30 мин	301	300	84	11111	-1	-1	-1	0	5	5	5	0	0	0	0	1	-1	-1	0	-1	-1	1	6	0,100000001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	1	1	tirbud06	1	0	1	
