clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	byte	byte	word	float	float	byte	byte	word	float	float	byte	byte	word	float	float	byte	byte	word	float	float	byte	byte	word	float	float	res	dword	dword	dword	dword	dword	dword	END
irval01	Цветы	A3013F	64	11111	17	1	0	1	0	0	0	0	1000	0	1	0	0	63	1	0	1	0	1	5	0	0	0,100000001	0,100000001	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	64	0	
irgef04	Искрящийся Рубин	A30140	65	11111	17	1	0	22	0	0	0	0	1000	1	1	1	1	64	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	65	0	
irgea04	Кристальный Алмаз	A30141	66	11111	17	1	0	22	0	0	0	0	1000	1	1	1	1	65	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	66	0	
irget04	Чайный Топаз	A30142	67	11111	17	1	0	22	0	0	0	0	1000	1	1	1	1	66	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	67	0	
irgew04	Черный Обсидиан	A30143	68	11111	17	1	0	22	0	0	0	0	1000	1	1	1	1	67	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	68	0	
ircsa01	Рубин Удачи	A30144	69	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	68	0	1	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	69	0	
ircsa02	Алмаз Удачи	A30145	70	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	69	0	1	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	70	0	
ircsa03	Топаз Удачи	A30146	71	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	70	0	1	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	71	0	
ircsa04	Обсидиан Удачи	A30147	72	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	71	0	1	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	72	0	
irres01	Алый Камень	A30148	75	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	72	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	75	0	
ircsa05	Изумруд_Изобилия_[1_день	A30149	73	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	74	0	1	1	0	1	2	0	0	0,200000003	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	73	0	
ircsa06	Изумруд_Изобилия_[6_дней	A3014A	73	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	75	0	1	1	0	1	2	0	0	0,200000003	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	73	0	
ircsa07	Изумруд_Изобилия_[14_дней	A3014B	73	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	76	0	1	1	0	1	2	0	0	0,200000003	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	73	0	
ircsa08	Изумруд_Изобилия_[30_дней	A3014C	73	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	77	0	1	1	0	1	2	0	0	0,200000003	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3667	0	73	0	
ircsa09	Изумруд_Утешения_[1_день	A3014D	74	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	78	0	1	1	0	1	4	0	0	1	5	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3668	0	74	0	
ircsa10	Изумруд_Утешения_[6_дней	A3014E	74	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	79	0	1	1	0	1	4	0	0	1	5	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3668	0	74	0	
ircsa11	Изумруд_Утешения_[14_дней	A3014F	74	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	80	0	1	1	0	1	4	0	0	1	5	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3668	0	74	0	
ircsa12	Изумруд_Утешения_[30_дней	A30150	74	11111	17	0	0	1	0	0	0	0	1000	0	1	0	1	81	0	1	1	0	1	4	0	0	1	5	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	3	3668	0	74	0	
ircht01	Синяя пудра	A30151	77	11111	17	1	0	2	0	0	0	0	1	1	1	1	1	90	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	77	0	
irbls01	Голубой камень	A30152	76	11111	17	0	0	1	0	0	0	0	1	0	1	0	1	73	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	76	0	
irskl01	Камень Ард-Руны	A30153	79	11111	17	1	0	10	0	0	0	0	100	0	1	0	1	91	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	79	0	
irevn01	Нефритовый осколок	A30154	78	11111	17	1	0	1	0	0	0	0	500	0	1	0	1	-1	0	0	0	0	1	4	0	0	5	25	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	-1	3668	0	78	0	
irmap01	Осколок Огненной Души	A30155	80	11111	17	1	0	1	0	0	0	0	1	1	1	1	1	92	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	80	0	
irmap03	Осколок Ледяной Души	A30156	81	11111	17	1	0	1	0	0	0	0	1	1	1	1	1	93	1	0	0	0	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	-1	-1	-1	0	81	0	
irbud01	Счастливая бусина 1Ч	A30157	82	11111	17	0	0	5	0	0	0	0	1	0	1	0	1	95	1	1	1	0	1	8	0	0	1	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	-1	-1	0	82	0	
irbud02	Благословенная Бусина 10 мин	A30158	83	11111	17	0	0	5	0	0	0	0	1	0	1	0	1	96	1	1	1	0	1	5	0	0	0,100000001	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	-1	-1	0	83	0	
irbud03	Благословенная Бусина 30 мин	A30159	83	11111	17	0	0	5	0	0	0	0	1	0	1	0	1	97	1	1	1	0	1	5	0	0	0,100000001	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	-1	-1	0	83	0	
irbud04	Благословенная Бусина 1 час	A3015A	83	11111	17	0	0	5	0	0	0	0	1	0	1	0	1	98	1	1	1	0	1	5	0	0	0,100000001	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	-1	-1	0	83	0	
irbud05	Бусина Интелекта 10 мин	A3015B	84	11111	17	0	0	5	0	0	0	0	1	0	1	0	1	99	1	1	1	0	1	6	0	0	0,100000001	1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	1	0	-1	-1	0	84	0	
