clcode	string[64]	xeh	dword	stb	byte	byte	word	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	dword	long	string[32]	string[32]	dword	dword	dword	END
iqcnn02	Колония Нумерус	830C09	2	00110	22	0	0	3000	0	0	0	0	150	0	1	1	1	12	1	0	0	-1	NeutralCS2	dpfrom_town	0	0	0	
iqann01	Застава-213	430C0A	3	00001	22	0	0	3000	0	0	0	0	150	0	1	1	1	13	1	0	0	-1	NeutralAS1	dpfrom_town	0	0	0	
iqann02	Застава-117	430C0B	3	00001	22	0	0	3000	0	0	0	0	150	0	1	1	1	14	1	0	0	-1	NeutralAS2	dpfrom_town	0	0	0	
iqres01	Краговы Шахты	A30C0C	3	11111	22	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	-1	resources	dpfrom_town	0	0	0	
iqell01	Плато Элан	A30C0D	3	11111	22	0	0	1000	0	0	0	0	50	1	1	1	1	16	1	0	0	-1	Elan	dp_elan_start	45	0	0	
iqtwe01	MagpieScroll	A30C0E	4	11111	22	0	0	20000	0	0	0	0	1000	1	1	1	1	17	1	0	0	-1	resources	dpfrom_town	0	0	0	
iqcsa01	Этерская территория Федерации	730C00	5	11000	22	0	0	1	0	0	0	0	0	0	1	0	1	18	1	1	0	-1	Platform01	dsstart0	35	0	0	
iqcsa02	Этерская территория Священного Альянса	830C01	6	00110	22	0	0	1	0	0	0	0	0	0	1	0	1	19	1	1	0	-1	Platform01	dsstart1	35	0	0	
iqcsa03	Этерская территория Империи	430C02	7	00001	22	0	0	1	0	0	0	0	0	0	1	0	1	20	1	1	0	-1	Platform01	dsstart2	35	0	0	
iqcsa04	Телепорт Предводителя Шипоголовов	430C02	8	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	21	1	1	0	-1	NeutralA	dmm66_0	0	0	0	
iqcsa05	Телепорт Царя Саблезубов	730C00	9	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	22	1	1	0	-1	NeutralB	dmm49_0	0	0	0	
iqcsa06	Телепорт Царя Саблезубов	830C01	10	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	23	1	1	0	-1	NeutralC	dmm45_0	0	0	0	
iqcsa07	Телепорт Бешеного Молотоглава	430C02	11	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	24	1	1	0	-1	NeutralA	dmm82_0	0	0	0	
iqcsa08	Телепорт Бешеного Молотоглава	730C00	12	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	25	1	1	0	-1	NeutralB	dmm19_0	0	0	0	
iqcsa09	Телепорт Бешеного Молотоглава	830C01	13	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	26	1	1	0	-1	NeutralC	dmm61_0	0	0	0	
iqcsa10	Телепорт Молодого Раптора Доминанта	430C02	14	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	27	1	1	0	-1	NeutralA	dmm52_1	0	0	0	
iqcsa11	Телепорт Свирепого Ратозверя	730C00	15	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	28	1	1	0	-1	NeutralB	dmm48_0	0	0	0	
iqcsa12	Телепорт Свирепого Ратозверя	830C01	16	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	29	1	1	0	-1	NeutralC	dmm33_0	0	0	0	
iqcsa13	Телепорт Стального Аргола	430C02	17	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	30	1	1	0	-1	NeutralA	dmm78_0	0	0	0	
iqcsa14	Телепорт Стального Аргола	730C00	18	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	31	1	1	0	-1	NeutralB	dmm40_0	0	0	0	
iqcsa15	Телепорт Змееголова Военачальника	830C01	19	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	32	1	1	0	-1	NeutralC	dmm23_0	0	0	0	
iqcsa16	Телепорт Царя Скорпионов	430C02	20	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	33	1	1	0	-1	NeutralAS1	dmm08_0	0	0	0	
iqcsa17	Телепорт Царя Скорпионов	730C00	21	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	34	1	1	0	-1	NeutralBS1	dmm0913_0	0	0	0	
iqcsa18	Телепорт Короля Трицератопсов	730C00	22	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	35	1	1	0	-1	NeutralBS2	dmm0917_0	0	0	0	
iqcsa19	Телепорт Короля Трицератопсов	830C01	23	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	36	1	1	0	-1	NeutralCS1	dmm0810_0	0	0	0	
iqcsa20	Телепорт Реликтового Ящера	430C02	24	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	37	1	1	0	-1	NeutralAS2	dmm0816_0	0	0	0	
iqcsa21	Телепорт Панцирного Аргола	430C02	25	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	38	1	1	0	-1	NeutralAS1	dmm30_0	0	0	0	
iqcsa22	Телепорт Панцирного Аргола	730C00	26	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	39	1	1	0	-1	NeutralBS1	dmm0924_0	0	0	0	
iqcsa23	Телепорт Огненного Лобстера	830C01	27	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	40	1	1	0	-1	NeutralCS2	dmm0813_0	0	0	0	
iqcsa24	Телепорт Дроида Исследователя	830C01	28	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	41	1	1	0	-1	NeutralCS2	dmm0913_5	0	0	0	
iqcsa25	Телепорт Императорского Лобстера	730C00	29	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	42	1	1	0	-1	NeutralBS2	dmm1030_0	0	0	0	
iqcsa26	Телепорт Императорского Лобстера	830C01	30	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	43	1	1	0	-1	NeutralCS1	dmm097_0	0	0	0	
iqcsa27	Телепорт Царя Медведок	430C02	31	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	44	1	1	0	-1	NeutralAS2	dmm105_0	0	0	0	
iqcsa28	Телепорт Безумного Змееголова	830C01	32	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	45	1	1	0	-1	NeutralCS1	dmm104_1	0	0	0	
iqcsa29	Телепорт Королевы Медведок	430C02	33	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	46	1	1	0	-1	NeutralAS2	dmm0927_0	0	0	0	
iqcsa30	Телепорт Яростного Скарабея	730C00	34	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	47	1	1	0	-1	NeutralBS1	dmm1019_0	0	0	0	
iqcsa31	Телепорт Большого Мясного Слизня	730C00	35	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	48	1	1	0	-1	NeutralBS2	dmm099_0	0	0	0	
iqcsa32	Телепорт Гигантского Гиперморфа	830C01	36	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	49	1	1	0	-1	NeutralCS2	dmm1020_0	0	0	0	
iqcsa33	Телепорт Царя Богомолов	430C02	37	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	50	1	1	0	-1	NeutralAS2	dmm1015_2	0	0	0	
iqcsa34	Телепорт Царя Богомолов	730C00	38	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	51	1	1	0	-1	NeutralBS2	dmm1014_0	0	0	0	
iqcsa35	Телепорт Царя Богомолов	830C01	39	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	52	1	1	0	-1	NeutralCS1	dmm0928_0	0	0	0	
iqcsa36	Телепорт Кровавого Змееголова	830C01	40	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	53	1	1	0	-1	NeutralCS2	dmm1030_0	0	0	0	
iqcsa37	Телепорт Хранителя Кровавого Культа	730C00	41	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	54	1	1	0	-1	NeutralBS1	dmm1017_4	0	0	0	
iqcsa38	Телепорт Яростного Шипоголова	A30C0E	43	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	55	1	1	0	-1	NeutralAS1	dmm48_0	0	0	0	
iqcsa39	Телепорт Варассы	430C02	44	00001	22	0	0	1	0	0	0	0	0	1	1	1	1	56	1	1	0	-1	NeutralAS1	dmm57_0	0	0	0	
iqcsa40	Телепорт Варассы	730C00	45	11000	22	0	0	1	0	0	0	0	0	1	1	1	1	57	1	1	0	-1	NeutralBS1	dmm102_0	0	0	0	
iqcsa41	Телепорт Варассы	830C01	46	00110	22	0	0	1	0	0	0	0	0	1	1	1	1	58	1	1	0	-1	NeutralCS1	dmm0937_0	0	0	0	
iqcsa42	Телепорт Бельфегора	A30C0E	47	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	59	1	1	0	-1	Cauldron01	dmm46_0	40	0	0	
iqcsa43	Телепорт Каменолицего	A30C0E	48	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	60	1	1	0	-1	Elan	dmm01_0	45	0	0	
iqcsa44	Телепорт Стража Акулоящера	A30C0E	49	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	61	1	1	0	-1	Elan	dmm02_0	45	0	0	
iqcsa45	Телепорт Ослепителя	A30C0E	50	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	62	1	1	0	-1	Elan	dmm19_0	45	0	0	
iqcsa46	Телепорт Дагона	A30C0E	51	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	63	1	1	0	-1	Elan	dmm04_0	45	0	0	
iqcsa47	Телепорт Королевы Синдера	A30C0E	52	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	64	1	1	0	-1	Elan	dmm05_0	45	0	0	
iqcsa48	Телепорт Королевы Калиан	A30C0E	53	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	65	1	1	0	-1	Elan	dmm22_0	45	0	0	
iqcsa49	Телепорт Дагана	A30C0E	54	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	66	1	1	0	-1	Elan	dmm62_0	45	0	0	
iqcsa50	Телепорт Дагну	A30C0E	55	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	67	1	1	0	-1	Elan	dmm63_0	45	0	0	
iqcsa51	Телепорт Калиан	A30C0E	56	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	68	1	1	0	-1	Platform01	dmm131_3	35	0	0	
iqcsa52	Телепорт Калиан	A30C0E	42	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	69	1	1	0	-1	Platform01	dmm131_0	35	0	0	
iqcsa53	Телепорт в Горы Чудовищ	A30C0E	3	11111	22	0	0	40000	0	0	0	0	2000	1	1	1	1	70	1	0	0	-1	Mountain_Beast	dpfrom_cauld	49	0	0	
iqcsa54	Телепорт на Землю Бродяг	A30C0E	3	11111	22	0	0	65000	0	0	0	0	3250	1	1	1	1	71	1	0	0	-1	Exile_Land	dpfrom_mountain_beast	51	0	0	
iqcsa55	Телепорт Первозданного Псевдодракона	A30C0E	57	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	72	1	1	0	-1	Mountain_Beast	dmm49_0	49	0	0	
iqcsa56	Телепорт Культиста Кровавого Топора	A30C0E	58	11111	22	0	0	1	0	0	0	0	0	1	1	1	1	73	1	1	0	-1	Exile_Land	dmm52_0	51	0	0	
iqcsa57	Телепорт в Горы Чудовищ(P)	A30C0E	3	11000	22	0	0	360000	1000	0	0	0	0	1	1	1	1	74	1	0	0	-1	Medicallab	dpfrom_platform01	50	0	0	
iqbpc01	Премиум Телепорт	730C00	59	11000	22	0	0	0	0	0	0	0	0	0	0	0	0	75	1	0	0	-1	NeutralB	dpfrom_resources	1	0	0	
iqcpc01	Премиум Телепорт	830C01	59	00110	22	0	0	0	0	0	0	0	0	0	0	0	0	76	1	0	0	-1	NeutralC	dpfrom_resources	1	0	0	
iqapc01	Премиум Телепорт	430C02	59	00001	22	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	0	-1	NeutralA	dpfrom_resources	1	0	0	
