string[64]	text	END
a16	Какой успех! Поздравляю! Ты убил Баал-Хамона, Геродианского Зверя! Поскорее собери трофеи, и ты окажешься в реальном мире через 10 секунд. 	
a17	Найди и уничтожь Бронированного Вертобота.	
a18	Найди и уничтожь Вожака Флема.	
a19	Найди и уничтожь Короля Флемов.	
a20	Найди и уничтожь 150 Шипоголовов.	
a21	Найди и уничтожь 200 Скорпионов.	
a22	Найди и уничтожь Скарабея Матриарха.	
a23	Найди и уничтожь Свирепого Скарабея Секача.	
a24	Найди и уничтожь Скорпиона Матриарха	
a25	Уничтожь 300 Арголов.	
a26	Найди и уничтожь Кровавую Жабу.	
a27	Уничтожь 200 огненных монстров.	
a28	Найди и уничтожь Самку Саблезуба.	
a29	Уничтожь Саблезуба Доминанта.	
a30	Найди Храмовника Кровавого Культа и уничтожь его.	
a31	Уничтожь 200 Дроидов.	
a32	Найди Древнейшего Ящера и уничтожь его.	
a33	Найди Реликтового Ящера и уничтожь его.	
a34	Уничтожь 300 Змееголовов.	
a35	Найди Гигантского Слизня и уничтожь его.	
a36	Найди Злого Мясного Слизня и уничтожь его.	
a37	Найди Армированного Робо-тесака и уничтожь его.	
a38	Уничтожь 300 монстров с хитиновым панцирем.	
a39	Найди Усиленного Патрульного Робота и уничтожь его.	
a40	Уничтожь 300 Огненных монстров.	
a41	Уничтожь 300 Гиперморфов.	
a42	Найди Королеву Наяду и уничтожь ее.	
a43	Уничтожь 300 Калиан.	
a44	Найди и уничтожь Темного Повелителя Шипоголовов.	
a45	Найди Шипоголовов Военачальника и уничтожь его.	
a46	Найди Коммандо Предателя и уничтожь его.	
a47	Это слишком трудно! Чтобы выбраться отсюда, тебе нужно разрушить две Лазурные Пирамиды. Но будь осторожнее, рядом с нимм много опасных монстров.	
a48	Поздравляю с выполненной миссией. Проверь трофеи в своем инвентаре. Ты вернешься в реальный мир через 10 секунд. 	
a49	Поздравляю с выполненной миссией. Ты вернешься в реальность через 10 секунд.	
a50	Великие воины! Самый сильный Пит-босс ждет вас, покажите ему все, на что ты способен.	
a51	Найди следующего Пит-босса и уничтожь его.	
a52	Ты показал себя величайшим воином, как я и ожидал!!! Твоя награда - возвращение в реальный мир через 10 секунд. 	
a53	Ты находишься в Цитадели - искаженном пространстве. Твоя миссия - разрушить все устройства связанные с Чашей Иллюзий, так чтобы пойманный в ловушку Баал-Хамон не смог сбежатьи вернуть себе духовное оружие. Для начала, чтобы попасть в Цитадель убей 40 Яростных Лавовых Арахнидов, охраняющих вход. 	
a54	Яростный Взрослый Арахнид это эволюционировавшая форма Яростного ЛавовогоАрахнида. Если ты уничтожишь их, то появится Яростный Гигантский Арахнид, охраняющий Цитадель. Уничтожь 30 Яростных Взрослых Арахнидов и вызови Яростного Гигантского Арахнида.	
a55	Тише! Ты слышишь звук приближающегося Яростного Гигантского Арахнида? Если ты его уничтожишь, что портал к центральной зоне Цитадели будет активирован. 	
a56	Во время исследований над Священной силойl некто Браулер из Картелы создал таинственный минерал Флеймс. Выяснили, что Флеймс был трансплантирован в сердце Предводителя Магмовых Воинов. Твоя миссия - убить 10 Магмовыз Воинов и собрать 10 Флеймсов	
a57	Предводитель Псевдодраконов - это монстр, обладающий минералом Флеймс. Нельзя допустить, чтобы им кто-нибудь завладел. Найди его и уничтожь, и тогда врата активируются. 	
a58	Рунный Столб Древних - это духовная колонна, несущая на себе Цитадель. Если ты не сможешь разрушить ее, то можешь застрять здесь навсегда. 	
a59	Хранитель руин будет взбешен из-за разрушенного Рунного Столба Древних. Уничтожить Культиста Кровавого Топора ,чтобы активировать врата.	
a60	Враги узнали, что ты уничтожил Рунный Столб Древних и разделили Ядро, который содержит информацию на 20 частей. Эти части они поместили в Патрульных Роботов Дельта. Ты должен уничтожить необходимое количество Патрульных Роботов Дельта и собрать 20 частей Ядра.	
a61	30 Уничтожителей преследуют тебя. Дождись их и уничтожь. 	
a62	Неплохо сработано. Укрепления врага уничтожены. Теперь ты можешь узнать тайну Цитадели. Но будь всегда начеку. Они выпустили против нас Имперского Разрушителя Икс. Учти, что он очень опасен !Удачи!	
a63	Был найден второй Рунный Столб Древних. Ты знаешь, что если ты не уничтожишь этот столб, ты навсегда застрянешь в этом месте? Уничтожь его и собери 15 сломанных надгробий. 	
a64	Ты хорошо поработал. Уничтожь Хранителя Надгробий Лобстера Патриарха и продолжи свой путь.	
a65	Браулер выпустил в лабиринт 25 Предводителей Гоблинов, чтобы остановить тебя. Уничтожь их всех и убегай из лабиринта. Ты можешь выиграть время, уничтожив Кристальную Амфору. Помни об этом, и ты победишь.	
a66	Повелителем этого лабиринта является Вожак Стригой. Чтобы активировать врата и идти дальше, ты должен уничтожить его. Победа зависит только от тебя!	
a67	Здесь производят Духовное оружие. Они уже активировали 15 механизмов самоликвидации Кристальных Амфор. Чтобы остановить эти механизмы, тебе необходимо собрать 10 частей Кристальных Амфор. Есть роботы, которые заставляют часовой механизм фабрики работать быстрее. Если ты уничтожишь их всех - все может взлететь на воздух, поэтому осторожнее.	
a68	Все механизмы самоликвидации были уничтожены. Их последняя надежда - Усиленный Робо-клинок. Он настолько же опасен, как и Имперский Разрушитель Икс. Убей 50 его стражей, но не вздумай трогать его.	
a69	Здесь Браулер играл в шахматы живыми людьми. Чтобы выиграть, необходимо уничтожь Монументальное Надгробие и собрать 8 Кристаллов.	
a70	Подлый Браулер! Он не дал свободы победителю, но расставил ловушки! Уничтожь Кровавую Лапу и тогда врата будут активированы.	
a71	Ундина - это ночной кошмар. Она является одним целым с этой локацией, и если ты уничтожь ее, то начнется самоуничтожение. Помни об этом, если хочешь выжить!	
a72	Наконец-то появилась хозяйка кошмаров. Уничтожь Королеву Ундин!	
a73	Последнее задание - уничтожь Баал-Хамона!	
a74	Ты спас Галактику. Проверь свой инвентарь, чтобы узнать, было ли у него настоящее Духовное Оружие. Ты будешь транспортирован за пределы Цитадели через 10 секунд. 	
a75	Черт! Должно быть он убежал через другой выход! Для начала, мы перенесем тебя за пределы Цитадели. Не волнуйся, ты сразишься с ним рано или поздно. Твоя победа еще впереди	
a76	Это еще одно времяное пространство соприкасающееся с Новусом. Чтобы вернуться в свое времяное пространство, необходимо уничтожить всех монстров, обитающих здесь!	
a77	Наконец-то мы обнаружили, прятавшегося Кровавого Агрессивного Вертобота! Отправляйся и уничтожь его.	
a78	Наконец-то мы обнаружили, прятавшегося Древнего Кровавого Агрессивного Вертобота! Отправляйся и уничтожь его.	
a79	Наконец-то Инферноблок проявил себя! Найди и уничтожь его!	
a80	Наконец-то Ужасный Инферноблок проявил себя! Найди и уничтожь его!	
